G16H10/00	患者関連の医療または健康管理データの取扱いまたは処理に特に適合したＩＣＴ（医学的レポート用Ｇ１６Ｈ１５／００；療法または健康改善計画用Ｇ１６Ｈ２０／００；医療画像の取扱いまたは処理用Ｇ１６Ｈ３０／００）<br><br><u>警告</u><br><br>グループＧ１６Ｈ１０／００はグループＧ０６Ｆ１９／３０，Ｇ０６Ｆ１９／３２，Ｇ０６Ｆ１９／３４，Ｇ０６Ｆ１９／３６，Ｇ０６Ｑ５０／２２，およびＧ０６Ｑ５０／２４からの文献の再分類が未完成であり保留されている。<br>この警告に掲載されたすべてのグループはコンプリートサーチの完遂のために考慮されるべきである。
G16H10/20	電子化された臨床試験または質問票のためのもの<br><br><u>警告</u><br><br>グループＧ１６Ｈ１０／２０はグループＧ０６Ｆ１９／３０，Ｇ０６Ｆ１９／３２，Ｇ０６Ｆ１９／３４，Ｇ０６Ｆ１９／３６，Ｇ０６Ｑ５０／２２，およびＧ０６Ｑ５０／２４からの文献の再分類が未完成であり保留されている。<br>この警告に掲載されたすべてのグループはコンプリートサーチの完遂のために考慮されるべきである。
G16H10/40	臨床検査分析のためのもの，例．患者の検体の分析<br><br><u>警告</u><br><br>グループＧ１６Ｈ１０／４０はグループＧ０６Ｆ１９／３０，Ｇ０６Ｆ１９／３２，Ｇ０６Ｆ１９／３４，Ｇ０６Ｆ１９／３６，Ｇ０６Ｑ５０／２２，およびＧ０６Ｑ５０／２４からの文献の再分類が未完成であり保留されている。<br>この警告に掲載されたすべてのグループはコンプリートサーチの完遂のために考慮されるべきである。
G16H10/60	患者固有データのためのもの，例．電子カルテのためのもの<br><br><u>警告</u><br><br>グループＧ１６Ｈ１０／６０はグループＧ０６Ｆ１９／３０，Ｇ０６Ｆ１９／３２，Ｇ０６Ｆ１９／３４，Ｇ０６Ｑ５０／２２，およびＧ０６Ｑ５０／２４からの文献の再分類が未完成であり保留されている。<br>この警告に掲載されたすべてのグループはコンプリートサーチの完遂のために考慮されるべきである。
G16H10/65	携帯記録用担体上で蓄積されるもの，例．スマートカード，ＲＦＩＤタグまたはＣＤ<br><br><u>警告</u><br><br>グループＧ１６Ｈ１０／６５はグループＧ０６Ｆ１９／３０，Ｇ０６Ｆ１９／３２，Ｇ０６Ｆ１９／３４，Ｇ０６Ｑ５０／２２，およびＧ０６Ｑ５０／２４からの文献の再分類が未完成であり保留されている。<br>この警告に掲載されたすべてのグループはコンプリートサーチの完遂のために考慮されるべきである。
G16H15/00	医学的レポートに特に適合したＩＣＴ，例．その作成または伝送<br><br><u>警告</u><br><br>グループＧ１６Ｈ１５／００はグループＧ０６Ｆ１９／００，Ｇ０６Ｆ１９／３０，Ｇ０６Ｆ１９／３２，Ｇ０６Ｑ５０／２２，Ｇ０６Ｑ５０／２４からの文献の再分類が未完成であり保留されている。<br>グループＧ０６Ｆ１９／００，Ｇ０６Ｆ１９／３０，Ｇ０６Ｆ１９／３２，Ｇ０６Ｑ５０／２２，Ｇ０６Ｑ５０／２４およびＧ１６Ｈ１５／００はコンプリートサーチの完遂のために考慮されるべきである。
G16H20/00	療法または健康改善計画に特に適合したＩＣＴ，例．処方箋の取扱い，療法を進めることまたは患者コンプライアンスを監視するためのもの<br><br><u>警告</u><br><br>グループＧ１６Ｈ２０／００はグループＧ０６Ｆ１９／３０，Ｇ０６Ｆ１９／３２，Ｇ０６Ｆ１９／３４，Ｇ０６Ｑ５０／２２，およびＧ０６Ｑ５０／２４からの文献の再分類が未完成であり保留されている。<br>この警告に掲載されたすべてのグループはコンプリートサーチの完遂のために考慮されるべきである。
G16H20/10	薬または薬剤に関するもの，例．患者への正しい投与を担保するためのもの<br><br><u>警告</u><br><br>グループＧ１６Ｈ２０／１０はグループＧ０６Ｆ１９／３０，Ｇ０６Ｆ１９／３２，Ｇ０６Ｆ１９／３４，Ｇ０６Ｆ１９／３４５６，Ｇ０６Ｑ５０／２２，およびＧ０６Ｑ５０／２４からの文献の再分類が未完成であり保留されている。<br>この警告に掲載されたすべてのグループはコンプリートサーチの完遂のために考慮されるべきである。
G16H20/13	ディスペンサーから投与されるもの<br><br><u>警告</u><br><br>グループＧ１６Ｈ２０／１３はグループＧ０６Ｆ１９／３０，Ｇ０６Ｆ１９／３２，Ｇ０６Ｆ１９／３４，Ｇ０６Ｆ１９／３４６２，Ｇ０６Ｑ５０／２２，およびＧ０６Ｑ５０／２４からの文献の再分類が未完成であり保留されている。<br>この警告に掲載されたすべてのグループはコンプリートサーチの完遂のために考慮されるべきである。
G16H20/17	点滴または注射を介して投与されるもの<br><br><u>警告</u><br><br>グループＧ１６Ｈ２０／１７はグループＧ０６Ｆ１９／３０，Ｇ０６Ｆ１９／３２，Ｇ０６Ｆ１９／３４，Ｇ０６Ｆ１９／３４６８，Ｇ０６Ｑ５０／２２，およびＧ０６Ｑ５０／２４からの文献の再分類が未完成であり保留されている。<br>この警告に掲載されたすべてのグループはコンプリートサーチの完遂のために考慮されるべきである。
G16H20/30	理学療法または活動に関するもの，例．物理療法，指圧または運動<br><br><u>警告</u><br><br>グループＧ１６Ｈ２０／３０はグループＧ０Ｆ１９／３０，Ｇ０６Ｆ１９／３２，Ｇ０６Ｆ１９／３４，Ｇ０６Ｆ１９／３４８１，Ｇ０６Ｑ５０／２２，およびＧ０６Ｑ５０／２４からの文献の再分類が未完成であり保留されている。<br>この警告に掲載されたすべてのグループはコンプリートサーチの完遂のために考慮されるべきである。
