H01R3/00	他に属しない導電接続
H01R3/08	液体へ接続を形成するためのもの｛（液体に接触している集電環Ｈ０１Ｒ３９／３０；Ｈ０１Ｒ３９／６４６）｝
H01R4/00	２個以上の導電部材間の，直接の接触，すなわち互いの接触による導電接続；そのような接触を行い，または保持する手段；導体のための間隔をあけた二つ以上の接続箇所があり，絶縁体を突き刺す接触子を用いる導電接続
H01R4/01	形状記憶材料，例．形状記憶金属，を用いる接続
H01R4/02	はんだ付け，または溶接接続による接続｛（Ｈ０１Ｒ４／６２５，Ｈ０１Ｒ４／７２３，Ｈ０１Ｒ１２／５９が優先）｝
H01R4/021	｛２つ以上のケーブルまたは電線の間｝
H01R4/022	｛事前に塗布したはんだからなるもの｝
H01R4/023	｛ケーブルまたは電線と端子との間｝
H01R4/024	｛事前に塗布したはんだからなるもの｝
H01R4/025	｛組込発熱素子付きのもの｝
H01R4/026	｛はんだ付けまたは溶接接続前に，絶縁層を除去する手段からなるもの｝
H01R4/027	｛はんだ付けまたは溶接接続すべき部品を，位置決めまたは保持するための手段からなるもの｝
H01R4/028	｛すべきでない部品に対するはんだまたはフラックスの流出またはウイッキングを防止する手段からなるもの｝
H01R4/029	｛溶接された接続（Ｈ０１Ｒ４／０２１〜Ｈ０１Ｒ４／０２８が優先）｝
H01R4/04	導電性の接着剤を使用するもの
H01R4/06	リベット接続部（爆発によるものＨ０１Ｒ４／０８）
H01R4/08	爆発によって達成されるもの
H01R4/10	より，巻き付け，屈曲，圧縮またはその他の永久的変形のみにより達成されるもの
H01R4/12	よりによるもの
H01R4/14	巻きつけによるもの
H01R4/16	屈曲によるもの
H01R4/18	圧着によるもの｛（Ｈ０１Ｒ４／０１，Ｈ０１Ｒ４／２４９５が優先；同軸ケーブル用のものＨ０１Ｒ９／０５１８）｝
H01R4/182	｛平形導電素子，例．フラットケーブル，のためのもの（Ｈ０１Ｒ４／０１が優先）｝
H01R4/183	｛円筒状の伸長体，例．円形断面のケーブル，のためのもの（Ｈ０１Ｒ４／０１が優先）｝
H01R4/184	｛Ｕ字形の電線受け部からなるもの｝
H01R4/185	｛Ｕ字形の絶縁受け部と結合しているもの｝
H01R4/186	｛複数のケーブル収容凹部または孔部からなる本体を使用するもの｝
H01R4/187	｛はんだ付け，または溶接接続と結合したもの｝
H01R4/188	｛接触子を改良するために不ぞろいの電線受け面を有するもの｝
H01R4/20	圧縮スリーブを使用するもの｛（Ｈ０１Ｒ４／０１が優先）｝
H01R4/203	｛接触子を改良するための不ぞろいの電線受け面を有するもの｝
H01R4/206	｛横方向の溝またはねじ切りがあるもの｝
H01R4/22	端末キャップ，すなわち同一端からキャップに挿入される電線間の接続を覆いまたは保持するための絶縁または導電材料製のキャップ
H01R4/24	絶縁体やケーブルより線を貫通または切断する接触部材を用いる接続
H01R4/2404	接触部材が絶縁体を貫通する歯，プロング，ピンまたは針を有するもの
H01R4/2406	針またはピンを有するもの
H01R4/2407	鋸歯状の突出部を有するもの
H01R4/2408	ねじの締め付けにより作動されるもの
H01R4/2412	絶縁されたカムまたは楔により作動されるもの
H01R4/2416	接触部材が絶縁体切断刃を有するもの，例．音叉型
H01R4/242	接触部材が単一のスロットを有する板であるもの
H01R4/2425	平板，例．多層平板
H01R4/2429	絶縁基盤に取付けたもの
H01R4/2433	ケーブルをスロットに押し込むための移動可能な基盤の一部
H01R4/2437	曲板
H01R4/2441	管形状
H01R4/2445	接触部材が絶縁体または電線に作用する付加的手段を有するもの，例．絶縁体を貫通する付加的手段，歪を緩和する手段，または電線切断ナイフ
H01R4/245	付加的手段がスロットの形成された２以上の平形部分を有するもの
H01R4/2452	直列的な配列，例．対向するスロット
H01R4/2454	スロットが形成された分岐でＵ字を構成するもの
H01R4/2455	スロットが形成された湾曲部
H01R4/2456	並列的な配列
H01R4/2458	接触部材がスロットの形成された円筒形状であるもの，例．スロットが形成されたチューブ端
H01R4/2462	接触部材がスロットの形成された曲がり形状であるもの，例．スロットが形成された湾曲部
H01R4/2466	接触部材が溝形状部分を有し，その対向する側壁に絶縁体切断手段を有するもの
H01R4/247	接触部材がばねにより作動され絶縁体を貫通するもの
H01R4/2475	接触部材がねじ，ナットまたはボルトにより作動され絶縁体を貫通するもの
H01R4/2479	ねじの頭部下で貫通するもの
H01R4/2483	ねじ先端部の下で貫通するもの
H01R4/2487	ねじ山で貫通するもの
H01R4/2491	接触部材が導電カムまたは楔により作動され絶縁体を貫通するもの
H01R4/2495	接触部材の永久変形と組み合わされた絶縁体の貫通，例．かしめ
H01R4/26	接触を良くするために，少なくとも一方の接触部分が他方の接触部分に食い込む，またはかみ合うような，突出部を有する接続（｛Ｈ０１Ｒ４／１８８，Ｈ０１Ｒ４／２０３，Ｈ０１Ｒ４／５０７５が優先｝；形状記憶材料を用いるものＨ０１Ｒ４／０１）
H01R4/28	締め付け接続；ばね接続（印刷回路との接触または印刷回路への挿入に特に適した端子を使うものＨ０１Ｒ１２／００）
H01R4/30	ねじまたはナットの締付部材を使用するもの（Ｈ０１Ｒ４／５０が優先；ねじまたはナットにより作用する締付部材を利用するものＨ０１Ｒ４／３８；｛同軸ケーブルに対するものＨ０１Ｒ９／０５２１｝）
H01R4/301	｛ねじまたはナットの完全な緩みを防止する手段を有するもの｝
H01R4/302	｛ねじまたはナットの緩みを防止する手段を備えたもの，例．振動防止接続｝
H01R4/304	｛接触を改良するための手段を有するもの｝
H01R4/305	｛導電部材の係合を容易にするための，またはこれを適所に保持するための手段を有するもの｝
H01R4/307	｛ねじのねじ山またはナットに特徴があるもの｝
H01R4/308	｛ねじの軸方向に平行に配置させた導電部材｝
H01R4/32	導電部材がねじのみぞまたは孔に配置されるもの
H01R4/34	導電部材がねじの頭部の下に配置されるもの
H01R4/36	導電部材がねじの先端の下に配置されるもの
