H02J1/00	直流幹線または直流配電網のための回路装置
H02J1/001	
H02J1/002	
H02J1/02	高調波またはリップルを減少する装置
H02J1/04	定電流供給方式
H02J1/06	２線式
H02J1/08	３線式；３線より多い方式
H02J1/082	
H02J1/084	
H02J1/086	
H02J1/10	直流源の並列運転
H02J1/102	｛スイッチングコンバータ（Ｈ０２Ｊ１／１０８，Ｈ０２Ｊ１／１２が優先）｝
H02J1/106	
H02J1/108	｛逆方向電流の流れを妨げるダイオードを用いるもの（Ｈ０２Ｊ１／１２が優先）｝
H02J1/109	
H02J1/12	コンバータをもつ直流発電装置の並列運転，例．水銀整流器をもつもの
H02J1/122	
H02J1/14	回路網内の負荷平衡
H02J1/16	はずみ車に結合された回転電気機械を用いるもの
H02J3/00	交流幹線または交流配電網のための回路装置
H02J3/001	
H02J3/0012	
H02J3/00125	
H02J3/002	
H02J3/003	
H02J3/004	
H02J3/007	
H02J3/0073	
H02J3/0075	
H02J3/008	｛エネルギーやエネルギー伝送権の売買を伴うもの｝
H02J3/01	高調波またはリップルを低減するための装置
H02J3/02	異なる周波数で電力を同時配電するための単一回路網を用いるもの；交流電力と直流電力の同時配電のための単一回路網を用いるもの
H02J3/04	同一周波数でしかも異なる電源から供給される回路網を接続するためのもの
H02J3/06	連系回路網間の電力伝送の制御；連系回路網間の負荷分担の制御
H02J3/08	回路網の同期
H02J3/10	定電流供給方式
H02J3/12	回路網負荷の特性を変化させることによって交流回路網内の電圧を調整するためのもの
H02J3/14	回路網への負荷の接続または回路網からの負荷の遮断によるもの，例．順次平衡装架
H02J3/144	
H02J3/16	無効電力の調整によるもの
H02J3/18	回路網内の無効電力を調整，除去または補償するための装置（電圧調整のためのものＨ０２Ｊ３／１６）
H02J3/1807	｛直列補償器を用いるもの｝
H02J3/1814	｛少なくとも一つのリアクタンス素子がブリッジコンバータにより能動的に制御されるもの，例．統合電力潮流制御装置［ＵＰＦＣ］｝
H02J3/1821	｛分路補償器を使用するもの（Ｈ０２Ｊ３／１８０７，Ｈ０２Ｊ３／１８７８が優先）｝
H02J3/1828	｛段階的な制御，または段階的な制御が考慮されていない補償器の投入や切り離しの組み合わせが可能なもの｝
H02J3/1835	｛無段階制御のもの｝
H02J3/1842	｛少なくとも一つのリアクタンス素子がブリッジコンバータにより積極的に制御されるもの，例．能動フィルタ｝
H02J3/185	｛リアクタンス素子が完全な誘導性であるもの，例．超伝導磁気エネルギー貯蔵システム［ＳＭＥＳ］｝
H02J3/1857	｛ブリッジコンバータがマルチレベルコンバータであるもの｝
H02J3/1864	｛無効電力の無段階制御が半導体スイッチと直列接続される少なくとも一つのリアクタンス素子により得られるもの｝
H02J3/1871	｛分路無効電力補償装置の設置を計画する方法｝
H02J3/1878	｛タップ切替または位相シフトトランスを用いるもの｝
H02J3/1885	｛回転手段を用いるもの，例．同期発電機｝
H02J3/1892	｛装置が負荷と一体化しているもの，例．モータまたはその制御回路｝
H02J3/20	長距離架空線におけるもの
H02J3/22	ケーブルにおけるもの
H02J3/24	回路網内の電力振動を防止または減少させるための装置（単一発電機により行なわれる制御によるものＨ０２Ｐ９／００）
H02J3/241	
H02J3/242	
H02J3/26	多相回路網内の非対称性を除去または減少させるための装置
H02J3/28	エネルギ蓄積により回路網内の負荷を平衡するための装置
H02J3/30	フライホイールに結合された回転電気機械を使用するもの
H02J3/32	コンバータ手段をもつ電池を使用するもの
H02J3/322	
H02J3/34	実質的に異なる周波数の回路網間の電力伝送のための装置
H02J3/36	高圧直流連絡線を介する交流回路網間の電力伝送のための装置
H02J2003/365	｛ＨＶＤＣにおける高調波または振動を減少させるもの｝
H02J3/38	２個以上の発電機，コンバータまたは変圧器により単一回路網へ並列給電するための装置
H02J3/381	｛分散型電源｝
H02J3/388	
H02J3/40	回路網または他の発電機への接続のための発電機の同期
H02J3/42	同期が実行された時自動的に並列接続するもの
H02J3/44	正確な位相順序を保障する装置をもつもの
H02J3/46	発電機，コンバータ，変圧器間の出力分担の制御
H02J3/466	
H02J3/472	
H02J3/48	同相分の分担の制御
H02J3/50	異相分の分担の制御
H02J4/00	交流または直流として指定されていない幹線または配電網のための回路装置
H02J5/00	交流回路網と直流回路網間の電力伝送のための回路装置（Ｈ０２Ｊ３／３６が優先）<br><br><u>警告</u><br><br>グループＨ０２Ｊ５／００はグループＨ０２Ｊ５０／００〜Ｈ０２Ｊ５０／９０への再分類による影響を受ける。<br>グループＨ０２Ｊ５／００およびＨ０２Ｊ５０／００〜Ｈ０２Ｊ５０／９０はコンプリートサーチの完遂のために考慮されるべきである。
H02J7/00	電池の充電または減極または電池から負荷への電力給電のための回路装置
H02J7/00032	
H02J7/00034	
H02J7/00036	
H02J7/00038	
H02J7/00041	
H02J7/00043	
H02J7/00045	
H02J7/00047	
