H02K1/00	磁気回路の細部（継電器の磁気回路Ｈ０１Ｈ５０／１６）
H02K1/02	磁性材料を特徴とするもの
H02K1/04	磁気回路またはそれらの部品に用いられる絶縁材料に特徴があるもの
H02K1/06	形状，形態または構造に特徴があるもの
H02K1/08	突極
H02K1/10	補極
H02K1/12	磁気回路の静止部品
H02K1/14	突極付固定子鉄心
H02K1/141	｛Ｃ字形の鉄心からなるもの｝
H02K1/143	｛馬蹄形のもの｝
H02K1/145	｛環状コイルをもつもの，例．クローポール形のもの｝
H02K1/146	｛概して環状の突極付ヨークからなるもの｝
H02K1/148	｛分割鉄心（Ｈ０２Ｋ１／１４１が優先）｝
H02K1/16	巻線スロット付固定子鉄心
H02K1/165	｛溝の形，構成または位置｝
H02K1/17	永久磁石付固定子鉄心
H02K1/18	磁気的静止部品を固定子構造の上にまたはそれに取り付けまたは固定するための手段
H02K1/182	｛回転子に軸方向に対向する固定子に，すなわち軸状または円錐状の空隙をともなうもの｝
H02K1/185	｛外側固定子に｝
H02K1/187	｛内側固定子に｝
H02K1/20	冷却媒体を流すための溝またはダクトをもつもの
H02K1/22	磁気回路の回転部品
H02K1/223	｛巻線と永久磁石を有する回転子鉄心（同期電動機または発電機における付加励磁のためのものＨ０２Ｋ２１／０４２；非同期電動機として起動するための短絡巻線を付加した同期電動機におけるものＨ０２Ｋ２１／４６)｝
H02K1/24	突極付回転子鉄心；｛可変リラクタンス回転子｝
H02K1/243	｛クローポール形のもの｝
H02K1/246	｛可変リラクタンス回転子｝
H02K1/26	巻線スロット付回転子鉄心
H02K1/265	｛溝の形，構成または位置｝
H02K1/27	永久磁石付回転子鉄心
H02K1/2706	内転型回転子
H02K1/2713	磁石の磁化方向が軸方向であるもの，例．クローポール形のもの
H02K1/272	磁石の磁化方向が回転子軸に対して垂直であるもの
H02K1/2726	回転子が単一の磁石または軸方向に並んだ２以上の独立した磁石からなるもの
H02K1/2733	環状磁石
H02K1/274	回転子が２以上の周方向に位置する磁石からなるもの
H02K1/2746	回転子が同じ極性で配置された磁石からなるもの，例．コンシークエントポール型のもの
H02K1/2753	回転子が極性が交互に異なるように配置された磁石または磁石のグループからなるもの
H02K1/276	磁性鉄心に埋め込まれた磁石，例．埋め込み永久磁石［ＩＰＭ］
H02K1/2766	｛磁束集中効果をもつもの｝
H02K1/2773	｛接線方向に磁化された放射状の磁石からなるもの｝
H02K1/278	表面に装着された磁石；はめ込まれた磁石
H02K1/2781	磁石と固定子との間のエアギャップが変化するように形成された磁石
H02K1/2783	ハルバッハ配列で配置された磁石を有するもの
H02K1/2786	外転型回転子
H02K1/2787	磁石の磁化方向が回転子軸に対して垂直であるもの
H02K1/2788	回転子が単一の磁石または軸方向に並んだ２以上の独立した磁石からなるもの
H02K1/2789	回転子が２以上の周方向に位置する磁石からなるもの
H02K1/279	磁性鉄心に埋め込まれた磁石
H02K1/2791	表面に装着された磁石；はめ込まれた磁石
H02K1/27915	磁石と固定子との間のエアギャップが変化するように形成された磁石
H02K1/2792	ハルバッハ配列で配置された磁石を有するもの
H02K1/2793	固定子に軸方向に対向する回転子
H02K1/2795	回転子が２以上の周方向に位置する磁石からなるもの
H02K1/2796	回転子の軸方向両側が固定子と対面するもの
H02K1/2798	固定子の軸方向両側が回転子と対面するもの
H02K1/28	磁気的回転部品を回転子構造の上にまたはそれに取り付けまたは固定するための手段
H02K1/30	中間部品，例．スパイダ，を用いるもの
H02K1/32	冷却媒体を流すための溝またはダクトをもつもの
H02K1/325	｛突極間のもの｝
H02K1/34	磁気回路における往復動，揺動または振動する部品
H02K3/00	巻線の細部
H02K3/02	導電材料を特徴とするもの
H02K3/04	導体の形状，形態または構造を特徴とする巻線，例．棒導体をもつもの
H02K3/12	スロット内に配置されたもの
H02K3/14	転位導体，例．ねじり導体，をもつもの
H02K3/16	補助目的，例．制動または整流，のためのもの
H02K3/18	突極巻線
H02K3/20	補助目的，例．制動または整流，のためのもの
H02K3/22	中空導体からなるもの
H02K3/24	導体間に冷却媒体を流すための溝またはダクトをもつもの
H02K3/26	印刷導体からなるもの
H02K3/28	巻線または巻線間の接続のレイアウト（極数変換用巻線Ｈ０２Ｋ１７／０６，Ｈ０２Ｋ１７／１４，Ｈ０２Ｋ１９／１２，Ｈ０２Ｋ１９／３２）
H02K3/30	絶縁材料を特徴とする巻線
H02K3/32	絶縁の形状，形態または構造を特徴とする巻線
H02K3/325	｛クロー形状ポールなどの突極上の巻線のためのもの｝
H02K3/34	導体間または導体と鉄心間のもの，例．スロット絶縁
H02K3/345	｛導体と鉄心間のもの，例．溝絶縁｝
H02K3/38	巻線端，均圧線またはそれらの接続部の周囲のもの
H02K3/40	高圧用，例．コロナ放電に対する保護に余裕をもたらすもの
H02K3/42	巻線端におけるうず電流損の防止または減少手段，例．遮へいによるもの
H02K3/44	湿気または化学的侵食に対する保護；液体または気体中での作動に特に適合する巻線
H02K3/46	固定子または回転子構造体への巻線固着
H02K3/47	空隙巻線，すなわち，鉄心と分離した巻線
H02K3/48	スロット内におけるもの
H02K3/487	スロット閉鎖装置
H02K3/493	磁性
H02K3/50	巻線端，均圧線またはそれらの接続部の固着
H02K3/505	｛大型機の巻線のためのもの，例．棒巻線（Ｈ０２Ｋ３／５１が優先）｝
H02K3/51	回転子のみに適するもの
H02K3/52	突極巻線またはそれらの接続部の固着
H02K3/521	｛固定子のみに適するもの｝
H02K3/522	｛突極を有する概ね環状の鉄心のためのもの｝
