H03F1/00	増幅素子として電子管のみ，半導体装置のみまたは汎用素子のみを用いた増幅器の細部
H03F1/02	能率を上げるための増幅器の変形，例．Ａ級段で用いるもの，補助振動を用いるもの
H03F1/0205	｛トランジスター増幅器におけるもの｝
H03F1/0211	｛供給電圧及び電流の制御をもつもの｝
H03F1/0216	｛連続制御｝
H03F1/0222	｛入力信号より派生した信号によるもの｝
H03F1/0227	｛供給変換器を用いるもの｝
H03F1/0233	｛出力信号より派生した信号によるもの，例．電圧供給のブートストラッピング｝
H03F1/0238	｛供給変換器を用いるもの｝
H03F1/0244	｛段階的制御｝
H03F1/025	｛入力信号より派生した信号によるもの｝
H03F1/0255	｛出力信号より派生した信号によるもの｝
H03F1/0261	｛偏波電圧または電流の制御を用いるもの，例．摺動クラスＡ｝
H03F1/0266	｛入力信号より派生した信号によるもの｝
H03F1/0272	｛出力信号より派生した信号によるもの｝
H03F1/0277	｛複数の増幅器よりひとつ以上の増幅器を選択する｝
H03F1/0283	｛直流電流通路を削減する｝
H03F1/0288	｛メインまたはインピーダンス変換器を用いるメイン増幅器に負荷が接続される１台か数台の補助ピーキング増幅器を用いるもの，例．ドハティ増幅器｝
H03F1/0294	｛ふたつまたはそれ以上の一定振幅位相変調信号のベクトル加算を用いるもの｝
H03F1/04	電子管増幅器におけるもの
H03F1/06	変調された無線周波の増幅の能率を上げるためのもの；変調器としても動作する増幅器の能率を上げるためのもの　｛（変調形式　Ｈ０３Ｃ）｝
H03F1/07	ドハティ型増幅器
H03F1/08	増幅素子の内部インピーダンスの有害な影響を低減するための増幅器の変形（これらのインピーダンスを組み込んだ中間段結合回路網をもつ広帯域増幅器Ｈ０３Ｆ１／４２；真空管における走行時間効果の除去Ｈ０１Ｊ２１／３４）
H03F1/083	｛トランジスター増幅器におけるもの（Ｈ０３Ｆ１／１０からＨ０３Ｆ１／２２が優先）｝
H03F1/086	｛ＦＥＴをもつもの｝
H03F1/10	多重電極接続をもつ増幅素子の使用によるもの
H03F1/12	減衰手段の使用によるもの　｛（減衰器　Ｈ０３Ｇ）｝
H03F1/13	電子管増幅器におけるもの
H03F1/14	中和手段の使用によるもの
H03F1/16	電子管増幅器におけるもの
H03F1/18	分布結合の使用によるもの　｛すなわち分布増幅器（分布定数をもつ結合回路網を用いる分布増幅器　Ｈ０３Ｆ３／６０５）｝
H03F1/20	電子管増幅器におけるもの
H03F1/22	カスコード結合，すなわちカソードまたはエミッタ接地段の次にそれぞれグリッドまたはベース接地段が続くもの，の使用によるもの
H03F1/223	｛ＭＯＳＦＥＴをもつもの｝
H03F1/226	｛接合形ＦＥＴをもつもの｝
H03F1/24	電子管増幅器におけるもの
H03F1/26	増幅素子によって発生する雑音の影響を低減するための増幅器の変形
H03F1/28	電子管増幅器におけるもの　｛（構造的モディフィケーション　Ｈ０１Ｊ２３／１１）｝
H03F1/30	温度変化または供給電圧変化の影響を低減するための増幅器の変形　｛またはほかの物理的パラメータ（差動増幅器におけるもの　Ｈ０３Ｆ３／４５Ｂ３(ＥＣＬＡ)）｝
H03F1/301	｛ＭＯＳＦＥＴ増幅器におけるもの（Ｈ０３Ｆ１／３０３，Ｈ０３Ｆ１／３０５，Ｈ０３Ｆ１／３０８が優先）｝
H03F1/302	｛バイポーラトランジスタ増幅器におけるもの（Ｈ０３Ｆ１／３０３，Ｈ０３Ｆ１／３０５，Ｈ０３Ｆ１／３０７が優先）｝
H03F1/303	｛スイッチング素子を用いるもの（Ｈ０３Ｆ１／３０５，Ｈ０３Ｆ３／００５，Ｈ０３Ｆ３／３８が優先）｝
H03F1/304	｛およびデジタル手段｝
H03F1/305	｛パワーのオンかオフの切り換えの場合｝
H03F1/306	｛接合形ＦＥＴ増幅器におけるもの（Ｈ０３Ｆ１／３０３，Ｈ０３Ｆ１／３０５，Ｈ０３Ｆ１／３０９が優先）｝
H03F1/307	｛プッシュプル増幅器におけるもの｝
H03F1/308	｛ＭＯＳＦＥＴを用いるもの｝．．．<br><br><u>｛注</u><br><br>．．．未完，Ｈ０３Ｆ１／３０１も参照｝
H03F1/309	｛接合形ＦＥＴを用いるもの｝．．．<br><br><u>｛注</u><br><br>．．．未完，Ｈ０３Ｆ１／３０６も参照｝
H03F1/32	非直線ひずみを低減するための増幅器の変形（負帰還によるものＨ０３Ｆ１／３４）
H03F1/3205	｛ＦＥＴ増幅器におけるもの｝
H03F1/3211	｛差動増幅器におけるもの｝
H03F1/3217	｛シングルエンデッドプッシュプル増幅器におけるもの｝
H03F1/3223	｛フィードフォワードを用いるもの（Ｈ０３Ｆ１／３２１１が優先）｝
H03F1/3229	｛障害解凍にひとつのループ，障害引き算にもうひとつのループを用いるもの｝
H03F1/3235	｛パイロット信号を用いるもの｝．．．．<br><br><u>｛注</u><br><br>．．．．未完，Ｈ０３Ｆ１／３２２９も参照｝
H03F1/3241	｛予わい回路を用いるもの（Ｈ０３Ｆ１／３２１１，Ｈ０３Ｆ１／３２１７が優先）｝
H03F1/3247	｛予わい回路に作用するフィードバックを用いるもの（Ｈ０３Ｆ１／３２６４が優先）｝．．．<br><br><u>｛注</u><br><br>．．．未完，特許以外の文献はＨ０３Ｆ１／３２４１も参照｝
H03F1/3252	｛入出力間の複数の並列パスを用いるもの（Ｈ０３Ｆ１／３２５８，Ｈ０３Ｆ１／３２８２，Ｈ０３Ｆ１／３２９４が優先）｝．．．<br><br><u>｛注</u><br><br>．．．未完，特許以外の文献はＨ０３Ｆ１／３２４１も参照｝
H03F1/3258	｛多項式項による｝
H03F1/3264	｛可聴周波増幅器におけるもの｝
H03F1/327	｛電子管増幅器をエミュレートするためもの｝
H03F1/3276	｛構成要素に固有の非直線性を用いるもの，例．ダイオード｝
H03F1/3282	｛入力信号の位相と振幅に作用するもの｝
H03F1/3288	｛振幅の機能として位相推移を補正するもの｝
H03F1/3294	｛入力信号の実数と虚数成分に作用するもの｝
H03F1/33	電子管増幅器におけるもの
H03F1/34	正帰還をもつ，またはもたない負帰還回路装置（Ｈ０３Ｆ１／０２〜Ｈ０３Ｆ１／３０，Ｈ０３Ｆ１／３８〜Ｈ０３Ｆ１／５０，Ｈ０３Ｆ３／５０が優先；　｛コモンモード信号の拒絶のためのもの　Ｈ０３Ｆ３／４５Ｂ３Ｆ(ＥＣＬＡ)｝）
H03F1/342	｛ＦＥＴ増幅器におけるもの｝
H03F1/345	｛ハイブリッドまたは方向性結合器をもちいるもの｝．．<br><br><u>｛注</u><br><br>．．未完，Ｈ０３Ｆ１／３４も参照｝
H03F1/347	｛トランスを用いるもの｝
H03F1/36	電子管増幅器におけるもの
H03F1/38	負帰還をもたない正帰還回路配置
H03F1/40	電子管増幅器におけるもの
H03F1/42	帯域幅を拡げるための増幅器の変形
H03F1/48	非同調増幅器の
H03F1/483	｛ＦＥＴ増幅器をもつもの｝
H03F1/486	｛ＩＣ増幅器ブロックをもつもの｝
H03F1/50	電子管のみをもつもの
H03F1/52	増幅器を保護するための回路配置　｛（監視配置　Ｇ０１Ｒ３１／２８；通信システムの信頼性増強のためのもの，例．冗長化を用いるもの　Ｈ０４Ｂ１／７４）｝
H03F1/523	｛電界効果装置を用いる増幅器のためのもの（Ｈ０３Ｆ１／５２６が優先）｝
H03F1/526	｛冗長増幅器を用いて保護するもの｝．．<br><br><u>｛注</u><br><br>．．未完，Ｈ０３Ｆ１／５２３も参照｝
H03F1/54	電子管のみもつもの　｛（真空管のテスト　Ｇ０１Ｒ３１／２５）｝
H03F1/542	｛予備デバイスで交換するもの｝
H03F1/544	｛フィラメントの保護｝
H03F1/546	｛フィラメント熱力供給の応用に関する陽極供給電力の応用を遅らせる｝
H03F1/548	｛過負荷に対する陽極または格子回路の保護｝
H03F1/56	他に分類されない，入力インピーダンスまたは出力インピーダンスの変形
H03F1/565	｛帰納的素子を用いるもの｝
H03F3/00	増幅素子として電子管のみまたは半導体装置のみをもつ増幅器
