H04J1/00	周波数分割多重化方式（Ｈ０４Ｊ１４／００が優先）
H04J1/02	細部
H04J1/04	周波数変換配置　｛搬送波または側波帯抑圧を有する変調方式Ｈ０３Ｃ１／５２，　Ｈ０３Ｃ１／６０；単一側波帯抑圧Ｈ０４Ｂ１／００，　 Ｈ０４Ｂ１５／００；電信通信Ｈ０４Ｌ２７／０２，　Ｈ０４Ｌ２５／４９；ある搬送波から他の搬送波への切替，例．周波数変換Ｈ０３Ｄ７／００；変調され た電磁波の復調または変調の切替Ｈ０３Ｄ９／００｝
H04J1/045	｛周波数転換に適用されるフィルター｝
H04J1/05	デジタル技術を用いるもの
H04J1/06	搬送波供給配置　｛同期信号供給装置（搬送波電源Ｈ０４Ｌ５／１０；周波数多重Ｈ０３Ｂ１９／００，　Ｈ０３Ｂ２１／００；ミキシングＨ０３Ｄ７／００，　Ｈ０３Ｄ９／００；同期一般Ｈ０３Ｂ）｝
H04J1/065	｛受信端局における搬送波源と送信端局における搬送波源の同期｝
H04J1/08	チャンネル結合配置　｛（分岐フィルターＨ０１Ｐ１／２１３，　Ｈ０３Ｈ７／４６）｝
H04J1/085	｛終端局:変復調結合回路｝
H04J1/10	中間局配置，例．分岐用，傍受用　｛中継器回路Ｈ０４Ｂ３／３６，　Ｈ０４Ｂ３／５８；双方向増幅器Ｈ０３Ｆ３／６２｝
H04J1/12	チャネル間漏話低減配置　｛有線伝送方式におけるものＨ０４Ｂ３／３２；ケーブルまたは線路におけるものＨ０４Ｂ３／２６　ｔｏ　Ｈ０４Ｂ３／３０｝
H04J1/14	呼出信号または監視信号に備えるための配置
H04J1/16	監視配置　｛伝送一般用Ｈ０４Ｂ１７／００；増幅器用Ｈ０３Ｆ１／５２，Ｈ０３Ｆ１／５２３；一般９９Ｄ｝
H04J1/18	全搬送波が振幅変調されているもの（Ｈ０４Ｊ１／０２が優先）　｛電話におけるものＨ０４Ｑ１１／０２，Ｈ０４Ｑ１１／０２３；ステレオ音響におけるものＨ０４Ｈ；電信におけるものＨ０４Ｌ５／０６；遠方測定Ｇ０８Ｃ１５／０２，Ｇ０８Ｃ１５／０４｝
H04J1/20	少くとも一搬送波が角度変調されているもの（Ｈ０４Ｊ１／０２が優先）　｛多重化無しのＦＭ方式　Ｈ０４Ｂ１／００，　Ｈ０４Ｂ１４／００６，　 Ｈ０４Ｂ１５／００；　Ｐ．Ｓ．Ｋ．方式　Ｈ０４Ｌ５／１２；多重化無しのパルス変調方式Ｈ０４Ｂ１４／０２；データ伝送用時分割多重化方式 Ｈ０４Ｌ５／２２；遠方測定９７ＧＢ３，Ｇ０８Ｃ１５／０６からＧ０８Ｃ１５／１２；電話 Ｈ０４Ｑ１１／００，Ｈ０４Ｑ１１／０４，Ｈ０４Ｑ１１／０４０７｝
H04J3/00	時分割多重化方式（Ｈ０４Ｊ１４／００が優先；中継方式Ｈ０４Ｂ７／１４；選択技術Ｈ０４Ｑ）
H04J3/02	細部（電子的スイッチングまたはゲートＨ０３Ｋ１７／００）
H04J3/025	｛フィルター装置（Ｈ０４Ｊ３／０８が優先；フィルターそのものＨ０３Ｈ７／００，Ｈ０３Ｈ９／００｝
H04J3/04	変調器または復調器と結合された分配器　｛（パルス分配器一般Ｈ０３Ｋ５／１５；　パルス計数器Ｈ０３Ｋ２１／００　から　Ｈ０３Ｋ２９／０６；　電信用　Ｈ０４Ｌ５／２２，　Ｈ０４Ｌ１３／００　ｔｏ　Ｈ０４Ｌ２３／００，　Ｈ０４Ｌ２５／４５；　電話用　Ｈ０４Ｑ１１／０４）｝
H04J3/042	｛電子またはガス放電管を有する分配器｝
H04J3/045	｛ＣＲＴを有する分配器｝
H04J3/047	｛トランジスタまたは集積回路を有する分配器｝
H04J3/06	同期配置　｛（テレビ用Ｈ０４Ｎ５／０４；ビット同期Ｈ０４Ｌ７／００）｝
H04J3/0602	｛使用される同期情報に特徴があるシステム｝
H04J3/0605	｛同期信号として使用される特殊コード｝
H04J3/0608	｛そのための相関器｝
H04J3/0611	｛擬似ランダム雑音コード（Ｈ０４Ｊ３／０６０８　が優先）｝
H04J3/0614	｛振幅，継続時間または極性に特徴がある同期信号｝
H04J3/0617	｛周波数または位相に特徴がある同期信号｝
H04J3/062	｛揺らぎ伝送ビットレート以外は同一の公称値を持つ信号の同期方式，例．バッファを使用するもの（パルススタッフィングＨ０４Ｊ３／０７；非同期同期変換Ｈ０４Ｌ５／２４；速度変換Ｈ０４Ｌ２５／０５；コンピュータにおける速度変換Ｇ０６Ｆ５／０６）｝
H04J3/0623	｛同期多重化システム，例．同期デジタルハイアラーキ／ソネット（ＳＤＨ／ＳＯＮＥＴ），ポインタプロセスを有する同期方式｝
H04J3/0626	｛独立同期多重化システム，例．独立同期デジタルハイアラーキ（ＰＤＨ），ジッタ減衰器｝
H04J3/0629	｛ネットワーク内のもの，例．スイッチングまたは多重化と組合せによるもの，スリップバッファ｝
H04J3/0632	｛パケットとセルの同期，例．パケットネットワークを介した音声伝送，回路エミュレーションサービス（ＣＥＳ）｝
H04J3/0635	｛ネットワークにおけるクロック同期｝
H04J3/0638	｛ＴＤＭ装置間のクロック同期；ノード間同期｝
H04J3/0641	｛マスタまたは参照基準の変更，例．マスタの引継ぎまたは障害｝
H04J3/0644	｛外部マスタクロック｝
H04J3/0647	
H04J3/065	
H04J3/0652	
H04J3/0655	
H04J3/0658	
H04J3/0661	
H04J3/0664	
H04J3/0667	
H04J3/067	
H04J3/0673	
H04J3/0676	｛相互｝
H04J3/0679	｛ネットワーク内のクロック分配パスの決定によるもの｝
H04J3/0682	｛遅延補償によるもの，例．伝播遅延またはその変分の補償，レンジングによるもの｝
H04J3/0685	｛ＴＤＭ装置におけるクロック同期；ノード間同期｝
H04J3/0688	｛マスタまたは参照基準の変更，例．マスタの引継ぎまたは障害｝
H04J3/0691	
H04J3/0694	
H04J3/0697	
H04J3/07	異なるまたは変動する情報速度をもつ系のためにスタッフパルスを用いるもの　｛またはビットレート｝
H04J3/073	｛ビットｓタッフィング，例．ＰＤＨ｝
H04J3/076	｛ビットおよびバイトスタッフィング，例．ＳＤＨ／ＰＤＨ脱同期，ビット漏れ｝
H04J3/08	中間局配置，例．分岐用，傍受用
H04J3/085	｛環状網用，例．ＳＤＨ／ＳＯＮＥＴリング，自己回復型リング，メッシュ状ＳＤＨ／ＳＯＮＥＴ網｝　
H04J3/10	チャネル間漏話低減配置
H04J3/12	呼出信号または監視信号に備えるための配置
H04J3/125	｛チャンネルパルスの一つまたは同期パルスも伝送モニターまたは監視信号として用いられる．｝
H04J3/14	監視配置　｛（ＳＤＨ／ＳＯＮＥＴリング用Ｈ０４Ｊ３／０８５）｝
H04J3/16	一伝送サイクル内の個々のチャンネルに対する時間割り当てが可変であるもの，例．複数の信号の組合せが次々に変ってゆくのを調整するもの，伝送チャンネルの数を変化させるもの（Ｈ０４Ｊ３／１７，Ｈ０４Ｊ３／２４が優先）
H04J3/1605	｛固定割当フレーム構成｝
H04J3/1611	｛同期ディジタルハイアラーキ（ＳＤＨ）またはＳｏｎｅｔ｝
H04J3/1617	｛搬送パケットまたはＡＴＭセル｝
H04J3/1623	｛近接ディジタルハイエラキ（ＰＤＨ）｝
H04J3/1629	｛書式構築アルゴリズム｝
H04J3/1635	｛書式変換，例．ＣＥＰＴ／ＵＳ｝
H04J3/1641	｛ハイアラーキシステム｝
H04J3/1647	｛サブレートまたはマルチスロット多重化処理｝
H04J3/1652	
H04J3/1658	
H04J3/1664	
H04J3/167	
H04J3/1676	｛パルス位置，パルス間隔またはパルス幅変調を有する時分割多重方式｝
H04J3/1682	｛ユーザの即時要求に従ったチャンネル割当，例．集中多重化装置，統計処理多重化装置｝
H04J3/1688	｛冗長性除去の後に考慮されるユーザの要求，例．予測符号化によるもの，変数抽出によるもの（信号一般の帯域幅減少Ｈ０４Ｂ１／６６；ＰＣＭシステムにおけるものＨ０４Ｂ１４／０４６；電信通信における冗長性の除去Ｈ０３Ｍ７／３０）｝
H04J3/1694	｛ＴＤＭ／ＴＤＭＡネットワークにおけるチャンネル割当，例．分配多重化装置（受動光ネットワークＨ０４Ｑ１１／００６２(ＥＣＬＡ)）｝
H04J3/17	第１番目の使用者が休止したとき，その使用者に割り当てられていた伝送チャンネルを解放して第２番目の使用者に割り当てるもの，例．ＴＡＳＩ　｛（音声分析または識別　４２Ｔ２Ｂ，Ｇ１０Ｌ）｝
H04J3/172	｛デジタル音声挿入，すなわちＤＳＩ｝
H04J3/175	｛音声活性または非活性検出器（エコーサプレッサＨ０４Ｂ３／２０）｝
H04J3/177	｛フリーズアウトシステム，例．伝送からアクティブソースを除去｝
H04J3/18	個々の信号の周波数圧縮およびその後に続く周波数伸張を用いるもの
H04J3/20	レゾナントトランスファーを用いるもの
H04J3/22	複数の送信源が異なる速度または符号をもつもの　｛（音声およびデジタルデータまたはビデオの同時伝送　Ｈ０４Ｍ１１／０６；暫定的Ｈ０４Ｊ３／１６も参照）｝
H04J3/24	割り当てがアドレスによって指示されるもの　｛逐次的に異なるチャンネルが伝送されるもの｝（Ｈ０４Ｊ３／１７が優先；コンピュータにおけるものＧ０６Ｆ１２／００，　Ｇ０６Ｆ１３／００　｛符号多重化方式Ｈ０４Ｊ１３／００；選択技術Ｈ０４Ｑ；中継システムＨ０４Ｂ７／１４｝）
H04J3/242	｛可変長フレーム｝
H04J3/245	｛３つ以上の端局間で割当プロトコルが同一伝送媒体を共有するもの（衛星システム端局Ｈ０４Ｂ７／１８５）｝
H04J3/247	｛ＡＴＭまたはパケット多重化処理｝
H04J3/26	情報およびアドレスが同時に伝送されるもの
H04J4/00	時分割多重化方式と周波数分割多重化方式との組み合せ（Ｈ０４Ｊ１３／００が優先；　｛データ伝送Ｈ０４Ｌ５／２６；遠隔測定Ｇ０８Ｃ１５／００｝）
H04J4/005	｛トランス多重化処理｝
H04J7/00	個々のチャネルの信号の振幅または持続時間がそれらのチャネルに特有であるような多重化方式
H04J7/02	振幅の極性が特有であるようなもの
H04J9/00	各チャネルが相異なる搬送波変調形式によって表わされる多重化方式
H04J11/00	直交多重化方式　｛例．ＷＡＬＳＨコードを使用するもの（Ｈ０４Ｊ１３／００が優先）｝
H04J2011/0003	他の多重化技術との組合せ
H04J2011/0006	符号分割多重方式／符号分割多重アクセス方式を有するもの
H04J2011/0009	周波数分割多重方式／周波数分割多重アクセス方式を有するもの
H04J2011/0013	時分割多重方式／時分割多重アクセス方式を有するもの
H04J2011/0016	周波数分割多重方式／周波数分割多重アクセス方式および時分割多重方式／時分割多重アクセス方式を有するもの
H04J2011/002	遅延多重化処理
H04J11/0023	
H04J11/0026	
H04J11/003	
H04J11/0033	
H04J11/0036	
H04J11/004	
H04J11/0043	
H04J11/0046	
H04J11/005	
H04J11/0053	
H04J11/0056	
H04J11/0059	
H04J11/0063	
H04J11/0066	
H04J11/0069	
H04J11/0073	
H04J11/0076	
H04J11/0079	
H04J11/0083	
H04J11/0086	
H04J11/0089	
H04J11/0093	
H04J2011/0096	ネットワーク同期
H04J13/00	符号多重化方式
H04J13/0003	
H04J13/0007	符号の特徴
H04J13/0011	
H04J13/0014	
