H04K1/00	秘密通信
H04K1/003	｛所定のもしくはランダムな間隔でまたは間隔内での搬送周波数変更によるもの（Ｈ０４Ｋ１／０４が優先）｝
H04K1/006	｛周期的またはランダムな間隔で位相の変更または反転を行うもの｝
H04K1/02	第２の信号を加えて所望の信号を不明瞭にするもの
H04K1/025	｛アナログカオス信号を用いるもの｝
H04K1/04	周波数スクランブルによるもの，すなわち周波数帯域の諸部分の置換もしくは反転または全帯域の反転によるもの
H04K1/06	情報または情報の諸要素の不自然な速度または乱雑な順序または逆行した伝送によるもの
H04K1/08	伝送波の偏波を変えることによるもの
H04K1/10	同時にまたは順次に伝送される２信号を用いるもの
H04K3/00	通信の妨害；対抗手段
H04K3/20	｛電波妨害に対する対抗手段（レ−ダー中のものＧ１Ｓ７／３６；受信器の干渉抑制Ｈ０４Ｂ１／１０）｝
H04K3/22	｛電波妨害検知および監視を含むもの｝
H04K3/222	｛電波が少なくとも１のチャンネルで理解しやすい通信が存在しないことまたは不可能なことを検知する場合を含む｝
H04K3/224	｛電波妨害された信号の送信時および／または受信時の対抗策を有するもの，例．送信機または受信機の運用を停止すること，妨害機の方向にまたはその周波数で送信電力を無効にすることまたは増強すること｝
H04K3/226	｛通信で妨害を受けないチャンネルを選択すること（スペクトル共有装置Ｈ０４Ｗ１６／１４；ユーザまたは端末による無線リソースの選択Ｈ０４Ｗ７２／０２）｝
H04K3/228	｛電波妨害の受信信号においてまたは電波妨害により原型がそこなわれたデータの削除（受信機の干渉抑制Ｈ０４Ｂ１／１０）｝
H04K3/25	｛送信の標的信号の特徴に基づくもの（監視に対する対抗手段としてＨ０４Ｋ３／８２７），例．直接シーケンススペクトラム拡散または高速周波数ホッピングを用いるものＨ０４Ｂ１／６９）｝
H04K3/255	｛送信データ，送信経路または送信ソースの冗長性に基づくもの｝
H04K3/28	｛電波妨害および電波妨害対抗メカニズム双方が同じ装置またはシステムに含まれているもの，例．電波妨害への対抗は電波妨害が招く望ましくない自己電波妨害の防止を含む）｝
H04K3/40	｛電波妨害が可変的特徴を有するもの｝
H04K3/41	｛電波妨害の起動またはその解除時間の制御に特徴があるもの（電波妨害モードおよび標的監視モードの間での変更のためのみ電波妨害起動時間およびその解除時間の制御をするものＨ０４Ｋ３／４５）｝
H04K3/415	｛作動状態または速度に基づくもの，例．車両で携帯電話の使用を不可能にするもの｝
H04K3/42	｛電波妨害の周波数または波長の制御に特徴があるもの｝
H04K3/43	｛電波妨害の電力，信号対騒音の割合または地理的サービスエリアの制御に特徴があるもの｝
H04K3/44	｛電波妨害の波形または変調種別の制御に特徴があるもの｝
H04K3/45	｛標的または標的信号の監視を含むもの，例．反応妨害機または追跡妨害機において，例えば，電波妨害位相および監視位相の変更手段によるもの，「ルックスル−モードとよばれるもの」｝
H04K3/46	｛電波妨害が，遅延または処理の後，受信信号の再送信により生成されることに特徴があるもの｝
H04K3/60	｛電波妨害が特殊な技術に関わるもの｝
H04K3/62	｛通信，処理または蓄積システムを電磁波照射にさらすことで起こるもの，例．電子回路の妨害，中断，損傷を起こすもの｝
H04K3/65	｛偽装電波妨害またはなりすましを用いるもの，例．ＲＣＩＥＤの早期の始動，ネットワークとの強制的接続もしくは切断，またはダミー標的信号の生成のための疑似信号の送信｝
H04K3/68	｛受動的な電波妨害を用いるもの，例．遮蔽または反射によるもの（電場もしくは磁場に対し装置または構成部分の遮蔽Ｈ０５Ｋ９／００）｝
H04K3/80	｛機能に特徴がある電波妨害または対抗措置｝
H04K3/82	｛｛監視，傍受または検知の防止に関連するもの｝
H04K3/822	｛監視，傍受または検知があることを探知することによるもの｝
H04K3/825	｛電波妨害によるもの｝
H04K3/827	｛標的信号または伝送の特徴を用いるもの（電波妨害への対抗手段としてＨ０４Ｋ３／２５），例．直接シーケンススペクトラム拡散または高速周波数ホッピングを用いるもの（スペクトラム拡散技術Ｈ０４Ｂ１／６９）｝
H04K3/84	｛ガソリンスタンド，病院，飛行機または映画館での電磁干渉防止に関連するもの｝
H04K3/86	｛偽装電波妨害または不正な問い合わせもしくはアクセスに関するもの，例．ＷＬＡＮアクセスまたはＲＦＩＤの読み取り（電磁読み取りまたは書き取りを妨げることで記録担体に対する望ましくない読み取りまたは書き込みを防止する手段を含む集積回路チップを有する記録担体Ｇ０６Ｋ１９／０７３１８；剽窃攻撃に対する問合せを保護する装置を含む記録担体を感知する装置Ｇ６Ｋ７／１０２５７）｝
H04K3/88	｛警報伝送の許可または防止に関連するもの｝
H04K3/90	｛運行指示または位置決めの許可または防止に関連するもの，例．ＧＰＳ｝
H04K3/92	｛遠隔制御の許可または防止に関連するもの｝
H04K3/94	｛試験または評価の許可または防止に関連するもの｝
H04K2203/00	｛通信の電波妨害；対抗手段｝
H04K2203/10	｛特定のアプリケーションに用いられる電波妨害または対抗手段｝
H04K2203/12	｛音響通信用｝
H04K2203/14	｛光または映像の変換用，例．ビデオ監視用，テレビ用またはコンピュータスクリーンからのもの｝
H04K2203/16	｛電話用｝
H04K2203/18	｛無線ローカルエリアネットワークまたはＷＬＡＮ｝
H04K2203/20	｛非接触型担体，例．ＲＦＩＤ担体（電磁読み取りまたは書き込みを妨ぐることで記録担体に対する望ましくない読み取りまたは書き込みを防止する手段を含む集積回路チップを有する記録担体Ｇ０６Ｋ１９／０７３１８；剽窃攻撃に対する問合せを保護する装置を含む記録担体を感知する装置Ｇ６Ｋ７／１０２５７）｝
H04K2203/22	｛車両に関連する通信用｝
H04K2203/24	｛兵器に関連する通信用｝
H04K2203/30	｛インフラストラクチャ構成要素に特徴がある電波妨害または対抗措置｝
H04K2203/32	｛アンテナの特殊な構成を含むもの｝
H04K2203/34	｛複数の協調妨害機が関係するもの｝
H04K2203/36	｛送信機および受信器間の，例．前後方向での，妨害データの交換手段を含むもの｝
