H04S1/00	２チャンネルシステム(Ｈ０４Ｓ５／００，Ｈ０４S７／００が優先)
H04S1/002	｛非適応型回路，例えば，音像や音の空間的な配置を強調するための手動調整型や非調整型のもの（音場の電子的処理のための制御回路Ｈ０４Ｓ７／３０）｝
H04S1/005	｛ヘッドホン用｝
H04S1/007	｛オーディオ信号がデジタル形式のもの（心理音響学に基づいたデータ削減の観点Ｇ１０Ｌ１９／０２）｝
H04S3/00	２チャンネルよりも多いチャンネルを用いるシステム，例えば４チャンネルシステム（Ｈ０４Ｓ５／００，Ｈ０４Ｓ７／００が優先）
H04S3/002	｛非適応型回路，例えば音像や音の空間的な配置を強調するための，手動調整型や非調整型のもの（音場の電子的処理のための制御回路Ｈ０４Ｓ７／３０）｝
H04S3/004	｛ヘッドホン用｝
H04S3/006	｛複数のオーディオ信号をオーディオ信号と被変調信号の組合せに変換したもの，例えばＣＤ−４システム（放送用Ｈ０４Ｈ２０／８８，Ｈ０４Ｂ１／１６４６）｝
H04S3/008	｛オーディオ信号がデジタル形式のもの，すなわち２つのディスクリートデジタルチャンネルよりも多いディスクリートデジタルチャンネルを用いるもの，例えばドルビーデジタル，デジタル劇場システム（ＤＴＳ）（心理音響学に基づいたデータ削減の観点Ｇ１０Ｌ１９／０２）｝
H04S3/02	マトリクス形式，すなわち入力信号が代数学的に組み合わされるもの，例えば互いに位相シフトがなされた後に組み合わされるもの
H04S5/00	擬似ステレオシステム，例えば付加されるチャンネル信号が，位相シフト，時間遅延や残響によって，モノラル信号から生成されるシステム（残響や反響音を発生する装置・機能Ｇ１０Ｋ１５／０８）
H04S5/005	｛擬似５チャンネルやそれ以上の擬似チャンネル形式のもの，例えばバーチャルサラウンド｝
H04S5/02	擬似４チャンネル形式，例えばリアチャンネル信号が２チャンネルステレオ信号から生成されるもの
H04S7/00	表示装置・機能；制御装置・機能，例えばバランス制御<BR>警告<BR>Ｈ０４Ｓ７／３０からＨ０４Ｓ７／４０のグループは、従来の又は現行のＩＰＣグループに調和していない
H04S7/30	｛音場の電子的処理のための制御回路（非適応型回路，すなわち音像や音の空間的な配置を強調する，手動調整型や非調整型のものＨ０４Ｓ１／００２，Ｈ０４Ｓ３／００２）｝
H04S7/301	｛ステレオサウンドシステムの自動補正，例えばテスト用マイクロホンを用いるもの｝
H04S7/302	｛リスナーの位置やリスナーの向きへのステレオサウンドシステムの電子的処理（Ｈ０４Ｓ７／３０１が優先）｝
H04S7/303	｛リスナーの位置やリスナーの向きの追跡｝
H04S7/304	｛ヘッドホン用｝
H04S7/305	｛リスニング空間の残響へのステレオ音響信号の電子的処理（Ｈ０４Ｓ７／３０１が優先；残響やエコーを生成する装置・機能Ｇ１０Ｋ１５／０８，ＰＡシステムのためのものＨ０４Ｒ２７／００，Ｈ０４Ｒ２９／００）｝
H04S7/306	｛ヘッドホン用｝
H04S7/307	｛周波数調整，例えばトーンコントロール（Ｈ０４Ｓ７／３０１が優先；音響変換器の周波数応答補正回路Ｈ０４Ｒ３／０４；増幅器のトーンコントロール回路それ自体Ｈ０３G５／００）｝
H04S7/308	｛スピーカ接続またはヘッドホン接続に応じた電子的処理｝
H04S7/40	｛ステレオ音像の可視表示（個々の信号レベルの可視表示Ｈ０４Ｒ２９／００８）｝
H04S2400/00	
H04S2400/01	
H04S2400/03	
H04S2400/05	
H04S2400/07	
H04S2400/09	
H04S2400/11	
H04S2400/13	
H04S2400/15	
H04S2420/00	
H04S2420/01	
H04S2420/03	
H04S2420/05	
H04S2420/07	
H04S2420/11	
H04S2420/13	
