H05H1/00	プラズマの発生；プラズマの取扱い
H05H1/0006	｛プラズマの調査，例．イオン化の度合い（電子温度）｝
H05H1/0012	｛放射線を使用するもの｝
H05H1/0018	｛細部｝
H05H1/0025	｛光電手段を使用するもの（Ｈ０５Ｈ１／００３１ないしＨ０５Ｈ１／００４３が優先する）｝
H05H1/0031	｛干渉計測定によるもの｝
H05H1/0037	｛分光技術によるもの（Ｇ０１Ｎ３／００を参照）｝
H05H1/0043	｛赤外または紫外の放射線を使用するもの｝
H05H1/005	｛エックス線またはアルファ線を使用するもの（Ｇ０１Ｎ２３／００を参照）｝
H05H1/0056	｛中性子を使用するもの（Ｇ０１Ｎ２３／００を参照）｝
H05H1/0062	｛マイクロ波を使用するもの（Ｇ０１Ｎ２３／３４(ＥＣＬＡ)を参照）｝
H05H1/0068	｛熱的手段によるもの（Ｇ０１Ｎ２５／００を参照）｝
H05H1/0075	｛ラングミュア探針｝
H05H1/0081	｛電気的手段によるもの（Ｇ０１Ｎ２７／００，Ｇ０１Ｒを参照）｝
H05H1/0087	｛磁気的手段によるもの（Ｇ０１Ｎ２７／００，Ｇ０１Ｒを参照）｝
H05H1/0093	｛音響手段によるもの，例．超音波手段（Ｇ０１Ｎ２９／０２を参照）｝
H05H1/01	
H05H1/02	電界または磁界あるいはそれらによってプラズマを閉じ込めるための装置；プラズマを加熱するための装置（電子光学Ｈ０１Ｊ）　｛例．核融合反応を行うため｝
H05H1/03	静電界を用いるもの
H05H1/04	プラズマ中の放電によって発生する磁界を用いるもの
H05H1/06	直線ピンチプラズマ発生装置
H05H1/08	誘導ピンチ（θピンチ）プラズマ発生装置　｛例．スキュラ｝
H05H1/10	外部印加磁場のみを使用するもの　｛例．Ｑマシン，イン−ヤン，ベースボール｝
H05H1/105	｛磁気ポンプを使用するもの｝
H05H1/11	カスプ配位を使用するもの（Ｈ０５Ｈ１／１４が優先する）
H05H1/12	閉ループ｛または閉ループに近い｝形状の容器を用いるもの，例．ステラレータ　｛トカマク，逆電界または逆磁界｝
H05H1/14	容器が直線状で磁気鏡をもつもの　｛電子反射鏡Ｇ２１Ｋ１／０８Ｂ(ＥＣＬＡ)｝
H05H1/16	外部に適用された電界と磁界を使用するもの
H05H1/18	超高周波，例．マイクロ波領域，の振動電界および磁界を用いるもの　｛例．サイクロトロン共鳴を使用するもの｝
H05H1/20	オーム加熱
H05H1/22	入射加熱のためのもの　｛例．中性ビーム入射｝
H05H1/24	プラズマの発生　｛レーザビームを使用するものＨ０５Ｈ１／２２Ｂ(ＥＣＬＡ)；Ｆ０３Ｈ１／００を参照｝；｛荷電粒子ビームを使用するものＨ０５Ｈ１／２２Ｃ(ＥＣＬＡ)｝
H05H1/2406	
H05H1/2418	
H05H1/2425	
H05H1/2431	
H05H1/2437	
H05H1/2439	
H05H1/2441	
H05H1/2443	
H05H1/245	
H05H1/246	
H05H1/2465	
H05H1/247	
H05H1/2475	
H05H1/2481	
H05H1/2487	
H05H1/2493	
