H10H20/00	電位障壁を有する個々の無機発光半導体装置，例．発光ダイオード［ＬＥＤ］
H10H20/01	製造または処理<br><br><u>警告</u><br><br>グループH10H20/01はグループH10H20/011，H10H20/016，H10H20/0165，H10H20/017，H10H20/021，H10H20/032，H10H20/034，H10H20/036，H10H20/0362，H10H20/0363，H10H20/0364，H10H20/0365，H10H29/01，H10H29/011，H10H29/012，H10H29/02，H10H29/03，H10H29/032，H10H29/034，H10H29/036，H10H29/0361，H10H29/0362，H10H29/0363，H10H29/0364およびH10H29/0365への再分類の影響を受ける。<br>この警告に掲載されたすべてのグループはコンプリートサーチの完遂のために考慮されるべきである。
H10H20/011	｛本体の，例．半導体層の形成｝<br><br><u>警告</u><br><br>グループH10H20/011，H10H20/016，H10H20/0165およびH10H20/017はグループH10H20/01からの文献の再分類が未完成であり保留されている。<br>この警告に掲載されたすべてのグループはコンプリートサーチの完遂のために考慮されるべきである。
H10H20/012	｛ＩＩ〜ＩＶ族材料のみからなる発光領域を有するもの｝
H10H20/0125	｛ＩＩ〜ＶＩ族材料ではない基板をともなうもの｝
H10H20/013	｛ＩＩＩ〜ＩＶ族材料のみからなる発光領域を有するもの｝
H10H20/0133	｛ＩＩＩ〜ＶＩ族材料ではない基板をともなうもの｝
H10H20/01335	｛発光領域が窒化物材料からなるもの｝
H10H20/0137	｛発光領域が窒化物材料からなるもの｝
H10H20/014	｛発光領域がＩＶ族材料のみからなるもの｝<br><br><u>警告</u><br><br>グループH10H20/014はグループH10H20/0145への再分類の影響を受ける。<br>グループH10H20/014およびH10H20/0145はコンプリートサーチの完遂のために考慮されるべきである。
H10H20/0145	｛多結晶，アモルファスまたはポーラスのＩＶ族材料からなるもの｝<br><br><u>警告</u><br><br>グループH10H20/0145 はグループH10H20/014からの文献の再分類が未完成であり保留されている。<br>グループH10H20/014およびH10H20/0145はコンプリートサーチの完遂のために考慮されるべきである。
H10H20/016	｛熱処理｝
H10H20/0165	｛再結晶化のためのもの｝
H10H20/017	｛エッチング｝
H10H20/018	｛ウェハのボンディング｝<br><br><u>警告</u><br><br>グループH10H20/018はグループH10H20/019への再分類の影響を受ける。<br>グループH10H20/018およびH10H20/019はコンプリートサーチの完遂のために考慮されるべきである。
H10H20/019	｛半導体層が形成された基板上の少なくとも部分的な除去｝<br><br><u>警告</u><br><br>グループH10H20/019はグループH10H20/018からの文献の再分類が未完成であり保留されている。<br>グループH10H20/018およびH10H20/019はコンプリートサーチの完遂のために考慮されるべきである。
H10H20/021	｛シンギュレーティング，例．ダイシング｝<br><br><u>警告</u><br><br>グループH10H20/021はグループH10H20/01からの文献の再分類が未完成であり保留されている。<br>グループH10H20/01およびH10H20/021はコンプリートサーチの完遂のために考慮されるべきである。
H10H20/032	｛電極の｝<br><br><u>警告</u><br><br>グループH10H20/032はグループH10H20/01からの文献の再分類が未完成であり保留されている。<br>グループH10H20/032もまたグループH10H29/032への再分類の影響を受ける。<br>グループH10H20/01，H10H20/032およびH10H29/032はコンプリートサーチの完遂のために考慮されるべきである。
H10H20/034	｛コーティングの｝<br><br><u>警告</u><br><br>グループH10H20/034はグループH10H20/01からの文献の再分類が未完成であり保留されている。<br>グループH10H20/034もまたグループH10H29/034への再分類の影響を受ける。<br>グループH10H20/01，H10H20/034およびH10H29/034はコンプリートサーチの完遂のために考慮されるべきである。
H10H20/036	｛パッケージの｝<br><br><u>警告</u><br><br>グループH10H20/036はグループH10H20/01からの文献の再分類が未完成であり保留されている。<br>グループH10H20/036もまたグループH10H29/036への再分類の影響を受ける。<br>グループH10H20/01，H10H20/036およびH10H29/036はコンプリートサーチの完遂のために考慮されるべきである。
