B		処理操作；運輸	PERFORMING OPERATIONS; TRANSPORTING	
B01		物理的または化学的方法または装置一般<br><b><ul>注</ul></b><br>以下に示す注は，分類表のこの部分での使用を助ける；これらは，いかなる場合にも修正して読むべきでない。<br>（１）このサブセクションにおいて，異なる材料，例．異なる物質，大きさ，または状態，に関する分離は次のサブクラスに優先的に分類される：<br>Ｂ０１Ｄ<br>Ｂ０３Ｂ，Ｂ０３Ｃ，Ｂ０３Ｄ<br>Ｂ０４Ｂ，Ｂ０４Ｃ<br>Ｂ０７Ｂ，Ｂ０７Ｃ<br>（２）これらのサブクラスの分類上の特徴は，以下のごとくである：<br>（ｉ）分離されるべき物質の物理的状態<br>（ｉｉ）採用される方法の原理<br>（ｉｉｉ）特別な種類の装置<br>これらの特徴の第１番目のものは，３つのグループに集められる６つの異なった観点を含んでいる。<br>（ａ）液体―液体または液体―気体および気体―気体<br>（ｂ）固体―液体または固体―気体<br>（ｃ）固体―固体<br>（３）これらのサブクラスは，以下の一般的規則に従って用いられる：<br>―Ｂ０１Ｄは，固体―固体以外の分離が関係するかぎり最も一般的なサブクラスとなる。<br>―固体から固体を分離する装置は，たとえその装置が空気力のもの，特に風力テーブルまたは風力ジグ，であってもその関係する工程が鉱山技術の意味で“洗鉱”に相当するものとみなされる場合はＢ０３Ｂに包含される。ふるいそれ自体はこのサブクラスには包含されず，たとえそれが湿式法に用いられても，Ｂ０７Ｂに分類される。乾式法による固体から固体を分離するすべての他の装置はＢ０７Ｂに分類される。<br>―もし，分離が，選別されるべき材料または物品のある特性を検出または測定した結果として起こるならば，それはＢ０７Ｃに分類される。<br>―また，同位元素の分離は，どのような方法または装置が用いられようとも，Ｂ０１Ｄ５９／００に分類することに注意すべきである。<br><b><ul>サブクラス内の索引</ul></b><br>液体／液体，液体／気体，または気体／気体の分離<br>方法<br>一般　Ｂ０１Ｄ<br>遠心力によるもの，遠心分離器または自由渦装置を用いるもの　Ｂ０１Ｄ<br>磁気または静電気効果を用いるもの　Ｂ０３Ｃ<br>装置<br>一般　Ｂ０１Ｄ<br>遠心力によるもの，遠心分離器または自由渦装置を用いるもの　Ｂ０４Ｂ，Ｂ０４Ｃ<br>磁気または静電気効果を用いるもの　Ｂ０３Ｃ<br>固体／液体または固体／気体の分離<br>方法<br>一般　Ｂ０１Ｄ<br>遠心力によるもの　Ｂ０１Ｄ<br>遠心分離器または自由渦装置を用いるもの　Ｂ０１Ｄ<br>磁気または静電気効果を用いるもの　Ｂ０３Ｃ<br>装置<br>一般　Ｂ０１Ｄ<br>遠心力によるもの　Ｂ０１Ｄ<br>遠心分離器または自由渦装置を用いるもの　Ｂ０４Ｂ，Ｂ０４Ｃ<br>磁気または静電気効果を用いるもの　Ｂ０３Ｃ<br>固体／固体の分離<br>方法<br>乾式法<br>一括分級一般　Ｂ０７Ｂ<br>個別分級　Ｂ０７Ｃ<br>篩にかけるもの，空気力分級　Ｂ０７Ｂ<br>風力テーブルまたは風力ジグを用いるもの　Ｂ０３Ｂ<br>磁気効果または静電気効果によるもの　Ｂ０３Ｃ<br>遠心力によるもの　Ｂ０７Ｂ<br>遠心分離器または自由渦装置を用いるもの　Ｂ０７Ｂ<br>湿式法<br>一般　Ｂ０３Ｂ<br>浮遊選別，差別沈降　Ｂ０３Ｄ<br>篩にかけるもの　Ｂ０７Ｂ<br>結合＝乾式法−湿式法　Ｂ０３Ｂ<br>固体／固体の分離<br>装置<br>乾式法<br>一括分級一般　Ｂ０７Ｂ<br>個別分級　Ｂ０７Ｃ<br>篩にかけるもの，空気力分級　Ｂ０７Ｂ<br>風力テーブルまたは風力ジグを用いるもの　Ｂ０３Ｂ<br>磁気効果または静電気効果によるもの　Ｂ０３Ｃ<br>遠心力によるもの　Ｂ０７Ｂ<br>遠心分離器または自由渦装置を用いるもの　Ｂ０４Ｂ，Ｂ０４Ｃ<br>湿式法<br>一般　Ｂ０３Ｂ<br>浮遊選別，差別沈降　Ｂ０３Ｄ<br>篩にかけるもの　Ｂ０７Ｂ<br>結合＝乾式法−湿式法　Ｂ０３Ｂ	<br><br><b><u>Subclass indexes</u></b><br><br><br>LIQUID/LIQUID, LIQUID/GAS OR GAS/GAS SEPARATION<br>Method<br>General operationsB01D<br>by centrifugal force, using centrifuges or free-vortex apparatusB01D<br>using magnetic or electrostatic effectB03C<br>Apparatus<br>General operationsB01D<br>by centrifugal force, using centrifuges or free-vortex apparatusB04B, B04C<br>using magnetic or electrostatic effectB03C<br>SOLID/LIQUID OR SOLID/GAS SEPARATION<br>Method<br>General operationsB01D<br>by centrifugal forceB01D<br>using centrifuges or free-vortex apparatusB01D<br>using magnetic or electrostatic effectB03C<br>Apparatus<br>General operationsB01D<br>by centrifugal forceB01D<br>using centrifuges or free-vortex apparatusB04B, B04C<br>using magnetic or electrostatic effectB03C<br>SOLID/SOLID SEPARATION<br>Method<br>Dry methods<br>material in bulkB07B<br>Individual sortingB07C<br>Screening, sifting, pneumatic sortingB07B<br>using pneumatic tables or jigsB03B<br>by magnetic or electrostatic effectB03C<br>by centrifugal forceB07B<br>using centrifuges or free-vortex apparatusB07B<br>Wet methods<br>General operationsB03B<br>flotation, differential sedimentationB03D<br>screeningB07B<br>Combinations Dry methods - wet methodsB03B<br>Apparatus<br>Dry methods<br>material in bulkB07B<br>Individual sortingB07C<br>Screening, sifting, pneumatic sortingB07B<br>using pneumatic tables or jigsB03B<br>by magnetic or electrostatic effectB03C<br>by centrifugal forceB07B<br>using centrifuges or free-vortex apparatusB04B, B04C<br>Wet methods<br>General operationsB03B<br>flotation, differential sedimentationB03D<br>screeningB07B<br>Combinations Dry methods - wet methodsB03BPHYSICAL OR CHEMICAL PROCESSES OR APPARATUS IN GENERAL	
B01B		沸騰；沸騰装置	BOILING; BOILING APPARATUS	110
B01D		分離（湿式法による固体と固体の分離Ｂ０３Ｂ，Ｂ０３Ｄ；風力ジグまたは風力テーブルによるものＢ０３Ｂ；他の乾式法によるものＢ０７；磁気または静電気による分離，高圧電界による分離Ｂ０３Ｃ；遠心分離機Ｂ０４Ｂ；渦装置Ｂ０４Ｃ；液体含有物から液体を絞り出すためのプレスそれ自体Ｂ３０Ｂ９／０２）［５］<br><b><ul>注</ul></b><br>１．このサブクラスは以下のものを包含する：<br>・蒸発，蒸留，晶析，ろ過，粉末の沈降，気体の洗浄，吸収，吸着；<br>・吸収または吸着の場合を除いた，分離に関係ないかまたはそれのみに制限されない類似の方法を含む。<br>２．このサブグラスにおいては，下記の用語または表現は以下に示す意味で用いる：  <br>・“ろ過”および類似した用語は流体から固体を濾すことを含む。ろ過とは，通常，ろ過媒体を用いた処理である；<br>・“ろ過媒体”は流体から固体をろ過するため用いられる多孔性物質または物質の多孔性配列である；<br>・“ろ過体”は媒体が取り外し自在にまたは永続的に取付けられる部品のほか，ろ過媒体の一部分であって，媒体の他の部分，末端のふた，外周の枠または端近の細片を含む。ただし，ハウジングは除く；<br>・“ろ過装置のハウジング”は流体を閉じこめる不浸透容器で，開放または閉鎖を問わず，その内部に１つ以上のろ過体またはろ過媒体を含み，または含むために設けられるものである；<br>・“ろ過室”はハウジング内の空間であり，ろ過体またはろ過媒体が入れられる。仕切りによって単一のハウジングが複数の室に分割されている；<br>・“ろ過装置”はハウジングと組み合わされたろ過体，清掃装置，モーターまたは類似の部品からなり，それらは装置の特殊な型を特徴づけている。ポンプまたはバルブのような付属装置はろ過装置内部にあるときはその部品と考えられる。粉砕機，混合機または非ろ過分離機のような類似または異なる単位操作を行なう付属装置は，ろ過装置内にあろうとなかろうと，その部品とは考えない。用語は例えば，ろ過機がその一部品にすぎない洗濯機のような装置にまでは及ばない。<br>３．乾燥または蒸発に用いる装置に関しては，クラスＦ２６が，このサブクラスに優先する。<br>４．グループＢ０１Ｄ５９／００は，このサブクラスの他のグループおよびクラスＢ０１の他のサブクラスに優先する。<br><b><ul>サブクラス内の索引</ul></b><br>蒸発；蒸留；昇華　１／００；３／００；５／００；７／００<br>コールドトラップ，コールドバッフル　８／００<br>晶析　９／００<br>溶剤抽出　１１／００<br>液体の処理：置換，吸着，分離，脱気，クロマトグラフィー　１２／００，１５／００，１７／００，１９／００［８］<br>ガスまたは蒸気の処理：廃ガスの分離，回収，化学的または生物学的浄化　５３／００<br>液体から懸濁粒子の分離<br>沈でんによるもの　２１／００<br>ろ過によるもの<br>工程　３７／００<br>重力ろ過機；ろ過体から構成されたろ過機，加圧または吸引ろ過機　２４／００；２５／００，２９／００<br>カートリッジろ過機　２７／００<br>可動ろ過体を有するろ過機　３３／００<br>ろ過装置　３５／００<br>ろ過系統または組み合わせ　３６／００<br>他の工程によるもの　４３／００<br>ガスまたは蒸気からの分散粒子の分離<br>ガスまたは蒸気の前処理　５１／００<br>重力，慣性，遠心力によるもの；ろ過によるもの；装置の組み合わせによるもの　４５／００；４６／００；５０／００<br>他の方法によるもの　４７／００，４９／００<br>ろ過材　３９／００，４１／００<br>同位元素の分離　５９／００<br>吸収，吸着，クロマトグラフィー；その他の分離方法　１５／００，１５／０８，５３／０２，５３／１４；５７／００<br>半透膜を用いる分離；透析，浸透，限外ろ過　６１／００〜７１／００	SEPARATION(separating solids from solids by wet methods B03B, B03D, by pneumatic jigs or tables B03B, by other dry methods B07; magnetic or electrostatic separation of solid materials from solid materials or fluids, separation by high-voltage electric fields B03C; centrifuges B04B;  vortex apparatus B04C; presses <u>per se</u> for squeezing-out liquid from liquid-containing material B30B9/02);<br><br><b><u>Note(s)</u></b><br><br>This subclass <u>covers</u> : evaporation, distillation, crystallisation, filtration, dust precipitation, gas cleaning, absorption, adsorption;similar processes which are not concerned with, or limited to, separation, except in the case of absorption or adsorption.In this subclass, the terms or expressions are used with the meaning indicated: "filtration" and analogous terms include straining solids from fluids. Filtration is a process that normally uses a filter medium;"filter medium" is a porous material or porous arrangement of material used to filter solids from fluids;"filtering element" is a section of filter medium in addition to parts to which the medium is demountably or permanently fixed, including other sections of medium, end caps, peripheral frames or edge strips, but excluding housings;"filter housing" is the fluid-constraining impervious vessel, whether open or closed, which contains, or is adapted to contain, one or more filtering elements or filter media;"filter chamber" is the space within a housing, where filtering elements or filter media are located. Partitions may divide a single housing into a plurality of chambers;"filtering apparatus" consists of filtering elements combined with housings, cleaning arrangements, motor or the like parts, which are characteristic of the particular type of apparatus. Ancillary devices such as pumps or valves are considered part of a filtering apparatus when inside the apparatus. Ancillary devices performing similar or different unit operation such as comminutors, mixers or non-filtering separators, whether or not inside the apparatus, are not considered part of a filtering apparatus. The term does not extend to apparatus, e.g. washing machines, of which the filter forms only a part.For apparatus used in drying or evaporation, class F26 takes precedence over this subclass.Group B01D59/00 takes precedence over the other groups of this subclass and over other subclasses in class B01.<br><br><b><u>Subclass indexes</u></b><br><br><br>EVAPORATION; DISTILLATION; SUBLIMATION B01D1/00; B01D3/00; B01D5/00; B01D7/00<br>COLD TRAPS, COLD BAFFLES B01D8/00<br>CRYSTALLISATION B01D9/00<br>SOLVENT EXTRACTION B01D11/00<br>TREATING LIQUIDS: DISPLACEMENT, ADSORPTION, SEPARATION, DEGASIFICATION, CHROMATOGRAPHY B01D12/00, B01D15/00, B01D17/00, B01D19/00<br>TREATING GASES OR VAPOURS: SEPARATION, RECOVERING, CHEMICAL OR BIOLOGICAL PURIFICATION OF WASTE GASES B01D53/00<br>SEPARATION OF SUSPENDED PARTICLES FROM LIQUIDS<br>By sedimentation B01D21/00<br>By filtration<br>processes B01D37/00<br>gravity filters; filters formed from filtering elements, pressure or suction filters B01D24/00; B01D25/00, B01D29/00<br>cartridge filters B01D27/00<br>filters with mobile filtering elements B01D33/00<br>filtering devices B01D35/00<br>filter circuits or combinations B01D36/00<br>By other processes B01D43/00<br>SEPARATION OF DISPERSED PARTICLES FROM GASES OR VAPOURS<br>Pretreatment of the gas or vapour B01D51/00<br>By gravity, inertia, centrifugal force; by filtration; by a combination of devices B01D45/00; B01D46/00; B01D50/00<br>By other methods B01D47/00, B01D49/00<br>FILTERING MATERIALS B01D39/00, B01D41/00<br>SEPARATION OF ISOTOPES B01D59/00<br>ABSORPTION, ADSORPTION, CHROMATOGRAPHY; OTHER SEPARATING METHODS B01D15/00, B01D15/08, B01D53/02, B01D53/14; B01D57/00<br>SEPARATION USING SEMI-PERMEABLE MEMBRANES; DIALYSIS, OSMOSIS, ULTRAFILTRATION B01D61/00 to B01D71/00	10304
B01F		混合，例．溶解，乳化または分散（ペイントの混合Ｂ４４Ｄ３／０６）<br><b><ul>注</ul></b><br>１．このサブクラスは以下を包含する：<br>・材料の塊の組成を均一にするため，または状態を均一にするために，２つ以上の成分を組み合わせて得られる生成物の攪拌または均一化<br>・材料の塊の状態を均一にするための，単一の材料の攪拌<br>・それが製造される用途に関わらず、所望の効果を得るためにその装置または方法が指示されている、材料の混合、攪拌および均一化<br>２．このサブクラスでは下記の用語は以下に示す意味で用いる：<br>・“混合”は単一材料の攪拌も包含する<br><b><ul>サブクラス内の索引</ul></b><br>溶解　２１／００<br>混合，分散，乳化<br>プロセス　２３／００<br>装置，フローミキサー　２５／００<br>回転作動を有する混合機　２７／００，２９／００<br>その他の混合機　３１／００，３３／００<br>付属装置　３５／００	MIXING, e.g. DISSOLVING, EMULSIFYING OR DISPERSING (mixing paints B44D3/06);<br><br><b><u>Note(s)</u></b><br><br>This subclass <u>covers</u>: agitation or homogenisation of products formed by a combination of two or more components with the purpose of obtaining a homogeneous composition or homogeneous conditions in the mass of material;stirring of a single material with the purpose of obtaining homogeneous conditions in the mass of material;mixing, agitation and homogenisation of materials, irrespective of the application in which it is produced, whenever the device or the method are directed to achieve the desired effect.In this subclass, the following term is used with the meaning indicated: "mixing" also covers stirring of a single material.<br><br><b><u>Subclass indexes</u></b><br><br><br>DISSOLVINGB01F21/00<br>MIXING, DISPERSING, EMULSIFYING<br>ProcessesB01F23/00<br>Apparatus<br>flow mixersB01F25/00<br>with rotary actionB01F27/00, B01F29/00<br>other mixersB01F31/00, B01F33/00<br>accessoriesB01F35/00	2208
B01J		化学的または物理的方法，例．触媒またはコロイド化学；それらの関連装置［２］<br><b><ul>注</ul></b><br>（１）このサブクラスにおいては，下記の用語または表現は以下に示す意味で用いる：<br>―“固体粒子”は，固体，半固体またはペースト状の触媒，反応体または不活性体のような粒子を包含する；［２］<br>―“流動化粒子”は，流体流により上昇され，かく乱され，そして細分された固体粒子を意味する；［２］<br>―“流動床技術”は，流体−固体接触技術であって，細分された固体粒子が流体の上昇流により上昇され，かく乱され，そして，該上昇流が“流動化粒子”の下部濃密層（該床）と上部希薄層とを形成するような流速をもつものを意味する；［２］<br>―“固体粒子の存在下での処理プロセス”には，存在する固体粒子が，反応によって形成されたもののみであるようなプロセスは含まない。［３］<br>（２）このサブクラスでは，グループの範囲を正確に定義するために，科学文献および特許文献でしばしば使われる商品名が使用されている。［６］<br><b><ul>サブクラス内の索引</ul></b><br>化学的，物理的または物理化学的方法または装置　３／００，４／００，６／００，７／００，８／００，１９／００<br>ガスを含む化学的方法　８／００，１０／００，１２／００，１５／００<br>液体を含む化学的方法　８／００，１０／００，１４／００，１６／００<br>触媒<br>元素または無機化合物を含むもの　２１／００，２３／００，２７／００<br>ラネー型　２５／００<br>分子ふるい　２９／００<br>水素化合物，配位錯体または有機化合物を含むもの　３１／００<br>触媒担体一般　３２／００<br>調製　３３／００〜３７／００<br>触媒の再生または再活性化一般　３８／００<br>収着，ろ過助剤組成物　２０／００<br>イオン交換プロセス　３９／００〜４９／００<br>コロイド化学　１３／００<br>造粒　２／００	CHEMICAL OR PHYSICAL PROCESSES, e.g. CATALYSIS OR COLLOID CHEMISTRY; THEIR RELEVANT APPARATUS; <br><br><b><u>Note(s)</u></b><br><br>In this subclass, the following terms or expressions are used with the meanings indicated:"solid particles" includes such particles whether catalysts, reactants or inert in solid, semi-solid or pasty state; "fluidised particles" means finely divided solid particles lifted and agitated by a stream of fluid; "fluidised-bed technique" means fluid-solid contacting technique in which finely divided particles are lifted and agitated by a rising stream of fluid, said stream having such a speed as to form a lower dense phase (the "bed") and an upper dilute fluidised phase of "fluidised particles"; "processes conducted in the presence of solid particles" does not include processes wherein the only solid particles present are formed during the reaction. In this subclass, tradenames that are often found in scientific and patent literature have been used in order to define precisely the scope of the groups. <br><br><b><u>Subclass indexes</u></b><br><br><br>CHEMICAL, PHYSICAL, OR PHYSICO-CHEMICAL PROCESSES OR APPARATUS B01J3/00, B01J4/00, B01J6/00, B01J7/00, B01J8/00, B01J19/00<br>CHEMICAL PROCESSES INVOLVING A GAS B01J8/00, B01J10/00, B01J12/00, B01J15/00<br>CHEMICAL PROCESSES INVOLVING A LIQUID B01J8/00, B01J10/00, B01J14/00, B01J16/00<br>CATALYSTS<br>containing elements or inorganic compounds B01J21/00, B01J23/00, B01J27/00<br>Raney type B01J25/00<br>Molecular sieves B01J29/00<br>containing hydrides, coordination complexes or organic compounds B01J31/00<br>Catalyst carriers in general B01J32/00<br>Preparation B01J33/00 to B01J37/00 <br>Regeneration or reactivation of catalysts, in general B01J38/00<br>SORBENT, FILTER AID COMPOSITIONS B01J20/00<br>ION EXCHANGE PROCESSES B01J39/00 to B01J49/00 <br>COLLOID CHEMISTRY B01J13/00<br>GRANULATION B01J2/00	5119
B01L		一般的に使用される化学または物理研究装置<br><b><ul>注</ul></b><br>このサブクラスはもっぱら実験のみに使用されるか，またはその簡単な構造と用途のために工業用には適しないような実験装置のみを包含する。	CHEMICAL OR PHYSICAL LABORATORY APPARATUS FOR GENERAL USE; <br><br><b><u>Note(s)</u></b><br><br>This subclass <u>covers</u> only laboratory apparatus which is either applicable solely to laboratory purposes or which, by reason of its simple construction and adaptability, is such as would not be suitable for industrial use.	905
B02		破砕，または粉砕；製粉のための穀粒の前処理	CRUSHING, PULVERISING, OR DISINTEGRATING; PREPARATORY TREATMENT OF GRAIN FOR MILLING	
B02B		製粉のための穀粒の前処理；表面加工によって粒状果実を商品に精製すること（穀類から直接練り粉を作ることＡ２１Ｃ；穀類の保存または殺菌Ａ２３Ｂ；果実の洗浄Ａ２３Ｎ；麦芽の調製Ｃ１２Ｃ）	PREPARING GRAIN FOR MILLING; REFINING GRANULAR FRUIT TO COMMERCIAL PRODUCTS BY WORKING THE SURFACE(making dough from cereals directly A21C; preservation or sterilisation of cereals A23B; cleaning fruit A23N; preparation of malt C12C)	177
B02C		破砕，または粉砕一般；穀粒の粉砕（破砕，研磨または粉砕による金属粉の製造Ｂ２２Ｆ９／０４）<br><b><ul>サブクラス内の索引</ul></b><br>粉砕一般<br>往復あるいは回転破砕機を用いるもの　１／００，２／００<br>ローラを用いるもの　４／００<br>円盤を用いるもの　７／００<br>回転ビータを用いるもの　１３／００<br>タンブラによるもの　１７／００<br>その他　１５／００，１８／００，１９／００<br>補助方法，付属装置　２３／００<br>粉砕プラント；制御配置　２１／００；２５／００<br>特に穀粒に適した粉砕方法または粉砕機；そのための付属品　４／０６，４／１６，４／２４，４／３８，７／１３，７／１８，９／００；１１／００	CRUSHING, PULVERISING, OR DISINTEGRATING IN GENERAL; MILLING GRAIN(obtaining metallic powder by crushing, grinding or milling B22F9/04);<br><br><b><u>Subclass indexes</u></b><br><br><br>DISINTEGRATING IN GENERAL<br>Using reciprocating or rotary crushers B02C1/00, B02C2/00<br>Using rollers B02C4/00<br>Using discs B02C7/00<br>Using rotary beaters B02C13/00<br>By tumbling B02C17/00<br>Otherwise B02C15/00, B02C18/00, B02C19/00<br>Auxiliary methods, accessories B02C23/00<br>DISINTEGRATING PLANT; CONTROL ARRANGEMENTS B02C21/00; B02C25/00<br>MILLING METHODS OR MILLS SPECIALLY ADAPTED FOR GRAIN; ACCESSORIES THEREFOR B02C4/06, B02C4/16, B02C4/24, B02C4/38, B02C7/13, B02C7/18, B02C9/00; B02C11/00	2225
B03		液体による，または，風力テーブルまたはジグによる固体物質の分離；固体物質または流体から固体物質の磁気または静電気による分離，高圧電界による分離［５］	SEPARATION OF SOLID MATERIALS USING LIQUIDS OR USING PNEUMATIC TABLES OR JIGS; MAGNETIC OR ELECTROSTATIC SEPARATION OF SOLID MATERIALS FROM SOLID MATERIALS OR FLUIDS; SEPARATION BY HIGH-VOLTAGE ELECTRIC FIELDS	
