F		機械工学；照明；加熱；武器；爆破	MECHANICAL ENGINEERING; LIGHTING; HEATING; WEAPONS; BLASTING	
F01		機械または機関一般；機関設備一般；蒸気機関<br><b><ul>注</ul></b><br>このサブセクション，すなわちクラスＦ０１からＦ０４，の利用のための手引き<br>以下の注は，この部分の分類体系の利用を助けるためのものである；これらはいかなる場合にも分類体系を変更するものとして解釈すべきではない。<br>１．このサブセクションにおいては，“機関”または“ポンプ”を明示するサブクラスまたはグループは，他に特に分類されない限りそれらの操作方法を包含する。<br>２．このサブセクションにおいては，下記の用語または表現は以下に示す意味で用いる：<br>　・“機関”は流体エネルギを連続的に機械的動力に変換する装置を意味する。それ故，この語はそれ自体で，たとえば蒸気ピストン機関，蒸気タービン，または，内燃機関を含むが，一行程装置を除外する。“機関”はまた，それが特に計器に用いるのに適しているものを除き計器の流体作動部分をも包含する；<br>　・“ポンプ”は機械的または他の手段によって流体を連続的に押し揚げ，押圧し，圧縮または排出する装置を意味する；そしてこの用語はファンまたは送風機を含む；<br>　・“機械”は同様に機関およびポンプであり得る装置を意味し，かつ機関に限定された装置またはポンプに限定されたものを意味しない；<br>　・“容積形”は，作動流体エネルギの機械的エネルギへの変換およびその逆の変換において，作動流体の内容積変化が機械部材の変位に相当し，流体の動的影響が重要でないエネルギ変換方法を意味する；<br>　・“非容積形”は，作動流体エネルギの運動エネルギへの変換によって，作動流体のエネルギを機械的エネルギに変換する方法を意味する；その逆の変換の場合も同様である；<br>　・“揺動ピストン機械”とは流体と係合する仕事伝達部材が揺動する容積形機械を意味する。この定義は機関またはポンプに同様に適用する；<br>　・“回転ピストン機械”とは流体と係合する仕事伝達部材が固定軸のまわりに，もしくは円または同様の軌道に沿って移動する軸のまわりに，回転する容積形機械を意味する。この定義は機関またはポンプに同様に適用する；<br>　・“回転ピストン”とは回転ピストン機械の仕事伝達部材を意味し，適当な形式のもの，例．歯車のようなもの，でよい；<br>　・“共動部材”とは揺動ピストンまたは回転ピストンと，駆動作用またはポンプ作用を補助する他の部材，例．作動室壁，とを意味する；<br>　・“共動部材の運動”は，相対的，すなわち，たとえ文面上は“回転軸”とされていても，共動部材の一方は静止していることもあり，両方とも動くこともあると解釈すべきである；<br>　・“歯または歯に相当する部分”とは突出部，突起部，または係合部を含む；<br>　・“内部軸”形式とは内外の共動部材の回転軸がつねに外側部材内にあることを意味する，例．環状歯車の内歯とかみ合うピニオンと類似の態様であるもの<br>　・“自由ピストン”は行程の長さがそれによって駆動される部材によって限定されないピストンを意味する；<br>　・“シリンダ”は容積形作動室一般を意味し，そしてこの用語は円形断面のシリンダに限定されない；<br>　・“主軸”はピストンの往復運動を回転運動にまたはその反対に変換する軸を意味する；<br>　・“設備”は機関と機関を運転するのに必要な付加的装置を一緒にした意味である。たとえば，蒸気機関設備は蒸気機関および蒸気発生装置を含む；<br>　・“作動流体”はポンプにおける被駆動流体または機関における駆動流体を意味する。作動流体は圧縮性流体と呼ばれる圧縮性のガス体，例．蒸気，または液体でありうる。あるいは圧縮性流体と液相の共存も可能である。<br>　・“蒸気”は凝縮性蒸気一般を含み，また“特殊蒸気”は水蒸気以外の場合に用いる；<br>　・非容積形機械または機関に適用される“反動形”は圧力―速度変換が完全にまたは部分的に回転子において行なわれる機械または機関を意味し；回転子内における圧力―速度変換が全くないかわずかである機械または機関は“衝動形”と称する。<br>３．このサブセクションにおいては：<br>　・周期的に作動する弁，潤滑，ガス流消音器もしくは排気装置，または冷却はそれらの記述された応用に関係なくＦ０１Ｌ，Ｆ０１Ｍ，Ｆ０１Ｎ，Ｆ０１Ｐに分類する。ただしその分類の特徴がその応用に独特のものであるならば，その場合Ｆ０１ないしＦ０４の関連したサブクラスのみに分類する；<br>　・機械または機関の潤滑，ガス流消音器もしくは排気装置，または冷却はＦ０１Ｂに分類される蒸気機関に特有なものを除いてＦ０１Ｍ，Ｆ０１Ｎ，Ｆ０１Ｐに分類する。<br>４．このサブセクションを十分に理解して利用するため，この骨格をなす，Ｆ０１Ｂ，Ｆ０１Ｃ，Ｆ０１Ｄ，Ｆ０３ＢおよびＦ０４Ｂ，Ｆ０４Ｃ，Ｆ０４Ｄ，に関するかぎり<br>　・この分類表に存在する原則；<br>　・その要求する分類の特徴；および<br>　・その補足<br>を記憶しておくことが肝要である。<br>　　ｉ．原則<br>　　　これは上に挙げたサブグラスに本質的に関連している。より限定された事項を包含する他のサブグラス，特にＦ０２のものはここで考慮しない。<br>　　　各サブグラスは基本的に装置（機関またはポンプ）の類を包含し，また拡張によって同種の“機械”を同様に包含する。それ故に一方が他方より，より一般的性質を有する，２つの異なった主題は同じサブグラスに包含される。<br>　　　サブクラスが包含する２つの異なった主題の範囲をこえて，サブクラスＦ０１Ｂ，Ｆ０３Ｂ，Ｆ０４Ｂはさらに関連した類での異なった種類の装置に関係する他のサブクラスに関して一般性を有する。<br>　　　この一般性は，つねに同じサブクラスに関するものを除いて，異なった２つの主題の取り扱いに対しても同様に適用する。<br>　　　それ故，Ｆ０３Ｂはその機械を扱う部分においてＦ０４Ｂ，Ｆ０４Ｃに関する一般的クラスとして，および，その機関を扱う部分においてＦ０３Ｃに関する一般的クラスとして考えられるべきである。<br>　　ｉｉ．特徴<br>　　　ａ．サブグラスの主要な分類の特徴には機械；機関；ポンプの３つの可能性がある装置を級付けしていることである。<br>　　　ｂ．上記のごとく，“機械”はつねに他の２つの一方と関連している。これらの主分類は装置の一般的作動理論に従って：容積形；非容積形に再分類される。<br>　　　ｃ．容積形装置は作用理論を奏功する方法，すなわち，装置の種類に従って：単純往復ピストン；回転または揺動ピストン；その他にさらに再分類される。<br>　　　ｄ．他の分類の特徴は，すなわち：液体および圧縮性流体；圧縮性流体；流体の３種の装置が可能である，作動流体に関するものである。<br>　　ｉｉｉ．補足<br>　　　これは，装置または作動流体の種類に関し考慮のうえ特徴に従って，上に挙げたサブクラスの対との関連において存在する。<br>　　　種々の原則，特徴，補足と関連するサブクラスが下記のサブセクション内の索引に示されている。<br>次のようなことが索引から理解される。<br>・与えられた類の中の同種の装置に対して，“作動流体”の特徴が関連している：<br>　　Ｆ０１ＢおよびＦ０４Ｂ　機械<br>　　Ｆ０１ＣおよびＦ０４Ｃ　機械<br>　　Ｆ０１ＤおよびＦ０３Ｂ　機械<br>　　Ｆ０１ＢおよびＦ０３Ｃ　機関<br>　　Ｆ０１ＣおよびＦ０３Ｃ　機関<br>　　Ｆ０１ＤおよびＦ０３Ｂ　機関<br>・同じ種類の作動流体に対して，“装置”の特徴が相対的一般性から考えて同様にサブクラスに関連する。<br><b><ul>サブクラス内の索引</ul></b><br>機械<br>　容積形<br>　回転または揺動ピストン<br>　　液体および弾性流体または弾性流体　Ｆ０１Ｃ<br>　　流体のみ　Ｆ０４Ｃ<br>　往復ピストンまたはその他<br>　　液体および弾性流体または弾性流体　Ｆ０１Ｂ<br>　　流体のみ　Ｆ０４Ｂ<br>　非容積形<br>　　液体および弾性流体または弾性流体　Ｆ０１Ｄ<br>　　流体のみ　Ｆ０３Ｂ<br>機関<br>　容積形<br>　回転または揺動ピストン<br>　　液体および弾性流体または弾性流体　Ｆ０１Ｃ<br>　　流体のみ　Ｆ０３Ｃ<br>　往復ピストンまたはその他<br>　　液体および弾性流体または弾性流体　Ｆ０１Ｂ<br>　　流体のみ　Ｆ０３Ｃ<br>　非容積形<br>　　液体および弾性流体または弾性流体　Ｆ０１Ｄ<br>　　流体のみ　Ｆ０３Ｂ<br>ポンプ<br>　容積形<br>　　回転または揺動ピストン　Ｆ０４Ｃ<br>　　往復ピストンまたはその他　Ｆ０４Ｂ<br>　非容積形　Ｆ０４Ｄ	<br><br><b><u>Subclass indexes</u></b><br><br><br>MACHINES<br>positive displacement<br>rotary or oscillating piston<br>liquid <u>and</u> elastic fluid or elastic fluidF01C<br>liquid onlyF04C<br>reciprocating piston or other<br>liquid <u>and</u> elastic fluid or elastic fluidF01B<br>liquid onlyF04B<br>non-positive displacement<br>liquid <u>and</u> elastic fluid or elastic fluidF01D<br>liquid onlyF03B<br>ENGINES<br>positive displacement<br>rotary or oscillating piston<br>liquid <u>and</u> elastic fluid or elastic fluidF01C<br>liquid onlyF03C<br>reciprocating piston or other<br>liquid <u>and</u> elastic fluid or elastic fluidF01B<br>liquid onlyF03C<br>non-positive displacement<br>liquid <u>and</u> elastic fluid or elastic fluidF01D<br>liquid onlyF03B<br>PUMPS<br>positive displacement<br>rotary or oscillating pistonF04C<br>reciprocating piston or otherF04B<br>non-positive displacementF04DMACHINES OR ENGINES IN GENERAL; ENGINE PLANTS IN GENERAL; STEAM ENGINES	
F01B		<br>機械または機関，例．蒸気機関，一般または容積形のもの（回転ピストン式または揺動ピストン式のものＦ０１Ｃ；非容積形のものＦ０１Ｄ；内燃式機関Ｆ０２Ｂ；燃焼生成物を利用する機関設備Ｆ０２Ｇ；容積形以外の液体用機械または機関Ｆ０３Ｂ；液体により駆動される容積形機関Ｆ０３Ｃ；風力原動機Ｆ０３Ｄ；液体用容積形機械Ｆ０４Ｂ；液体用回転ピストンまたは揺動ピストン容積形機械Ｆ０４Ｃ）<br><b><ul>注</ul></b><br>（１）このサブクラスは，サブクラスＦ０１ＣからＦ０１Ｐに分類される事項を除いた以下のものを包含する：<br>―圧縮性流体用機関，例．蒸気機関；<br>―液体および圧縮性流体用機関；<br>―圧縮性流体用機械；<br>―液体および圧縮性流体用機械。<br>（２）特に“蒸気”および“特殊蒸気”の定義に関しては，クラスＦ０１の前の注に注意すること。<br><b><ul>サブクラス内の索引</ul></b><br>機械または機関<br>往復動ピストンをそなえたもの<br>ピストンの数と配置を特徴とするもの　１／００<br>主軸に対するシリンダ軸の配置を特徴とするもの　３／００，５／００<br>同一または共軸シリンダ内を往復動するピストンを特徴とするもの；上記以外のピストン―主軸連結を特徴とするもの　７／００，１／０８；９／００<br>回軸主軸の無いことを特徴とするもの　１１／００<br>シリンダの回転または他の運動を特徴とするもの　１３／００，１５／００<br>ユニフロー理論を特徴とするもの　１７／００<br>容積形で可とう壁をそなえたことを特徴とするもの　１９／００<br>機械または機関の組み合わせまたは応用　２１／００，２３／００<br>調節，制御，安全装置；始動　２５／００；２７／００<br>他の特徴，細部または付属品　２９／００；３１／００	MACHINES OR ENGINES, IN GENERAL OR OF POSITIVE-DISPLACEMENT TYPE, e.g. STEAM ENGINES (of rotary-piston or oscillating-piston type F01C; of non-positive-displacement type F01D;  internal-combustion engines F02B;  combustion-product engine plants F02G;  machines or engines, other than of positive-displacement type, for liquids F03B;   positive-displacement engines driven by liquids F03C;   wind motors F03D;   positive displacement machines for liquids F04B;   rotary-piston, or oscillating-piston, positive-displacement machines for liquids F04C);<br><br><b><u>Note(s)</u></b><br><br>This subclass <u>covers</u>, with the exception of the matter provided for in subclasses F01C to F01P :engines for elastic fluids, e.g. steam engines;engines for liquids and elastic fluids;machines for elastic fluids;machines for liquids and elastic fluids.Attention is drawn to the Notes preceding class F01, especially as regards the definitions of "steam" and "special vapour".<br><br><b><u>Subclass indexes</u></b><br><br><br>MACHINES OR ENGINES<br>With reciprocating pistons characterised by<br>number or relative disposition of cylinders F01B1/00<br>disposition of cylinder axes relative to main shaft F01B3/00, F01B5/00<br>pistons reciprocating in same or coaxial cylinders; piston-main-shaft connections other than covered above F01B7/00, F01B1/08; F01B9/00<br>no rotary main shaft F01B11/00<br>rotary or other movement of cylinders F01B13/00, F01B15/00<br>uniflow principle F01B17/00<br>With positive displacement of flexible-wall type F01B19/00<br>COMBINATIONS OR ADAPTATIONS OF MACHINES OR ENGINES F01B21/00, F01B23/00<br>REGULATING, CONTROLLING, SAFETY MEANS; STARTING F01B25/00; F01B27/00<br>OTHER CHARACTERISTICS; DETAILS, ACCESSORIES F01B29/00; F01B31/00	380
F01C		回転ピストン式または揺動ピストン式機械または機関（燃焼機関Ｆ０２；内部燃焼に関するものＦ０２Ｂ５３／００，Ｆ０２Ｂ５５／００；液体用機械Ｆ０３，Ｆ０４）<br><b><ul>注</ul></b><br>（１）このサブクラスは以下のものを包含する：<br>―圧縮性流体．例．水蒸気，を用いる回転ピストン式または揺動ピストン式機関；<br>―液体および圧縮性流体を用いる回転ピストン式または揺動ピストン式機関；<br>―圧縮性流体を用いる回転ピストン式または揺動ピストン式機械；<br>―液体および圧縮性流体を用いる回転ピストン式または揺動ピストン式機械。<br>（２）このサブクラスにおいては，下記の表現は以下に示す意味で用いる：<br>―“回転ピストン式機械”という用語はドイツ語の“Ｄｒｅｈｋｏｌｂｅｎｍａｓｃｈｉｎｅｎ”“Ｋｒｅｉｓｋｏｌｂｅｎｍａｓｃｈｉｎｅｎ”および“Ｕｍｌａｕｆｋｏｌｂｅｎｍａｓｃｈｉｎｅｎ”なる表現をも含んでいる。<br>（３）特に“回転ピストン式機械”，“揺動ピストン機械”，“回転ピストン”，“共動部材”，“共動部材の運動”，“歯または歯に相当する部分”および“内部軸”に関する定義についてはクラスＦ０１の前の注に注意すること。<br><b><ul>サブクラス内の索引</ul></b><br>機械または機関<br>回転ピストン式のもの　１／００〜７／００<br>揺動ピストン式のもの　９／００<br>制御；監視；安全装置　２０／００<br>機械または機関の組み合わせ，および適用　１１／００，１３／００<br>共動する部材の駆動；密封装置　１７／００；１９／００<br>その他の細部および付属品　２１／００	ROTARY-PISTON OR OSCILLATING-PISTON MACHINES OR ENGINES(combustion engines F02; internal-combustion aspects F02B53/00, F02B55/00; machines for liquids F03, F04);<br><br><b><u>Note(s)</u></b><br><br>This subclass <u>covers</u>:rotary-piston or oscillating-piston engines for elastic fluids, e.g. steam;rotary-piston or oscillating-piston engines for liquids and elastic fluids;rotary-piston or oscillating-piston machines for elastic fluids;rotary-piston or oscillating-piston machines for liquids and elastic fluids.In this subclass, the following expression is used with the meaning indicated:"rotary-piston machine" includes the German expressions "Drehkolbenmaschinen", "Kreiskolbenmaschinen", and "Umlaufkolbenmaschinen".Attention is drawn to the Notes preceding class F01, especially as regards the definitions of "rotary-piston machine", "oscillating-piston machine", "rotary piston", "co-operating members", "movement of co-operating members", "teeth or tooth-equivalents" and "internal-axis".<br><br><b><u>Subclass indexes</u></b><br><br><br>MACHINES OR ENGINES<br>With rotary pistons F01C1/00 to F01C7/00 <br>With oscillating pistons F01C9/00<br>Control; monitoring; safety arrangements F01C20/00<br>COMBINATIONS OR ADAPTATIONS OF MACHINES OR ENGINES F01C11/00, F01C13/00<br>DRIVE OF CO-OPERATING MEMBERS; SEALING ARRANGEMENTS F01C17/00; F01C19/00<br>OTHER DETAILS OR ACCESSORIES F01C21/00	395
F01D		非容積形機械または機関，例．蒸気タービン（燃焼機関Ｆ０２；液体用機械または機関Ｆ０３，Ｆ０４；非容積形ポンプＦ０４Ｄ）<br><b><ul>注</ul></b><br>（１）このサブクラスは以下のものを包含する；<br>―圧縮性流体用非容積形機関，例．蒸気タービン；<br>―液体および圧縮性流体用非容積形機関；<br>―圧縮性流体用非容積形機械；<br>―液体および圧縮性流体用非容積形機械<br>（２）特に“反動形”例．エアーフォイル形ブレード，及び“衝動形”，例．バケットタービン，の定義に関して，クラスＦ０１の前の注に注意すること。<br><b><ul>サブクラス内の索引</ul></b><br>非容積形機械または機関<br>一般的特徴；軸推力平衝装置付；純粋な回転とは異なった方式をもつもの　１／００；３／００；２３／００<br>構成部分品<br>ブレードとその支持部材，ブレード保護部材；可調整ブレードをもつロータ；固定子　５／００；７／００；９／００<br>内部漏えいに対する手段　１１／００<br>機械や機関の組み合わせまたは結合　１３／００，１５／００<br>調速，制御，安全装置　１７／００，１９／００；２１／００<br>始動；停止　１９／００；２１／００<br>他の部品と付属品　２５／００	NON-POSITIVE-DISPLACEMENT MACHINES OR ENGINES, e.g. STEAM TURBINES(combustion engines F02; machines or engines for liquids F03, F04; non-positive-displacement pumps F04D);<br><br><b><u>Note(s)</u></b><br><br>This subclass <u>covers</u>:non-positive-displacement engines for elastic fluids, e.g. steam turbines;non-positive-displacement engines for liquids and elastic fluids;non-positive-displacement machines for elastic fluids;non-positive-displacement machines for liquids and elastic fluids.Attention is drawn to the Notes preceding class F01, especially as regards the definitions of "reaction type", e.g. with airfoil-like blades, and "impulse type", e.g. bucket turbines.<br><br><b><u>Subclass indexes</u></b><br><br><br>NON-POSITIVE-DISPLACEMENT MACHINES OR ENGINES<br>General characteristics; with axial-thrust balancing; with other than pure rotation F01D1/00; F01D3/00; F01D23/00<br>Component parts<br>blades and carrying members, protection thereof; rotors with adjustable blades; stators F01D5/00; F01D7/00; F01D9/00<br>means against internal leakage F01D11/00<br>COMBINATIONS OR ADAPTATIONS OF MACHINES OR ENGINES F01D13/00, F01D15/00<br>REGULATION, CONTROLLING, SAFETY MEANS F01D17/00, F01D19/00, F01D21/00<br>STARTING; SHUTTING-DOWN F01D19/00; F01D21/00<br>OTHER DETAILS AND ACCESSORIES F01D25/00	446
F01K		蒸気機関設備；蒸気アキュムレータ；他に分類されない機関設備；特殊な作動流体またはサイクルを用いた機関（ガスタービンあるいはジェット推進設備Ｆ０２；蒸気発生Ｆ２２；原子力動力設備，その機関の配設Ｇ２１Ｄ）<br><b><ul>注</ul></b><br>クラスＦ０１の前の注，特に“蒸気”および“特殊蒸気”に注意すること。<br><b><ul>サブクラス内の索引</ul></b><br>蒸気機関設備<br>次のものを使用する事を特徴とするもの<br>アキュムレータあるいは加熱器；アルカリ中に貯蔵する装置；特殊機関　３／００；５／００；７／００<br>特殊な蒸気系，サイクルまたはプロセスをもつもの　７／００<br>次のものの構成を特徴とするもの<br>復水器；機関とボイラまたは復水器の構造的結合　９／００；１１／００<br>他に分類されないもの　２１／００<br>一般的配置または運転法；特殊な用途への応用　１３／００；１５／００<br>蒸気への利用<br>給水加熱のためのもの；再生またはその他の処理におけるもの；他の目的のためのもの　７／３４；１９／００；１７／００<br>蒸気の利用に制限されない機関設備<br>異なった流体によって駆動される数個の機関をもったもの　２３／００<br>他に分類されないもの，特殊な動作流体をもったもの，または閉鎖サイクルで動作するもの　２５／００，２７／００<br>蒸気アキュムレータ　１／００<br>特殊な形の機関<br>蒸気機関　７／００<br>蒸気以外のもの　２５／００	STEAM ENGINE PLANTS; STEAM ACCUMULATORS; ENGINE PLANTS NOT OTHERWISE PROVIDED FOR; ENGINES USING SPECIAL WORKING FLUIDS OR CYCLES(gas-turbine or jet-propulsion plants F02; steam generation F22; nuclear power plants, engine arrangements therein G21D);<br><br><b><u>Note(s)</u></b><br><br>Attention is drawn to the Notes preceding class F01, especially as regards the definitions of "steam" and "special vapour".<br><br><b><u>Subclass indexes</u></b><br><br><br>STEAM ENGINE PLANTS<br>Characterised by the use of<br>accumulators or heaters; storing means in alkali; specific types of engines F01K3/00; F01K5/00; F01K7/00<br>special steam systems, cycles, or processes F01K7/00<br>Characterised by the disposition of<br>condenser; structural combination of engine and boiler or condenser F01K9/00; F01K11/00<br>Not otherwise provided for F01K21/00<br>General layout or operation; adaptations for special use F01K13/00; F01K15/00<br>Utilisation of steam<br>for feed-water heating; in the regeneration or other treating; for other purposes F01K7/34; F01K19/00; F01K17/00<br>ENGINE PLANTS NOT RESTRICTED TO STEAM UTILISATION<br>With several engines driven by different fluids F01K23/00<br>Not otherwise provided for, other types with special working fluids or working with enclosed cycles F01K25/00, F01K27/00<br>STEAM ACCUMULATORS F01K1/00<br>SPECIAL TYPES OF ENGINES<br>Steam engines F01K7/00<br>Other than steam F01K25/00	407
F01L		周期的に作動する機械または機関用弁<br><b><ul>注</ul></b><br>（１）　グループ１／００から１３／００は可変流体配分の装備をもたない弁装置または弁配列のみを包含する。［２００９．０１］<br>（２）　蒸気機関に特に適合する弁装置または弁配置はグループ１５／００から３５／００に包含される。［２００９．０１］<br>（３）　可変作動流体配分のある機械または機関に特に適合した弁装置または弁配置はグループ１５／００から３５／００に包含される。［２００９．０１］<br>（４）クラスＦ０１の前の注，特に注（３）に注意すること。<br>（５）上記注（３）に関して，Ｆ０１Ｂ３／１０，Ｆ０１Ｂ１５／０６，Ｆ０１Ｃ２０／２０，Ｆ０１Ｃ２１／１８，Ｆ０２Ｂ５３／０６，Ｆ０３Ｃ１／０８，Ｆ０４Ｂ１／１８，Ｆ０４Ｂ７／００，Ｆ０４Ｂ３９／０８，Ｆ０４Ｂ３９／１０，Ｆ０４Ｃ１４／００，Ｆ０４Ｃ１５／０６，Ｆ０４Ｃ２８／００およびＦ０４Ｃ２９／１２に注意すること。<br><b><ul>サブクラス内の索引</ul></b><br>弁装置または弁配列一般<br>一般的事項　１／００<br>作動<br>機械的なもの　１／００<br>機械的でないもの　９／００<br>リフト弁　３／００<br>スライド弁に関するもの　５／００，７／００<br>ピストンまたはピストンロッドにおける配列　１１／００<br>機関の動作を促進させるための変形　１３／００<br>作動流体を可変分配するための弁装置または弁配列<br>一般的事項　１／００<br>スライド弁をもつもの<br>シリンダまたはピストンをとり巻くもの　１７／００<br>回転または振動をするもの；組み合わせたもの　３３／００；１９／００<br>その他の事項　１５／００<br>リフト弁をもつもの　３５／００<br>特殊性をもつ配列；逆運動装置　２１／００〜２７／００；２９／００<br>その他の弁装置または配列　１５／００<br>駆動，制御，または調整　２５／００，３１／００	CYCLICALLY OPERATING VALVES FOR MACHINES OR ENGINES; <br><br><b><u>Note(s)</u></b><br><br>Groups F01L1/00 to F01L13/00  <u>cover</u> only valve-gear or valve arrangements without provision for variable fluid distribution.Valve gear or valve arrangements specially adapted for steam engines are covered by groups F01L15/00 to F01L35/00 .Valve-gear or valve arrangements specially adapted for machines or engines with variable working-fluid distribution are covered by groups F01L15/00 to F01L35/00 .Attention is drawn to the Notes preceding class F01, especially Note (3).As regards the above-mentioned Note (3), attention is drawn to F01B3/10, F01B15/06, F01C20/20, F01C21/18, F02B53/06, F03C1/08, F04B1/18, F04B7/00, F04B39/08, F04B39/10, F04C14/00, F04C15/06, F04C28/00 and F04C29/12.<br><br><b><u>Subclass indexes</u></b><br><br><br>VALVE-GEAR OR VALVE ARRANGEMENTS IN GENERAL<br>General features F01L1/00<br>Operation<br>mechanical F01L1/00<br>non-mechanical F01L9/00<br>Lift valves F01L3/00<br>Slide valves F01L5/00, F01L7/00<br>Arrangements in piston or piston-rod F01L11/00<br>Modified to facilitate engine operations F01L13/00<br>VALVE-GEAR OR VALVE ARRANGEMENTS FOR VARIABLE WORKING-FLUID DISTRIBUTION<br>General features F01L1/00<br>With slide valves<br>surrounding cylinder or piston F01L17/00<br>with rotary or oscillatory motion; combined F01L33/00; F01L19/00<br>other features F01L15/00<br>With lift valves F01L35/00<br>Arrangements with particular characteristics; reversing gear F01L21/00 to F01L27/00 ; F01L29/00<br>Other valve-gear or valve arrangements F01L15/00<br>Drive, control, or adjustment F01L25/00, F01L31/00	467
F01M		機械または機関の潤滑一般；内燃機関の潤滑；クランク室の換気［２］<br><b><ul>注</ul></b><br>（１）クラスＦ０１の前の注，特に注（３）に注意すること。<br>（２）以下の，特定の機械または機関の潤滑を包含する箇所に注意すること。［８］<br>Ｆ０１Ｂ　３１／１０　蒸気機関［８］<br>Ｆ０１Ｃ　２１／０４　回転ピストンまたは振動ピストン機械または機関［８］<br>Ｆ０１Ｄ　２５／１８　非容積形機械［８］<br>Ｆ０２Ｃ　　７／０６　ガスタービン設備［８］<br>Ｆ０２Ｆ　　１／２０　燃焼機関のシリンダ［８］<br>Ｆ０４Ｂ　３９／０２　圧縮性流体用ポンプ［８］<br>Ｆ０４Ｃ　２９／０２　流体用回転ピストンまたは振動ピストンポンプ［８］<br>Ｆ０４Ｄ　２９／０４　非容積形ポンプ［８］<br><b><ul>サブクラス内の索引</ul></b><br>強制潤滑　１／００<br>特殊な潤滑　３／００，７／００，９／００<br>潤滑剤の調整　５／００<br>部品，付属品　１１／００<br>クランク室の換気　１３／００	LUBRICATING OF MACHINES OR ENGINES IN GENERAL; LUBRICATING INTERNAL-COMBUSTION ENGINES; CRANKCASE VENTILATING; <br><br><b><u>Note(s)</u></b><br><br>Attention is drawn to the Notes preceding class F01, especially as regards Note (3).Attention is drawn to the following places, which cover lubrication of specific machines or engines:F01B31/10Steam enginesF01C21/04Rotary-piston or oscillating-piston machines or enginesF01D25/18Non-positive-displacement machinesF02C7/06Gas-turbine plantsF02F1/20Cylinders of combustion enginesF04B39/02Pumps for elastic fluidsF04C29/02Rotary-piston or oscillating-piston pumps for liquidsF04D29/04Non-positive-displacement pumps<br><br><b><u>Subclass indexes</u></b><br><br><br>PRESSURE LUBRICATION F01M1/00<br>SPECIAL LUBRICATION F01M3/00, F01M7/00, F01M9/00<br>LUBRICANT CONDITIONING F01M5/00<br>DETAILS, ACCESSORIES F01M11/00<br>CRANKCASE VENTILATION F01M13/00	332
F01N		機械または機関のためのガス流消音器または排気装置一般；内燃機関用ガス流消音器または排気装置（車両の推進装置の排気に関する配置Ｂ６０Ｋ１３／００；特に内燃機関に応用され，結合される燃焼空気入口消音器Ｆ０２Ｍ３５／００；雑音の防止あるいは軽減一般Ｇ１０Ｋ１１／１６）<br><b><ul>注</ul></b><br>クラスＦ０１の前の注，特に注（３）に注意すること。	GAS-FLOW SILENCERS OR EXHAUST APPARATUS FOR MACHINES OR ENGINES IN GENERAL; GAS-FLOW SILENCERS OR EXHAUST APPARATUS FOR INTERNAL-COMBUSTION ENGINES(arrangements in connection with gas exhaust of propulsion units in vehicles B60K13/00; combustion-air intake silencers specially adapted for, or arranged on, internal-combustion engines F02M35/00; protecting against, or damping, noise in general G10K11/16);<br><br><b><u>Note(s)</u></b><br><br>Attention is drawn to the Notes preceding class F01, especially as regards Note (3).	1146
F01P		機械またはエンジンの冷却；内燃機関の冷却（車両の推進装置の冷却に関する配置Ｂ６０Ｋ１１／００；伝熱，熱交換，または蓄熱用の物質Ｃ０９Ｋ５／００；熱交換一般，ラジエーターＦ２８）<br><b><ul>注</ul></b><br>（１）このサブクラスにおいては，下記の用語または表現は以下に示す意味で用いる：<br>―“空気”は他のガス状冷却流体も含む；<br>―“液体冷却”は液体が被冷却物体と空気との間の熱移送流体として使用される冷却，例．ラジエータを用いるものも含む；<br>―“空気冷却”は直接的な空気冷却を意味し，上記液体冷却で説明したように液体冷却系統内でおこる間接的な空気冷却は含まない；<br>―“冷却空気”は直接あるいは間接的に冷却空気として作用するものを含む。<br>（２）クラスＦ０１の前の注，特に注（３）に注意すること。<br>（３）潤滑剤による冷却は，潤滑に要旨があるときはＦ０１Ｍに，冷却に要旨があるときはＦ０１Ｐに分類される。	COOLING OF MACHINES OR ENGINES IN GENERAL; COOLING OF INTERNAL-COMBUSTION ENGINES(arrangements in connection with cooling of propulsion units in vehicles B60K11/00; heat-transfer, heat-exchange or heat-storage materials C09K5/00; heat-exchange in general, radiators F28);<br><br><b><u>Note(s)</u></b><br><br>In this subclass, the following terms or expressions are used with the meanings indicated:"air" also includes other gaseous cooling fluids;"liquid cooling" also includes cooling where liquid is used as the heat-transferring fluid between parts to be cooled and the air, e.g. using radiators;"air cooling" means direct air cooling and thus excludes indirect air cooling occurring in liquid cooling systems as explained under liquid cooling above;"cooling-air" includes directly- or indirectly-acting cooling-air.Attention is drawn to the Notes preceding class F01, especially as regards Note (3).Cooling by lubricant is classified in subclass F01M when the lubrication aspect predominates, and in subclass F01P when the cooling aspect predominates.	337
F02		燃焼機関；熱ガスまたは燃焼生成物を利用する機関設備	COMBUSTION ENGINES; HOT-GAS OR COMBUSTION-PRODUCT ENGINE PLANTS	
