A44B1/00	7	Buttons	A44B1/00	A44B1/00		384
A44B1/02	8	characterised by their material	A44B1/02	A44B1/02		430
A44B1/04	8	Ornamental buttons	A44B1/04	A44B1/04		599
A44B1/06	8	Assembling of buttons (covering by braiding D04D)	A44B1/06	A44B1/06		197
A44B1/08	8	Constructional characteristics	A44B1/08	A44B1/08		467
A44B1/10	9	washable	A44B1/10	A44B1/10		17
A44B1/12	9	covered by fabric	A44B1/12	A44B1/12		351
A44B1/123	10	{with a removable fabric covering}	A44B1/12	A44B1/12		29
A44B1/126	10	{Manufacture not otherwise provided for}	A44B1/12	A44B1/12		157
A44B1/14	9	with replaceable {or protective} coverings {(removable fabric coverings A44B1/123; sleeve-links concealing a sewed-on button A44B5/007)}	A44B1/14	A44B1/14		382
A44B1/18	8	adapted for special ways of fastening	A44B1/18	A44B1/18		381
A44B1/185	9	{with quick, thread-like, anchoring means avoiding the use of a separate needle and thread}	A44B1/18	A44B1/18		155
A44B1/20	9	attached by thread visible to the front {(A44B1/185 takes precedence)}	A44B1/20	A44B1/20		204
A44B1/22	9	attached by thread not visible to the front {(A44B1/185 takes precedence)}	A44B1/22	A44B1/22		58
A44B1/24	10	Eye-buttons	A44B1/24	A44B1/24		347
A44B1/26	9	with resilient shank	A44B1/26	A44B1/26		20
A44B1/28	9	with shank and counterpiece	A44B1/28	A44B1/28		788
A44B1/30	10	Screw-buttons	A44B1/30	A44B1/30		367
A44B1/32	10	Shank inserted into counterpiece and locked by sliding or rotating	A44B1/32	A44B1/32		286
A44B1/34	10	with snap-action counterpiece	A44B1/34	A44B1/34		725
A44B1/36	10	with counterpiece in the form of cotter, split-pin, or the like	A44B1/36	A44B1/36		382
A44B1/38	9	Clamping by spring action	A44B1/38	A44B1/38		109
A44B1/40	9	with helical wire-shank screwed into material	A44B1/40	A44B1/40		155
A44B1/42	9	with deformable prongs	A44B1/42	A44B1/42		206
A44B1/44	9	with deformable counterpiece	A44B1/44	A44B1/44		652
A44B3/00	7	Collar-studs	A44B3/00	A44B3/00		349
A44B3/02	8	completely rigid	A44B3/02	A44B3/02		361
A44B3/04	8	with head tiltable as a whole	A44B3/04	A44B3/04		92
A44B3/06	8	with head formed as two tiltable flaps	A44B3/06	A44B3/06		33
A44B3/08	8	with head and base separable	A44B3/08	A44B3/08		122
A44B5/00	7	Sleeve-links	A44B5/00	A44B5/00		819
A44B5/002	8	{with head tiltable as a whole}	A44B5/00	A44B5/00		547
A44B5/005	8	{formed as two tiltable flaps}	A44B5/00	A44B5/00		147
A44B5/007	8	{concealing a sewed-on button (buttons with replaceable coverings A44B1/14)}	A44B5/00	A44B5/00		36
A44B5/02	8	with separable parts	A44B5/02	A44B5/02		531
A44B6/00	7	Retainers or tethers for neckties, cravats, neckerchiefs, or the like, e.g. tie-clips, spring clips with attached tie-tethers, woggles, pins with associated sheathing members tetherable to clothing (tie-pins A44B9/08; decorative or ornamental aspects A44C)	A44B6/00	A44B6/00		817
A44B7/00	7	Cards for buttons, collar-studs, or sleeve-links	A44B7/00	A44B7/00		86
A44B9/00	7	Hat, scarf, or safety pins or the like (decorative or ornamental aspect A44C; hair pins A45D8/02; sewing needles D05B85/00)	A44B9/00	A44B9/00		208
A44B9/02	8	Simple pins	A44B9/02	A44B9/02		75
A44B9/04	9	Ordinary pins	A44B9/04	A44B9/04		86
A44B9/06	9	Hat-pins (other fastening means for head coverings A42B7/00)	A44B9/06	A44B9/06		170
A44B9/08	9	Tie-pins (pins with associated sheathing members tetherable to clothing A44B6/00)	A44B9/08	A44B9/08		70
A44B9/10	9	Safety devices	A44B9/10	A44B9/10		579
A44B9/12	8	Safety-pins	A44B9/12	A44B9/12		305
A44B9/125	9	{made of plastics}	A44B9/12	A44B9/12		13
A44B9/14	9	Ordinary safety-pins	A44B9/14	A44B9/14		585
A44B9/16	9	Brooches; Breast-pins	A44B9/16	A44B9/16		185
