B25B1/00	7	Vices (specially adapted for tying flies for angling A01K97/28; specially adapted for machine tools B23Q3/00{; rope or cable splicing vices D07B7/162})	B25B1/00	B25B1/00		116
B25B1/02	8	with sliding jaws	B25B1/02	B25B1/02		796
B25B1/04	8	with pivoted jaws	B25B1/04	B25B1/04		206
B25B1/06	8	Arrangements for positively actuating jaws	B25B1/06	B25B1/06		295
B25B1/08	9	using cams	B25B1/08	B25B1/08		616
B25B1/10	9	using screws	B25B1/10	B25B1/10		524
B25B1/103	10	{with one screw perpendicular to the jaw faces, e.g. a differential or telescopic screw}	B25B1/10	B25B1/10		1501
B25B1/106	10	{with mechanical or hydraulic power amplifiers}	B25B1/10	B25B1/10		187
B25B1/12	10	with provision for disengagement	B25B1/12	B25B1/12		251
B25B1/125	11	{with one screw perpendicular to the jaw faces}	B25B1/12	B25B1/12		867
B25B1/14	9	using toggle links	B25B1/14	B25B1/14		100
B25B1/16	9	by pedal, with or without provision for additional manual actuation	B25B1/16	B25B1/16		127
B25B1/18	9	motor driven, e.g. with fluid drive, with or without provision for manual actuation	B25B1/18	B25B1/18		704
B25B1/20	8	Vices for clamping work of special profile, e.g. pipes	B25B1/20	B25B1/20		736
B25B1/205	9	{Vices of the chain or strip type}	B25B1/20	B25B1/20		337
B25B1/22	8	Arrangements for turning or tilting vices	B25B1/22	B25B1/22		916
B25B1/24	8	Details, e.g. jaws of special shape, slideways	B25B1/24	B25B1/24		771
B25B1/2405	9	{Construction of the jaws}	B25B1/24	B25B1/24		791
B25B1/241	10	{characterised by surface features or material}	B25B1/24	B25B1/24		334
B25B1/2415	11	{being composed of a plurality of parts adapting to the shape of the workpiece}	B25B1/24	B25B1/24		66
B25B1/2421	12	{the parts having a linear movement}	B25B1/24	B25B1/24		283
B25B1/2426	12	{the parts having a pivotal movement}	B25B1/24	B25B1/24		123
B25B1/2431	10	{the whole jaw being pivotable around an axis perpendicular to the actioning direction of the vice}	B25B1/24	B25B1/24		20
B25B1/2436	11	{around a vertical axis (B25B1/2447 takes precedence)}	B25B1/24	B25B1/24		129
B25B1/2442	11	{around a horizontal axis (B25B1/2447 takes precedence)}	B25B1/24	B25B1/24		41
B25B1/2447	11	{to put one of the jaw faces in a position opposite to the second jaw}	B25B1/24	B25B1/24		50
B25B1/2452	10	{with supplementary jaws}	B25B1/24	B25B1/24		616
B25B1/2457	10	{with auxiliary attachments}	B25B1/24	B25B1/24		267
B25B1/2463	11	{Supports for the workpiece}	B25B1/24	B25B1/24		190
B25B1/2468	11	{Lateral positioning arms}	B25B1/24	B25B1/24		86
B25B1/2473	10	{with pull-down action on the workpiece}	B25B1/24	B25B1/24		274
B25B1/2478	10	{with more than one pair of jaws}	B25B1/24	B25B1/24		281
B25B1/2484	9	{Supports}	B25B1/24	B25B1/24		606
B25B1/2489	9	{Slideways}	B25B1/24	B25B1/24		416
B25B1/2494	9	{Means indicating the distance between jaws or their angular position}	B25B1/24	B25B1/24		85
B25B3/00	7	Hand vices, i.e. vices intended to be held by hand; Pin vices	B25B3/00	B25B3/00		163
B25B5/00	7	Clamps (for holding or positioning work for welding, soldering, or cutting by applying heat locally B23K37/04)	B25B5/00	B25B5/00		315
B25B5/003	8	{Combinations of clamps}	B25B5/00	B25B5/00		1011
B25B5/006	8	{Supporting devices for clamps}	B25B5/00	B25B5/00		1117
B25B5/02	8	with sliding jaws	B25B5/02	B25B5/02		579
B25B5/04	8	with pivoted jaws	B25B5/04	B25B5/04		704
B25B5/06	8	Arrangements for positively actuating jaws	B25B5/06	B25B5/06		1182
B25B5/061	9	{with fluid drive (B25B5/087, B25B5/122 take precedence)}	B25B5/06	B25B5/06		995
B25B5/062	10	{with clamping means pivoting around an axis parallel to the pressing direction}	B25B5/06	B25B5/06		215
B25B5/064	10	{with clamping means pivoting around an axis perpendicular to the pressing direction (B25B5/122 takes precedence)}	B25B5/06	B25B5/06		301
B25B5/065	10	{involving the use of flexible pressure bags or diaphragms}	B25B5/06	B25B5/06		210
B25B5/067	9	{C-clamps (B25B5/061, B25B5/082, B25B5/101, B25B5/125 take precedence)}	B25B5/06	B25B5/06		141
B25B5/068	9	{with at least one jaw sliding along a bar (B25B5/061, B25B5/085, B25B5/102, B25B5/127 take precedence)}	B25B5/06	B25B5/06		637
B25B5/08	9	using cams	B25B5/08	B25B5/08		1038
B25B5/082	10	{C-clamps}	B25B5/08	B25B5/08		59
B25B5/085	10	{with at least one jaw sliding along a bar}	B25B5/08	B25B5/08		212
B25B5/087	10	{actuated by a hydraulic or pneumatic piston}	B25B5/08	B25B5/08		414
B25B5/10	9	using screws	B25B5/10	B25B5/10		1371
B25B5/101	10	{C-clamps}	B25B5/10	B25B5/10		694
B25B5/102	10	{with at least one jaw sliding along a bar}	B25B5/10	B25B5/10		870
B25B5/103	10	{with a hinge}	B25B5/10	B25B5/10		230
B25B5/104	10	{with one screw and one clamping lever and one fulcrum element}	B25B5/10	B25B5/10		85
B25B5/105	11	{with one end of the lever resting on a table and the screw being positioned between the ends of the lever}	B25B5/10	B25B5/10		87
B25B5/106	11	{with one end of the lever resting on an additional block and the screw being positioned between the ends of the lever}	B25B5/10	B25B5/10		187
B25B5/107	12	{Blocks therefor}	B25B5/10	B25B5/10		103
B25B5/108	11	{the screw contacting one of the ends of the lever}	B25B5/10	B25B5/10		119
B25B5/109	10	{with two screws, e.g. parallel screw clamps}	B25B5/10	B25B5/10		179
B25B5/12	9	using toggle links	B25B5/12	B25B5/12		752
B25B5/122	10	{with fluid drive}	B25B5/12	B25B5/12		554
B25B5/125	10	{C-clamps}	B25B5/12	B25B5/12		48
B25B5/127	10	{with at least one jaw sliding along a bar}	B25B5/12	B25B5/12		116
B25B5/14	8	Clamps for work of special profile {(using chains or strips B25B1/205)}	B25B5/14	B25B5/14		840
B25B5/142	9	{for windows and frames}	B25B5/14	B25B5/14		657
B25B5/145	9	{for plates}	B25B5/14	B25B5/14		376
B25B5/147	9	{for pipes}	B25B5/14	B25B5/14		979
B25B5/16	8	Details, e.g. jaws, jaw attachments	B25B5/16	B25B5/16		1150
B25B5/163	9	{Jaws or jaw attachments}	B25B5/16	B25B5/16		1655
B25B5/166	9	{Slideways; Guiding and/or blocking means for jaws thereon}	B25B5/16	B25B5/16		499
B25B7/00	7	Pliers; Other hand-held gripping tools with jaws on pivoted limbs; Details applicable generally to pivoted-limb hand tools (implements for fastening, connecting, or tensioning wire or strip B25B25/00; adapted for other fitting or separating purposes B25B27/00; for marking animals A01K11/00; dentists&apos; forceps A61C3/00; bending wire eyes B21F1/06; hand-held metal-shearing or metal-cutting devices B23D29/00; hand cutting tools B26B; for punching or perforating B26F1/36; devices for securing ends of binding material in bundling machines B65B13/24; specially designed for watch-making or comparable work G04D1/00)	B25B7/00	B25B7/00		1296
B25B7/02	8	Jaws	B25B7/02	B25B7/02		2994
B25B7/04	9	adjustable	B25B7/04	B25B7/04		968
B25B7/06	8	Joints	B25B7/06	B25B7/06		272
B25B7/08	9	with fixed fulcrum	B25B7/08	B25B7/08		494
B25B7/10	9	with adjustable fulcrum	B25B7/10	B25B7/10		1145
B25B7/12	8	involving special transmission means between the handles and the jaws, e.g. toggle levers, gears	B25B7/12	B25B7/12		1578
B25B7/123	9	{with self-locking toggle levers}	B25B7/12	B25B7/12		747
B25B7/126	9	{with fluid drive}	B25B7/12	B25B7/12		170
B25B7/14	8	Locking means {(B25B7/123 takes precedence)}	B25B7/14	B25B7/14		514
B25B7/16	9	combined with means for tightening the operating arms of jaws	B25B7/16	B25B7/16		268
B25B7/18	8	Adjusting means for the operating arms	B25B7/18	B25B7/18		483
B25B7/20	8	Pliers for sealing	B25B7/20	B25B7/20		222
B25B7/22	8	Pliers provided with auxiliary tool elements, e.g. cutting edges, nail extractors (for removing insulation or armouring from electric cables H02G1/12)	B25B7/22	B25B7/22		1301
B25B9/00	7	Hand-held gripping tools other than those covered by group B25B7/00(wrenches B25B13/00; specially adapted for watchmakers&apos; or like use G04D)	B25B9/00	B25B9/00		1483
B25B9/02	8	without sliding or pivotal connections, e.g. tweezers, onepiece tongs	B25B9/02	B25B9/02		1186
B25B9/04	8	with sliding jaws	B25B9/04	B25B9/04		82
B25B11/00	7	Work holders not covered by any preceding group in the subclass, e.g. magnetic work holders, vacuum work holders (for holding or positioning work for welding, soldering, or cutting by applying heat locally B23K37/04; specially adapted to machine tools B23Q3/00)	B25B11/00	B25B11/00		19638
B25B11/002	8	{Magnetic work holders}	B25B11/00	B25B11/00		1058
B25B11/005	8	{Vacuum work holders}	B25B11/00	B25B11/00		2332
B25B11/007	9	{portable, e.g. handheld}	B25B11/00	B25B11/00		715
B25B11/02	8	Assembly jigs	B25B11/02	B25B11/02		9607
B25B13/00	7	Spanners; Wrenches (hand-driven gear-operated B25B17/00; impact wrenches B25B19/00; portable power-driven B25B21/00{; spanners or wrenches pecially adapted for osteosynthesis A61B17/8875}; machines for fitting together or separating metal parts B23P19/00{; for mounting or dismounting wheels B60B29/003})	B25B13/00	B25B13/00		573
B25B13/005	8	{Cross wrenches}	B25B13/00	B25B13/00		165
B25B13/02	8	with rigid jaws (B25B13/46, B25B13/48 take precedence)	B25B13/02	B25B13/02		526
B25B13/04	9	of ring jaw type	B25B13/04	B25B13/04		1186
B25B13/06	9	of socket type	B25B13/06	B25B13/06		3039
B25B13/065	10	{characterised by the cross-section of the socket}	B25B13/06	B25B13/06		870
B25B13/08	9	of open jaw type	B25B13/08	B25B13/08		1786
B25B13/10	8	with adjustable jaws (B25B13/46, B25B13/48{B25B13/5041} take precedence)	B25B13/10	B25B13/10		426
B25B13/102	9	{composed of a plurality of sockets slidable in each other}	B25B13/10	B25B13/10		247
B25B13/105	9	{composed of a plurality of slidable pins}	B25B13/10	B25B13/10		93
B25B13/107	9	{composed of a main body with exchangeable inserts}	B25B13/10	B25B13/10		188
B25B13/12	9	the jaws being slidable	B25B13/12	B25B13/12		1647
B25B13/14	10	by rack and pinion, worm or gear	B25B13/14	B25B13/14		1813
B25B13/16	10	by screw or nut	B25B13/16	B25B13/16		1688
B25B13/18	10	by cam, wedge, or lever	B25B13/18	B25B13/18		549
B25B13/20	10	Arrangements for locking the jaws	B25B13/20	B25B13/20		249
B25B13/22	11	by ratchet action or toothed bars	B25B13/22	B25B13/22		1500
B25B13/24	11	by cam, wedge, or friction means	B25B13/24	B25B13/24		344
B25B13/26	11	by toggle links	B25B13/26	B25B13/26		69
B25B13/28	9	the jaws being pivotally movable	B25B13/28	B25B13/28		825
B25B13/30	10	by screw or nut	B25B13/30	B25B13/30		120
B25B13/32	10	by cam, wedge or lever	B25B13/32	B25B13/32		190
B25B13/34	10	Arrangements for locking the jaws	B25B13/34	B25B13/34		54
B25B13/36	11	by ratchet action	B25B13/36	B25B13/36		58
B25B13/38	11	by cam, wedge, or friction means	B25B13/38	B25B13/38		27
B25B13/40	11	by toggle links	B25B13/40	B25B13/40		17
B25B13/42	11	with self-locking action	B25B13/42	B25B13/42		14
B25B13/44	8	of the chuck type	B25B13/44	B25B13/44		618
B25B13/46	8	of the ratchet type, for providing a free return stroke of the handle	B25B13/46	B25B13/46		1667
B25B13/461	9	{with concentric driving and driven member}	B25B13/46	B25B13/46		715
B25B13/462	10	{the ratchet parts engaging in a direction radial to the tool operating axis}	B25B13/46	B25B13/46		704
B25B13/463	11	{a pawl engaging an externally toothed wheel}	B25B13/46	B25B13/46		3061
B25B13/465	11	{a pawl engaging an internally toothed ring}	B25B13/46	B25B13/46		555
B25B13/466	10	{the ratchet parts engaging in an axial direction}	B25B13/46	B25B13/46		257
B25B13/467	10	{which are gear-operated}	B25B13/46	B25B13/46		439
B25B13/468	10	{with possibility of locking the ratchet mechanism}	B25B13/46	B25B13/46		199
B25B13/48	8	for special purposes	B25B13/48	B25B13/48		3455
B25B13/481	9	{for operating in areas having limited access}	B25B13/48	B25B13/48		1851
B25B13/483	9	{for spark plugs}	B25B13/48	B25B13/48		158
B25B13/485	9	{for theft-proof screws, bolts or nuts}	B25B13/48	B25B13/48		335
B25B13/486	10	{using a threaded connection between screw and tool}	B25B13/48	B25B13/48		38
B25B13/488	9	{for connections where two parts must be turned in opposite directions by one tool}	B25B13/48	B25B13/48		305
B25B13/50	9	for operating on work of special profile, e.g. pipes	B25B13/50	B25B13/50		900
B25B13/5008	10	{for operating on pipes or cylindrical objects (B25B13/52 takes precedence)}	B25B13/50	B25B13/50		133
B25B13/5016	11	{by externally gripping the pipe}	B25B13/50	B25B13/50		242
B25B13/5025	12	{using a pipe wrench type tool}	B25B13/50	B25B13/50		42
B25B13/5033	13	{with fixed jaws}	B25B13/50	B25B13/50		54
B25B13/5041	13	{with movable or adjustable jaws}	B25B13/50	B25B13/50		66
B25B13/505	14	{Pivotally moving or adjustable}	B25B13/50	B25B13/50		609
B25B13/5058	14	{Linearly moving or adjustable, e.g. with an additional small tilting or rocking movement}	B25B13/50	B25B13/50		1107
B25B13/5066	12	{using rollers moving along radial cams in a cage structure at least partially surrounding the pipe}	B25B13/50	B25B13/50		44
B25B13/5075	12	{using jaws moving along radial cams or by excentric disks in a cage structure at least partially surrounding the pipe}	B25B13/50	B25B13/50		68
B25B13/5083	11	{by internally gripping the pipe}	B25B13/50	B25B13/50		99
B25B13/5091	10	{for operating on wing nuts, hooks, eye hooks or the like}	B25B13/50	B25B13/50		405
B25B13/52	10	Chain or strap wrenches	B25B13/52	B25B13/52		998
B25B13/54	10	Internal grip wrenches {(B25B13/5083 takes precedence)}	B25B13/54	B25B13/54		240
B25B13/56	8	Spanner sets	B25B13/56	B25B13/56		1124
B25B13/58	8	Jaw attachments	B25B13/58	B25B13/58		378
B25B15/00	7	Screwdrivers (hand-driven gear-operated B25B17/00; impact screwdrivers B25B19/00; portable power-driven B25B21/00{; screwdrivers specially adapted for osteosynthesis A61B17/8875})	B25B15/00	B25B15/00		875
B25B15/001	8	{characterised by material or shape of the tool bit}	B25B15/00	B25B15/00		790
B25B15/002	9	{characterised by material used or surface finishing}	B25B15/00	B25B15/00		149
B25B15/004	9	{characterised by cross-section}	B25B15/00	B25B15/00		314
B25B15/005	10	{with cross- or star-shaped cross-section}	B25B15/00	B25B15/00		803
B25B15/007	10	{with blade of flat or substantially flat cross-section}	B25B15/00	B25B15/00		492
B25B15/008	10	{Allen-type keys}	B25B15/00	B25B15/00		815
B25B15/02	8	operated by rotating the handle	B25B15/02	B25B15/02		2281
B25B15/04	9	with ratchet action	B25B15/04	B25B15/04		992
B25B15/06	8	operated by axial movement of the handle	B25B15/06	B25B15/06		379
B25B17/00	7	Hand-driven gear-operated wrenches or screwdrivers (ratchet-operated B25B13/46{B25B13/467}, B25B15/04; {for mounting or dismounting wheels B60B29/005})	B25B17/00	B25B17/00		1176
B25B17/02	8	providing for torque amplification	B25B17/02	B25B17/02		429
B25B19/00	7	Impact wrenches or screwdrivers (portable power-driven B25B21/02)	B25B19/00	B25B19/00		499
B25B21/00	7	Portable power-driven screw or nut setting or loosening tools; (details or components, e.g. casings, bodies, of portable power-driven tools not particularly related to the operation performed B25F5/00; {for mounting or dismounting wheels B60B29/006}); Attachments for drilling apparatus serving the same purpose (machines B23P19/06)	B25B21/00	B25B21/00		4750
B25B21/001	8	{Combined nut setting and crimping}	B25B21/00	B25B21/00		155
B25B21/002	8	{for special purposes}	B25B21/00	B25B21/00		1440
B25B21/004	8	{of the ratchet type}	B25B21/00	B25B21/00		506
B25B21/005	9	{driven by a radially acting hydraulic or pneumatic piston}	B25B21/00	B25B21/00		495
B25B21/007	8	{Attachments for drilling apparatus for screw or nut setting or loosening}	B25B21/00	B25B21/00		510
B25B21/008	8	{with automatic change-over from high speed-low torque mode to low speed-high torque mode}	B25B21/00	B25B21/00		255
B25B21/02	8	with means for imparting impact to screwdriver blade or nut socket	B25B21/02	B25B21/02		1693
B25B21/023	9	{for imparting an axial impact, e.g. for self-tapping screws}	B25B21/02	B25B21/02		212
B25B21/026	9	{Impact clutches}	B25B21/02	B25B21/02		649
B25B23/00	7	Details of, or accessories for, spanners, wrenches, screwdrivers (bolt tensioners B25B29/02)	B25B23/00	B25B23/00		3197
B25B23/0007	8	{Connections or joints between tool parts}	B25B23/00	B25B23/00		752
