B42C1/00	7	Collating or gathering sheets combined with processes for permanently attaching together sheets or signatures or for interposing inserts (collating or gathering sheets or signatures without permanently attaching them together B65H39/00)	B42C1/00	B42C1/00		156
B42C1/10	8	Machines for both collating or gathering and interposing inserts	B42C1/10	B42C1/10		178
B42C1/12	8	Machines for both collating or gathering and permanently attaching together the sheets or signatures	B42C1/12	B42C1/12		986
B42C1/125	9	{Sheet sorters combined with binding devices}	B42C1/12	B42C1/12		234
B42C3/00	7	Making booklets, pads, or form sets from multiple webs	B42C3/00	B42C3/00		468
B42C5/00	7	Preparing the edges or backs of leaves or signatures for binding	B42C5/00	B42C5/00		209
B42C5/02	8	by rounding or backing	B42C5/02	B42C5/02		202
B42C5/04	8	by notching or roughening	B42C5/04	B42C5/04		194
B42C5/06	8	by fanning	B42C5/06	B42C5/06		15
B42C7/00	7	Manufacturing bookbinding cases or covers of {books or} loose-leaf binders (book covers B42D3/00)	B42C7/00	B42C7/00		509
B42C7/001	8	{Manufacturing suspended files}	B42C7/00	B42C7/00		43
B42C7/002	8	{Manufacturing loose-leaf binders, folders}	B42C7/00	B42C7/00		129
B42C7/003	9	{Attaching fasteners}	B42C7/00	B42C7/00		21
B42C7/004	8	{Rounding the back of covers}	B42C7/00	B42C7/00		40
B42C7/005	8	{Creasing the back of covers}	B42C7/00	B42C7/00		80
B42C7/006	8	{Folding the edges of covers}	B42C7/00	B42C7/00		118
B42C7/007	8	{Reinforcing corners of covers}	B42C7/00	B42C7/00		34
B42C7/008	8	{Conveying means between operation stations}	B42C7/00	B42C7/00		59
B42C7/009	8	{Decorating book covers}	B42C7/00	B42C7/00		119
B42C9/00	7	Applying glue or adhesive peculiar to bookbinding	B42C9/00	B42C9/00		596
B42C9/0006	8	{by applying adhesive to a stack of sheets}	B42C9/00	B42C9/00		426
B42C9/0012	9	{with a roller (B42C9/0043 takes precedence)}	B42C9/00	B42C9/00		168
B42C9/0018	10	{for binding stacks of sheets one at the time}	B42C9/00	B42C9/00		99
B42C9/0025	11	{and subsequently applying a cover (casing-in B42C11/00)}	B42C9/00	B42C9/00		103
B42C9/0031	10	{with continuous flow of stacks of sheets}	B42C9/00	B42C9/00		82
B42C9/0037	11	{and subsequently applying a cover (casing-in B42C11/00)}	B42C9/00	B42C9/00		59
B42C9/0043	9	{manually (bookbinding presses B42C13/003)}	B42C9/00	B42C9/00		101
B42C9/005	10	{and applying a cover (casing-in B42C11/00)}	B42C9/00	B42C9/00		7
B42C9/0056	8	{applying tape or covers precoated with adhesive to a stack of sheets (covers therefor B42D3/002)}	B42C9/00	B42C9/00		268
B42C9/0062	9	{the tape being fed from a roller}	B42C9/00	B42C9/00		49
B42C9/0068	10	{on a single stack of sheets}	B42C9/00	B42C9/00		55
B42C9/0075	10	{with a continuous flow of stacks of sheets}	B42C9/00	B42C9/00		29
B42C9/0081	8	{applying adhesive to individual sheets for binding them together (by fusing, welding B42C9/0093)}	B42C9/00	B42C9/00		303
B42C9/0087	9	{sheet shingling devices}	B42C9/00	B42C9/00		43
B42C9/0093	8	{by fusing, welding sheets together}	B42C9/00	B42C9/00		98
B42C9/02	8	for securing back linings, strips, ribbons or headbands	B42C9/02	B42C9/02		220
B42C9/025	9	{for securing bookmarkers}	B42C9/02	B42C9/02		35
B42C11/00	7	Casing-in	B42C11/00	B42C11/00		109
B42C11/02	8	Machines or equipment for casing-in or applying covers to pamphlets, magazines, pads, or other paper-covered booklets (B42C11/06 takes precedence)	B42C11/02	B42C11/02		240
B42C11/04	8	Machines or equipment for casing-in or applying covers to books (B42C11/06 takes precedence)	B42C11/04	B42C11/04		610
B42C11/045	9	{Folding end sheets, attaching end sheets to book blocks}	B42C11/04	B42C11/04		57
B42C11/06	8	Machines or equipment for casing-in by welding plastic materials	B42C11/06	B42C11/06		48
B42C13/00	7	Bookbinding presses (general features of presses B30B); Joint-creasing equipment for bookbinding; Drying or setting devices for books	B42C13/00	B42C13/00		480
B42C13/003	8	{Joint-creasing devices}	B42C13/00	B42C13/00		126
B42C13/006	8	{Drying or setting devices for books}	B42C13/00	B42C13/00		75
B42C15/00	7	Jacketing books	B42C15/00	B42C15/00		115
B42C17/00	7	Rebinding books	B42C17/00	B42C17/00		74
B42C19/00	7	Multi-step processes for making books	B42C19/00	B42C19/00		517
B42C19/02	8	starting with single sheets	B42C19/02	B42C19/02		455
B42C19/04	8	starting with signatures	B42C19/04	B42C19/04		124
B42C19/06	8	starting with webs not provided for elsewhere	B42C19/06	B42C19/06		176
B42C19/08	8	Conveying between operating stations in machines (conveyors in general B65G)	B42C19/08	B42C19/08		866
B42C99/00	7	Subject matter not provided for in other groups of this subclass	B42C99/00	B42C99/00		33
