B61L1/00	7	Devices along the route controlled by interaction with the vehicle or train (detonators B61L5/20; operation of points or signals by passage of the vehicle B61L11/00, B61L13/00; operation of gates, or gates and signals, by approaching vehicle B61L29/18)	B61L1/00	B61L1/00		251
B61L1/02	8	Electric devices associated with track {, e.g. rail contacts}	B61L1/02	B61L1/02		373
B61L1/025	9	{actuated by variation of resistance or by piezoelectricity}	B61L1/02	B61L1/02		36
B61L1/04	9	mechanically actuated by a part of the vehicle	B61L1/04	B61L1/04		299
B61L1/045	10	{actuated by fluid-pressure}	B61L1/04	B61L1/04		137
B61L1/06	9	actuated by deformation of rail; actuated by vibration in rail	B61L1/06	B61L1/06		284
B61L1/08	9	magnetically actuated; electrostatically actuated	B61L1/08	B61L1/08		161
B61L1/10	9	actuated by electromagnetic radiation; actuated by particle radiation	B61L1/10	B61L1/10		144
B61L1/12	8	Electric devices associated with overhead trolley wires	B61L1/12	B61L1/12		31
B61L1/14	8	Devices for indicating the passing of the end of the vehicle or train	B61L1/14	B61L1/14		141
B61L1/16	8	Devices for counting axles; Devices for counting vehicles	B61L1/16	B61L1/16		217
B61L1/161	9	{characterised by the counting methods}	B61L1/16	B61L1/16		326
B61L1/162	9	{characterised by the error correction}	B61L1/16	B61L1/16		96
B61L1/163	9	{Detection devices}	B61L1/16	B61L1/16		53
B61L1/164	10	{Mechanical}	B61L1/16	B61L1/16		89
B61L1/165	10	{Electrical}	B61L1/16	B61L1/16		463
B61L1/166	10	{Optical}	B61L1/16	B61L1/16		93
B61L1/167	9	{Circuit details}	B61L1/16	B61L1/16		289
B61L1/168	9	{Specific transmission details}	B61L1/16	B61L1/16		44
B61L1/169	9	{Diagnosis}	B61L1/16	B61L1/16		101
B61L1/18	8	Railway track circuits (rail joints E01B11/00, e.g. insulated rail joints E01B11/54)	B61L1/18	B61L1/18		327
B61L1/181	9	{Details}	B61L1/18	B61L1/18		339
B61L1/182	10	{Use of current of indifferent sort or a combination of different current types}	B61L1/18	B61L1/18		81
B61L1/183	11	{Use of means on the vehicle for improving short circuit, e.g. in vehicles with rubber bandages}	B61L1/18	B61L1/18		83
B61L1/184	11	{Use of additional conductors for examining leakages between rails}	B61L1/18	B61L1/18		16
B61L1/185	10	{Use of direct current}	B61L1/18	B61L1/18		247
