C09K3/00	7	Materials not provided for elsewhere<br><br><u>NOTE</u><br><br>When classifying in groups C09K3/10&#160;-&#160;C09K3/1028 the properties and uses of the material can be further indexed by using indexing codes chosen from C09K2003/1034&#160;-&#160;C09K2003/1096 and the chemical nature of the materials can be further indexed by using indexing codes chosen from C09K2200/00&#160;-&#160;C09K2200/0697	C09K3/00	C09K3/00		3481
C09K3/10	8	{Materials in mouldable or extrudable form} for sealing or packing joints or covers (filling pastes C09D5/34)	C09K3/10	C09K3/10		3403
C09K3/1003	9	{Pure inorganic mixtures}	C09K3/10	C09K3/10		89
C09K3/1006	9	{characterised by the chemical nature of one of its constituents}	C09K3/10	C09K3/10		560
C09K3/1009	10	{Fluorinated polymers, e.g. PTFE}	C09K3/10	C09K3/10		278
C09K3/1012	10	{Sulfur-containing polymers, e.g. polysulfides}	C09K3/10	C09K3/10		148
C09K3/1015	10	{Polysaccharides or derivatives thereof}	C09K3/10	C09K3/10		77
C09K3/1018	10	{Macromolecular compounds having one or more carbon-to-silicon linkages}	C09K3/10	C09K3/10		542
C09K3/1021	10	{Polyurethanes or derivatives thereof}	C09K3/10	C09K3/10		513
C09K3/1025	9	{characterised by non-chemical features of one or more of its constituents}	C09K3/10	C09K3/10		31
C09K3/1028	10	{Fibres}	C09K3/10	C09K3/10		340
C09K3/1031	9	{Sealing waxes, e.g. sealing letters, bottles, or the like}	C09K3/10	C09K3/10		57
C09K2003/1034	9	{Materials or components characterised by specific properties}	C09K3/10	C09K3/10		44
C09K2003/1037	10	{Intumescent materials}	C09K3/10	C09K3/10		70
C09K2003/104	10	{Water-swellable materials}	C09K3/10	C09K3/10		70
C09K2003/1043	10	{Non water-swellable materials}	C09K3/10	C09K3/10		10
C09K2003/1046	10	{Water-absorbing materials}	C09K3/10	C09K3/10		28
C09K2003/105	10	{Water-soluble materials}	C09K3/10	C09K3/10		10
C09K2003/1053	10	{Elastomeric materials}	C09K3/10	C09K3/10		95
C09K2003/1056	10	{Moisture-curable materials}	C09K3/10	C09K3/10		68
C09K2003/1059	10	{Heat-curable materials}	C09K3/10	C09K3/10		67
C09K2003/1062	10	{UV-curable materials}	C09K3/10	C09K3/10		123
C09K2003/1065	10	{Anaerobically hardenable materials}	C09K3/10	C09K3/10		38
