F15B1/00	7	Installations or systems with accumulators; Supply reservoir or sump assemblies	F15B1/00	F15B1/00		105
F15B1/02	8	Installations or systems with accumulators	F15B1/02	F15B1/02		2127
F15B1/021	9	{used for damping}	F15B1/02	F15B1/02		548
F15B1/022	9	{used as an emergency power source, e.g. in case of pump failure}	F15B1/02	F15B1/02		228
F15B1/024	9	{used as a supplementary power source, e.g. to store energy in idle periods to balance pump load}	F15B1/02	F15B1/02		1133
F15B1/025	9	{used for thermal compensation, e.g. to collect expanded fluid and to return it to the system as the system fluid cools down}	F15B1/02	F15B1/02		67
F15B1/027	9	having accumulator charging devices	F15B1/027	F15B1/027		890
F15B1/0275	10	{with two or more pilot valves, e.g. for independent setting of the cut-in and cut-out pressures}	F15B1/027	F15B1/027		90
F15B1/033	10	with electrical control means	F15B1/033	F15B1/033		436
F15B1/04	9	Accumulators	F15B1/04	F15B1/04		1024
F15B1/045	10	{Dead weight accumulators}	F15B1/04	F15B1/04		37
F15B1/08	10	using a gas cushion; Gas charging devices; Indicators or floats therefor	F15B1/08	F15B1/08		555
F15B1/083	11	{the accumulator having a fusible plug}	F15B1/08	F15B1/08		24
F15B1/086	11	{the gas cushion being entirely enclosed by the separating means, e.g. foam or gas-filled balls}	F15B1/08	F15B1/08		46
F15B1/10	11	with flexible separating means	F15B1/10	F15B1/10		346
F15B1/103	12	{the separating means being bellows}	F15B1/10	F15B1/10		461
F15B1/106	12	{characterised by the way housing components are assembled}	F15B1/10	F15B1/10		159
F15B1/12	12	attached at their periphery (flexible separating means in the form of a tube F15B1/16)	F15B1/12	F15B1/12		100
F15B1/125	13	{characterised by the attachment means (F15B1/14 takes precedence)}	F15B1/12	F15B1/12		93
F15B1/14	13	by means of a rigid annular supporting member	F15B1/14	F15B1/14		177
F15B1/16	12	in the form of a tube	F15B1/16	F15B1/16		82
F15B1/165	13	{in the form of a bladder}	F15B1/16	F15B1/16		187
F15B1/18	12	Anti-extrusion means	F15B1/18	F15B1/18		135
F15B1/20	13	fixed to the separating means	F15B1/20	F15B1/20		67
F15B1/22	11	Liquid port constructions	F15B1/22	F15B1/22		231
F15B1/24	11	with rigid separating means, e.g. pistons	F15B1/24	F15B1/24		859
F15B1/26	8	Supply reservoir or sump assemblies	F15B1/26	F15B1/26		2098
F15B1/265	9	{with pressurised main reservoir}	F15B1/26	F15B1/26		343
