F16L1/00	7	Laying or reclaiming pipes; Repairing or joining pipes on or under water	F16L1/00	F16L1/00		983
F16L1/024	8	Laying or reclaiming pipes on land, e.g. above the ground (F16L1/12 takes precedence)	F16L1/024	F16L1/024		334
F16L1/0243	9	{above ground (F16L1/026 takes precedence)}	F16L1/024	F16L1/024		187
F16L1/0246	10	{at a certain height off the ground}	F16L1/024	F16L1/024		302
F16L1/026	9	in or on a frozen surface	F16L1/026	F16L1/026		74
F16L1/028	9	in the ground (F16L1/026 takes precedence)	F16L1/028	F16L1/028		2141
F16L1/032	10	the pipes being continuous (F16L1/038 takes precedence)	F16L1/032	F16L1/032		431
F16L1/036	10	the pipes being composed of sections of short length (F16L1/038 takes precedence)	F16L1/036	F16L1/036		1263
F16L1/038	10	the pipes being made in situ	F16L1/038	F16L1/038		311
F16L1/06	9	Accessories therefor, e.g. anchors	F16L1/06	F16L1/06		2730
F16L1/065	10	{fixed on or to vehicles}	F16L1/06	F16L1/06		276
F16L1/09	10	for bringing two tubular members closer to each other	F16L1/09	F16L1/09		744
F16L1/10	10	for aligning	F16L1/10	F16L1/10		722
F16L1/11	10	for the detection or protection of pipes in the ground	F16L1/11	F16L1/11		1275
F16L1/12	8	Laying or reclaiming pipes on or under water	F16L1/12	F16L1/12		353
F16L1/123	9	{Devices for the protection of pipes under water}	F16L1/12	F16L1/12		613
F16L1/126	9	{on or close to the surface}	F16L1/12	F16L1/12		46
F16L1/14	9	between the surface and the bottom	F16L1/14	F16L1/14		146
F16L1/15	10	vertically	F16L1/15	F16L1/15		208
F16L1/16	9	on the bottom	F16L1/16	F16L1/16		552
F16L1/161	10	{the pipe being composed of sections of short length}	F16L1/16	F16L1/16		168
F16L1/163	10	{by varying the apparent weight of the pipe during the laying operation}	F16L1/16	F16L1/16		196
F16L1/165	10	{by towing the pipe on or near the bottom}	F16L1/16	F16L1/16		146
F16L1/166	10	{Reclaiming pipes}	F16L1/16	F16L1/16		141
F16L1/168	10	{under ice}	F16L1/16	F16L1/16		17
F16L1/18	10	the pipes being S- or J-shaped and under tension during laying	F16L1/18	F16L1/18		185
F16L1/19	11	the pipes being J-shaped	F16L1/19	F16L1/19		286
F16L1/20	9	Accessories therefor, e.g. floats or weights	F16L1/20	F16L1/20		743
F16L1/201	10	{Anchor rods}	F16L1/20	F16L1/20		98
F16L1/202	10	{fixed on or to vessels}	F16L1/20	F16L1/20		166
F16L1/203	11	{the pipes being wound spirally prior to laying}	F16L1/20	F16L1/20		289
F16L1/205	11	{Pipe-laying ships (F16L1/225, F16L1/23 and F16L1/235 take precedence)}	F16L1/20	F16L1/20		132
F16L1/206	11	{Apparatus for forming or coating the pipes}	F16L1/20	F16L1/20		55
F16L1/207	11	{Pipe handling apparatus}	F16L1/20	F16L1/20		293
F16L1/225	10	Stingers	F16L1/225	F16L1/225		125
F16L1/23	10	Pipe tensioning apparatus	F16L1/23	F16L1/23		252
