G01M1/00	7	Testing static or dynamic balance of machines or structures	G01M1/00	G01M1/00		203
G01M1/02	8	Details of balancing machines or devices	G01M1/02	G01M1/02		1191
G01M1/04	9	Adaptation of bearing support assemblies for receiving the body to be tested	G01M1/04	G01M1/04		763
G01M1/045	10	{the body being a vehicle wheel}	G01M1/04	G01M1/04		459
G01M1/06	9	Adaptation of drive assemblies for receiving the body to be tested	G01M1/06	G01M1/06		216
G01M1/08	9	Instruments for indicating directly the magnitude and phase of the imbalance	G01M1/08	G01M1/08		194
G01M1/10	8	Determining the moment of inertia	G01M1/10	G01M1/10		498
G01M1/12	8	Static balancing; Determining position of centre of gravity (by determining imbalance G01M1/14)	G01M1/12	G01M1/12		723
G01M1/122	9	{Determining position of centre of gravity}	G01M1/12	G01M1/12		948
G01M1/125	10	{of aircraft}	G01M1/12	G01M1/12		289
G01M1/127	11	{during the flight}	G01M1/12	G01M1/12		88
G01M1/14	8	Determining imbalance (G01M1/30 takes precedence)	G01M1/14	G01M1/14		582
G01M1/16	9	by oscillating or rotating the body to be tested	G01M1/16	G01M1/16		1239
G01M1/18	10	and running the body down from a speed greater than normal	G01M1/18	G01M1/18		17
G01M1/20	10	and applying external forces compensating forces due to imbalance	G01M1/20	G01M1/20		116
G01M1/22	10	and converting vibrations due to imbalance into electric variables	G01M1/22	G01M1/22		1314
G01M1/225	11	{for vehicle wheels (in situG01M1/28)}	G01M1/22	G01M1/22		300
G01M1/24	10	Performing balancing on elastic shafts, e.g. for crankshafts	G01M1/24	G01M1/24		246
G01M1/26	10	with special adaptations for marking, e.g. by drilling	G01M1/26	G01M1/26		116
G01M1/28	10	with special adaptations for determining imbalance of the body in situ, e.g. of vehicle wheels	G01M1/28	G01M1/28		373
G01M1/30	8	Compensating imbalance	G01M1/30	G01M1/30		470
G01M1/32	9	by adding material to the body to be tested, e.g. by correcting-weights	G01M1/32	G01M1/32		512
G01M1/323	10	{using balancing liquid}	G01M1/32	G01M1/32		81
G01M1/326	10	{the body being a vehicle wheel}	G01M1/32	G01M1/32		246
G01M1/34	9	by removing material from the body to be tested, e.g. from the tread of tyres	G01M1/34	G01M1/34		461
G01M1/36	9	by adjusting position of masses built-in the body to be tested	G01M1/36	G01M1/36		642
G01M1/365	10	{using balancing liquid}	G01M1/36	G01M1/36		86
G01M3/00	7	Investigating fluid-tightness of structures	G01M3/00	G01M3/00		1534
G01M3/002	8	{by using thermal means}	G01M3/00	G01M3/00		1292
G01M3/005	8	{using pigs or moles (G01M3/246, G01M3/2823 take precedence)}	G01M3/00	G01M3/00		740
G01M3/007	8	{Leak detector calibration, standard leaks (G01M3/207 takes precedence)}	G01M3/00	G01M3/00		359
G01M3/02	8	by using fluid or vacuum	G01M3/02	G01M3/02		5108
G01M3/022	9	{Test plugs for closing off the end of a pipe}	G01M3/02	G01M3/02		772
G01M3/025	9	{Details with respect to the testing of engines or engine parts}	G01M3/02	G01M3/02		812
G01M3/027	9	{Details with respect to the testing of elastic elements, e.g. gloves, condoms}	G01M3/02	G01M3/02		184
G01M3/04	9	by detecting the presence of fluid at the leakage point	G01M3/04	G01M3/04		4680
G01M3/042	10	{by using materials which expand, contract, disintegrate, or decompose in contact with a fluid (G01M3/12 takes precedence)}	G01M3/04	G01M3/04		266
G01M3/045	11	{with electrical detection means}	G01M3/04	G01M3/04		518
G01M3/047	12	{with photo-electrical detection means, e.g. using optical fibres}	G01M3/04	G01M3/04		312
G01M3/06	10	by observing bubbles in a liquid pool	G01M3/06	G01M3/06		922
G01M3/08	11	for pipes, cables or tubes; for pipe joints or seals; for valves; {for welds}	G01M3/08	G01M3/08		216
G01M3/081	12	{for cables}	G01M3/08	G01M3/08		20
G01M3/083	12	{for tubes}	G01M3/08	G01M3/08		218
G01M3/085	12	{for pipe joints or seals (G01M3/088 takes precedence)}	G01M3/08	G01M3/08		109
G01M3/086	12	{for valves}	G01M3/08	G01M3/08		256
G01M3/088	12	{for welds}	G01M3/08	G01M3/08		36
G01M3/10	11	for containers, e.g. radiators	G01M3/10	G01M3/10		552
G01M3/103	12	{for flexible or elastic containers}	G01M3/10	G01M3/10		72
G01M3/106	12	{for radiators}	G01M3/10	G01M3/10		51
