G06F1/00	7	Details not covered by groups G06F3/00 - G06F13/00 and G06F21/00(architectures of general purpose stored program computers G06F15/76)	G06F1/00	G06F1/00		2130
G06F1/02	8	Digital function generators	G06F1/02	G06F1/02		193
G06F1/022	9	{Waveform generators, i.e. devices for generating periodical functions of time, e.g. direct digital synthesizers (G06F1/025, G06F1/03 take precedence)}	G06F1/02	G06F1/02		545
G06F1/025	9	for functions having two-valued amplitude, e.g. Walsh functions	G06F1/025	G06F1/025		306
G06F1/0255	10	{Walsh or analogous functions}	G06F1/025	G06F1/025		11
G06F1/03	9	working, at least partly, by table look-up (G06F1/025 takes precedence)<br><br><u>NOTE</u><br><br>In order to be classified in this group, the table must contain function values of the desired or an intermediate function, not merely coefficients.	G06F1/03	G06F1/03		387
G06F1/0307	10	{Logarithmic or exponential functions (G06F1/0314, G06F1/035 take precedence)}	G06F1/03	G06F1/03		150
G06F1/0314	10	{the table being stored on a peripheral device, e.g. papertape, drum}	G06F1/03	G06F1/03		29
G06F1/0321	10	{Waveform generators, i.e. devices for generating periodical functions of time, e.g. direct digital synthesizers (G06F1/0314, G06F1/035 take precedence)}	G06F1/03	G06F1/03		267
G06F1/0328	11	{in which the phase increment is adjustable, e.g. by using an adder-accumulator}	G06F1/03	G06F1/03		223
G06F1/0335	12	{the phase increment itself being a composed function of two or more variables, e.g. frequency and phase}	G06F1/03	G06F1/03		64
G06F1/0342	11	{for generating simultaneously two or more related waveforms, e.g. with different phase angles only}	G06F1/03	G06F1/03		86
G06F1/035	10	Reduction of table size {(G06F1/0314 takes precedence)}	G06F1/035	G06F1/035		117
G06F1/0353	11	{by using symmetrical properties of the function, e.g. using most significant bits for quadrant control}	G06F1/035	G06F1/035		110
G06F1/0356	11	{by using two or more smaller tables, e.g. addressed by parts of the argument}	G06F1/035	G06F1/035		180
G06F1/04	8	Generating or distributing clock signals or signals derived directly therefrom	G06F1/04	G06F1/04		2974
G06F1/06	9	Clock generators producing several clock signals {(G06F1/08&#160;-&#160;G06F1/14 take precedence)}	G06F1/06	G06F1/06		1422
G06F1/08	9	Clock generators with changeable or programmable clock frequency	G06F1/08	G06F1/08		3298
G06F1/10	9	Distribution of clock signals {, e.g. skew}	G06F1/10	G06F1/10		3390
G06F1/105	10	{in which the distribution is at least partially optical}	G06F1/10	G06F1/10		88
G06F1/12	9	Synchronisation of different clock signals {provided by a plurality of clock generators}	G06F1/12	G06F1/12		3120
G06F1/14	9	Time supervision arrangements, e.g. real time clock	G06F1/14	G06F1/14		2059
G06F1/16	8	Constructional details or arrangements	G06F1/16	G06F1/16		8508
G06F1/1601	9	{Constructional details related to the housing of computer displays, e.g. of CRT monitors, of flat displays (constructional details related to flat displays integrated in a portable computer, e.g. laptop, handheld computer G06F1/1637; constructional details related to television receivers H04N5/64)}	G06F1/16	G06F1/16		9240
G06F1/1603	10	{Arrangements to protect the display from incident light, e.g. hoods}	G06F1/16	G06F1/16		513
G06F1/1605	10	{Multimedia displays, e.g. with integrated or attached speakers, cameras, microphones}	G06F1/16	G06F1/16		1836
G06F1/1607	10	{Arrangements to support accessories mechanically attached to the display housing (G06F1/1603, G06F1/1605 take precedence)}	G06F1/16	G06F1/16		1975
G06F1/1609	11	{to support filters or lenses}	G06F1/16	G06F1/16		545
G06F1/1611	11	{to support document holders}	G06F1/16	G06F1/16		316
G06F1/1613	9	{for portable computers (cooling arrangements therefor G06F1/203; constructional details or arrangements for pocket calculators, electronic agendas or books G06F15/0216; constructional details of portable telephone sets: with several bodies H04M1/0202)}<br><br><u>WARNING</u><br>Group G06F1/1613 is impacted by reclassification into group G06F1/1629.<br>Groups G06F1/1613 and G06F1/1629 should be considered in order to perform a complete search.	G06F1/16	G06F1/16		3057
G06F1/1615	10	{with several enclosures having relative motions, each enclosure supporting at least one I/O or computing function (constructional details of portable telephones comprising a plurality of mechanically joined movable body parts H04M1/0206)}	G06F1/16	G06F1/16		973
G06F1/1616	11	{with folding flat displays, e.g. laptop computers or notebooks having a clamshell configuration, with body parts pivoting to an open position around an axis parallel to the plane they define in closed position}	G06F1/16	G06F1/16		11647
G06F1/1618	12	{the display being foldable up to the back of the other housing with a single degree of freedom, e.g. by 360&#176; rotation over the axis defined by the rear edge of the base enclosure}	G06F1/16	G06F1/16		1206
G06F1/162	12	{changing, e.g. reversing, the face orientation of the screen with a two degrees of freedom mechanism, e.g. for folding into tablet PC like position or orienting towards the direction opposite to the user to show to a second user}	G06F1/16	G06F1/16		881
G06F1/1622	11	{with enclosures rotating around an axis perpendicular to the plane they define or with ball-joint coupling, e.g. PDA with display enclosure orientation changeable between portrait and landscape by rotation with respect to a coplanar body enclosure}	G06F1/16	G06F1/16		581
G06F1/1624	11	{with sliding enclosures, e.g. sliding keyboard or display}	G06F1/16	G06F1/16		2839
G06F1/1626	10	{with a single-body enclosure integrating a flat display, e.g. Personal Digital Assistants [PDAs]}	G06F1/16	G06F1/16		13300
G06F1/1628	10	{Enclosures for carrying portable computers with peripheral devices, e.g. cases for a laptop and a printer}<br><br><u>WARNING</u><br>Group G06F1/1628 is impacted by reclassification into groups A45C11/003 and G06F1/1629.<br>Groups G06F1/1628, A45C11/003 and G06F1/1629 should be considered in order to perform a complete search.	G06F1/16	G06F1/16		2167
G06F1/1629	10	{Protective covers or auxiliary enclosures for portable computers (for carrying with peripheral devices G06F1/1628; for storing A45C11/003)}<br><br><u>WARNING</u><br>Group G06F1/1629 is incomplete pending reclassification of documents from groups A45C11/00, A45C11/001, A45C11/003, G06F1/1613, G06F1/1628, G06F2200/1633 and H04B1/3888. <br>All groups listed in this Warning should be considered in order to perform a complete search.	G06F1/16	G06F1/16		15
G06F1/163	10	{Wearable computers, e.g. on a belt}	G06F1/16	G06F1/16		10627
G06F1/1632	10	{External expansion units, e.g. docking stations}	G06F1/16	G06F1/16		7414
G06F1/1633	10	{Constructional details or arrangements of portable computers not specific to the type of enclosures covered by groups G06F1/1615&#160;-&#160;G06F1/1626}	G06F1/16	G06F1/16		1431
G06F1/1635	11	{Details related to the integration of battery packs and other power supplies such as fuel cells or integrated AC adapter}	G06F1/16	G06F1/16		1751
G06F1/1637	11	{Details related to the display arrangement, including those related to the mounting of the display in the housing}	G06F1/16	G06F1/16		4991
G06F1/1639	12	{the display being based on projection}	G06F1/16	G06F1/16		619
G06F1/1641	12	{the display being formed by a plurality of foldable display components (G06F1/1647 takes precedence)}	G06F1/16	G06F1/16		2982
G06F1/1643	12	{the display being associated to a digitizer, e.g. laptops that can be used as penpads (details related to the relative motion of the display enclosure with respect to the body enclosure, e.g. to move between laptop and tablet PC configuration G06F1/1615)}	G06F1/16	G06F1/16		4438
G06F1/1645	12	{the display being suitable to be used in combination with an external overhead projector}	G06F1/16	G06F1/16		77
G06F1/1647	12	{including at least an additional display (G06F1/1692 takes precedence)}	G06F1/16	G06F1/16		2184
G06F1/1649	13	{the additional display being independently orientable, e.g. for presenting information to a second user}	G06F1/16	G06F1/16		469
G06F1/165	13	{the additional display being small, e.g. for presenting status information}	G06F1/16	G06F1/16		567
G06F1/1652	12	{the display being flexible, e.g. mimicking a sheet of paper, or rollable}	G06F1/16	G06F1/16		9159
G06F1/1654	12	{the display being detachable, e.g. for remote use}	G06F1/16	G06F1/16		1101
G06F1/1656	11	{Details related to functional adaptations of the enclosure, e.g. to provide protection against EMI, shock, water, or to host detachable peripherals like a mouse or removable expansions units like PCMCIA cards, or to provide access to internal components for maintenance or to removable storage supports like CDs or DVDs, or to mechanically mount accessories (mounting of accessories to a computer display G06F1/1607; display hoods G06F1/1603; cooling arrangements for portable computers G06F1/203)}<br><br><u>WARNING</u><br>Group G06F1/1656 is incomplete pending reclassification of documents from groups A45C11/003 and G06F2200/1633.<br>Groups A45C11/003, G06F2200/1633 and G06F1/1656 should be considered in order to perform a complete search.	G06F1/16	G06F1/16		7848
G06F1/1658	12	{related to the mounting of internal components, e.g. disc drive or any other functional module}	G06F1/16	G06F1/16		1639
G06F1/166	12	{related to integrated arrangements for adjusting the position of the main body with respect to the supporting surface, e.g. legs for adjusting the tilt angle}	G06F1/16	G06F1/16		2299
G06F1/1662	11	{Details related to the integrated keyboard}	G06F1/16	G06F1/16		2205
G06F1/1664	12	{Arrangements for ergonomically adjusting the disposition of keys of the integrated keyboard}	G06F1/16	G06F1/16		274
