G06M1/00	7	Design features of general application	G06M1/00	G06M1/00		383
G06M1/02	8	Housing (for measuring instruments in general G01D)	G06M1/02	G06M1/02		348
G06M1/022	9	{Plates}	G06M1/02	G06M1/02		8
G06M1/024	10	{Bearings}	G06M1/02	G06M1/02		14
G06M1/026	9	{Connecting or supporting parts}	G06M1/02	G06M1/02		48
G06M1/028	9	{Arbors, drum fixing and adjusting means (arbor-fixing means F16C17/08)}	G06M1/02	G06M1/02		69
G06M1/04	8	for driving the stage of lowest order (with variable ratio of drive G06M1/38)	G06M1/04	G06M1/04		177
G06M1/041	9	{for drum-type indicating means}	G06M1/04	G06M1/04		316
G06M1/042	10	{with click devices (electromagnetic driving means G06M1/102)}	G06M1/04	G06M1/04		166
G06M1/044	10	{with escapements (electromagnetic driving means G06M1/102)}	G06M1/04	G06M1/04		84
G06M1/045	9	{for dial, pointer, or similar type indicating means}	G06M1/04	G06M1/04		254
G06M1/047	9	{for arithmetical operations}	G06M1/04	G06M1/04		18
G06M1/048	9	{with switching means between two or more counting devices}	G06M1/04	G06M1/04		34
G06M1/06	9	producing continuous revolution of the stage, e.g. with gear train	G06M1/06	G06M1/06		72
G06M1/062	10	{for drum type indicating means}	G06M1/06	G06M1/06		386
G06M1/064	10	{for dial, pointer, or similar type indicating means}	G06M1/06	G06M1/06		73
G06M1/066	10	{for arithmetical operations}	G06M1/06	G06M1/06		131
G06M1/068	10	{with switching means between two or more counting devices}	G06M1/06	G06M1/06		72
G06M1/08	8	for actuating the drive	G06M1/08	G06M1/08		349
G06M1/083	9	{by mechanical means (counting of stacked objects G06M9/00)}	G06M1/08	G06M1/08		749
G06M1/086	10	{including barriers (counting of conveyed objects G06M7/00)}	G06M1/08	G06M1/08		274
G06M1/10	9	by electric or magnetic means	G06M1/10	G06M1/10		467
G06M1/101	10	{by electro-optical means}	G06M1/10	G06M1/10		826
G06M1/102	10	{by magnetic or electromagnetic means}	G06M1/10	G06M1/10		219
G06M1/104	11	{electromagnets, clicks}	G06M1/10	G06M1/10		320
G06M1/105	12	{electronic circuits for actuating the electromagnets}	G06M1/10	G06M1/10		31
G06M1/107	11	{electromotors}	G06M1/10	G06M1/10		99
G06M1/108	10	{by electronic means}	G06M1/10	G06M1/10		242
G06M1/12	9	by fluid means	G06M1/12	G06M1/12		20
G06M1/123	10	{by pneumatic means}	G06M1/12	G06M1/12		53
G06M1/126	10	{by hydraulic means}	G06M1/12	G06M1/12		13
G06M1/14	8	for transferring a condition from one stage to a higher stage (with variable ratio of transfer G06M1/38)	G06M1/14	G06M1/14		24
G06M1/143	9	{with drums}	G06M1/14	G06M1/14		379
G06M1/146	9	{with dials, pointers, or similar type indicating means}	G06M1/14	G06M1/14		44
G06M1/16	9	self-operating, e.g. by Geneva mechanism	G06M1/16	G06M1/16		23
G06M1/163	10	{with drums}	G06M1/16	G06M1/16		383
G06M1/166	10	{with dials, pointers or similar type indicating means}	G06M1/16	G06M1/16		26
G06M1/18	9	requiring external operation, e.g. by electromagnetic force	G06M1/18	G06M1/18		10
G06M1/183	10	{with drums}	G06M1/18	G06M1/18		19
G06M1/186	10	{with dials, pointers, or similar type indicating means}	G06M1/18	G06M1/18		3
G06M1/20	9	specially adapted for denominations with unequal numbers in each stage, e.g. degrees and minutes of angle	G06M1/20	G06M1/20		31
G06M1/22	8	for visual indication of the result of count on counting mechanisms, e.g. by window with magnifying lens	G06M1/22	G06M1/22		288
G06M1/24	9	Drums; Dials; Pointers (for measuring instruments in general G01D; {for time measuring instruments G04B19/00, including drums G04B19/21, G04C19/04; date indicating G04B19/24})	G06M1/24	G06M1/24		74
G06M1/241	10	{Drums}	G06M1/24	G06M1/24		278
G06M1/243	11	{Drums with presetting means}	G06M1/24	G06M1/24		18
G06M1/245	10	{Dials; Pointers}	G06M1/24	G06M1/24		35
G06M1/246	10	{Bands; Sheets}	G06M1/24	G06M1/24		36
G06M1/248	10	{Discs}	G06M1/24	G06M1/24		74
G06M1/26	9	Aligning means	G06M1/26	G06M1/26		113
G06M1/27	8	for representing the result of count in the form of electric signals, e.g. by sensing markings on the counter drum	G06M1/27	G06M1/27		526
G06M1/272	9	using photoelectric means	G06M1/272	G06M1/272		1050
G06M1/274	9	using magnetic means; using Hall-effect devices	G06M1/274	G06M1/274		197
G06M1/276	9	using mechanically-actuated contacts	G06M1/276	G06M1/276		231
G06M1/28	8	for zeroising or setting to a particular value	G06M1/28	G06M1/28		101
G06M1/283	9	{with drums}	G06M1/28	G06M1/28		161
G06M1/286	9	{with dials, pointers, or similar type indicating means}	G06M1/28	G06M1/28		10
G06M1/30	9	using heart-shaped or similar cams; using levers	G06M1/30	G06M1/30		9
G06M1/303	10	{with drums}	G06M1/30	G06M1/30		192
G06M1/306	10	{with dials, pointers, or similar type indicating means}	G06M1/30	G06M1/30		9
G06M1/32	10	Actuating means, e.g. magnet, spring, weight	G06M1/32	G06M1/32		4
G06M1/323	11	{with drums}	G06M1/32	G06M1/32		44
G06M1/326	11	{with dials, pointers, or similar type indicating means}	G06M1/32	G06M1/32		2
G06M1/34	9	using reset shafts	G06M1/34	G06M1/34		7
G06M1/343	10	{with drums}	G06M1/34	G06M1/34		374
G06M1/346	10	{with dials, pointers, or similar type indicating means}	G06M1/34	G06M1/34		28
G06M1/36	10	Actuating means, e.g. magnet, spring, weight	G06M1/36	G06M1/36		11
G06M1/363	11	{with drums}	G06M1/36	G06M1/36		89
G06M1/366	11	{with dials, pointers, or similar type indicating means}	G06M1/36	G06M1/36		23
G06M1/38	8	for varying ratio of drive or transfer mechanism, e.g. by using alternative counting trains	G06M1/38	G06M1/38		45
G06M1/385	9	{differentials}	G06M1/38	G06M1/38		62
G06M3/00	7	Counters with additional facilities (generating electric pulses at random intervals H03K3/84)	G06M3/00	G06M3/00		227
G06M3/02	8	for performing an operation at a predetermined value of the count, e.g. arresting a machine {(G06M3/04 takes precedence)}	G06M3/02	G06M3/02		247
G06M3/021	9	{with drums type indicating means}	G06M3/02	G06M3/02		152
G06M3/022	10	{by subtracting}	G06M3/02	G06M3/02		62
G06M3/024	10	{by adding}	G06M3/02	G06M3/02		100
G06M3/025	9	{with dial, pointer, or similar type indicating means}	G06M3/02	G06M3/02		24
G06M3/027	10	{by subtracting}	G06M3/02	G06M3/02		24
G06M3/028	10	{by adding}	G06M3/02	G06M3/02		25
G06M3/04	9	with an additional counter train operating in the reverse direction	G06M3/04	G06M3/04		9
G06M3/043	10	{with drums}	G06M3/04	G06M3/04		20
G06M3/046	10	{with dials, pointers, or similar type indicating means}	G06M3/04	G06M3/04		
G06M3/06	8	for printing or separately displaying result of count (display systems G09)	G06M3/06	G06M3/06		178
G06M3/062	9	{for printing}	G06M3/06	G06M3/06		45
G06M3/065	10	{with drums}	G06M3/06	G06M3/06		145
G06M3/067	10	{with dials, pointers, or similar type indicating means}	G06M3/06	G06M3/06		8
G06M3/08	8	for counting the input from several sources; for counting inputs of different amounts	G06M3/08	G06M3/08		124
G06M3/10	8	for counting denominations with unequal numbers in each stage, e.g. degrees and minutes of angle (transfer mechanism therefor G06M1/20)	G06M3/10	G06M3/10		37
G06M3/12	8	for preventing incorrect actuation, e.g. for preventing falsification	G06M3/12	G06M3/12		352
G06M3/14	8	for registering difference of positive and negative actuations	G06M3/14	G06M3/14		101
G06M7/00	7	Counting of objects carried by a conveyor	G06M7/00	G06M7/00		567
G06M7/02	8	wherein objects ahead of the sensing element are separated to produce a distinct gap between successive objects	G06M7/02	G06M7/02		150
G06M7/04	9	Counting of piece goods, e.g. of boxes	G06M7/04	G06M7/04		517
G06M7/06	9	Counting of flat articles, e.g. of sheets of paper	G06M7/06	G06M7/06		686
G06M7/08	8	wherein the direction of movement of the objects is changed at the station where they are sensed	G06M7/08	G06M7/08		49
G06M7/10	9	Counting of flat overlapped articles, e.g. of cards	G06M7/10	G06M7/10		126
G06M9/00	7	Counting of objects in a stack thereof	G06M9/00	G06M9/00		338
G06M9/02	8	by using a rotating separator incorporating pneumatic suction nozzles	G06M9/02	G06M9/02		152
G06M9/025	9	{the rotation axis being substantially parallel to the stacking direction}	G06M9/02	G06M9/02		29
G06M11/00	7	Counting of objects distributed at random, e.g. on a surface	G06M11/00	G06M11/00		523
G06M11/02	8	using an electron beam scanning a surface line by line, e.g. of blood cells on a substrate	G06M11/02	G06M11/02		76
G06M11/04	9	with provision for distinguishing between different sizes of objects (investigating particle size in general G01N15/00)	G06M11/04	G06M11/04		131
G06M15/00	7	Counting of objects, not otherwise provided for	G06M15/00	G06M15/00		13
G06M2207/00	7	Indexing scheme relating to counting of objects carried by a conveyor	CPCONLY	G06M2207/00		6
G06M2207/02	8	Counting of generally flat and overlapped articles, e.g. cards, newspapers	CPCONLY	G06M2207/02		138
