H01R3/00	7	Electrically-conductive connections not otherwise provided for	H01R3/00	H01R3/00		73
H01R3/08	8	for making connection to a liquid {(slip rings with liquid contacts H01R39/30, H01R39/646)}	H01R3/08	H01R3/08		165
H01R4/00	7	Electrically-conductive connections between two or more conductive members in direct contact, i.e. touching one another; Means for effecting or maintaining such contact; Electrically-conductive connections having two or more spaced connecting locations for conductors and using contact members penetrating insulation	H01R4/00	H01R4/00		804
H01R4/01	8	Connections using shape memory materials, e.g. shape memory metal	H01R4/01	H01R4/01		220
H01R4/02	8	Soldered or welded connections {(H01R4/625, H01R4/723, H01R12/59 take precedence)}	H01R4/02	H01R4/02		1718
H01R4/021	9	{between two or more cables or wires}	H01R4/02	H01R4/02		441
H01R4/022	10	{comprising preapplied solder}	H01R4/02	H01R4/02		61
H01R4/023	9	{between cables or wires and terminals}	H01R4/02	H01R4/02		1184
H01R4/024	10	{comprising preapplied solder}	H01R4/02	H01R4/02		201
H01R4/025	9	{with built-in heat generating elements}	H01R4/02	H01R4/02		41
H01R4/026	9	{comprising means for eliminating an insulative layer prior to soldering or welding}	H01R4/02	H01R4/02		74
H01R4/027	9	{comprising means for positioning or holding the parts to be soldered or welded}	H01R4/02	H01R4/02		455
H01R4/028	9	{comprising means for preventing flowing or wicking of solder or flux in parts not desired}	H01R4/02	H01R4/02		382
H01R4/029	9	{Welded connections (H01R4/021&#160;-&#160;H01R4/028 take precedence)}	H01R4/02	H01R4/02		1103
H01R4/04	8	using electrically conductive adhesives	H01R4/04	H01R4/04		1084
H01R4/06	8	Riveted connections (by explosion H01R4/08)	H01R4/06	H01R4/06		460
H01R4/08	8	effected by an explosion	H01R4/08	H01R4/08		121
H01R4/10	8	effected solely by twisting, wrapping, bending, crimping, or other permanent deformation	H01R4/10	H01R4/10		498
H01R4/12	9	by twisting	H01R4/12	H01R4/12		269
H01R4/14	9	by wrapping	H01R4/14	H01R4/14		419
H01R4/16	9	by bending	H01R4/16	H01R4/16		189
H01R4/18	9	by crimping {(H01R4/01, H01R4/2495 take precedence; for coaxial cables H01R9/0518)}	H01R4/18	H01R4/18		1370
H01R4/182	10	{for flat conductive elements, e.g. flat cables (H01R4/01 takes precedence)}	H01R4/18	H01R4/18		197
H01R4/183	10	{for cylindrical elongated bodies, e.g. cables having circular cross-section (H01R4/01 takes precedence)}	H01R4/18	H01R4/18		840
H01R4/184	11	{comprising a U-shaped wire-receiving portion}	H01R4/18	H01R4/18		842
H01R4/185	12	{combined with a U-shaped insulation-receiving portion}	H01R4/18	H01R4/18		1626
H01R4/186	11	{using a body comprising a plurality of cable-accommodating recesses or bores}	H01R4/18	H01R4/18		277
H01R4/187	10	{combined with soldering or welding}	H01R4/18	H01R4/18		371
H01R4/188	10	{having an uneven wire-receiving surface to improve the contact}	H01R4/18	H01R4/18		465
H01R4/20	10	using a crimping sleeve {(H01R4/01 takes precedence)}	H01R4/20	H01R4/20		1798
H01R4/203	11	{having an uneven wire-receiving surface to improve the contact}	H01R4/20	H01R4/20		183
H01R4/206	12	{with transversal grooves or threads}	H01R4/20	H01R4/20		174
H01R4/22	8	End caps, i.e. of insulating or conductive material for covering or maintaining connections between wires entering the cap from the same end	H01R4/22	H01R4/22		1084
H01R4/24	8	Connections using contact members penetrating or cutting insulation or cable strands	H01R4/24	H01R4/24		856
H01R4/2404	9	the contact members having teeth, prongs, pins or needles penetrating the insulation	H01R4/2404	H01R4/2404		634
H01R4/2406	10	having needles or pins	H01R4/2406	H01R4/2406		629
H01R4/2407	10	having saw-tooth projections	H01R4/2407	H01R4/2407		168
H01R4/2408	10	actuated by clamping screws	H01R4/2408	H01R4/2408		713
H01R4/2412	10	actuated by insulated cams or wedges	H01R4/2412	H01R4/2412		266
H01R4/2416	9	the contact members having insulation-cutting edges, e.g. of tuning fork type	H01R4/2416	H01R4/2416		468
H01R4/242	10	the contact members being plates having a single slot	H01R4/242	H01R4/242		549
