H04J1/00	7	Frequency-division multiplex systems (H04J14/00 takes precedence)	H04J1/00	H04J1/00		547
H04J1/02	8	Details	H04J1/02	H04J1/02		122
H04J1/04	9	Frequency-transposition arrangements {(modulation with carrier or side-band suppression H03C1/52, H03C1/60; single-band suppression H04B1/00, H04B15/00; telegraphic communication H04L27/02, H04L25/49; transference of modulation from one carrier to another, e.g. frequency- changing H03D7/00; demodulation or transference of modulation of modulated electromagnetic waves H03D9/00)}	H04J1/04	H04J1/04		360
H04J1/045	10	{Filters applied to frequency transposition}	H04J1/04	H04J1/04		142
H04J1/05	10	using digital techniques	H04J1/05	H04J1/05		153
H04J1/06	9	Arrangements for supplying the carrier waves {; Arrangements for supplying synchronisation signals (synchronisation in general H03B; frequency multiplication H03B19/00, H03B21/00; mixing H03D7/00, H03D9/00; carrier supply H04L5/10)}	H04J1/06	H04J1/06		405
H04J1/065	10	{Synchronisation of carrier sources at the receiving station with the carrier source at the transmitting station}	H04J1/06	H04J1/06		109
H04J1/08	9	Arrangements for combining channels {(branching filters H01P1/213, H03H7/46)}	H04J1/08	H04J1/08		250
H04J1/085	10	{Terminal station; Combined modulator and demodulator circuits}	H04J1/08	H04J1/08		65
H04J1/10	9	Intermediate station arrangements, e.g. for branching, for tapping-off {(repeater circuits H04B3/36, H04B3/58; two-way amplifiers H03F3/62)}	H04J1/10	H04J1/10		219
H04J1/12	9	Arrangements for reducing cross-talk between channels {(in line transmission systems H04B3/32; in cables or lines H04B3/26&#160;-&#160;H04B3/30)}	H04J1/12	H04J1/12		297
H04J1/14	9	Arrangements providing for calling or supervisory signals	H04J1/14	H04J1/14		399
H04J1/16	9	Monitoring arrangements {(for transmission in general H04B17/00; for amplifiers H03F1/52, H03F1/523)}	H04J1/16	H04J1/16		399
H04J1/18	8	in which all the carriers are amplitude-modulated (H04J1/02 takes precedence {in telephony H04Q11/02, H04Q11/023; in stereophony H04H; in telegraphy H04L5/06; in telemetry G08C15/02, G08C15/04})	H04J1/18	H04J1/18		118
H04J1/20	8	in which at least one carrier is angle-modulated (H04J1/02 takes precedence; FM without multiplex H04B1/00, H04B14/006, H04B15/00; PSK H04L5/12; impulse-modulation without multiplex H04B14/02; time-division multiplexing for data transmission H04L5/22; telemetry G08C15/06&#160;-&#160;G08C15/12; telephony H04Q11/00, H04Q11/04, H04Q11/0407)	H04J1/20	H04J1/20		107
H04J3/00	7	Time-division multiplex systems (H04J14/00 takes precedence; relay systems H04B7/14; selecting techniques H04Q)	H04J3/00	H04J3/00		906
H04J3/02	8	Details (electronic switching or gating H03K17/00)	H04J3/02	H04J3/02		270
H04J3/025	9	{Filter arrangements (H04J3/08 takes precedence; filters per seH03H7/00, H03H9/00)}	H04J3/02	H04J3/02		53
H04J3/04	9	Distributors combined with modulators or demodulators {(pulse distributors in general H03K5/15; pulse counters H03K21/00&#160;-&#160;H03K29/06; for telegraphy H04L5/22, H04L13/00&#160;-&#160;H04L23/00, H04L25/45; for telephony H04Q11/04)}	H04J3/04	H04J3/04		327
H04J3/042	10	{Distributors with electron or gas discharge tubes}	H04J3/04	H04J3/04		267
H04J3/045	10	{Distributors with CRT}	H04J3/04	H04J3/04		168
H04J3/047	10	{Distributors with transistors or integrated circuits}	H04J3/04	H04J3/04		824
H04J3/06	9	Synchronising arrangements {(for television systems H04N5/04; bit-synchronisation H04L7/00)}	H04J3/06	H04J3/06		1014
H04J3/0602	10	{Systems characterised by the synchronising information used}	H04J3/06	H04J3/06		757
H04J3/0605	11	{Special codes used as synchronising signal}	H04J3/06	H04J3/06		665
H04J3/0608	12	{Detectors therefor, e.g. correlators, state machines}	H04J3/06	H04J3/06		598
H04J3/0611	12	{PN codes (H04J3/0608 takes precedence)}	H04J3/06	H04J3/06		82
H04J3/0614	11	{the synchronising signal being characterised by the amplitude, duration or polarity}	H04J3/06	H04J3/06		158
H04J3/0617	11	{the synchronising signal being characterised by the frequency or phase}	H04J3/06	H04J3/06		362
H04J3/062	10	{Synchronisation of signals having the same nominal but fluctuating bit rates, e.g. using buffers (pulse-stuffing H04J3/07; asynchronous-synchronous conversion H04L5/24; speed conversion H04L25/05; speed conversion in computers G06F5/06)}	H04J3/06	H04J3/06		281
H04J3/0623	11	{Synchronous multiplexing systems, e.g. synchronous digital hierarchy/synchronous optical network (SDH/SONET), synchronisation with a pointer process}	H04J3/06	H04J3/06		374
H04J3/0626	11	{plesiochronous multiplexing systems, e.g. plesiochronous digital hierarchy [PDH], jitter attenuators}	H04J3/06	H04J3/06		304
H04J3/0629	12	{in a network, e.g. in combination with switching or multiplexing, slip buffers}	H04J3/06	H04J3/06		199
H04J3/0632	11	{Synchronisation of packets and cells, e.g. transmission of voice via a packet network, circuit emulation service [CES] (queuing arrangements in packet switching elements H04L49/90; synchronising systems for the synchronous transmission of a pulse code modulated video signal with one or more other pulse code modulated signals H04N7/56)}	H04J3/06	H04J3/06		888
H04J3/0635	10	{Clock or time synchronisation in a network (timer in protocols H04L69/28)}	H04J3/06	H04J3/06		674
H04J3/0638	11	{Clock or time synchronisation among nodes; Internode synchronisation (synchronization for ring networks H04L12/422; data switching networks with synchronous transmission H04L12/43)}	H04J3/06	H04J3/06		2774
H04J3/0641	12	{Change of the master or reference, e.g. take-over or failure of the master}	H04J3/06	H04J3/06		851
H04J3/0644	12	{External master-clock}	H04J3/06	H04J3/06		933
H04J3/0647	12	{Synchronisation among TDM nodes}	H04J3/06	H04J3/06		281
H04J3/065	13	{using timestamps}	H04J3/06	H04J3/06		215
H04J3/0652	12	{Synchronisation among time division multiple access [TDMA] nodes, e.g. time triggered protocol [TTP] (bus network with centralized control in which slots are of a TDMA packet structure H04L12/4035)}	H04J3/06	H04J3/06		340
H04J3/0655	13	{using timestamps}	H04J3/06	H04J3/06		285
H04J3/0658	12	{Clock or time synchronisation among packet nodes}	H04J3/06	H04J3/06		1112
H04J3/0661	13	{using timestamps}	H04J3/06	H04J3/06		1084
H04J3/0664	14	{unidirectional timestamps}	H04J3/06	H04J3/06		569
H04J3/0667	14	{Bidirectional timestamps, e.g. NTP or PTP for compensation of clock drift and for compensation of propagation delays (arrangements for monitoring round trip delays in packet switching networks H04L43/0864)}	H04J3/06	H04J3/06		2860
H04J3/067	14	{Details of the timestamp structure}	H04J3/06	H04J3/06		119
H04J3/0673	13	{using intermediate nodes, e.g. modification of a received timestamp before further transmission to the next packet node, e.g. including internal delay time or residence time into the packet}	H04J3/06	H04J3/06		369
H04J3/0676	11	{Mutual}	H04J3/06	H04J3/06		264
H04J3/0679	11	{by determining clock distribution path in a network}	H04J3/06	H04J3/06		201
H04J3/0682	11	{by delay compensation, e.g. by compensation of propagation delay or variations thereof, by ranging}	H04J3/06	H04J3/06		1935
H04J3/0685	11	{Clock or time synchronisation in a node; Intranode synchronisation}	H04J3/06	H04J3/06		1242
H04J3/0688	12	{Change of the master or reference, e.g. take-over or failure of the master}	H04J3/06	H04J3/06		561
H04J3/0691	12	{Synchronisation in a TDM node}	H04J3/06	H04J3/06		171
H04J3/0694	12	{Synchronisation in a TDMA node, e.g. TTP}	H04J3/06	H04J3/06		80
H04J3/0697	12	{Synchronisation in a packet node}	H04J3/06	H04J3/06		674
H04J3/07	10	using pulse stuffing for systems with different or fluctuating information rates {or bit rates}	H04J3/07	H04J3/07		393
H04J3/073	11	{Bit stuffing, e.g. PDH}	H04J3/07	H04J3/07		202
H04J3/076	11	{Bit and byte stuffing, e.g. SDH/PDH desynchronisers, bit-leaking}	H04J3/07	H04J3/07		233
H04J3/08	9	Intermediate station arrangements, e.g. for branching, for tapping-off	H04J3/08	H04J3/08		398
H04J3/085	10	{for ring networks, e.g. SDH/SONET rings, self-healing rings, meashed SDH/SONET networks}	H04J3/08	H04J3/08		552
