A41C1/00	コルセットまたはガードル
A41C1/003	｛パンティガードル｝
A41C1/006	｛衣服のずり上がりを防ぐ手段を備えるコルセットまたはガードル｝
A41C1/02	弾性コルセット
A41C1/04	ゴムでつくられたもの
A41C1/06	ブラジャー付コルセット
A41C1/08	腹部コルセット
A41C1/10	妊婦用コルセット
A41C1/12	構成部品
A41C1/14	支柱；鋼芯
A41C1/16	ワイヤーでつくられたもの
A41C1/18	組立て式のもの
A41C1/20	保護キャップ付のもの
A41C3/00	ブラジャー
A41C3/0007	｛支柱のあるもの（Ａ４１Ｃ３／０６が優先；支柱手段それ自体Ａ４１Ｃ３／１２２）｝
A41C3/0014	｛１層あるいは多層の一体型のもの｝
A41C3/0021	｛胸部の吊り下げ構造のあるもの｝
A41C3/0028	｛寸法と形状の調整手段のあるもの｝
A41C3/0035	｛ポケット付きのもの｝
A41C3/0042	｛香水または類似のものを発散するもの｝
A41C3/005	｛特定用途に特に適合されたもの（補綴ブラジャーＡ４１Ｃ３／１４８）｝
A41C3/0057	｛スポーツ活動用のもの｝
A41C3/0064	｛医療用または手術用のもの｝
A41C3/0071	｛交換可能または着脱可能なカップを有するもの｝
A41C3/0078	｛背部のあいたストラップ特性を有するもの｝
A41C3/0085	｛換気特性を有するもの｝
A41C3/0092	｛異なるカップサイズのもの｝
A41C3/02	前部に留め具を有するブラジャー
A41C3/04	授乳用ブラジャー｛（授乳服一般Ａ４１Ｄ１／２１５）｝
A41C3/06	ストラップなしのブラジャー，｛すなわち，肩紐のないもの｝
A41C3/065	｛体に直接取り付けるもの，例．接着剤によるもの｝
A41C3/08	他の衣類と結合したブラジャー（コルセット付のものＡ４１Ｃ１／０６）
A41C3/10	硬化用または胸部保形用のそう入物を有するブラジャー
A41C3/105	｛膨張可能なそう入物付のもの｝
A41C3/12	構成部品
A41C3/122	｛支柱手段（コルセット用支柱手段Ａ４１Ｃ１／１４）｝
A41C3/124	｛連接またはつなぎ構造のもの｝
A41C3/126	｛端に追加手段，例．保護用のもの，を備えるもの｝
A41C3/128	｛特定材料を使用するもの｝
A41C3/14	硬化用または胸部保形用のそう入物
A41C3/142	｛硬化用そう入物｝
A41C3/144	｛パッド｝
A41C3/146	｛液体またはゲル充填剤を含むもの｝
A41C3/148	｛補綴ブラジャー（非インプラント型人工乳房Ａ６１Ｆ２／５２）｝
A41C5/00	コルセットまたはブラジャーを製造する機械，器具または方法
A41C5/005	｛成型によるもの（プラスチック繊維からなる繊維材料の熱成形による成形Ｂ２９Ｃ５１／００４）｝
