A45B1/00	ささえる，つるす，または持ち運びする手段を有する杖または傘の軸柄，杖
A45B1/02	荷物または類似物を運ぶローラー付の杖
A45B1/04	つるす装置またはふさのついた杖
A45B3/00	他の物と組合された杖または傘の軸柄
A45B3/02	照明装置を有するもの
A45B3/04	電気的なもの
A45B3/06	洋服掛け付のもの
A45B3/08	寸法または重さを計る計器付のもの
A45B3/10	財布付きのもの
A45B3/12	望遠鏡付きのもの
A45B3/14	武器付きのもの
A45B3/16	喫煙用具付きのもの
A45B5/00	椅子に変えることのできる杖または傘；ハンチングステッキ
A45B7/00	その他の杖または傘の軸柄，例．クランク状になったもの
A45B7/005	｛クランク状になったもの｝
A45B9/00	細部
A45B2009/002	｛付属品｝
A45B2009/005	｛軸｝
A45B2009/007	｛調整可能な長さのもの，例．伸縮可能な軸｝
A45B9/02	柄または頭部
A45B2009/025	｛手首のひもまたは手袋に切り離し可能に接続されたもの｝
A45B9/04	石突きまたは先端につける金具｛（松葉づえ用のものＡ６１Ｈ３／０２８８）｝
A45B9/06	名刺または類似物の付いた杖または傘の軸柄
A45B11/00	形状または付属品により特徴づけられた傘
A45B2011/005	｛それらの形状に特徴のあるもの｝
A45B11/02	使用者の体につけるもの
A45B11/04	使用者の頭にかぶるもの
A45B13/00	紙製の傘
A45B15/00	取りはずしのできる張り布を有する傘
A45B17/00	日傘
A45B2017/005	｛追加的に垂直軸に関して回転するもの｝
A45B19/00	特殊な折りたたみまたは伸縮できる傘
A45B2019/001	｛弾性リブのあるもの｝
A45B2019/002	｛閉じたときに軸柄の中に収納できる傘，例．柄の中に折りたためるもの｝
A45B2019/004	｛剛性のリブのあるもの｝
A45B2019/005	｛軸柄のないもの｝
A45B2019/007	｛伸張具のないもの｝
A45B2019/008	｛閉じたときに上の方向を示すリブ端のある傘，すなわち，閉じたときにカバーの下部の乾いた側が外側に面するもの｝
A45B19/02	空気入れ傘；骨なし傘
A45B2019/023	｛伸張具のみを備えた傘｝
A45B2019/026	｛リブのない傘｝
A45B19/04	伸縮できる軸柄を有するもの
A45B19/06	伸縮できる骨を持ったもの
A45B19/08	折りたたみできる軸柄を有するもの
A45B19/10	折りたたみできる骨を有するもの
A45B19/12	パンタグラフ形になっているもの
A45B21/00	杖に変えることのできる傘
A45B23/00	その他の傘
A45B2023/0006	｛携帯可能，自己支持される日よけまたは天候からの保護具｝
A45B2023/0012	｛一つの地面の上の杭に支持される傘または日よけ，例．その下の地面にまたは地面上に固定されるもの｝
A45B2023/0018	｛逆円錐形をした天蓋のあるもの｝
A45B2023/0025	｛壁または装置の側面上に取り付けられた傘または日よけ｝
A45B2023/0031	｛支持アームを備えた片持ち梁状の傘または日よけ｝
A45B2023/0037	｛支持アームが軸柄またはその頂上に取り付けられたもの，天蓋がそれらの下に吊り下げられたもの｝
A45B2023/0043	｛支持アームが軸柄またはランナーに取り付けられたもの，天蓋がそれらの上に取り付けられたもの｝
A45B2023/005	｛支持アームがリブまたはリブの形状をしたものに取り付けられたもの｝
A45B2023/0056	｛支持腕がパンタグラフの形状をしたもの，一つの支持アームがリブであり他のアームがランナーおよびリブに取り付けられたもの｝
A45B2023/0062	｛支持アームが伸縮するもの｝
A45B2023/0068	｛支持アームが折りたたみ可能なもの｝
A45B2023/0075	｛支持アームが位置を調節するために垂直軸に関して回転可能であるもの｝
A45B2023/0081	｛支持アームが位置を調節するために水平軸に関して回転可能であるもの｝
A45B2023/0087	｛支柱またはスクリーンシートが軸の周り，例．杖の周り，に回転および広げることが可能である平面開放動作のあるもの｝
A45B2023/0093	｛傘型以外の日よけまたは天候からの保護具｝
A45B25/00	傘の細部（傘の軸柄Ａ４５Ｂ１／００〜Ａ４５Ｂ９／００；傘の装飾装置Ａ４５Ｂ３／０２；｛ポールまたは柱の受け口または台Ｅ０４Ｈ１２／２２｝）
A45B2025/003	｛グループＡ４５Ｂ２５／２４〜Ａ４５Ｂ２５／３０に分類されない付属品｝
A45B25/006	｛自動で閉じる装置（Ａ４５Ｂ２５／１４３が優先）｝
A45B25/02	傘の骨
A45B25/04	製造用または修理用の装置
A45B25/06	傘のろくろ
A45B25/08	取付けまたは締つけ用の装置
A45B25/10	傘の露先｛（Ａ４５Ｂ２５／０６が優先）｝
A45B2025/105	｛軸に対して可動であるもの｝
A45B25/12	傘を閉じたままにするための装置，例．磁石装置
A45B25/14	傘の開閉用の装置
A45B25/143	｛自動のもの｝
A45B2025/146	｛ロープに接続されたクランクのあるもの｝
A45B25/16	自動的に開くもの，例．ばね機構を有する骨｛（Ａ４５Ｂ２５／１４３が優先）｝
A45B25/165	｛流体または電気による作動装置のあるもの｝
A45B25/18	張り布（取りはずしのできるものＡ４５Ｂ１５／００）；張り布を取りつける方法
A45B2025/183	｛不必要に開くことを避けるためのフィルタまたはスクリーン手段のある張り布｝
A45B2025/186	｛２またはそれ以上の張り布のある傘｝
A45B25/20	張り布にみすかしのついたもの
A45B25/22	風に対する傘の抵抗を増加させる装置
A45B25/24	傘を閉じた時の保護カバー
A45B25/26	空気孔のあるカバー
A45B25/28	傘の雨しずく受け；そのための付属品
A45B25/30	名刺；バッジ；ラベルあるいはマークをするためのもの；それらを取付ける手段（傘の軸柄につけられたものＡ４５Ｂ９／０６）
A45B27/00	婦人用その他の類似の扇
A45B27/02	手動機構を有するもの
A45B2200/00	Ａ４５Ｂの他の箇所に分類されない細部
A45B2200/05	杖
A45B2200/055	ノルディックウォーキング用
A45B2200/10	傘；日よけ
A45B2200/1009	他の物と組合されたもの
A45B2200/1018	照明装置を有するもの，例．電気的なもの
A45B2200/1027	太陽光エネルギーを発生させるための手段のあるもの
A45B2200/1036	空気の移動を促進するための手段，例．換気孔，扇，換気器，換気用の特別な形状，吸引手段，のあるもの
A45B2200/1045	液体，例．水，をスプレーするための少なくとも一つのノズルをもつ噴霧手段のあるもの
A45B2200/1054	物を収納するための容器，例．箱，のあるもの
A45B2200/1063	テーブルのあるもの
A45B2200/1072	他の日よけ，天幕，テントのあるもの
A45B2200/1081	傘の柄
A45B2200/109	それ用のソケット
