A46D1/00	毛；毛の材料の選択（人造の毛の製造Ｄ０１Ｄ，Ｄ０１Ｆ）
A46D1/003	｛ブラシの検査｝
A46D1/006	｛抗菌性，殺菌性の毛，柄，毛の支持体または包装｝
A46D1/02	｛毛の細部｝
A46D1/0207	｛材料，例．金属，の選択に特徴づけられた毛｝
A46D1/0215	｛材料が生分解性であることに特徴づけられた毛｝
A46D1/0223	｛帯電に特徴づけられた毛｝
A46D1/023	｛少なくとも芯と，少なくとも部分的な鞘からなる毛｝
A46D1/0238	｛断面形状が非円形である毛｝
A46D1/0246	｛中空の毛｝
A46D1/0253	｛直線でない，例．湾曲した，S字形，かぎ形，ループ形，の形状をもつ毛｝
A46D1/0261	｛毛の表面の粗面構造｝
A46D1/0269	｛単一繊維の毛｝
A46D1/0276	｛尖った端部をもつ毛｝
A46D1/0284	｛丸い端部をもつ毛｝
A46D1/0292	｛分岐した端部をもつ毛｝
A46D1/04	毛の作製
A46D1/045	クリーニング，例．水洗，乾燥
A46D1/05	割れるようにしたもの；とがらすようにしたもの
A46D1/055	結合したもの；混合したもの；えり分けたもの
A46D1/06	毛を切断するための機械または装置
A46D1/08	均一な毛の房の作製
A46D1/10	毛を配列するための振動装置
A46D3/00	ブラシ台の作製，｛すなわち，製造｝
A46D3/005	｛毛または毛の房の周りに台を成形または注型することによるもの｝
A46D3/02	台に穴をあける機械
A46D3/04	台に毛をそう入または固定するための機械
A46D3/042	｛固定具または釘を用いた毛の固定のためのもの｝
A46D3/045	｛台への溶着または接着による毛の固定のためのもの｝
A46D3/047	｛輪に毛を挟着または接着するためのもの，例．絵筆，ほうき｝
A46D3/05	針金，テープ，またはそれに類似するものの間に毛を固定するためのもの
A46D3/06	台に穴をあけ，同時に毛をそう入する機械
A46D3/062	｛回転輪またはドラム形のもの（Ａ４６Ｄ３／０６７が優先）｝
A46D3/065	｛帯または鎖形のもの（Ａ４６Ｄ３／０６７が優先）｝
A46D3/067	｛穿孔と充填のための台の同時旋回を特徴とするもの｝
A46D3/08	ブラシ製造機の部品
A46D3/082	｛毛の自動送り装置：自動送り装置に毛を供給するもの；節をつまむもの｝
A46D3/085	｛ブラシ台の自動送り装置；台の供給｝
A46D3/087	｛ブラシ台用の保持器または支持体｝
A46D5/00	毛の支持台として使用する基片を作製するための装置
A46D7/00	しばまたはそれに類似したものからなるほうきをつくるためのプレス装置
A46D9/00	ブラシを仕上げするための機械｛（Ａ４６Ｄ１／００およびＡ４６Ｄ３／００が優先）｝
A46D9/02	切断；整毛
A46D9/025	｛残部を整毛するために毛の広がりを曲げる部品｝
A46D9/04	クリーニング
A46D9/06	注入
A46D99/00	このサブクラスの他のグループに分類されない主題事項
