A47L1/00	窓の清掃
A47L1/02	動力駆動機械または装置
A47L1/03	同時に窓の両側を清掃するもの
A47L1/05	電動機を組込んでいる手装置
A47L1/06	手道具（電動機を組込んでいるものＡ４７Ｌ１／０５）
A47L1/08	液体，例．洗浄剤，を供給するための装置をもつもの（Ａ４７Ｌ１／０９５，Ａ４７Ｌ１／１３，Ａ４７Ｌ１／１５が優先）
A47L1/09	反対側から操作して片面のみ清掃するためのもの
A47L1/095	液体，例．洗浄剤を供給するための装備をもつもの
A47L1/12	同時に両側を清掃するためのもの
A47L1/13	液体，例．洗浄剤を供給するための装備をもつもの
A47L1/15	布，スポンジ，パッド，またはそれに類似したもの，例．洗浄剤を含むもの
A47L1/16	窓ガラス除霜のための装置（Ｈ０５Ｂ３／８４が優先）
A47L3/00	窓の清掃に使用する安全装置（安全ベルトＡ６２Ｂ３５／００；足場を設けるためのもの一般Ｅ０４Ｇ；はしごのためのものＥ０６Ｃ）
A47L3/02	巻き上げ台；足場台
A47L3/04	安全ロープ
A47L4/00	ブラインド，ウィンドスクリーン，板すだれの清掃（Ａ４７Ｌ１／１５が優先；吸引掃除機ノズルＡ４７Ｌ９／０２）
A47L4/02	板すだれを清掃するための手道具
A47L4/04	清掃を補助する付属具，例．板すだれ分離器，展延機，または清掃ラック
A47L5/00	吸引掃除機の構造上の特徴
A47L5/02	使用者の駆動する空気ポンプまたは圧縮機を有するもの
A47L5/04	ピストン，ベロー，またはダイヤフラムを有するもの，例．掃除機を支持する車輪で駆動されるもの
A47L5/05	ほこりを遊離する被駆動具を有するもの
A47L5/06	回転送風機を有するもの
A47L5/08	掃除機を支持する車輪で駆動されるもの
A47L5/10	ほこりを遊離する被駆動具を有するもの
A47L5/12	動力駆動空気ポンプまたは空気圧縮機を有するもの，例．動力車機関の真空で駆動されるもの
A47L5/14	吹出しにより，さらに吸引清掃との組み合わせにより清掃するもの
A47L5/16	回転送風機以外の吸引装置を有するもの
A47L5/18	エゼクターを有するもの，例．動力車の排気に連結されたもの
A47L5/20	ベロー，ダイヤフラムまたはピストンを有するもの
A47L5/22	回転送風機を有するもの
A47L5/225	｛変更可能な吸引掃除機，すなわち，その異なる形式の間で，例．直立吸引掃除機からそり型吸引掃除機へ，変更可能なもの｝
A47L5/24	手で支持する吸引掃除機
A47L5/26	ほこりを遊離する被駆動具を有するもの
A47L5/28	ケーシングに固定された取手およびノズルを有する吸引掃除機，例．操向ハンドルを有する車輪付きの吸引掃除機（Ａ４７Ｌ５／２４が優先）
A47L5/30	ほこりを遊離する被駆動具，例．回転ブラシ，を有するもの
A47L5/32	管を連結する装置を有するもの（吸引掃除機の管継手Ａ４７Ｌ９／２４）
A47L5/34	ノズルまたはほこりを遊離する道具の高さを調節するもの
A47L5/36	ノズルおよびケーシングの間に管を有する吸引掃除機；階段に固定する吸引掃除機；背おう吸引掃除機
A47L5/362	｛水平型のもの，例．キャニスタまたはそり型｝
A47L5/365	｛垂直型のもの，例．タンクまたはバケット型｝
A47L5/367	｛階段に固定する吸引掃除機｝
A47L5/38	組み込みの吸引掃除設備，すなわち異った場所で管を連結できる固定管方式を有するもの
A47L7/00	追加された目的に適用される吸引掃除機（灰を除く吸引装置Ｆ２３Ｊ１／０２）；清掃する目的の吸引口を有するテーブル；吸引によって物を清掃するための容器；ブラシの清掃に適用される吸引掃除機；液体を吸上げるのに適用される吸引掃除機
A47L7/0004	｛液体を吸い上げるのに適用される吸引掃除機，例．湿式または乾式吸引掃除機（汚れた液体を吸引によって吸い上げる床こすり機械Ａ４７Ｌ１１／３０）｝
A47L7/0009	｛ノズルに取り付けられた手段をもつもの；液体の回収に特に適合されたノズル｝
A47L7/0014	｛ノズルとケーシングとの間に特に追加された手段または装置をもつもの｝
A47L7/0019	｛ケーシングの細部｝
A47L7/0023	｛回復タンク（掃除機のためのものＡ４７Ｄ１１／４０１３）｝
A47L7/0028	｛安全手段，例．溢れることを防止するためのフロート弁またはレベルスイッチ｝
A47L7/0033	｛汚れた液体を再利用するための手段をもつもの｝
A47L7/0038	｛タンクを殻にするための手段をもつもの｝
A47L7/0042	｛ガスケット；密封手段｝
A47L7/0047	｛吸入口をもつ家具または固定装置（組み込みの吸引掃除機Ａ４７Ｌ５／３８）｝
A47L7/0052	｛吸引によって物を清掃するための容器｝
