B03D1/00	浮遊選別（浮遊選別のための調整，プラントの一般的な配置Ｂ０３Ｂ）
B03D1/001	浮遊選別剤（調整剤Ｂ０３Ｂ１／００）<br><br><u>注</u><br><br>１．このグループにおいては，ラストプレイス優先ルールが適用される，すなわち各階層レベルにおいて相反する指示がない限り，最後の適当な箇所に分類する。２．このグループにおいては，グループＢ０３Ｄ２２０１／００またはＢ０３Ｄ２２０３／００のそれぞれからの適当なインデキシングコードを付与することが望ましい。
B03D1/002	無機化合物
B03D1/004	有機化合物
B03D1/0043	｛ポリエーテル基を含むよう改質されたもの｝
B03D1/0046	｛けい素を含有するもの｝
B03D1/006	炭化水素
B03D1/008	酸素を含有するもの
B03D1/01	窒素を含有するもの
B03D1/011	｛第四級アンモニウム化合物｝
B03D1/012	硫黄を含有するもの
B03D1/014	りんを含有するもの
B03D1/016	高分子化合物
B03D1/018	無機化合物と有機化合物の混合物
B03D1/02	泡沫浮遊選別法
B03D1/021	｛りん鉱石の処理のためのもの｝
B03D1/023	｛担体浮選；目標物質が付着する担体の浮遊選別｝
B03D1/025	｛微粒子の浮遊選別に適合したもの｝
B03D1/026	｛浮遊選別のための気体の代わりの非混和性液の使用｝
B03D1/028	｛浮遊選別プロセスの制御及び監視；そのためのコンピュータモデル｝
B03D1/04	周囲の大気圧を変えることによるもの
B03D1/06	優先泡沫浮遊選別法
B03D1/08	分離されたものの後続処理（泡の消散Ｂ０１Ｄ１９／０２）
B03D1/082	｛泡生産物の後続処理，例．洗浄｝
B03D1/085	｛供給物の後続処理，例．調整，脱スライム｝
B03D1/087	｛沈澱物の後続処理，例．再粉砕｝
B03D1/10	分離された物質からの付着した液体の除去（一般に使用し得る工程または装置Ｂ０１Ｄ）
B03D1/12	作用薬剤の回収
B03D1/14	浮遊選別機（計量された試薬を供給する装置Ｂ０１Ｊ４／０２；酵素学または微生物学のための浮遊選別機Ｃ１２Ｍ１／０９）
B03D1/1406	｛複数の浮遊選別セルの特別な配置を有するもの，例．他の浮遊選別セルの内部に浮遊選別セルを配置するもの｝
B03D1/1412	｛邪魔板を有するもの，例．沈降固体の方向を変えるために壁にあるもの｝
B03D1/1418	｛遠心力を利用するもの｝
B03D1/1425	｛空気散布式液体サイクロンを用いるもの｝
B03D1/1431	｛溶解空気浮遊選別機｝
B03D1/1437	｛電解浮遊選別を利用するもの（電解浮上を用いる汚水の処理Ｃ０２Ｆ１／４６５）｝
B03D1/1443	｛浮遊選別槽のための供給機構または排出機構｝
B03D1/145	｛試薬のため供給機構（正確に計量された試薬を供給する装置Ｂ０１Ｊ４／０２）｝
B03D1/1456	｛スラリーのための供給機構｝
B03D1/1462	｛泡のための排出機構｝
B03D1/1468	｛沈澱物のための排出機構｝
B03D1/1475	｛パルプを排出するための手段を有する浮遊選別槽｝
B03D1/1481	｛複数の平行板を有するもの｝
B03D1/1487	｛清掃または保守のための手段｝
B03D1/1493	｛特定されたフローパターンを確立するための手段を有するもの｝
B03D1/16	羽根車を有するもの；補助通気機｛（気体または蒸気の液体との混合Ｂ０１Ｆ３/０４）｝
B03D1/18	空気供給装置を有しないもの
B03D1/20	内部空気ポンプを有するもの
B03D1/22	外部送風機を有するもの
B03D1/24	空気力式｛（気体または蒸気の液体との混合Ｂ０１Ｆ３/０４）｝
B03D1/242	｛浮遊選別槽内へ気体を注入するためのノズル｝
B03D1/245	｛有孔領域または多孔質領域からの気体の注入｝
B03D1/247	｛浮遊選別槽とは別の装置内でのガスとスラリーの混合，すなわち．反応器−分離器型｝
B03D1/26	エアリフト
B03D3/00	差別沈降
B03D3/02	凝結
B03D3/04	振動による補助
B03D3/06	綿状化
B03D2201/00	浮遊選別剤により生じた特定の効果（乳化剤，湿潤剤，分散剤または起泡剤としての物質の用途Ｂ０１Ｆ１７／００）
B03D2201/002	凝固剤および凝集剤
B03D2201/005	分散剤
B03D2201/007	ｐＨまたは導電率を調整する試薬の変更
B03D2201/02	捕収剤
B03D2201/04	起泡剤
B03D2201/06	抑制剤
B03D2203/00	浮遊選別剤により処理した特定の材料；特定の用途（紙パルプの工程Ｄ２１Ｆ１／７０，紙パルプの脱墨Ｄ２１Ｂ１／３２５）
B03D2203/001	農産物，食品，バイオガス，藻類
B03D2203/003	バイオテクノロジー用途，例．酵素，ホルモン，ビタミン，ウイルスの分離または精製
B03D2203/005	精製され有用な化学薬品
B03D2203/006	油井流体，油砂，瀝青
B03D2203/008	水の精製，例．水を再利用する目的のもの（廃水の処理Ｃ０２Ｆ１／２４）
B03D2203/02	鉱石
B03D2203/025	貴金属鉱石
B03D2203/04	非硫化鉱石
B03D2203/06	りん鉱石
B03D2203/08	石炭
B03D2203/10	カリウム鉱石
