B21C1/00	引抜による金属板，金属線，金属棒，および金属管の製造
B21C1/003	｛特別な引抜き方法または処置を要求または許容する組成をもつ特殊合金材料の引抜き｝
B21C1/006	｛振動エネルギーの使用｝
B21C1/02	引抜作用がドラムで行われる引抜機械または装置による金属線または類似の可撓性金属材料の引抜き
B21C1/04	連続して作用する２個以上のダイスをもつもの
B21C1/06	ドラム上で材料がスリップするもの
B21C1/08	ドラム上で材料がスリップしないもの
B21C1/10	連続配列ダイス間に材料の蓄積を行うもの
B21C1/12	引抜きドラムの速度の調整または制御，例．張力の影響；駆動；ストップまたはリリーフ機構（ドラムの為のカップリングＢ２１Ｃ１／１４；電気装置の設計または構成は該当クラスを参照）
B21C1/14	ドラム，例．キャプスタン（キャプスタン，ウインチ一般Ｂ６６Ｄ）；それらとグリッパーの結合；ドラム形の引抜機械または装置に特に適するグリッパー；これらのドラムに特に適するカップリング
B21C1/16	引抜作用がドラム以外の手段で行われる機械または装置による金属の引抜，例．金属板，棒，または管を製造するため被加工物またはストックを引張りまたは押す縦方向に動く移送台によるもの
B21C1/18	限定長さのストックからのもの（Ｂ２１Ｃ１／２２が優先）
B21C1/20	実質的に無制限長さのストックからのもの（Ｂ２１Ｃ１／２２が優先）
B21C1/22	管状物品の製造に特に適するもの（引抜により管状に成形する金属板の曲げ加工Ｂ２１Ｄ５／１０）
B21C1/24	マンドレルによるもの（マンドレルＢ２１Ｃ３／１６）
B21C1/26	プッシュベンチ引抜
B21C1/27	移送台；駆動
B21C1/28	移送台；それとグリッパーの結合；グリッパー（ドラム形の引抜機械用Ｂ２１Ｃ１／１４）
B21C1/30	駆動，例．移送台移動機構；駆動要素，例．引抜用チェーン；駆動の制御
B21C1/305	
B21C1/32	材料またはマンドレルの供給または放出
B21C1/34	材料またはマンドレルの案内または支持
B21C3/00	金属引抜き用プロフィリング工具；ダイスおよびマンドレルの組合せ
B21C3/02	ダイス；ダイス用材料の選択；ダイスの清浄
B21C3/025	｛ダイヤモンド部品からなるもの｝
B21C3/04	非調整断面をもつもの（Ｂ２１Ｃ３／０８が優先）
B21C3/06	調整断面をもつもの（Ｂ２１Ｃ３／０８が優先）
B21C3/08	ローラー，ボールまたは類似物で限定した断面をもつもの
B21C3/10	加工品に直接作用する液圧力をもつもの
B21C3/12	ダイス保持具；回転ダイス
B21C3/14	引抜材料を案内する装置と組合わせた，または冷却，加熱，もしくは潤滑する装置と組合わせたダイス保持具
B21C3/16	マンドレル（加工品からのマンドレルの分離Ｂ２１Ｃ４５／００）；据付けまたは調整
B21C3/18	単一の他のサブクラスに包含されない作用による工具の製造；修理
B21C5/00	ポインティング；プッシュポインティング
B21C5/003	
B21C5/006	
B21C9/00	引抜材料の冷却，加熱または潤滑（Ｂ２１Ｃ３／１４が優先）
B21C9/02	それらのための構成の選択
B21C19/00	引抜または巻取り機械または装置と結合しまたは組合わせて用いるのに特に適した線または類似の加工品の矯正装置
B21C23/00	金属の押出し；衝撃押出し
B21C23/001	
B21C23/002	｛特別な押出し方法または処置を要求または許容する組成をもつ特殊合金材料の押出し｝
B21C23/004	｛振動エネルギーの使用｝
B21C23/005	｛固体材料から出発する連続押出し（Ｂ２１Ｃ２３／００８が優先）｝
B21C23/007	｛静水圧押出し｝
B21C23/008	｛連続押出し｝
B21C23/009	
B21C23/01	特有の形または形状の材料からの出発，例．機械的に予備処理したもの（Ｂ２１Ｃ２３／２２が優先；熱処理または機械的処理と熱処理の組合わせは該当クラスを参照）
B21C23/02	被覆のない製品の製造
B21C23/03	直接押出しおよび後方押出しの両方によるもの
B21C23/035	｛全般的に細長い形の製品の製造｝
B21C23/04	直接押出しによるもの
B21C23/06	板の製造
B21C23/08	線，棒，管の製造
B21C23/085	｛管の製造（Ｂ２１Ｃ２３／１０が優先）｝
B21C23/10	フイン付管の製造
B21C23/12	わん曲管または棒の押出し
B21C23/14	他の製品の製造
B21C23/142	
B21C23/145	
B21C23/147	｛ドリル半製品の製造（ツイストドリルの製造Ｂ２３Ｐ１５／３２）｝
B21C23/16	タービン翼またはプロペラの製造
B21C23/18	衝撃押出しによるもの
B21C23/183	｛前方押出しによるもの｝
B21C23/186	｛後方押出しによるもの｝
B21C23/20	後方押出しによるもの
B21C23/205	｛全般的に細長い形の製品の製造｝
B21C23/21	金属押出しに特に適するプレス（押出プレス一般Ｂ３０Ｂ１１／２２）
B21C23/211	｛プレス駆動装置｝
B21C23/212	｛細部　例．ダイス交換用装置（Ｂ２１Ｃ２３／２１７，Ｂ２１Ｃ２３／１２Ｆ(ＥＣＬＡ)が優先）｝
B21C23/214	
B21C23/215	
B21C23/217	｛管押出しプレス（Ｂ２１Ｃ２３／２１８が優先）｝
B21C23/218	｛間接押出しプレス｝
B21C23/22	金属被覆した製品の製造；２個以上の金属からの製品の製造
B21C23/24	被覆金属での長さが不定の金属または非金属の被覆
B21C23/26	ケーブル，例．絶縁電気ケーブル，の被覆への応用
B21C23/28	断続的に作用する押出しプレスにおけるもの
B21C23/30	連続的に作用する押出しプレスにおけるもの
B21C23/32	被押出し金属またはダイスまたはその類似のものの潤滑，例．潤滑剤の物理的状態，潤滑剤を供給する位置（化学成分は該当するクラスを参照）
B21C25/00	金属の押出し用プロフィリング工具
B21C25/02	ダイス
B21C25/025	｛そのための材料選定｝
B21C25/04	マンドレル
B21C25/06	被覆加工品のためのプレスヘッド，ダイスまたはマンドレル
B21C25/08	押出し中に断面が変化するダイスまたはマンドレル，例．テーパー加工品の製造のためのもの；変化の制御
B21C25/10	単一の他のサブクラスに含まれない作用による工具の製造
B21C26/00	ラムまたはプランジャー；そのためのディスク
B21C27/00	押出し金属のためのコンテナ（Ｂ２１Ｃ２９／０２が優先）
B21C27/02	被覆加工品製造用
B21C27/04	コンテナ内の通気
B21C29/00	押出しプレスの被加工物または部品の加熱または冷却
B21C29/003	
B21C29/02	被押出し金属のためのコンテナのもの
B21C29/04	プレスヘッド，ダイスまたはマンドレルのもの
B21C31/00	制御装置，例．金属のプレス速度またはプレス温度の調整のためのもの（Ｂ２１Ｃ２５／０８が優先）；押出プレスと組合わせまたは関連して用いるのに特に適した測定装置，例．金属の温度測定用のもの（サブクラスＢ２１Ｃ内より一般的な測定装置についてはグループＢ２１Ｃ５１／００参照）
B21C33/00	押出しプレスへの被押出し金属の供給
B21C33/002	
B21C33/004	
B21C33/006	
B21C33/008	
B21C33/02	液体状の金属
B21C35/00	押出しプレスからの加工品または押かすの除去；押出し加工品を引放すこと（わん曲管または棒の押出しと関連Ｂ２１Ｃ２３／１２）；ダイス，ダクト，コンテナまたはマンドレルの清浄
B21C35/02	加工品の除去または引離し
B21C35/023	
B21C35/026	
B21C35/03	加工品の矯正（金属の矯正一般Ｂ２１Ｄ）
B21C35/04	押かすの切離しまたは除去
B21C35/06	ダイス，ダクト，コンテナまたはマンドレルの清浄
B21C37/00	他に分類されない金属板，棒，線，管または類似の半製品の製造（圧延によるものＢ２１Ｂ，半仕上げ金属板，プロフィル，管または線の加工または処理Ｂ２１ＤまたはＢ２１Ｆ；鋳造によるものＢ２２；材料を除去する機械工具によるものＢ２３；溶接によるもの，例．クラッドまたは被せ金Ｂ２３Ｋ；研削または研磨によるものＢ２４；電鋳によるものＣ２５Ｄ１／００；引抜または押出しによるものは関連するグループを参照）；特殊形状管の製造
B21C37/02	板の製造
B21C37/04	棒または線の製造
B21C37/042	｛被覆線または被覆棒の製造｝
B21C37/045	｛特殊な断面または特殊な性質をもつ線または棒の製造｝
B21C37/047	｛細線のもの｝
B21C37/06	管または金属ホースの製造；管製造のために組合わせた処置，例．多壁管の製造（管製造のための板曲げ加工Ｂ２１Ｄ５／００；折り曲げによる継合せＢ２１Ｄ３９／０２）
B21C37/065	
B21C37/08	溶接またははんだ付作業による管の製造（溶接またははんだ付の作用のみはＢ２３Ｋ）　｛らせん状に配置された継ぎ目をもつものＢ２１Ｃ３７／１２２｝
