B27C1/00	平らな表面を作成するための機械，例．回転カッターによるもの；そのための装備
B27C1/002	｛非回転工具をもつもの｝
B27C1/005	｛加工表面に垂直な回転ベクトルを有する工具をもつもの｝
B27C1/007	｛切削により生じた表面に平行な回転ベクトルを有する工具で工作物を切り開くためのもの｝
B27C1/02	平滑加工，すなわち，一側面のみ加工
B27C1/04	一定厚さに削成する機械
B27C1/06	平滑加工とその後に一定厚さに削成するための機械
B27C1/08	工作物の数個の側面を同時に加工するための機械
B27C1/10	動力駆動のカッターブロックを備えた手持ちかんな削り機
B27C1/12	工作物を供給するための設備
B27C1/14	その他の細部または付属品
B27C3/00	穴あけ機械または穴あけ装置；そのための装備（Ｂ２３Ｂが優先）
B27C3/02	単一の加工主軸をもつた定置穴あけ機械
B27C3/04	複数の加工主軸をもった定置穴あけ機械
B27C3/06	合くぎ穴を作るための穴あけ機械または装置
B27C3/08	作業者が保持する穴あけ機械または装置
B27C5/00	特殊な外形の作成または特殊に成形された工作物の作成のために設計された機械，例．回転カッターによるもの；そのための装備（旋削Ｂ２７Ｃ７／００；ならい装置の特色Ｂ２３Ｑ３５／００；立て削り，ほぞ穴削り，凸縁または溝の作成Ｂ２７Ｆ）
B27C5/003	｛ならいフライス削り｝
B27C5/006	｛非回転工具をもつもの｝
B27C5/02	テーブルをもった機械
B27C5/04	工作物のための案内部材
B27C5/06	工作物のクランプまたは送りのための設備
B27C5/08	丸面とり機
B27C5/10	可搬式手動木工フライス盤；ルーター
B27C7/00	木工旋削機械；そのための装備（Ｂ２３Ｂ，Ｂ２３Ｇ，Ｂ２３Ｑが優先；ならい装置の特徴Ｂ２３Ｑ３５／００）<br><br><u>｛注</u><br><br>このグループにおいては，＋ＩＤＴという表現は以下の内容を意味する。　−ここに分類される文献は，木工旋削機械に関連するＩＤＴ−グループに分類されていた:　−これらは管理上の目的で上述のＩＤＴグループからこのグループに再分類された｝
B27C7/005	｛回転工具によるもの｝
B27C7/02	手廻し用の旋盤
B27C7/04	工作物の心出しまたはチャック用の装置
B27C7/06	工具の案内または支持用の設備，例．刃物台
B27C9/00	多目的加工機械；万能加工機械；そのための装備
B27C9/005	｛可搬式のもの｝
B27C9/02	単一の加工主軸をもつもの
B27C9/04	複数の加工主軸をもつもの
