B31F1/00	材料を除去しない機械的変形，例．薄層の組み合わせ 
B31F1/0003	｛曲げ，折り，ねじり，直線化，平面化またはリムローリングによる成形；接合と組合された曲げ，折りまたはリムローリングによる成形；そのための装置（筒端部の成形Ｂ３１Ｆ１／００８）｝
B31F1/0006	｛曲げまたは折り；接合と組合された縁の折り；折りの際の縁の補強（折目つけＢ３１Ｆ１／０８，紙に縮みじわをつけるものＢ３１Ｆ１／１２，波形づけＢ３１Ｆ１／２０；曲げおよび接合Ｂ３１Ｆ１／００４５；縁縁の補強それ自体Ｂ３１Ｆ５／０８；巻つけ物品の製造Ｂ３１Ｃ，薄板状材料の折りたたみそのものＢ６５Ｈ４５／００）｝
B31F1/0009	｛板，シートまたはウエブの｝
B31F1/0012	｛折り線づけと組合されたもの（Ｂ３１Ｆ１／００２２が優先）｝
B31F1/0016	｛端縁の折りたたみ；接合と組合された端縁の折りたたみ；折りたたみの際の端縁の補強，例．糸の挿入によるもの；被覆材の端縁の折りたたみ（Ｂ３１Ｆ１／００２９が優先）｝
B31F1/0019	｛板，シートまたはウエブが連続的に移動するもの（Ｂ３１Ｆ５／０８が優先）｝
B31F1/0022	｛折り線づけと組合されたもの｝
B31F1/0025	｛回転工具を使用して折り線をつけるもの｝
B31F1/0029	｛端縁の折りたたみ；接合と組合された端縁の折りたたみ；折りたたみの際の端縁の補強，例．糸の挿入によるもの；被覆材の端縁の折りたたみ｝
B31F1/0032	｛筒のもの｝
B31F1/0035	｛直線化または平面化｝
B31F1/0038	｛リムローリング｝
B31F1/0041	｛接合と組合されたもの｝<br><br><u>警告</u><br><br>グループＢ３１Ｆ１／００４１はグループＢ３１Ｆ５／００への再分類の影響を受ける。<br>グループＢ３１Ｆ１／００４１およびＢ３１Ｆ５／００はコンプリートサーチの完遂のために考慮されるべきである。
B31F1/0045	｛接合と組合された曲げまたは折りたたみ（接合と組合された端縁の折りたたみＢ３１Ｆ１／００１６，Ｂ３１Ｆ１／００２９）｝
B31F1/0048	｛形成する物品の軸と直角に板，シートまたはウエブを曲げ，端縁を接合するもの｝
B31F1/0051	｛一定の長さの物品を製造するためのもの｝
B31F1/0054	｛内部形成面を使用するもの，例．マンドレル｝
B31F1/0058	｛付加的なマンドレルをもつそのための機械，例．ターンテーブル，または鎖に取り付けられたもの（Ｂ３１Ｆ１／００６４が優先）｝
B31F1/0061	｛一定でない長さの物品を製造するためのもの｝
B31F1/0064	｛内部形成面を使用するもの，例．マンドレル上の｝
B31F1/0067	｛外部形成面のみを使用するもの，例．スリーブ｝
B31F1/007	｛多層壁をもつ物品を製造するためのもの｝
B31F1/0074	｛本質的に空洞のない輪郭を作るもの，例．ロッド，縄，ひも｝
B31F1/0077	｛モールド成型と類似の方法で成形するもの，例．深絞り技法｝
