B41M1/00	版を備えた印刷機のインキ付けおよび印刷
B41M1/02	凸版印刷，例．活版印刷
B41M1/04	フレキソ印刷
B41M1/06	平版印刷
B41M1/08	水無し平版印刷
B41M1/10	凹版印刷
B41M1/12	ステンシル印刷；シルクスクリーン印刷
B41M1/125	｛力の場，例．静電界，または電流を用いるもの｝
B41M1/14	多色印刷
B41M1/16	虹効果を出すために互に混じりあって異なったインキを使用するもの
B41M1/18	他のインキの上への印刷
B41M1/20	印刷版の異なる部分に同時に多色インキを適用するもの
B41M1/22	メタリック印刷；粉末インクによる印刷
B41M1/24	エンボシングと結びついたもの（エンボシングと結合された印刷操作を行なう印刷機械Ｂ４１Ｆ１９／０２）
B41M1/26	普通の紙以外の表面への印刷（Ｂ４１Ｍ１／４０が優先）
B41M1/28	金属への印刷
B41M1/30	プラスチック有機材，角製のもの，または同様のものへの印刷　｛（インクジェットまたは熱転写による記録のための受容体Ｂ４１Ｍ５／００Ｊ(ＥＣＬＡ)；高エネルギービーム，例．レーザ，によるプラスチックへのマーキング記録Ｂ４１Ｍ５／３６）｝
B41M1/305	｛インクの保持を良くするために，機械的，物理的または化学的手段，例．コロナ放電，エッチングまたは有機溶剤，を用いるもの｝
B41M1/32	ゴムへの印刷
B41M1/34	ガラスまたは陶器表面への印刷
B41M1/36	前処理紙への印刷，例．羊皮紙，油紙，登録目的用紙への印刷　｛（Ｂ４１Ｍ５／００Ｊ(ＥＣＬＡ)が優先）｝
B41M1/38	木製表面，レザー，またはリノリウムへの印刷（マッチ製造と結びついたマッチやマッチ箱への印刷Ｃ０６Ｆ１／１８）
B41M1/40	特定の形をした物体への印刷，例．ゴルフボール，ろうそく，ワインのコルク栓
B41M1/42	版と印刷される表面との間の接触がない印刷，例．静電界の使用によるもの　｛（ステンシルまたはスクリーンを用いるものＢ４１Ｍ１／１２５）｝
B41M3/00	特定の種類の印刷品を生産する印刷方法，例．パターン（特別のデザインまたは絵画それ自体Ｂ４４Ｆ；　｛印刷技術を用いる有犠導体装置の製造Ｈ０１Ｌ５１／４０Ｂ２Ｂ(ＥＣＬＡ)｝；印刷技術を用いる印刷回路の製造Ｈ０５Ｋ３／１２）
B41M3/001	｛化学的発色または化学反応を用いるもの，例．ロイコ染料または酸｝
B41M3/003	｛光学装置，例．レンズ部品，へのもの；光学装置の生産のためのもの（熱画像手段による生産Ｂ４１Ｍ５／２６５）｝
B41M3/005	｛色見本；絵画支持具；潜像または隠し絵，例．ゲーム用；時間が経過して現れる画像｝
B41M3/006	｛特殊な目的のために用いられる化学物質のパターン，例．殺虫剤，香料，接着剤のパターン；マイクロカプセル化された材料の使用；喫煙具の印刷｝
B41M3/008	｛連続または重ね印刷，例．既に印刷された背景に印刷するもの；鏡像印刷；奇数頁−偶数頁印刷；異なる印刷技術の組合せを用いるもの；反射および透明性により視認可能なパターンの印刷；印刷された人工物を重ね合わせることによるもの｝
B41M3/02	地図；海図または天気図
B41M3/04	楽∴
B41M3/06	木目印刷；蛍光印刷；立体像；模造パターン，例．薄葉紙，織物
B41M3/10	すき入れ印刷
