B60F1/00	軌条と路面両用車両；その転換装置
B60F1/005	｛路面車両を軌条上に保つ案内素子をもつもの｝
B60F1/02	同軸上に軌条用と路面用車輪をもつもの
B60F1/04	異なる軸に軌条用と路面用車輪をもつもの
B60F1/043	｛自己推進ユニットを備えた車両｝
B60F1/046	｛自己推進ユニットを備えていないセミ・トレーラー型またはトレーラー型車両｝
B60F3/00	水陸両用車両，すなわち地上と水上を走行できる車両；水中を走行できる陸上車両（浮揚車輪Ｂ６０Ｂ；　｛陸上輸送を容易にする車両の一部をなしまたは船舶に取り付け可能な機器　Ｂ６３Ｃ１３／００｝）
B60F3/0007	｛水陸両用車両上に推進手段または操向手段を装備するもの（水上推進または操舵Ｂ６３Ｈ）｝
B60F3/0015	｛そのために特に適した軌条（車両用連結式軌条　Ｂ６２Ｄ５５／２０）をもつもの｝
B60F3/0023	｛スクリュー型接地装置（車輪または無限軌道以外の接地装置を特徴とする車両　Ｂ６２Ｄ５７／００）をもつもの｝
B60F3/003	｛車両構造のパーツまたは細部；他に分類されない車両装備｝
B60F3/0038	｛浮揚装置，上昇移動装置又は安定装置（船又は他の水上船舶用Ｂ６３Ｂ３９／００，　Ｂ６３Ｂ４３／１０）｝
B60F3/0046	｛ウオーターデフレクタまたはスクリーン｝
B60F3/0053	｛気体循環用の特定装置，例．空気流入，冷却，水密装置など｝
B60F3/0061	｛特定な目的又は特定の形式で特に適合した水陸両用車両（水陸両用装甲車両　Ｆ４１Ｈ７／００；　水中作業用機器　Ｂ６３Ｃ１１／００；　車両用として設計され又は車両上に設置した平甲板Ｅ０１Ｄ１５／１４Ｃ５(ＥＣＬＡ)）｝
B60F3/0069	｛レクリエーション用水陸両用車両（玩具用車両Ａ６３Ｈ１７／００−Ａ６３Ｈ３１／００）｝
B60F3/0076	｛水陸両用スノーモービル（スキー車両Ａ６３Ｃ５／００；そり一般　Ｂ６２Ｂ１３／００−Ｂ６２Ｂ１９／００）｝
B60F3/0084	｛水陸両用自転車（船舶は船舶の支持する陸上車両で動力を受けている　Ｂ６３Ｈ２１／１７５）｝
B60F3/0092	｛水陸両用トレーラー（トレーラー一般　Ｂ６２Ｄ６３／０６；　ハウス・ボートＢ６３Ｂ３５／７３２）｝
B60F5/00	他の用途転換車両，すなわち異種の媒体内または媒体上を走行できる車両（どちらかを使用できる滑走部と車輪とをもつ車両Ｂ６２Ｂ１３／１８；他の形式の陸上乗物に変換できる自転車Ｂ６２Ｋ１３／００；航空機Ｂ６４；飛行艇または水上機Ｂ６４Ｃ）
B60F5/003	｛空中輸送又は宇宙輸送に適合可能なオフ・ロードまたは水陸両用車両｝
B60F5/006	｛落下可能なもの｝
B60F5/02	航空機に転換できるもの
B60F2301/00	格納式車輪
B60F2301/02	摺動可能に
B60F2301/04	枢軸的に
B60F2301/10	軌条に乗るかもしくは降りる方法
B60F2301/12	横行車輪，無端チェーン，または類似のもの，すなわち道路用車軸に対して直角な軌条用車軸，を利用すること
