B60M1/00	車両における集電装置に接触するための動力供給線（集電装置Ｂ６０Ｌ５／００）
B60M1/02	細部
B60M1/04	動力供給線の機械的保護；人体に接触することに対する保護
B60M1/06	近接する通信線に対する妨害を減少させるための動力線に沿っての装置（一般Ｈ０４Ｂ１５／０２）
B60M1/08	通過する車両による機械的作用を用いて動力線のセクションを活性化および非活性化するための装置
B60M1/10	通過する車両による磁気的作用を用いて動力線のセクションを活性化および非活性化するための装置
B60M1/103	｛車両に搭載された磁石によるもの｝
B60M1/106	｛軌道に取り付けられた磁石によるもの｝
B60M1/12	架線路；その付属物
B60M1/13	架線
B60M1/135	｛複合体｝
B60M1/14	クロッシング；転てつ器
B60M1/16	懸垂碍子（一般Ｈ０１Ｂ）
B60M1/18	セクション碍子；セクションスイッチ
B60M1/20	架線を支持しまたは懸垂するための装置，例．建築物からのもの
B60M1/22	懸垂されている動力線から離れている線，例．カテナリー線，張力を与えられた支持線
B60M1/225	張力を与えられている支持線に架線を固着するための装置
B60M1/23	カテナリー線から架線を懸垂するための装置
B60M1/234	屈曲手段または減衰手段を一体に結合しているもの（支持線Ｂ６０Ｍ１／２２）
B60M1/24	クランプ；スプライサー；アンカーチップ
B60M1/26	長さの変動を補償するための手段
B60M1/28	架線路の架設または修理（スカフォルドカーＢ６０Ｐ；Ｂ６１Ｄ１５／００；それらのためのプラットホームＢ６６Ｆ１１／０４；導体の製造一般Ｈ０１Ｂ１３／００；架線一般Ｈ０２Ｇ１／００）
B60M1/30	動力軌条
B60M1/302	｛複合体｝
B60M1/305	｛継ぎ目｝
B60M1/307	｛支持体｝
B60M1/32	クロッシング；転てつ器（Ｂ６０Ｍ１／３４が優先）
B60M1/34	溝のあるコンジット内のもの
B60M1/343	｛クロッシング；転てつ器｝
B60M1/346	｛継ぎ目｝
B60M1/36	動力供給線に沿った１個の接触片
B60M3/00	車両における集電装置に接触する供給線への給電；回生力を消費するための装置（車両に給電される電力の電圧を変化させることによる鉄道車両の制御Ｂ６０Ｌ；電力配分一般Ｈ０２Ｊ）
B60M3/02	予定された範囲内に電圧を維持する装置をもったもの（一般Ｇ０５Ｆ）
B60M3/04	個々の線路セクションを接続しおよび接断するための装置（車両の通過によるものＢ６０Ｍ１／１０）
B60M3/06	回生力を消費するための装置
B60M5/00	導電または絶縁のための走行軌条に沿ったまたはその継ぎ目における装置，例．接地電流を減少させるための安全装置（軌条の継ぎ目の絶縁Ｅ０１Ｂ１１／５４；軌条間の導電的接続一般Ｈ０１Ｒ３／００，Ｈ０１Ｒ４／００，Ｈ０１Ｒ４／７０）
B60M5/02	軌条と近接地面との間の電位差を減少させるための手段
B60M7/00	特殊な形態の電気的推進車両，例．懸垂鉄道，ロープウエイ，地下鉄道，に特に適合された動力線または軌条
B60M7/003	｛貯蔵された動力を用いる車両のためのもの（例．充電ステーション）｝
B60M7/006	｛自動スクータまたは類似のもののためのもので，動力が広範に供給されるもの｝
B60M2200/00	他に分類されない動力供給線に関連する特定の課題
B60M2200/02	貴金属の盗難防止
