B62C1/00	運搬車の形式
B62C1/02	客用運搬車
B62C1/04	貨物運搬車
B62C1/06	変換可能なもの，例．伸張自在な部分をもつものまたは車輪間隔を変えられるもの
B62C1/08	レース用運搬車，例．一人乗一頭立て二輪馬車
B62C3/00	運搬車の下部構造または走行装置；車軸支持（農機具または装置を支持する下部構造　Ａ０１Ｂ３５／３０，Ａ０１Ｂ３９／２４；５Ａ０１Ｂ５１／００）
B62C3/02	前輪荷台；ボギー；操向機構
B62C5/00	牽引装置の組立体（牽引ばん馬具Ｂ６８Ｂ３／００）
B62C5/005	｛発進補助装置｝　
B62C5/02	柄，轅，またはかじ棒；それの取付け，例．弾性のあるものまたは調節可能なもの
B62C5/04	振り棒；その取付け；牽引する動物間隔を等しく牽引するもの；引き革の取付け（引き革Ｂ６８Ｂ３／２０）
B62C7/00	畜力牽引運搬車独特の制動機構と制動制御装置　（制動一般Ｆ１６Ｄ）
B62C7/02	路面走行車輪を鎖錠するための機構，例．スポークに結合するもの
B62C7/04	自動制動制御装置
B62C9/00	鞭携帯具または保持具；運搬車に取付けるかまたは運搬車の一部分として形成している手綱保持具（鞭または手綱それ自体Ｂ６８Ｂ）
B62C11/00	他に分類されない安全保護装置，例．取扱い難い牽引用動物を簡単に解放できるようなもの
B62C11/02	離脱可能なかじ棒を用意しているもの
B62C11/04	自動制動装置に結合されているもの
B62C99/00	
