B62D1/00	操向制御装置，すなわち，車両の方向変化を起こさせる装置
B62D1/02	車両に据え付けられたもの
B62D1/04	ハンドル車
B62D1/043	｛操向ホイールの片手運転を許容する装置を持ったもの｝
B62D1/046	｛スイッチを装備するためのハンドル回転部への適用｝
B62D1/06	リム，例．加熱装置を持ったもの；リムおおい（Ｂ６２Ｄ１／１１が優先）
B62D1/065	｛加熱および通気手段を持った操向ホイール（車両の空間用の加熱および換気装置Ｂ６０Ｈ）｝
B62D1/08	スポーク，例．弾力性のあるもの（Ｂ６２Ｄ１／１１が優先）
B62D1/10	ハブ；ハブの操向コラムへの結合，例．調整自在のもの（Ｂ６２Ｄ１／１１が優先）
B62D1/105	｛非回転ハブ，例．回転しないハンドル中央部（エアバッグ収納用Ｂ６０Ｒ２１／２０３２）｝
B62D1/11	一体となるエネルギー吸収装置，例．可撓自在または折りたたみ可能なもの（操向ホイールに組み合わされたパッド入りの内張りＢ６０Ｒ２１／０５；部材の可塑性変形を利用した衝撃吸収材一般Ｆ１６Ｆ７／１２）
B62D1/12	手動杆
B62D1/14	操向杆，すなわち操向コラムに作用する手動杆
B62D1/16	操向コラム
B62D1/163	｛可撓性手段，例．ケーブルまたはベルト，と取り替えられるステアリングコラムの部分｝
B62D1/166	｛ハンドルとステアリングギア間の伝達比変更手段（エネルギーの連続供給によるもの，例．電動モータからのものＢ６２Ｄ５／００８；それを検知しそれに応動する走行状態に応じて操向を制御するものＢ６２Ｄ６／００）｝
B62D1/18	可撓自在または調整自在なもの，例．傾斜自在なもの（ステアリングコラムに組み合わされたパッド入りの内張りＢ６０Ｒ２１／０５）<br><br><u>注</u><br><br>グループＢ６２Ｄ１／１８１がＢ６２Ｄ１／１８３〜Ｂ６２Ｄ１／１８７のグループに優先する
B62D1/181	動力駆動の調整が出来るもの，例．位置を記憶する装置
B62D1/183	使用中と不使用の位置間を調整できるもの，例．アクセスを良くするためのもの
B62D1/184	選んだ位置でコラムをロックする仕組み｛（伸縮式システムの固定一般Ｆ１６Ｂ７／１０）｝
B62D1/185	軸の移動で調整可能なもの，例．テレスコピック式のもの（Ｂ６２Ｄ１／１８３，Ｂ６２Ｄ１／１８７，Ｂ６２Ｄ１／１９が優先）
B62D1/187	傾斜調整を伴うもの；傾斜調整および軸調整を伴うもの（Ｂ６２Ｄ１／１８３，Ｂ６２Ｄ１／１９が優先）
B62D1/189	ステアリングコラム全体が一つのユニットとして傾斜できるもの
B62D1/19	一体となるエネルギ吸収装置，例．可撓自在または折りたたみ可能なもの（部材の可塑性変形を利用した衝撃吸収材一般Ｆ１６Ｆ７／１２）
B62D1/192	｛可撓自在または折りたたみ可能なものコラム｝
B62D1/195	｛操向コラム用の可撓自在な支持具｝
B62D1/197	[Ｎ事故の際の乗客空間への操向コラムの進入を防ぐための組込装置｝
B62D1/20	操向コラムの操向伝動装置への結合
B62D1/22	選択自在の操向制御要素，例．教習用のもの
B62D1/24	車両に取付けられていないもの｛（自動トラクタ操縦の特殊な適用Ａ０１Ｂ６９／０４；持ち上げ，車輪によって可動する，自動的に誘導される装置Ｂ６６Ｆ９／０６３）｝
B62D1/26	機械的なもの，例．無荷重軸受の案内によって（軌道Ｂ６１）
B62D1/265	｛荷物または乗客を運搬する路面車両を誘導するために特に適合されたもの，例．公共交通のための都市ネットワーク｝
B62D1/28	非機械的なもの｛例．１本の進路または他の既知の標線に追従するもの（操向位置表示装置Ｂ６２Ｄ１５／０２；操向補助装置Ｂ６２Ｄ１５／０２５；駐車補助装置Ｂ６２Ｄ１５／０２７；操向補助手段Ｂ６２Ｄ１５／０２９；陸上車両の軌跡の判定または計算Ｇ０５Ｄ１／０２１）｝
B62D1/283	｛無人車両用｝
B62D1/286	｛運転者の介入による非機械的操向の中断システム｝
B62D3/00	操向伝動装置（動力補助または動力駆動されるものＢ６２Ｄ５／００；操向リンク機種Ｂ６２Ｄ７／００；転向できない車輪用Ｂ６２Ｄ１１／００；伝動装置一般Ｆ１６Ｈ）
B62D3/02	機械的なもの
B62D3/04	ウォーム式のもの
B62D3/06	ネジおよびナットを持つもの
B62D3/08	介在球体または類似のものを用いるもの
B62D3/10	扇形またはローラ歯車とかみ合うウォームをもつもの
B62D3/12	ラック−ピニオン式のもの
B62D3/123	｛圧力式ヨークに特徴のあるもの｝
B62D3/126	｛ラックに特徴のあるもの｝
B62D3/14	液圧式のもの
B62D5/00	動力補助または動力駆動される操向（｛それを検知しそれに応動する走行状態に応じて操向を制御するものＢ６２Ｄ６／００；｝転向できない車輪用Ｂ６２Ｄ１１／００；流体圧サーボモータ一般Ｆ１５Ｂ）
B62D5/001	｛ステアバイワイヤシステムの機械的特徴，Ｂ６２Ｄ５に分類されていないもの（油圧式ステアバイワイヤシステムＢ６２Ｄ５／０９１）｝
