B63H1/00	水に直接作用する推進器（噴射推進Ｂ６３Ｈ１１／００）
B63H2001/005	
B63H1/02	回転式のもの（無限帯式Ｂ６３Ｈ１／３４）
B63H1/04	推進方向に対して実質的に直角の回転軸をもつもの．．<br><br><u>｛注</u><br><br>このグループにおいては，＋ＩＤＴという表現は以下の内容を意味する。．．　−ここに分類されている文献は，船舶用外車一般；船尾外車に関連するＩＤＴ−グループに分類されている:．．　−それらは管理上前記のＩＤＴグループからこのグループに再分類されている．．　−このグループにおいては以下のインデキシングコードが用いられている:　Ｂ６３Ｂ２７４３／００，　Ｂ６３Ｂ２７４４／００　｝
B63H2001/045	
B63H1/06	調節し得る翼板または羽根をもつもの
B63H1/08	周期的に調節するもの
B63H1/10	フォイトシュナイダー型のもの，すなわち円盤回転体から軸方向に伸びた羽根をもつもの
B63H2001/105	
B63H1/12	実質的に推進方向の回転軸をもつもの．．<br><br><u>｛注</u><br><br>　このグループにおいては，＋ＩＤＴという表現は以下の内容を意味する。．．　−ここに分類されている文献は，船舶用プロペラ一般に関連するＩＤＴ−グル−プに分類されていた:．．　−それらは管理上前記のＩＤＴグループからこのグループに再分類されている．．　−このグループにおいては以下のインデキシングコードが用いられている:Ｂ６３Ｂ２７４５／００　｝
B63H2001/122	
B63H2001/125	
B63H2001/127	
B63H1/14	プロペラ（ピッチの変更Ｂ６３Ｈ３／００）
B63H2001/145	
B63H1/15	振動減衰装置をもつもの（推進装置の耐振取付け２１／３０；振動減衰装置一般Ｆ１６Ｆ）
B63H1/16	羽根に押え金が取り付けられているもの
B63H2001/165	
B63H1/18	キャビテーション減少手段をもつもの，例．スーパーキャビテーションプロペラ
B63H2001/185	
B63H1/20	ボス；羽根の接続．．．．<br><br><u>｛注</u><br><br>．．このグループにおいては，＋ＩＤＴという表現は以下の内容を意味する。．．．．　−ここに分類されている文献は，プロペラハブおよび羽根の接続に関連するＩＤＴ−グル−プに分類されていた:．．．．　−それらは管理上前記のＩＤＴグループからこのグループに再分類されていた。．．．．　−このグループにおいては以下のインデキシングコードが用いられている:Ｂ６３Ｂ２７４８／００　｝
B63H1/22	羽根が折りたたみできるもの
B63H1/24	自動的に折りたたみまたは広げることができるもの
B63H1/26	羽　根
B63H1/265	空きスペースを封入する表面により構成されている各羽根，例．閉塞ループの形成　
B63H1/28	プロペラ効率をよくするための他の手段（船体の形状によって形成される水流案内装置Ｂ６３Ｈ５／００）．．．．<br><br><u>｛注</u><br><br>．．このグループにおいては，＋ＩＤＴという表現は以下の内容を意味する。．．．．　−ここに分類されている文献は，回転プロペラの前方または後方の二重反転プロペラおよび他の水流案内装置；船舶用の排気口をもつプロペラ（中空プロペラ）に関連するＩＤＴ−グル−プに分類されていた:．．．．　−それらは管理上前述のＩＤＴグループからこのグループに再分類されていたこと。．．．．　−このグループにおいては以下のインデキシングコードが用いられている:　Ｂ６３Ｂ２７４５／０２，　Ｂ６３Ｂ２７４６／００　｝
B63H2001/283	
B63H2001/286	
B63H1/30	回転しない型式のもの．<br><br><u>｛注</u><br><br>このグループにおいては，＋ＩＤＴという表現は以下の内容を意味する。．　−ここに分類されている文献は，推進フラップに関連するＩＤＴ−グル−プに分類されていた:．　−それらは管理上前述のＩＤＴグループからこのグループに再分類されていた。．　−このグループにおいては以下のインデキシングコードが用いられている:Ｂ６３Ｂ２７５４／００　｝
B63H1/32	推進方向に往復運動するフラップ，ピストン，またはそれに類するもの
B63H1/34	無限帯式のもの
B63H2001/342	
B63H2001/344	
B63H2001/346	
B63H2001/348	
B63H1/36	揺動フラップ，例．魚尾型
B63H1/37	波動型推進器，すなわち．推進手段が柔軟に起伏する構造からなるもの
B63H1/38	もっぱら浮揚特性に特徴があるもの，例．ドラム
B63H3/00	プロペラ羽根のピッチの変更　｛（航空機用のプロペラ　Ｂ６４Ｃ１１／３０；　タービンの回転子Ｆ０１Ｄ７／００；　軸風力原動機　Ｆ０３Ｄ７／０２２；　軸流ポンプ　Ｆ０４Ｄ２９／００）｝　
B63H3/002	｛個別に調整可能な羽根をもつもの｝
B63H2003/004	
B63H2003/006	
B63H3/008	｛自動調整ピッチに特徴のあるもの，例．バネ，遠心力，流体学的な力によるもの｝
B63H3/02	プロペラ軸と同軸の制御器により作動されるもの，例．制御器が回転するもの　｛（Ｂ６３Ｈ３／００２　が優先，　流体で作動されるもの　Ｂ６３Ｈ３／０８１）｝　
B63H3/04	制御器が往復運動しうるもの
B63H3/06	機械的作動手段を使用しないことを特徴とするもの，例．電気的なもの（Ｂ６３Ｈ３／００２　が優先）
B63H3/08	流体によるもの
B63H3/081	｛プロペラ軸と同軸の制御器により作動されるもの｝　
B63H3/082	｛制御器が軸方向に往復運動しうるもの｝　
B63H2003/084	
B63H2003/085	
B63H2003/087	
B63H2003/088	
B63H3/10	ピッチ制御が推進設備制御と結合していることを特徴とするもの
B63H3/12	プロペラが静止しているときのみピッチを調節できるもの（Ｂ６３Ｈ３／００２が優先）
B63H5/00	水に直接作用する推進器の船体上の設備<br><br><u>｛注</u><br><br>このグループにおいては，＋ＩＤＴという表現は以下の内容を意味する。　−ここに分類されている文献は，船舶上のプロペラおよび他の推進器の配設に関連するＩＤＴ−グル−プに分類されていた:　−それらは管理上前記のＩＤＴグループからこのグループに再分類されていたこと。　−このグループにおいては以下のインデキシングコードが用いられている:　Ｂ６３Ｂ２７４７／００　｝
B63H2005/005	
B63H5/02	外車式のもの，例．船尾外車
B63H2005/025	
B63H5/03	船体に対して可動に取り付けられたもの，例．外車装置を出すか，または引込めるか，またはその姿勢を変更する手段をもつもの
B63H5/04	固定の水流案内装置をもつもの
B63H5/07	プロペラのもの（船外推進装置の構成部分｛またはＺ型駆動｝　Ｂ６３Ｈ２０／００）　　．<br><br><u>｛注</u><br><br>不完全。Ｂ６３Ｈ５／０６(ＥＣＬＡ)を参照｝
B63H2005/075	
B63H5/08	２個以上のプロペラのもの
B63H5/10	同軸型式のもの，例．逆回転式のもの
B63H2005/103	
B63H2005/106	
B63H5/125	船体に対して可動にとりつけられたもの，例．方向が調節可能なもの（操蛇のみを目的として可動に取付けられたもの，｛例．格納式方位推進機｝　Ｂ６３Ｈ２５／４２）　　．．<br><br><u>｛注</u><br><br>．不完全。Ｂ６３Ｈ５／１２(ＥＣＬＡ)を参照｝
B63H5/1252	
B63H2005/1254	
B63H2005/1256	
B63H2005/1258	
B63H5/14	回転しない導管またはリング内に設けられていることを特徴とするもの，例．操舵の目的で調節できるもの（押え金が羽根に取り付けられているものＢ６３Ｈ１／１６；ジェット推進Ｂ６３Ｈ１１／００）
B63H5/15	ノズル，例．コルト型
B63H5/16	リセス内に取り付けられたことにより特徴づけられたもの；固定された水流案内要素をもつもの；プロペラの防汚装置，例．ガード，ケージまたはスクリーン，をもつもの（防汚塗料Ｃ０９Ｄ５／１６）
B63H5/165	｛プロペラガード，プロペラまたは舵を保護するためのラインカッターまたは他の手段｝
B63H5/18	非常用プロペラのもの，例．船の玄側に設けられているもの
B63H5/20	作動位置から非作動位置へ可動のもの
B63H7/00	空気に直接作用する推進器の設備（ジェット推進Ｂ６３Ｈ１１／００）
B63H7/02	プロペラを用いるもの（航空機用の型式のプロペラＢ６４Ｃ）
B63H8/00	
B63H8/10	
B63H8/12	
B63H8/14	
B63H8/16	
B63H8/18	
B63H8/20	
B63H8/21	
B63H8/22	
B63H8/23	
B63H8/24	
B63H8/25	
B63H8/40	
B63H8/50	
B63H8/52	
B63H8/54	
B63H8/56	
B63H8/58	
B63H8/70	
B63H9/00	風により直接作用される推進装置；その設備（水中推進器を駆動する空気作動プロペラＢ６３Ｈ１３／００）
B63H9/02	マグナス効果を利用するもの．<br><br><u>｛注</u><br><br>このグループにおいては，＋ＩＤＴという表現は以下の内容を意味する。．　−ここに分類されている文献は，推進器（回転円筒体，外車），マグナス効果を利用する舵および安定船殻面に関連するＩＤＴ−グル−プに分類されていた:．　−それらは管理上前記のＩＤＴグループからこのグループに再分類されていたこと。．　−このグループにおいては以下のインデキシングコードが用いられている:　　Ｂ６３Ｂ２７４５／０４　｝
B63H9/04	帆またはそれに類する風受け面を用いるもの（帆走そりまたは氷上ボートＢ６２Ｂ１５／００；　｛帆船用マスト　Ｂ６３Ｂ１５／００８３；＠力駆動式ボード用の帆の配設　Ｂ６３Ｂ３５／７９７３｝）
B63H9/06	帆の構造または形状；その船上設備
B63H9/061	
B63H9/0615	
B63H9/0621	
B63H9/0628	
B63H9/0635	
B63H9/065	
B63H9/067	
B63H9/0671	
B63H9/0673	
B63H9/0678	
B63H9/068	
B63H9/069	
B63H9/071	
B63H9/072	
B63H9/08	マスト，円材，またはそれに類するものへの帆の接続
B63H2009/082	
B63H2009/084	
B63H2009/086	
B63H2009/088	
B63H9/10	動索，例．リーフ装置（マストの支えＢ６３Ｂ１５／０２）
B63H9/1007	｛トラピーズ方式（ウィンドサーファー用の装帯　Ｂ６３Ｂ３５／７９９３）｝　
B63H9/1014	｛装帯に弾性の連結部をもつもの｝　
B63H9/1021	｛縮帆｝　
B63H9/1028	｛支索の周りに巻きつけることによるもの｝　
B63H9/1035	｛マストの周りまたは内部に巻きつけることによるもの｝　
B63H9/1042	｛ブームの周りまたは内部に巻きつけることによるもの｝　
B63H2009/105	
B63H2009/1057	
B63H2009/1064	
B63H9/1071	｛スピネーカポールまたは索具，例．スピネーカの操作と組み合わされたもの｝
B63H9/1078	｛ブームブレーキ｝　
B63H9/1085	｛ブームの斜桁支索｝　
B63H9/1092	｛帆の格納手段　（Ｂ６３Ｈ９／１０２１　が優先）｝　
B63H11/00	ジェット，すなわち，反動の原理による効果的な推進（｛補助的なもの｝による操舵｝ジェット作用Ｂ６３Ｈ２５／４６；　動力設備それ自体，関連クラスを参照）　<br><br><u>｛注</u><br><br>このグループにおいては，＋ＩＤＴという表現は以下の内容を意味する:　−ここに分類されている文献は，ジェット水流の反動作用を用いての船舶の推進；ガスの爆発の反動作用を用いての船舶の推進に関連するＩＤＴ−グル−プに分類されていた。　−それらは管理上前記のＩＤＴグループからこのグループに再分類されていた。　−このグループにおいては，＋ＩＤＴという表現は以下の内容を意味する:Ｂ６３Ｂ２７５１／００，Ｂ６３Ｂ２７５３／００]
B63H2011/002	
B63H2011/004	
B63H2011/006	
B63H2011/008	
B63H11/01	異物が流体通路に詰まることを防止する手段をもつもの
B63H11/02	推進媒体が周囲の水であるもの
B63H11/025	｛電磁流体力学の力によるもの｝
B63H11/04	ポンプ手段によるもの
B63H2011/043	
B63H2011/046	
B63H11/06	往復型のもの
B63H11/08	回転型のもの
B63H2011/081	
B63H2011/082	
B63H2011/084	
B63H2011/085	
B63H2011/087	
B63H2011/088	
B63H11/09	液体に圧力パルスを適用することによるもの，例．空気／ガスまたは蒸気混合物の点火によるもの
B63H11/10	ジェットの向きまたはその断面積を変える手段をもつもの　｛（Ｂ６３Ｈ１１／０４Ｂ(ＥＣＬＡ)　が優先）｝
B63H11/101	
B63H11/102	
B63H11/103	推進流体の効率を向上させる手段，例．流体の流れをよくする手段を備えた吐出パイプ，をもつもの
B63H11/107	推進流体の方向制御
B63H11/11	バケットまたは貝殻状逆噴射手段をもつもの　
B63H11/113	回転吐出口　
B63H11/117	回転羽根　
B63H11/12	蒸気または他の気体からなる推進媒体．<br><br><u>｛注</u><br><br>このグループにおいては，＋ＩＤＴという表現は以下の内容を意味する。．　−ここに分類されている文献は，スチームジェツトまたはガスジェツトの反動作用を用いての船舶の推進に関連するＩＤＴ−グル−プに分類されていた:．　−それらは管理上前記のＩＤＴグループからこのグループに再分類されていたこと。．　−このグループにおいては以下のインデキシングコードが用いられている:　Ｂ６３Ｂ２７５２／００　｝
B63H11/14	気体が燃焼によりつくられるもの
B63H11/16	気体が他の化学的工程によりつくられるもの
B63H13/00	水に係合する推進器を駆動する風力原動機により推進させるもの
B63H15/00	アンカーチェーンまたはそれに類するものと協動する船上駆動装置を用いて推進させるもの
