B63J1/00	清水を作る為の設備，例．海水の蒸発と凝結によるもの　｛水処理一般　Ｃ０２Ｆ｝　
B63J2/00	換気装置，加熱装置，冷却装置または空気調和装置（潜水艦用Ｂ６３Ｇ８／００；タンクの洗滌のための通気Ｂ６３Ｂ５７／０４；車両用一般Ｂ６０Ｈ）
B63J2002/005	
B63J2/02	換気，空気調和
B63J2/04	居住区の
B63J2/06	機関室の
B63J2/08	船倉（流体貨物運搬用タンクの加熱または冷却Ｂ６３Ｊ２／１４；船舶における冷凍貨物積載用装置Ｂ６３Ｂ２５／２６）
B63J2/10	換気口；空気受口（玄窓用Ｂ６３Ｂ１９／０４）
B63J2/12	加熱，冷却
B63J2002/125	
B63J2/14	流体貨物運搬用タンクの
B63J3/00	補機の駆動（伝動要素それ自体Ｆ１６）
B63J2003/001	
B63J2003/002	
B63J2003/003	
B63J2003/005	
B63J2003/006	
B63J2003/007	
B63J2003/008	
B63J3/02	推進動力設備からのもの
B63J3/04	推進動力設備でない動力設備からのもの
B63J2003/043	
B63J2003/046	
B63J4/00	下水または汚水処理用設備（汚水の放出Ｂ６３Ｂ２９／１６）
B63J4/002	
B63J4/004	
B63J4/006	
B63J2004/008	
B63J99/00	このサブクラスの他のグループに分類されない主題事項　
B63J2099/001	
B63J2099/003	
B63J2099/005	
