C04B2/00	石灰，マグネシアまたはドロマイト（水硬性石灰セメントＣ０４Ｂ７／３４）
C04B2/005	｛工業副産物から得られるもの｝
C04B2/02	石灰｛（生石灰の単純な消化によるもの以外のＣａ（ＯＨ）２の取得Ｃ０１Ｆ１１／０２）｝
C04B2/04	消化｛（同時的石こうの脱水と石灰の消化Ｃ０４Ｂ１１／０２２）｝
C04B2/045	｛消石灰の後処理｝
C04B2/06	物質，例．疎水化剤，の添加によるもの；｛他の化合物の存在下での消化｝
C04B2/063	｛不純物を含む生石灰の消化，例．フライアッシュを含むもの｝
C04B2/066	｛水和反応を利用するもの，例．石こうの脱水のための反応熱；生石灰を用いることによる化学的乾燥｝
C04B2/08	その装置
C04B2/10	予熱，焼成，か焼または冷却（セメント原料の焼成期間中の脱炭酸Ｃ０４Ｂ７／４３；｛対応する炭酸塩の熱分解以外によるＣａＯまたはＭｇＯの取得Ｃ０１Ｆ１１／０２，Ｃ０１Ｆ５／０２｝）
C04B2/102	｛マグネシアの，例．硬焼｝
C04B2/104	｛焼成工程の前または間に添加される成分｝
C04B2/106	｛流動床炉におけるもの｝
C04B2/108	｛そのための燃料の処理または選択｝
C04B2/12	直立炉または堅形炉におけるもの（直立炉または堅形炉一般Ｆ２７Ｂ１／００）
C04B5/00	処理｛冶金の｝スラグ（スラグウールの製造Ｃ０３Ｂ；金属の製造におけるものまたはそのためのものＣ２１Ｂ，Ｃ２２Ｂ）；溶融物からの人造石{冶金の｝スラグ（機械的事項Ｂ２８Ｂ１／５４）{他の擬石Ｃ０４Ｂ３２／００５｝
C04B5/06	溶融スラグに添加された水以外の成分｛または粒状化媒体へまたは再溶融前に｝；ガスまたはガス発生材料による処理，例．多孔質スラグを得るためのもの
C04B5/065	｛多孔質スラグ｝
C04B7/00	水硬性セメント（硫酸カルシウムセメントＣ０４Ｂ１１／００）
C04B7/003	｛バリウムまたはストロンチウムのセメント｝
C04B7/006	｛モルタルまたはセメント組成物中で，粉砕されない状態で用いられるセメントクリンカー｝
C04B7/02	ポルトランドセメント
C04B7/04	石こうを含む原料を使用するもの，{すなわち，ミュラークェーネタイプの方法｝
