C07F1/00	周期律表の第１族の元素を含有する化合物
C07F1/005	｛Ｃ−金属結合を持たないもの｝
C07F1/02	リチウム化合物
C07F1/04	ナトリウム化合物
C07F1/06	カリウム化合物
C07F1/08	銅化合物
C07F1/10	銀化合物
C07F1/12	金化合物
C07F3/00	周期律表の第２族の元素を含有する化合物
C07F3/003	｛Ｃ−金属結合を持たないもの｝
C07F3/006	｛ベリリウム化合物｝
C07F3/02	マグネシウム化合物
C07F3/04	カルシウム化合物
C07F3/06	亜鉛化合物
C07F3/08	カドミウム化合物
C07F3/10	水銀化合物
C07F3/103	｛Ｃ−水銀結合を持たないもの｝
C07F3/12	水銀を含有する芳香族物質
C07F3/14	水銀を含有する複素環式物質
C07F5/00	周期律表の第３族の元素を含有する化合物
C07F5/003	｛Ｃ−金属結合を持たないもの｝
C07F5/02	ホウ素化合物
C07F5/022	｛Ｃ−ホウ素結合を持たないもの｝
C07F5/025	｛ホウ酸およびボリン酸化合物｝
C07F5/027	｛有機ボランおよび有機ボロハイドライド｝
C07F5/04	ホウ酸のエステル
C07F5/05	環中にホウ素を含有しかつ炭素を含有しない環を少なくとも１個もつ環状化合物
C07F5/06	アルミニウム化合物
C07F5/061	｛Ｃ−アルミニウム結合を持つもの｝
C07F5/062	｛炭素のみとの結合を持つアルミニウム｝
C07F5/064	｛Ａｌ−ハロゲン結合を持つ化合物｝
C07F5/065	｛Ａｌ−Ｈ結合を持つ化合物｝
C07F5/066	｛アルミニウム，炭素，水素またはハロゲン以外の元素と結合したアルミニウムを持つ化合物　（アルミニウムとシアン化物との結合を含む）｝
C07F5/067	｛水素またはハロゲンとも結合したアルミニウムを持つ化合物｝
C07F5/068	｛オキサン（中での）明礬の製造｝
C07F5/069	｛Ｃ−アルミニウム結合を持たないもの｝
C07F7/00	周期律表の第４族の元素を含有する化合物
C07F7/003	｛Ｃ−金属結合を持たないもの｝
C07F7/02	ケイ素化合物
C07F7/025	｛Ｃ−ケイ素結合を持たないもの｝
C07F7/04	ケイ酸のエステル
C07F7/06	ヒドロキシアリール化合物とのもの
C07F7/07	環状エステル
C07F7/08	１個以上のＣ−Ｓｉ結合をもつ化合物
C07F7/0801	｛一般的方法｝
C07F7/0803	｛Ｓｉ−Ｃまたは　Ｓｉ−Ｓｉ　結合を持つ化合物｝
C07F7/0805	｛ケイ素，炭素または水素原子のみからなるもの｝
C07F7/0807	｛環原子がケイ素からなるもの｝
C07F7/081	｛窒素，酸素，ハロゲン，硫黄，セレンまたはテルルから選ばれた少なくとも１個の原子からなるもの｝
C07F7/0812	｛複素環からなるもの｝
C07F7/0814	｛該複素環が環の炭素原子でケイ素に置換されているもの｝
