C08B1/00	セルロース誘導体を製造するためのセルロースの予備処理
C08B1/003	｛セルロース溶液の製造，すなわちドープ，異なる可溶化溶媒を用いるもの，例．イオン性液体（セルロースまたはその誘導体の単一成分人造フィラメントの製造に用いられる溶液Ｄ０１Ｆ２／０２）｝
C08B1/006	｛銅アンモニアセルロース溶液の製造｝
C08B1/02	エステル化のためのセルロースの精製｛（エステル化自体，Ｃ０８Ｂ３／００，Ｃ０８Ｂ５／００，Ｃ０８Ｂ７／００またはＣ０８Ｂ９／００）｝
C08B1/04	ニトロセルロースの製造用
C08B1/06	エーテル化のためのセルロースの精製｛（エーテル化自体Ｃ０８Ｂ１１／００）｝
C08B1/08	アルカリセルロース
C08B1/10	アルカリセルロース製造装置
C08B1/12	浸漬装置
C08B1/14	老成装置
C08B3/00	セルロース有機酸エステルの製造｛（エステル化のためのセルロースの精製Ｃ０８Ｂ１／０２）｝
C08B3/02	エステル化触媒
C08B3/04	ぎ酸セルロース
C08B3/06	酢酸セルロース
C08B3/08	炭素数３以上の一塩基性有機酸の，｛例．プロピオン酸エステルまたは酪酸エステル｝
C08B3/10	炭素数５以上のもの，｛例．吉草酸エステル｝
C08B3/12	多塩基性酸の
C08B3/14	有機酸残基に置換基，例．ＮＨ↓２またはＣｌ，を有する有機酸の
C08B3/16	セルロースの混合有機酸エステルの製造
C08B3/18	酢酸―酪酸
C08B3/20	セルロースの繊維構造を保持したままのエステル化（繊維製品の表面エステル化Ｄ０６Ｍ１３／００）
C08B3/22	精製を含む，エステル化の後処理
C08B3/24	加水分解または老成
C08B3/26	セルロースエステルの単離
C08B3/28	沈でんによるもの
C08B3/30	安定化　（安定剤の添加によるもの　Ｃ０８Ｋ）　
C08B5/00	セルロース無機酸エステルの製造，｛例．リン酸エステル（エステル化のためのセルロースの精製Ｃ０８Ｂ１／０２）｝
C08B5/02	硝酸セルロース，｛例．硝酸セルロースの製造のためのセルロースの精製Ｃ０８Ｂ１／０４｝
C08B5/04	精製を含む，エステル化の後処理，｛例．粒子の高密化｝
C08B5/06	硝酸セルロースの単離
C08B5/08	安定化　（安定剤の添加によるもの　Ｃ０８Ｋ）　
C08B5/10	粘度低下
C08B5/12	有機液体による水の置換
C08B5/14	硫酸セルロース
C08B7/00	セルロース有機酸無機酸混合エステルの製造｛（エステル化のためのセルロースの精製Ｃ０８Ｂ１／０２）｝
C08B9/00	セルロースキサンテート；ビスコース｛（フィルムの製造Ｃ０８Ｊ５／１８；繊維の製造Ｄ０１Ｆ；エステル化のためのセルロースの精製Ｃ０８Ｂ１／０２）｝
C08B9/02	硫化機；溶解機
C08B9/04	連続法
C08B9/06	１段法
C08B11/00	セルロースエーテルの製造｛エーテル化のためのセルロースの精製Ｃ０８Ｂ１／０６｝
C08B11/02	アルキルまたはシクロアルキルエーテル
C08B11/04	置換炭化水素基をもつもの
C08B11/06	ハロゲン置換炭化水素基をもつもの
C08B11/08	水酸基含有炭化水素基をもつもの；そのエステル，エーテルまたはアセタール
C08B11/10	酸基で置換されたもの
C08B11/12	カルボキシル基で置換されたもの，｛例．カルボキシメチルセルロース（ＣＭＣ）｝
C08B11/14	窒素含有基をもつもの
C08B11/145	塩基性窒素をもつもの，例．アミノアルキルエーテル
C08B11/15	カルバモイル基をもつもの，｛すなわち−ＣＯ−ＮＨ２｝
C08B11/155	シアノ基をもつもの，例．シアノアルキルエーテル
C08B11/16	アリールまたはアラルキルエーテル
C08B11/18	置換炭化水素基をもつもの
C08B11/187	オレフィン性不飽和基をもつもの
C08B11/193	混合エーテル，すなわち２以上の異なるエーテル基をもつエーテル
C08B11/20	精製を含む，エーテル化の化学的または物理的後処理，｛例．二段階での混合エーテル化｝
C08B11/22	単離
C08B13/00	セルロースエーテルエステルの製造
C08B13/02	セルロースエーテルキサンテート
C08B15/00	他のセルロース誘導体または変性セルロースの製造，｛例．錯体｝
C08B15/005	｛セルロース誘導体の架橋｝
C08B15/02	酸化セルロース；ヒドロセルロース；セルロース水和物　例．微晶質セルロース｝
C08B15/04	カルボキシセルロース，例．二酸化窒素による酸化により製造されたもの
C08B15/05	炭素，水素，酸素，ハロゲンまたは硫黄以外の元素を含有する誘導体　（リン酸エステル　Ｃ０８Ｂ５／００）
C08B15/06	窒素を含むもの
C08B15/08	セルロースの分別，例．セルロース結晶の分離
C08B15/10	セルロースの架橋
C08B16/00	セルロースの再生
C08B17/00	セルロースのエステル化またはエーテル化装置
C08B17/02	セルロース有機エステル製造用
C08B17/04	硝酸セルロース製造用
C08B17/06	セルロースエーテル製造用
C08B30/00	でん粉，分解もしくは非化学的に変性されたでん粉，アミロース，またはアミロペクチンの製造
C08B30/02	予備処理，例．原料の粉砕（予備洗浄装置Ａ２３Ｎ）
C08B30/04	抽出または精製
C08B30/042	穀物または穀粒から
C08B30/044	とうもろこしまたはメイズから
C08B30/046	小麦から
C08B30/048	ジャガイモから
C08B30/06	乾燥；成形
C08B30/08	でん粉懸濁液の濃縮
C08B30/10	でん粉を抽出した材料からの脱水を包含する，でん粉抽出物からの残留物の取り出し
C08B30/12	分解，｛破壊｝または非化学的に変性されたでん粉｛例．機械的，酵素的または照射による｝；でん粉の漂白（でん粉の化学的誘導体の製造Ｃ０８Ｂ３１／００）
C08B30/14	冷水に分散可能なまたは予備糊化されたでん粉
C08B30/16	そのための装置
C08B30/18	デキストリン，｛例．黄色デキストリン，すなわちカナリアデキストリン，白色デキストリン，アミロデキストリンまたはマルトデキストリン；解重合方法，例．光照射によるまたは機械的な｝
C08B30/20	アミロースまたはアミロペクチン（その化学的誘導体Ｃ０８Ｂ３３／００，Ｃ０８Ｂ３５／００）
C08B31/00	でん粉の誘導体の製造（アミロースの誘導体Ｃ０８Ｂ３３／００；アミロペクチンの誘導体Ｃ０８Ｂ３５／００）
C08B31/003	｛でん粉の架橋｝
C08B31/006	｛でん粉誘導体の架橋｝
C08B31/02	エステル
C08B31/04	有機酸の，｛例．アルケニル−コハク酸エステル化でん粉｝
C08B31/06	無機酸の
C08B31/063	｛硫酸でん粉｝
C08B31/066	｛りん酸でん粉，例．リン酸エステル化でん粉｝
C08B31/08	エーテル
C08B31/10	アルキルまたはシクロキルエーテル
C08B31/12	異種原子で置換されたアルキルまたはシクロアルキル基をもつもの，｛例．ヒドロアルキル化またはカルボキシアルキル化でん粉｝
C08B31/125	｛少なくとも１個の窒素原子を含有する置換基をもつもの，例．カチオン性でん粉｝
C08B31/14	アリールまたはアルアルキルエーテル
C08B31/16	エーテル―エステル
C08B31/18	酸化でん粉
C08B31/185	｛酸化でん粉の誘導体，例．架橋された酸化でん粉｝
C08B33/00	アミロースの誘導体の製造
C08B33/02	エステル
C08B33/04	エーテル
C08B33/06	エーテル―エステル
C08B33/08	酸化アミロース
C08B35/00	アミロペクチンの誘導体の製造
C08B35/02	エステル
C08B35/04	エーテル
C08B35/06	エーテルーエステル
C08B35/08	酸化アミロペクチン
C08B37/00	グループＣ０８Ｂ１／００からＣ０８Ｂ３５／００に含まれない多糖類の製造；その誘導体（セルロースＤ２１；　｛微生物学的プロセス　Ｃ１２Ｐ｝）
C08B37/0003	｛単離または分別のための一般的プロセス，例．バイオマスからの精製または抽出｝
C08B37/0006	｛ホモグリカン，すなわち，単一の糖からなる主鎖を持つ多糖類，例．コロミン酸｝
C08B37/0009	｛α−Ｄ−グルカン，例．ポリデキストロース，アルテルナン，グリコーゲン；（α−１，４）（α−１，６）−Ｄ−グルカン；（α−１，３）（α−１，４）−Ｄ−グルカン，例．イソリケナンまたはニゲラン；（α−１，４）−Ｄ−グルカン；（α−１，３）−Ｄ−グルカン，例．偽ニゲラン；その誘導体｝
