C08C1/00	ゴムラテックスの処理
C08C1/02	濃縮前または中のゴムラテックスの化学的または物理的処理
C08C1/04	精製；脱たんぱく
C08C1/06	ゴムラテックスの保存（保存成分Ｃ０８Ｋ）
C08C1/065	分散ゴム粒子径の増加
C08C1/07	使用凝集剤に特徴のあるもの
C08C1/075	濃縮
C08C1/08	クリーミング剤の使用による
C08C1/10	遠心分離による
C08C1/12	蒸発による
C08C1/14	凝固
C08C1/145	｛感熱剤｝
C08C1/15	使用する凝集剤に特徴のあるもの
C08C1/16	
C08C2/00	ゴム溶液の処理
C08C2/02	精製
C08C2/04	触媒残渣の除去
C08C2/06	溶液からのゴムの採取
C08C3/00	凝集ゴムの処理
C08C3/02	精製
C08C4/00	グループＣ０８Ｃ１／００　から　Ｃ０８Ｃ３／０２に含まれない加硫前のゴム処理
C08C19/00	ゴムの化学的変性　（架橋剤，　Ｃ０８Ｃ１９／３０に含まれないもの，　Ｃ０８Ｋ）<br><br><u>注</u><br><br>　このグループにおいて，相反する指示がない限り，プロセスは最後の適切な箇所に分類する。
C08C19/02	水素添加
C08C19/04	酸化
C08C19/06	エポキシ化
C08C19/08	解重合
C08C19/085	
C08C19/10	異性化；環化
C08C19/12	分子内へのハロゲン原子の導入
C08C19/14	ハロゲンとの反応による
C08C19/16	ハロゲン化水素との反応による
C08C19/18	ハロゲン化炭化水素との反応による
C08C19/20	分子内へのいおう原子の導入
C08C19/22	分子内への窒素原子の導入
C08C19/24	分子内へのりん原子の導入
C08C19/25	分子内へのけい素原子の導入
C08C19/26	分子内への金属原子の導入
C08C19/28	炭素―炭素不飽和結合をもつ化合物との反応（グラフト重合体Ｃ０８Ｆ）
C08C19/30	高分子の異種原子または異種原子含有基と反応する試薬の付加
C08C19/32	ハロゲンまたはハロゲン含有基との反応
C08C19/34	酸素または酸素含有基との反応
C08C19/36	カルボキシ基との
C08C19/38	ヒドロキシ基との
C08C19/40	エポキシ基との
C08C19/42	金属または金属含有基との反応
C08C19/44	分子鎖の一端または両端においてのみ金属原子をもつポリマーの
