C10H1/00	滴下式，重力式，非自動式の給水器をもつアセチレンガス発生器（弁，コックＦ１６Ｋ）
C10H1/02	弁
C10H1/04	スクリュー弁
C10H1/06	コック
C10H1/08	給水を調節する他の方法
C10H1/10	中央のまたは側部のパイプを通して上から給水するもの
C10H1/12	多孔性材質を通して上から給水するもの
C10H3/00	ガス容器とは無関係の方法で自動的な給水調節装置をもつアチレンガス発生器
C10H3/02	膜をもつもの
C10H3/04	浮子をもつもの
C10H3/06	ピストンをもつもの
C10H5/00	ガス容器による自動的な給水調節装置をもつアセチレンガス発生器
C10H5/02	水の溢（いつ）流口をもつもの
C10H5/04	ガス容器に連結した滴下水弁によるもの
C10H5/06	ガス容器に連結した滴下水コックによるもの
C10H5/08	浸液法にしたがったガス容器連結の給水弁またはコックをもつもの
C10H7/00	キップの原理による給水器をもつアセチレンガス発生器
C10H7/02	下から給水するもの
C10H7/04	上から給水するもの
C10H9/00	ドベライナーの原理による固定炭化カルシウムかごをもつアセチレンガス発生器
C10H9/02	多孔性材質を通じ下から給水するもの（毛管給水による）
C10H9/04	ガス容器により作用するガスコックをもつもの
C10H9/06	ガス洩（えい）出パイプの深さをガス容器により調節されたもの
C10H9/08	可動なガス容器をもつもの
C10H9/10	底部でのみ炭化カルシウムを湿らせることによるもの
C10H11/00	炭化カルシウムを水中に浸すことによるアセチレンガス発生器
C10H11/02	ガス容器の内部で行なうもの
C10H11/04	シール水および反応水を別々に分離したもの
C10H13/00	浸液および滴下装置を結合したアセチレンガス発生器
C10H15/00	炭化カルシウム供給器をもちガス圧により調節されるかまたは調節されない方式のアセチレンガス発生器
C10H15/02	非自動式に炭化カルシウムを供給するもの
C10H15/04	充てんホッパの部分で閉鎖する方法
C10H15/06	弁により自動的に炭化カルシウムを供給するもの
C10H15/08	フラップまたはスライド弁によるもの
C10H15/10	浮子弁によるもの
C10H15/12	ポケットフィールをも含めた計量弁によるもの
C10H15/14	供給ウォームまたは供給コンベヤをもつもの
C10H15/16	供給ドラムをもつもの
C10H15/18	可動供給円盤および固定炭化カルシウム容器をもつもの
C10H15/20	薬筒または他の包装により炭化カルシウムを供給するもの
C10H15/22	容器からまたはガス容器を通して粉状の炭化カルシウムを供給するもの
C10H15/24	ピストンにより炭化カルシウムを供給するもの
C10H17/00	高圧アセチレンガス発生器
C10H19/00	他のアセチレンガス発生器
C10H19/02	回転式炭化カルシウム容器
C10H21/00	アセチレン発生器の細部；アセチレンの湿式製造法のための付属設備または湿式製造法の特徴
C10H21/02	発生器において使用する炭化カルシウムの包装，例．薬筒
C10H21/04	発生器内に包装を置くことによるもの
C10H21/06	発生器内で包装を開く装置によるもの
C10H21/08	アセチレン発生器の安全装置
C10H21/10	炭化カルシウム組成物
C10H21/12	ガスの漏れない密閉方法，例．発生器内での液体密閉
C10H21/14	換気方法；冷却装置
C10H21/16	発生器よりスラッジを除くこと
