C10M1/00	鉱物性潤滑油または脂肪油に本質的に基づく液体組成物；　その潤滑剤としての使用
C10M1/08	｛ＩＰＣ　３｝　添加剤を含むもの
C10M3/00	｛ＩＰＣ　３｝　鉱物性潤滑油または脂肪油以外の潤滑成分に本質的に基づく液体組成物およびその潤滑剤としての使用；　単一の液状物の潤滑剤としての使用　（高分子化合物に本質的に基づく組成物一般　Ｃ０８Ｌ）
C10M5/00	｛ＩＰＣ　３｝　本質的な潤滑成分として鉱物性潤滑油または脂肪油を含有する固体または半固体組成物およびその用途
C10M7/00	｛ＩＰＣ　３｝　鉱物性潤滑油または脂肪油以外の潤滑成分に本質的に基づく固体または半固体組成物およびその潤滑油としての使用；単一の固体または半固体物質の潤滑剤としての使用　（高分子化合物に本質的に基づく組成物一般　Ｃ０８Ｌ）
C10M101/00	鉱油または脂肪油である基材によって特徴づけられる潤滑組成物（水を１０％よりも多く含有するものＣ１０Ｍ１７３／００）
C10M101/02	石油留分
C10M101/025	｛ワックス｝
C10M101/04	脂肪油留分
C10M103/00	無機材料である基材によって特徴づけられる潤滑組成物（水を１０％よりも多く含有するものＣ１０Ｍ１７３／００）
C10M103/02	炭素；黒鉛
C10M103/04	金属；合金
C10M103/06	金属化合物
C10M105/00	非高分子有機化合物である基材によって特徴づけられる潤滑組成物
C10M105/02	構造が明確な炭化水素（石油留分Ｃ１０Ｍ１０１／０２）
C10M105/04	脂肪族
C10M105/06	芳香族
C10M105/08	酸素を含有するもの
C10M105/10	非環式または環式脂肪族炭素原子に結合したヒドロキシル基を有するもの
C10M105/12	モノヒドロキシ
C10M105/14	ポリヒドロキシ
C10M105/16	６員芳香環の炭素原子に結合したヒドロキシル基を有するもの
C10M105/18	エーテル，例．エポキシド
C10M105/20	アルデヒド；ケトン
C10M105/22	カルボン酸またはその塩
C10M105/24	非環式炭素原子または環式脂肪族炭素原子または水素に結合したカルボキシル基を１個のみを有するもの
C10M105/26	非環式炭素原子または環式脂肪族炭素原子に結合したカルボキシル基を２個以上有するもの
C10M105/28	６員芳香環の炭素原子に結合したカルボキシル基を１個のみ有するもの
C10M105/30	６員芳香環の炭素原子に結合したカルボキシル基を２個以上有するもの
C10M105/32	エステル
C10M105/34	モノカルボン酸の
C10M105/36	ポリカルボン酸の
C10M105/38	ポリヒドロキシ化合物の
C10M105/40	遊離のヒドロキシル基またはカルボキシル基を含有するもの
C10M105/42	複合エステル，すなわちエステル化されたカルボキシル基を少なくとも３個含有し，かつ次の５種の化合物のうち相違する少なくとも３種からの組合せにより誘導した化合物:モノヒドロキシ化合物，ポリヒドロキシ化合物，モノカルボン酸，ポリカルボン酸，ヒドロキシカルボン酸
C10M105/44	モノカルボン酸，ジカルボン酸およびジヒドロキシ化合物の組合せのみから誘導され，かつ遊離のヒドロキシル基またはカルボキシル基を有しないもの
C10M105/46	モノヒドロキシ化合物，ジヒドロキシ化合物およびジカルボン酸の組合せのみから誘導され，かつ遊離のヒドロキシル基またはカルボキシル基を有しないもの
C10M105/48	炭酸の
C10M105/50	ハロゲンを含有するもの
C10M105/52	炭素，水素およびハロゲンのみを含有するもの
C10M105/525	｛ハロゲン化ワックス｝
C10M105/54	炭素，水素，ハロゲンおよび酸素を含有するもの
C10M105/56	窒素を含有するもの
C10M105/58	アミン，例．ポリアルキレンポリアミン，第４級アミン（単量体単位を１１個以上有するポリアルキレンポリアミンＣ１０Ｍ１０７／４４）
C10M105/60	非環式または環式脂肪族炭素原子に結合したアミノ基を有するもの
C10M105/62	ヒドロキシル基を含有するもの
C10M105/64	６員芳香環の炭素原子に結合したアミノ基を有するもの
C10M105/66	ヒドロキシル基を含有するもの
C10M105/68	アミド；イミド
C10M105/70	環のヘテロ原子として
C10M105/72	いおう，セレンまたはテルルを含有するもの
C10M105/74	りんを含有するもの
C10M105/76	けい素を含有するもの
C10M105/78	ほう素を含有するもの
C10M105/80	グループＣ１０Ｍ１０５／０２〜Ｃ１０Ｍ１０５／７８に分類されない元素の原子を含有するもの
C10M107/00	高分子化合物である基材によって特徴づけられる潤滑組成物
C10M107/02	炭化水素重合体；酸化により変性された炭化水素重合体
C10M107/04	ポリエテン
C10M107/06	プロペンを含有するもの
C10M107/08	ブテンを含有するもの
C10M107/10	５個以上の炭素原子を有する脂肪族単量体を含有するもの
C10M107/12	芳香族単量体を含有するもの，例．スチレン
C10M107/14	共役ジエンを含有するもの
C10M107/16	非共役ジエンを含有するもの
C10M107/18	酸化により変性された炭化水素重合体
C10M107/20	酸素を含有するもの（Ｃ１０Ｍ１０７／１８が優先）
C10M107/22	炭素―炭素不飽和結合のみが関与する反応により得られる高分子化合物
C10M107/24	アルコール，アルデヒド，ケトン，エーテル，ケタールまたはアセタール基に結合した不飽和基を有する単量体を含有するもの
C10M107/26	飽和カルボン酸または炭酸のアシルオキシ基に結合した不飽和基を有する単量体を含有するもの
C10M107/28	カルボキシル基に結合した不飽和基を有する単量体，例．アクリレート，を含有するもの
C10M107/30	炭素―炭素不飽和結合のみが関与する反応以外の反応により得られる高分子化合物
C10M107/32	アルデヒドまたはケトンの重縮合体；ポリエステル；ポリエーテル
C10M107/34	ポリオキシアルキレン
C10M107/36	多糖類，例．セルロース
C10M107/38	ハロゲンを含有するもの
C10M107/40	窒素を含有するもの
C10M107/42	炭素―炭素不飽和結合のみが関与する反応により得られる高分子化合物
C10M107/44	炭素―炭素不飽和結合のみが関与する反応以外の反応により得られる高分子化合物
C10M107/46	いおうを含有するもの
C10M107/48	りんを含有するもの
C10M107/50	けい素を含有するもの
C10M107/52	ほう素を含有するもの
C10M107/54	グループＣ１０Ｍ１０７／０２〜Ｃ１０Ｍ１０７／５２に分類されない元素の原子を含有するもの
