C12Y101/00	CH-OH結合を電子供与体とする (1.1)
C12Y101/01	NADまたはNADPが電子受容体 (1.1.1)
C12Y101/01001	アルコールデヒドロゲナーゼ (1.1.1.1)
C12Y101/01002	アルコールデヒドロゲナーゼ (NADP+) (1.1.1.2)
C12Y101/01003	ホモセリンデヒドロゲナーゼ (1.1.1.3)
C12Y101/01004	(R,R)-ブタンジオールデヒドロゲナーゼ (1.1.1.4)
C12Y101/01005	アセトインデヒドロゲナーゼ (1.1.1.5)
C12Y101/01006	グリセロールデヒドロゲナーゼ (1.1.1.6)
C12Y101/01007	プロパンジオールリン酸デヒドロゲナーゼ (1.1.1.7)
C12Y101/01008	グリセロール-3-リン酸デヒドロゲナーゼ (NAD+) (1.1.1.8)
C12Y101/01009	D-キシルロースレダクターゼ (1.1.1.9)
C12Y101/0101	L-キシルロースレダクターゼ (1.1.1.10)
C12Y101/01011	D-アラビニトール-4-デヒドロゲナーゼ (1.1.1.11)
C12Y101/01012	L-アラビニトール-4-デヒドロゲナーゼ (1.1.1.12)
C12Y101/01013	L-アラビニトール-2-デヒドロゲナーゼ (1.1.1.13)
C12Y101/01014	L-イジトール-2-デヒドロゲナーゼ (1.1.1.14)
C12Y101/01015	D-イジトール-2-デヒドロゲナーゼ (1.1.1.15)
C12Y101/01016	ガラクチトール-2-デヒドロゲナーゼ (1.1.1.16)
C12Y101/01017	マンニトール-1-リン酸-5-デヒドロゲナーゼ (1.1.1.17)
C12Y101/01018	イノシトール-2-デヒドロゲナーゼ (1.1.1.18)
C12Y101/01019	グルクロン酸レダクターゼ (1.1.1.19)
C12Y101/0102	グルクロノラクトンレダクターゼ (1.1.1.20)
C12Y101/01021	アルデヒドレダクターゼ (1.1.1.21)
C12Y101/01022	UDP-グルコース-6-デヒドロゲナーゼ (1.1.1.22)
C12Y101/01023	ヒスチジノールデヒドロゲナーゼ (1.1.1.23)
C12Y101/01024	キナ酸デヒドロゲナーゼ (1.1.1.24)
C12Y101/01025	シキミ酸デヒドロゲナーゼ (1.1.1.25)
C12Y101/01026	グリオキシル酸レダクターゼ (1.1.1.26)
C12Y101/01027	L-乳酸デヒドロゲナーゼ (1.1.1.27)
C12Y101/01028	D-乳酸デヒドロゲナーゼ (1.1.1.28)
C12Y101/01029	グリセリン酸デヒドロゲナーゼ (1.1.1.29)
C12Y101/0103	3-ヒドロキシ酪酸デヒドロゲナーゼ (1.1.1.30)
C12Y101/01031	3-ヒドロキシイソ酪酸デヒドロゲナーゼ (1.1.1.31)
C12Y101/01032	メバルド酸レダクターゼ (1.1.1.32)
C12Y101/01033	メバルド酸レダクターゼ (NADPH) (1.1.1.33)
C12Y101/01034	ヒドロキシメチルグルタリルCoAレダクターゼ (NADPH) (1.1.1.34)
C12Y101/01035	3-ヒドロキシアシルCoAデヒドロゲナーゼ (1.1.1.35)
C12Y101/01036	アセトアセチルCoAレダクターゼ (1.1.1.36)
C12Y101/01037	リンゴ酸デヒドロゲナーゼ (1.1.1.37)
C12Y101/01038	リンゴ酸デヒドロゲナーゼ (オキサロ酢酸脱炭酸) (1.1.1.38)
C12Y101/01039	リンゴ酸デヒドロゲナーゼ (脱炭酸) (1.1.1.39)
C12Y101/0104	リンゴ酸デヒドロゲナーゼ (オキサロ酢酸脱炭酸) (NADP+) (1.1.1.40)
C12Y101/01041	イソクエン酸デヒドロゲナーゼ (NAD+) (1.1.1.41)
C12Y101/01042	イソクエン酸デヒドロゲナーゼ (NADP+) (1.1.1.42)
C12Y101/01043	ホスホグルコン酸-2-デヒドロゲナーゼ (1.1.1.43)
C12Y101/01044	ホスホグルコン酸デヒドロゲナーゼ (脱炭酸) (1.1.1.44)
C12Y101/01045	L-グロン酸-3-デヒドロゲナーゼ (1.1.1.45)
C12Y101/01046	L-アラビノース-1-デヒドロゲナーゼ (1.1.1.46)
C12Y101/01047	グルコース-1-デヒドロゲナーゼ (1.1.1.47)
C12Y101/01048	ガラクトース-1-デヒドロゲナーゼ (1.1.1.48)
C12Y101/01049	グルコース-6-リン酸デヒドロゲナーゼ (1.1.1.49)
