C22B1/00	原鉱石またはスクラップの予備的処理一般（炉，焼結装置Ｆ２７Ｂ）
C22B1/005	｛スクラップの予備的処理一般（Ｃ２２Ｂ１／０２〜　Ｃ２２Ｂ１／２６が優先）｝
C22B1/02	焙焼工程（Ｃ２２Ｂ１／１６が優先）
C22B1/04	送風焙焼
C22B1/06	硫酸化焙焼
C22B1/08	塩化焙焼
C22B1/10	流動状態におけるもの
C22B1/11	焙焼によらない硫黄，りんまたはひ素の除去法
C22B1/14	塊成化；団塊；結合；造粒
C22B1/16	焼結；塊成化
C22B1/18	焼結ポットによるもの
C22B1/20	可動火格子を有する焼結機によるもの
C22B1/205	｛焼結方法の調整｝
C22B1/212	トンネル炉によるもの
C22B1/214	竪型炉によるもの
C22B1/216	回転炉によるもの
C22B1/22	他の焼結装置によるもの
C22B1/24	結合；団塊；　｛粒状化｝
C22B1/2406	ペレット化
C22B1/2413	ペレット形状の維持
C22B1/242	粘結剤で
C22B1/243	無機物の
C22B1/244	有機物の
C22B1/245	コークス化塊の製造のための炭素を含んだ物質で
C22B1/248	金属スクラップまたは合金の
C22B1/26	焙焼鉱，焼結鉱または塊成鉱の冷却
C22B3/00	湿式による鉱石または濃縮物からの金属化合物の抽出　｛３種以上の金属の抽出に向けた方法；　１または２種の金属の回収のためのもの；これらの金属に関する特定の細分項目を参照｝
C22B3/02	抽出装置
C22B3/04	浸出によるもの（Ｃ２２Ｂ３／１８が優先）
C22B3/045	｛電気化学的方法を用いた浸出｝
C22B3/06	無機酸溶液中でのもの，｛例．その場で発生した酸を伴うもの；アンモニウム塩溶液以外の無機塩溶液中でのもの｝
C22B3/065	硝酸またはその塩
C22B3/08	硫酸，｛他の硫化酸またはその塩｝
C22B3/10	塩化水素酸，｛他のハロゲン化酸またはその塩｝
C22B3/12	無機アルカリ溶液中でのもの
C22B3/14	アンモニアまたはアンモニウム塩を含むもの<br><br>警告<br><br>グループＣ２２Ｂ３／１４は２００５年５月１日に導入された。このグループは，新規文献の分類にはもはや用いられていないグループＣ２２Ｂ３／０００２の主題事項を包含する<br>
C22B3/16	有機溶液中でのもの
C22B3/1608	非環式または炭素環式試薬による浸出
C22B3/1616	単一タイプの非環式薬剤または炭素環式薬剤による浸出
C22B3/1625	アミンによるもの（アミノ酸Ｃ２２Ｂ３／１６５）
C22B3/1633	オキシムによるもの
C22B3/1641	ケトンまたはアルデヒドによるもの
C22B3/165	有機酸によるもの
C22B3/1658	別タイプの非環式薬剤または炭素環式薬剤の混合物による浸出，例．オキシムに加えた有機酸によるもの
C22B3/1666	複素環式化合物による浸出
C22B3/1675	薬剤の１つが少なくとも複素環式化合物である有機薬剤の混合物による浸出（Ｃ２２Ｂ３／１６８３が優先）
C22B3/1683	有機金属化合物による浸出
C22B3/1691	薬剤の１つが少なくとも有機金属化合物である有機薬剤の混合物による浸出
C22B3/18	微生物または酵素の助けによるもの，例．バクテリアまたは藻
C22B3/20	溶液の処理または精製，例．浸出によって得られたもの（Ｃ２２Ｂ３／１８が優先）
C22B3/205	｛付加化合物または包接錯体を用いるもの｝
C22B3/22	物理的方法によるもの，例．ろ過によるもの，磁気的手段によるもの，｛熱分解によるもの｝（Ｃ２２Ｂ３／２６(ＥＣＬＡ)が優先）
C22B3/24	固体物質上への吸着によるもの，例．固形樹脂での抽出によるもの．．．<br><br><u>｛注</u><br><br>．．[Ｎ０５０４｝グループＣ２２Ｂ３／２４は２００５年５月１日に導入された。このグループは，新規文献の分類にはもはや用いられていないグループＣ２２Ｂ３／００９８の主題事項を包含する。｝
C22B3/26	
C22B3/262	
C22B3/28	
C22B3/282	
C22B3/284	
C22B3/286	
C22B3/288	
C22B3/30	
C22B3/302	
C22B3/304	
C22B3/306	
C22B3/32	
C22B3/322	
C22B3/324	
C22B3/326	
C22B3/33	
C22B3/34	
C22B3/36	
C22B3/362	
C22B3/364	
C22B3/37	
C22B3/38	
C22B3/381	
C22B3/382	
C22B3/383	
C22B3/384	
C22B3/3842	
C22B3/3844	
C22B3/3846	
C22B3/385	
C22B3/386	
C22B3/387	
C22B3/40	
C22B3/402	
C22B3/404	
C22B3/406	
C22B3/408	
C22B3/409	
C22B3/41	
C22B3/42	イオン交換抽出によるもの．．<br><br><u>｛注</u><br><br>．[Ｎ０５０４｝グループＣ２２Ｂ３／４２は２００５年５月１日に導入された。このグループは，新規文献の分類にはもはや用いられていないグループＣ２２Ｂ３／００９８の主題事項を包含する。｝
C22B3/44	化学的方法によるもの（Ｃ２２Ｂ３／０００５〜Ｃ２２Ｂ３／２０Ｄ２Ｐ(ＥＣＬＡ)）が優先）
C22B3/46	置換によるもの，例．拡散浸透めっき法によるもの
