C25D1/00	電鋳
C25D1/003	
C25D1/006	
C25D1/02	管状体；輪状体；中空体
C25D1/04	線状体；ストリップ；箔
C25D1/06	全表面金属鏡
C25D1/08	多孔物品または有孔物品，例．ふるい（Ｃ２５Ｄ１／１０が優先）
C25D1/10	母型；マスク；マスターフォーム
C25D1/12	電気泳動によるもの
C25D1/14	無機材料
C25D1/16	金属
C25D1/18	有機材料
C25D1/20	電極からの成形物の分離
C25D1/22	剥離剤
C25D3/00	電気鍍金；そのための鍍金浴
C25D3/02	溶液から（Ｃ２５Ｄ５／２４(ＥＣＬＡ)〜Ｃ２５Ｄ５／３２(ＥＣＬＡ)が優先）
C25D3/04	クロム
C25D3/06	三価クロムの溶液から
C25D3/08	黒色クロムの析出
C25D3/10	使用する有機浴成分に特徴のあるもの
C25D3/12	ニッケルまたはコバルト　｛（Ｃ２５Ｄ３／５６が優先）｝
C25D3/14	アセチレン化合物または複素環式化合物を含有する浴から
C25D3/16	アセチレン化合物
C25D3/18	複素環式化合物
C25D3/20	鉄
C25D3/22	亜鉛
C25D3/24	シアン化物浴から
C25D3/26	カドミウム
C25D3/28	シアン化物浴から
C25D3/30	錫
C25D3/32	使用する有機浴成分に特徴のあるもの
C25D3/34	鉛
C25D3/36	使用する有機浴成分に特徴のあるもの
C25D3/38	銅
C25D3/40	シアン化物浴から
C25D3/42	軽金属
C25D3/44	アルミニウム
C25D3/46	銀
C25D3/48	金
C25D3/50	白金族金属
C25D3/52	使用する有機浴成分に特徴のあるもの
C25D3/54	グループＣ２５Ｄ３／０４〜Ｃ２５Ｄ３／５０に分類されない金属
C25D3/56	合金
C25D3/562	｛鉄，ニッケルまたはコバルトを５０重量％より多く含有するもの｝
C25D3/565	｛亜鉛を５０重量％より多く含有するもの｝
C25D3/567	｛白金族金属を５０重量％より多く含有するもの｝
C25D3/58	銅を５０重量％より多く含有するもの
C25D3/60	錫を５０重量％より多く含有するもの
C25D3/62	金を５０重量％より多く含有するもの
C25D3/64	銀を５０重量％より多く含有するもの
C25D3/66	溶融物から
C25D3/665	
C25D5/00	方法に特徴のある電気鍍金；加工品の前処理または後処理
C25D5/003	
C25D5/007	
C25D5/009	
C25D5/011	
C25D5/013	
C25D5/02	選択された表面部分の電気鍍金
C25D5/022	｛マスク手段を用いるもの｝
C25D5/024	｛局所的に適用される電磁照射を用いるもの，例．レーザ｝
C25D5/026	｛局所的に適用される電解液ジェットを用いるもの｝
C25D5/028	｛片面電気鍍金｝
C25D5/04	電極の移動による電気鍍金
C25D5/06	ブラシまたはパッドによる鍍金
C25D5/08	電解液の移動による電気鍍金，例．ジェット噴射電気鍍金　｛（Ｃ２５Ｄ５／０２６が優先）｝
C25D5/10	同種または異種の２層以上からなる金属の電気鍍金（軸受Ｃ２５Ｄ７／１０）
C25D5/12	少なくとも一層がニッケルまたはクロムよりなるもの
C25D5/14	ニッケルまたはクロムが２層以上のもの，例．二重層または三重層
C25D5/16	厚みの異なった層の電気鍍金
C25D5/18	変調電流，パルス電流または逆電流を使用する電気鍍金
C25D5/20	超音波を使用する電気鍍金
C25D5/22	析出の間に機械的処理と結合した電気鍍金
C25D5/34	電気鍍金される金属の表面の前処理
C25D5/36	鉄または鋼
C25D5/38	耐火金属またはニッケル
C25D5/40	ニッケル；クロム
C25D5/42	軽金属
C25D5/44	アルミニウム
C25D5/46	アクチニド
C25D5/48	電気鍍金表面の後処理
C25D5/50	熱処理
C25D5/505	｛電気鍍金した錫の被覆，例．溶融によるもの｝
C25D5/52	光沢仕上またはバニシング仕上
C25D5/54	非金属表面の電気鍍金（Ｃ２５Ｄ７／１２が優先）
C25D5/56	プラスチック
C25D5/60	
C25D5/605	
C25D5/611	
C25D5/615	
C25D5/617	
C25D5/619	
C25D5/623	
C25D5/625	
C25D5/627	
C25D5/67	
C25D7/00	被覆される物品に特徴のある電気鍍金
C25D7/001	
C25D7/003	
C25D7/005	
C25D7/006	
C25D7/008	
C25D7/02	ファスナー
C25D7/04	管状体；輪状体；中空体
C25D7/06	線状体；ストリップ；箔
C25D7/0607	｛線状体｝　
C25D7/0614	｛ストリップまたは箔｝　
C25D7/0621	｛水平槽中で｝　
C25D7/0628	｛垂直槽中で｝　
C25D7/0635	｛放射状槽中で｝　
C25D7/0642	｛陽極｝　
C25D7/065	｛隔膜｝　
C25D7/0657	｛伝導ロール｝　
C25D7/0664	｛隔離ロール｝　
C25D7/0671	｛選択的メッキ｝　
C25D7/0678	｛マスクを用いるもの｝　
C25D7/0685	｛電解液をスプレーするもの｝　
C25D7/0692	｛被覆の厚みを調整するもの｝　
C25D7/08	鏡；反射鏡
C25D7/10	軸受
C25D7/12	半導体
C25D7/123	
C25D7/126	
C25D9/00	金属以外での電解被覆（Ｃ２５Ｄ１１／００，Ｃ２５Ｄ１５／００が優先；電気泳動被覆Ｃ２５Ｄ１３／００）
C25D9/02	有機材料
C25D9/04	無機材料
C25D9/06	陽極方法によるもの
C25D9/08	陰極方法によるもの
C25D9/10	鉄または鋼
C25D9/12	軽金属
C25D11/00	表面反応による電解被覆，すなわち転換層の形成
C25D11/005	
C25D11/02	陽極処理
C25D11/022	
C25D11/024	
C25D11/026	
C25D11/028	
C25D11/04	アルミニウムまたはアルミニウムを基とする合金
C25D11/045	
C25D11/06	使用する電解液に特徴のあるもの
C25D11/08	無機酸を含有するもの
C25D11/10	有機酸を含有するもの
C25D11/12	２回以上の陽極処理，例．異った浴で処理するもの
C25D11/14	一体的に着色された層を作るもの
C25D11/16	前処理
C25D11/18	後処理，例．封孔処理（ラッカー塗装Ｂ４４Ｄ）
C25D11/20	電解的後処理
C25D11/22	層の着色
C25D11/24	化学的後処理
C25D11/243	｛有機染料を用いるもの｝
C25D11/246	｛シール層のためのもの｝
C25D11/26	耐火金属またはそれを基とする合金
C25D11/28	アクチニドまたはそれを基とする合金
C25D11/30	マグネシウムまたはそれを基とする合金
C25D11/32	半導体材料
C25D11/34	グループＣ２５Ｄ１１／０４〜Ｃ２５Ｄ１１／３２に分類されない金属または合金
C25D11/36	りん酸塩処理
C25D11/38	クロム酸塩処理
C25D13/00	電気泳動被覆（Ｃ２５Ｄ１５／００が優先；浴中に物品を連続的に移送するための装置Ｂ６５Ｇ，例．Ｂ６５Ｇ４９／００）
C25D13/02	無機材料
C25D13/04	有機材料
C25D13/06	重合体　｛現在この分類は使用していない，Ｃ０９Ｄ５／４４参照｝
C25D13/08	単量体材料のその場での重合　｛現在この分類は使用していない，Ｃ０９Ｄ５／４４７６参照｝
C25D13/10	使用添加剤に特徴のあるもの｛現在この分類は使用していない，Ｃ０９Ｄ５／４４８参照｝
C25D13/12	被覆される物品に特徴のあるもの
C25D13/14	管状体；輪状体；中空体
C25D13/16	線材；ストリップ；箔
C25D13/18	変調電流，パルス電流または逆電流を使用するもの
C25D13/20	前処理
C25D13/22	保守または操作
C25D13/24	処理液の再生
C25D15/00	埋込み材料を含む被覆の電解または電気泳動製造，例．粒子，ウィスカー，線材
C25D15/02	電解および電気泳動方法の結合
C25D17/00	電解被覆用槽の構造部品またはその組立体（浴中に物品を連続的に移送するための装置Ｂ６５Ｇ，例．Ｂ６５Ｇ４９／００；電気的装置は関連するクラス，例．Ｈ０１Ｂ，Ｈ０２Ｇ，を参照）
C25D17/001	
C25D17/002	
C25D17/004	
C25D17/005	
C25D17/007	
C25D17/008	
C25D17/02	タンク；タンクの据付
