C40B10/00	高分子の定向分子進化，例．ＲＮＡ，ＤＮＡまたは蛋白質
C40B20/00	ライブラリメンバーの同定に特に適した方法
C40B20/02	担体または基板上において固定された物理的位置によってライブラリメンバーを同定すること
C40B20/04	ライブラリメンバーに関するタグ，ラベル，または他の読み取り可能な若しくは検出可能な物質によりライブラリメンバーを同定すること，例．デコード化
C40B20/06	デコンボリューション技術を用いるもの
C40B20/08	物理的方法によるライブラリメンバーそのものの直接分析，例．分光法
C40B30/00	ライブラリのスクリーニング方法
C40B30/04	対象となる分子への特異的な結合能力，例．抗原‐抗体結合，受容体‐配位子結合，の測定によるもの
C40B30/06	生体，組織または細胞への影響の測定によるもの
C40B30/08	触媒活性の測定によるもの
C40B30/10	物理的特性，例．質量，の測定によるもの
C40B40/00	ライブラリそのもの，例．アレイ，混合物
C40B40/02	微生物に含まれたまたはこれにより示されたライブラリ，例．細菌または動物細胞；ベクターに含まれたまたはこれにより示されたライブラリ，例．プラスミド；微生物またはベクターのみを包含するライブラリ
C40B40/04	有機化合物のみを包含するライブラリ<br><br><u>注</u><br><br>有機化合物の塩を包含するライブラリは，その親化合物を包含するライブラリのグループに分類する。
C40B40/06	ヌクレオチドもしくはポリヌクレオチド，またはその誘導体を包含するライブラリ
C40B40/08	蛋白質をコードするＲＮＡまたはＤＮＡを包含するライブラリ，例．遺伝子ライブラリ
C40B40/10	ペプチドもしくはポリペプチド，またはその誘導体を包含するライブラリ
C40B40/12	糖類もしくは多糖類，またはその誘導体を包含するライブラリ
C40B40/14	高分子化合物を包含するが，グループＣ４０Ｂ４０／０６〜Ｃ４０Ｂ４０／１２に包含されないライブラリ
C40B40/16	金属を含有した有機化合物を包含するライブラリ
C40B40/18	無機化合物または無機物のみを包含するライブラリ
C40B50/00	ライブラリを製造する方法，例．コンビナトリアル合成
C40B50/04	動力学的コンビナトリアルケミストリ技術を用いるもの
C40B50/06	生化学的方法，例．酵素または生きた微生物をそのまま用いるもの
C40B50/08	液相合成，即ち，ライブラリの全てのビルディングブロックが，ライブラリの製造時に液相にあるか溶液中にある場合；液体担体からの特定の開裂方法
C40B50/10	コード化工程を含むもの
C40B50/12	液体担体への特定の吸着方法を用いるもの
C40B50/14	固相合成，即ち，ライブラリの１以上のビルディングブロックが，ライブラリの製造時に固相に結合している場合；固体担体からの特定の開裂方法
C40B50/16	コード化工程を含むもの
C40B50/18	固体担体への特定の吸着方法を用いるもの
C40B60/00	コンビナトリアルケミストリにおいてまたはライブラリと共に用いることに特に適した装置
C40B60/02	ライブラリの製造，ライブラリのスクリーニング，およびライブラリメンバーの同定に特に適した統合装置
C40B60/04	ライブラリのスクリーニングおよびライブラリメンバーの同定の双方に特に適した統合装置
C40B60/06	ライブラリの製造およびライブラリメンバーの同定の双方に特に適した統合装置
C40B60/08	ライブラリの製造およびスクリーニングの双方に特に適した統合装置
C40B60/10	ライブラリメンバーを同定するためのもの
C40B60/12	ライブラリをスクリーニングするためのもの
C40B60/14	ライブラリを製造するためのもの
C40B70/00	コンビナトリアルケミストリまたはライブラリに特に適したタグまたはラベル，例．蛍光タグまたはバーコード
C40B80/00	コンビナトリアルケミストリまたはライブラリに特に適したリンカーまたはスペーサ，例．トレースレスリンカーまたはセイフティーキャッチリンカー
C40B99/00	このサブクラスの他のグループに分類されない主題事項
