D01G1/00	連続フィラメントまたは長繊維の切断，例．ステープル化
D01G1/02	ストランド状にはされないステープルファイバの製造
D01G1/022	｛溶剤によるもの｝
D01G1/025	｛熱的手段によるもの，例．レーザ｝
D01G1/027	｛凍結によるもの｝
D01G1/04	切断刃によるもの
D01G1/06	トウをスライバまたは糸に変えるもの，例．直紡（牽伸装置，ねん糸装置Ｄ０１Ｈ）
D01G1/08	延伸または摩耗によるもの
D01G1/081	｛優先的切断領域をもつもの｝
D01G1/083	｛機械的手段により，例．圧搾により，得られたもの｝
D01G1/085	｛熱的手段により得られたもの｝
D01G1/086	｛凍結によるもの｝
D01G1/088	｛電気的または静電気的手段により得られたもの｝
D01G1/10	切断刃によるもの
D01G3/00	繊維の粗面化
D01G5/00	繊維の分離，例．選別（絹ドレッシングマシンにおける長さの異なる繊維の分離Ｄ０１Ｇ１７／００；精梳綿機における長さの異なる繊維の分離Ｄ０１Ｇ１９／００）
D01G7/00	繊維の開俵
D01G7/02	ビータによるもの
D01G7/04	歯によるもの
D01G7/06	装置または機械の細部
D01G7/08	かき取り部への原料俵供給装置
D01G7/10	繊維の搬出装置
D01G7/12	フレーム；ケーシング；カバリング；グリッド
D01G7/14	駆動装置
D01G9/00	開綿または浄綿，例．打綿（亜麻または類似繊維の打解Ｄ０１Ｂ；抄紙機におけるセルロースワッディングの製造Ｄ２１Ｆ１１／１４）
D01G9/02	動く容器内でかき混ぜるもの
D01G9/04	ビータによるもの
D01G9/06	歯によるもの
D01G9/08	空気吸引装置によるもの
D01G9/10	有孔シリンダを用いるもの（ラップ形成のための有孔吸引シリンダＤ０１Ｇ２５／００）
D01G9/12	開綿または浄綿機の組み合わせ
D01G9/14	機械または装置の細部
D01G9/16	供給装置（繊維処理機械に一般的に適用される繊維供給装置Ｄ０１Ｇ２３／００）
D01G9/18	繊維搬出装置
D01G9/20	フレーム；ケーシング；カバリング；グリッド
D01G9/22	駆動装置
D01G11/00	再使用繊維を得るための繊維含有物の分解
D01G11/02	再使用繊維を得るためのロープまたは類似繊維束の開束，解束，または梳束
D01G11/04	再使用繊維を得るための故繊維の開繊（製紙用故繊維の機械的処理Ｄ２１Ｂ）
D01G13/00	繊維の混合，例．調合；非繊維材料と繊維の混合
D01G15/00	梳（そ）綿機またはその付属具；針布；梳綿機または他の準備処理機におけるきょう雑物の粉砕または除去装置（独立に操作されるバー取り装置または機械Ｄ０１Ｂ）
D01G15/02	梳綿機
D01G15/04	メインシリンダに係合するウォーカーおよびストリッパまたは類似ローラをもつもの
D01G15/06	ガーネットマシン
D01G15/08	メインシリンダと係合するフラットまたは類似具または無端針布帯をもつもの
D01G15/10	欠くことができないまたは密接に関連した組み合わせにおいて他の装置をもつもの，例．牽伸装置（ウェブ分割装置Ｄ０１Ｇ１５／４６；きょう雑物の粉砕または除去装置Ｄ０１Ｇ１５／９４）
D01G15/12	細部
D01G15/14	梳綿要素の構造的特徴，例．針布の取り付けを容易にするためのもの
D01G15/16	メインシリンダ；ブレストシリンダ
D01G15/18	ウォーカ；ストリッパ；ドッファ（ウェブ分割用ドッファＤ０１Ｇ１５／５４）
D01G15/20	フィードローラ；テーカインローラ
D01G15/22	ファンシ
D01G15/24	フラットまたは類似具
D01G15/26	梳綿要素の配列または配置
D01G15/28	梳綿要素の支持装置；梳綿要素の関係位置調整装置
D01G15/30	ベンド
D01G15/32	フレーム；ケーシング；カバリング
D01G15/34	グリッド；モートナイフ；アングルブレード
D01G15/36	駆動または速度制御装置
D01G15/38	針布の研摩中に使用するためのもの
D01G15/40	供給装置（繊維処理機械に一般的に適用される繊維供給装置，例．ホッパフィーダ，Ｄ０１Ｇ２３／００）
D01G15/42	ラップの供給
D01G15/44	中間供給
D01G15/46	梳綿要素から繊維を取り出すためのドッファまたは類似装置；ウェブ分割装置；コンデンサ（ラップ形成装置Ｄ０１Ｇ２５／００；繊維の集束ガイドＤ０１Ｈ５／７２）
D01G15/465	｛空気手段を使用して，または空気手段と協動して，繊維を取り出すためのドッファ装置｝
D01G15/48	ストリッピングコーム
D01G15/50	ストリッピングローラまたは類似具
D01G15/52	ウェブ分割装置
D01G15/54	ウェブ分割用ドッファを使用するもの
D01G15/56	テープを使用するもの
D01G15/58	スライバまたは類似物のもみ装置
D01G15/60	もみ革の構造
D01G15/62	粗糸巻き取り装置（フィラメント状材料の巻き取り一般に適用できる巻き取り装置Ｂ６５Ｈ）
D01G15/64	ドッファ装置またはウェブ分割装置と係合した牽伸または加ねん装置
D01G15/66	仮より装置をもつもの（仮より装置Ｄ０１Ｈ）
D01G15/68	本より装置をもつもの，例．精紡
D01G15/70	製品に装飾または意匠効果を与えるための装置
D01G15/72	落綿を再梳綿するための返還装置
D01G15/74	空気吸引装置（じんあいおよび風綿を除去するための空気吸引装置Ｄ０１Ｇ１５／７６）
D01G15/76	梳綿面の掃除；梳綿部の清浄維持
D01G15/763	｛吸引または吹出しによるもの（Ｄ０１Ｇ１５／７８５，Ｄ０１Ｇ１５／８０５，Ｄ０１Ｇ１５／８２５が優先）｝
D01G15/766	｛掃除用手道具｝
D01G15/78	フラットの掃除装置
D01G15/785	｛吸引または吹出しによるもの｝
D01G15/80	シリンダまたはローラの掃除装置
D01G15/805	｛吸引または吹出しによるもの｝
D01G15/82	じんあい，風綿または類似物の発生防止または除去装置
D01G15/825	｛吸引または吹出しによるもの｝
D01G15/84	針布；他に分類されない針布の製造（針布の研摩中の梳綿要素の駆動装置Ｄ０１Ｇ１５／３８；針布の研摩Ｂ２４Ｂ）
D01G15/86	可とう性の非金属基布をもつもの
D01G15/88	金属のシートまたはストリップから作られたもの
D01G15/90	針板，例．ジュート用梳綿機用
D01G15/92	梳綿要素への針布の取り付け
D01G15/94	きょう雑物の粉砕または除去装置
D01G15/96	きょう雑物粉砕ローラ
D01G15/98	モレルまたは類似装置
D01G17/00	絹ドレッシングマシン
D01G19/00	精梳綿機
D01G19/02	ピンサークルをもつもの，例．ノーブルコーマ
D01G19/04	ピンシリンダをもつもの，例．フレンチコーマ
D01G19/06	細部
D01G19/08	供給装置
