E21F1/00	坑道またはトンネルの通風；通気流の分配（通気室または通気空間一般Ｆ２４Ｆ）
E21F1/003	｛交通用トンネルの通風（工事中のものＥ２１Ｆ１／０４〜Ｅ２１Ｆ３／００）｝
E21F1/006	｛水平坑道またはトンネルの切羽の通風｝
E21F1/02	試験用モデル　（そのためのアナログ計算機　Ｇ０６Ｇ７／５０）
E21F1/04	風道（懸垂装置　Ｅ２１Ｆ１７／０２）
E21F1/06	風道の接続（管の接続一般Ｆ１６Ｌ）
E21F1/08	風道を接続した通風装置，例．通風機を据え付けるための装置　（｛Ｅ２１Ｆ１／００３が優先｝；　通風機一般　Ｆ０４Ｄ）
E21F1/085	｛圧縮ガス噴射器を用いるもの｝
E21F1/10	通気戸　（｛Ｅ２１Ｆ１／００３が優先；　エアロック　Ｅ２１Ｆ１／１４５；　遮断戸　Ｅ２１Ｆ１７／１２｝；　戸一般　Ｅ０６Ｂ）
E21F1/12	通気戸を自動的に開く装置
E21F1/14	通気仕切り；　エアロック　（｛Ｅ２１Ｆ１／００３が優先｝；　遮断壁　Ｅ２１Ｆ１７／１０３；　基礎用エアロック　Ｅ０２Ｄ）
E21F1/145	｛エアロック　（通気戸　Ｅ２１Ｆ１／１０；　遮断戸　Ｅ２１Ｆ１７／１２）｝
E21F1/16	立て坑カバー
E21F1/18	重力による流れの通風　（Ｅ２１Ｆ１／０２〜Ｅ２１Ｆ１／１６が優先）
E21F3/00	通気の冷却または乾燥（空気調整室または空気調整空間一般Ｆ２４Ｆ）
E21F5/00	救護装置塵の予防，固化，沈下または排出のための装置または方法　｛（採掘機との組み合わせ　Ｅ２１Ｃ３５／２２）｝　爆発または火災を防止するもの　（遮断壁　Ｅ２１Ｆ１７／１０３；―面に液体または他の流状物質を適用するもの一般　Ｂ０５）
E21F5/02	湿らしたり噴霧したりすることによるもの
E21F5/04	噴霧による隔膜（噴霧ニップル，噴霧一般　Ｂ０５Ｂ，Ｂ０５Ｄ；流体噴霧ノズル装置をもつピック　Ｅ２１Ｃ３５／１８７）
E21F5/06	噴霧に用いる液体
E21F5/08	坑道の岩粉散布；　他の防護剤の散布
E21F5/10	岩粉散布装置
E21F5/12	岩粉の配合
E21F5/14	突出や爆発によりまたは同時に作用する液体隔膜または岩粉散布
E21F5/143	｛液体隔膜｝
E21F5/146	｛岩粉散布機｝
E21F5/16	塵を固化するため床面，壁面または類似のものの上に置かれた吸湿性のまたはその他の塩類の層；　それらの層の堆積　（吸塵吸引物質一般　Ｃ０９Ｋ３／２２）
E21F5/18	塵を固化するための液体を壁面，または類似のものに注入するもの　｛（土壌または岩盤を改良するための注入　Ｅ２１Ｄ９／００１；　坑井の閉鎖，すなわちパッカー，注入工程中に使用するもの　Ｅ２１Ｂ３３／１２）｝
E21F5/20	塵の除去または堆積　（ボーリング中の除塵　Ｅ２１Ｃ７／００；切截中のもの　Ｅ２１Ｃ３５／２２）
E21F7/00	単なるガス抜きの，またはそのガスをある目的のために使用するためのガス抜きの，方法または装置
E21F9/00	機械または装置のスパーク防止装置（電気機器のスパーク防止Ｈ０１Ｋ，Ｈ０２Ｋ）
E21F11/00	救護装置またはその他の安全装置，例．安全室，退避路　（呼吸器　Ａ６２Ｂ７／００；　そ生装置　Ａ６２Ｂ３３／００；　治療用呼吸援助装置　Ａ６１Ｈ３１／００）
E21F13/00	地下の状態に特に適した運搬　（坑内車　Ｂ６１Ｄ；　運搬一般，荷積み　｛地下状態に特に適する場合以外のもの｝　Ｂ６５Ｇ）
E21F13/002	｛特に坑道内搬送用の破砕装置｝
E21F13/004	｛人員搬送システム｝
E21F13/006	｛基材搬送システム｝
E21F13/008	｛歩進式鉱坑屋根支保ユニットのためのもの｝
E21F13/02	｛採掘鉱物の搬送｝　水平坑道におけるもの
E21F13/025	｛シャットルカー｝
E21F13/04	｛採掘物質の搬送｝　自動斜坑運搬におけるもの；　坑内小立坑または斜坑におけるもの
E21F13/042	｛鉛直水圧式石炭搬送　（水流による搬送一般　Ｂ６５Ｇ５３／００）｝
E21F13/045	｛特に採掘用に適した石炭箱　（シュート一般　Ｂ６５Ｇ１１／００）｝
E21F13/047	｛螺旋状に延びる溝からなるもの　（螺旋形シュート一般　Ｂ６５Ｇ１１／０６）｝
E21F13/06	｛採掘物質の搬送｝　切羽またはその近傍におけるもの
E21F13/061	｛採掘用に適応した，平均斜面および急斜面用のシュートおよび制動コンベア　（シュート一般　Ｂ６５Ｇ１１／００）｝
E21F13/063	｛採掘用積み込み装置
E21F13/065	｛スクレーパ　（ケーブルによって案内される掘削装置　Ｅ０２Ｆ３／５４；　ホーベルと組み合わせたもの　Ｅ２１Ｃ２７／４２）｝　
E21F13/066	｛スクレーパチェーンコンベア　（一般　Ｂ６５Ｇ１９／００）｝
E21F13/068	｛切羽と水平坑道との合流点で用いる特殊な適用，例．　採掘機械の運転場に連結された運転場｝
E21F13/08	コンベアまたはその他の運搬用機器を切羽の一つの場所から他の場所へ移動させるもの　（採掘鉱物運搬用コンベアにそって採掘機を案内するもの　Ｅ２１Ｃ３５／１２；歩進のための鉱坑屋根支保との組み合わせ　Ｅ２１Ｄ２３／００）
E21F13/083	｛コンベアベルト取り外し方法またはその装置｝
E21F13/086	｛装甲コンベア移心装置｝
E21F13/10	コンベアの係止
E21F15/00	地下作業空間に物質を充填する方法または装置　（遮断壁　Ｅ２１Ｆ１７／１０３；　｛裏込め材を充てんしたフレキシブルコンテナー製の木積（Ｅ２１Ｄ１５／４８３｝）
E21F15/005	｛裏込め材の種類または組成を特徴とするもの｝
E21F15/02	充填材の支持手段，例．堰板
E21F15/04	充填マット；充填網；仕切り壁
E21F15/06	機械的充填
E21F15/08	液体または気体による充填（液体または気体による搬送装置Ｂ６５Ｇ；管，管継ぎ手Ｆ１６Ｌ）
E21F15/10	液体または気体による充填機
E21F16/00	排水　（地盤の基礎地点またはその他の地域の乾燥の維持　Ｅ０２Ｄ１９／００）
E21F16/02	トンネルの排水
E21F17/00	他類に属さない鉱山またはトンネルにおいて用いる方法または装置（坑内照明Ｆ２１，Ｈ０５Ｂ）
E21F17/02	管またはその類似物の懸垂装置，例．通風ダクト用（管，ケーブル，保護管類を支持するもの一般　Ｆ１６Ｌ３／００〜Ｆ１６Ｌ７／００）
