F01K1/00	蒸気アキュムレータ（蒸気機関設備におけるアキュムレータの使用Ｆ０１Ｋ３／００）
F01K1/02	液体中以外に蒸気を蓄えるもの
F01K1/04	液体中に蒸気を蓄えるもの，例．ルース型のもの（アルカリ中で蒸気圧を高める形態Ｆ２２Ｂ１／２０）
F01K1/06	蒸気の分配，蒸気の形成または循環を促進させる内部構造（充てんまたは放出する間の過程Ｆ０１Ｋ１／０８；複式アキュムレータ間の循環を促進させる装置Ｆ０１Ｋ１／１４）
F01K1/08	アキュームレータの蒸気充てんまたは放出（複式アキュムレータのための独特なものＦ０１Ｋ１／１２）
F01K1/10	過熱蒸気に特に適合したもの
F01K1/12	複式アキュームレータ；それに特に適合した充てん，放出または調節方法
F01K1/14	循環
F01K1/16	その他の安全または調節装置
F01K1/18	蒸気圧力に対するもの
F01K1/20	他の蒸気アキュムレータ部品，細部または付属品
F01K3/00	その内部で蒸気または熱のアキュムレータまたは中間蒸気加熱器を用いることを特徴とする設備（排気の再生Ｆ０１Ｋ１９／００）
F01K3/002	｛蒸気転換｝
F01K3/004	｛回路の液体分岐内の蓄積｝
F01K3/006	｛アキュムレータおよび蒸気圧縮機｝
F01K3/008	｛水中で蒸気を貯蔵するためのルース型の蒸気アキュムレータの使用；その調節（ルースアキュムレータそれ自体Ｆ０１Ｋ１／０４）｝
F01K3/02	アキュムレータおよび特殊な機関形式の使用；その調節
F01K3/04	機関が複式入口圧力形であるもの
F01K3/06	機関が抽出または非凝縮形であるもの｛（Ｆ０１Ｋ３／００４が優先）｝
F01K3/08	アキュムレータの用途であって，設備が特定の用途に特に適合したもの
F01K3/10	乗物駆動用のもの，例．アキュムレータ機関車用
F01K3/12	２またはそれ以上のアキュムレータをもつもの
F01K3/14	蒸気アキュムレータと加熱器の両方をもつもの，例．過熱アキュムレータ（蒸気過熱ヒータそれ自体Ｆ２２Ｇ）
F01K3/16	アキュムレータと加熱器の相互の配置
F01K3/18	加熱器をもつもの（蒸気アキュムレータおよび加熱器両方をもつものＦ０１Ｋ３／１４；蒸気加熱器それ自体Ｆ２２）
F01K3/181	｛核の熱の使用（Ｆ０１Ｋ３／２６が優先）｝
F01K3/183	｛１台の加熱器が燃焼式過熱器であるもの｝
F01K3/185	｛設備の外側からの廃熱の使用（Ｆ０２Ｇ５／００が優先）｝
F01K3/186	｛電気的な熱の使用｝
F01K3/188	｛特定の化学反応からの熱の使用｝
F01K3/20	メインボイラの燃焼ガスによって加熱されるもの
F01K3/205	｛複数の回路が単一のボイラによって加熱されるもの｝
F01K3/22	制御，例．始動，停止（Ｆ０１Ｋ７／００及びＦ０１Ｋ１３／０２が優先）
