F02G1/00	熱ガス容積型機関設備
F02G1/02	開放サイクル形のもの
F02G1/04	密閉サイクル形のもの
F02G1/043	常時連通した複数の膨脹可能な室の一つにおいて，加熱そして冷却される作動ガスの容積の膨脹と収縮により作動される機関，例．スターリングサイクル型機関
F02G1/0435	｛フリーピストン型である機関｝
F02G1/044	パワー出力を伝える少なくとも２つの作動部材，例．ピストン，をもつもの
F02G1/0445	｛複合サイクル，例．ヴィルミエ，を有する機関設備｝
F02G1/045	制御
F02G1/047	加熱または冷却の調節によるもの
F02G1/05	作動ガスの流量または体積の調節によるもの
F02G1/053	構成部品または細部
F02G1/0535	｛シールまたはシール装置｝
F02G1/055	加熱器または冷却器
F02G1/057	再生器
F02G1/06	制御するもの
F02G3/00	燃焼生成容積型機関設備
F02G3/02	往復ピストン機関をもつもの
F02G5/00	燃焼機関の廃熱を役立てるもので，他に分類されないもの
F02G5/02	排気ガスの廃熱を役立てるもの
F02G5/04	燃焼機関からの他の廃熱とを組み合わせたもの
F02G2242/00	弁により制御されるオープン再生サイクルを有するエリクソン型機関
F02G2242/02	ディスプレイサー型機関
F02G2242/04	一定の作動容積を有するもの
F02G2242/06	外部から駆動されるディスプレイサーをもつもの
F02G2242/08	ガスで作動する弁を有するもの，例．ブッシュ機関
F02G2242/10	機械的に作動する弁を有するもの，例．ギフォードまたはマクマホン機関
F02G2242/30	可変の作動容積を有するもの
F02G2242/32	独立したピストンを有する再生式ディスプレイサー
F02G2242/40	ピストン型機関
F02G2242/42	ピストンに取付けられた単一ピストン再生式ディスプレイサーを有するもの，例．ギフォード・マクマホン機関
F02G2242/44	２つのピストンおよび逆流再生器を有するもの
F02G2243/00	容積の変更により制御される流れをもつ閉鎖再生式熱力学的サイクルを有するスターリング型機関
F02G2243/02	同一シリンダ内にピストンとディスプレイサーを有するもの
F02G2243/04	クランク−コネクティングロッドの駆動装置
F02G2243/06	再生式ディスプレイサー
F02G2243/08	外部再生器，例．ランキン・ネイピア機関
F02G2243/20	各々が単一のフリーピストンを有するもの，例．ベアレ機関
F02G2243/202	共鳴
F02G2243/204	非共鳴
F02G2243/206	外部から励起されたもの
F02G2243/22	揺動シリンダをもつもの
F02G2243/24	フリーディスプレイサーをもつもの
F02G2243/30	個々のシリンダにピストンとディスプレイサーを有するもの（２ピストン機械Ｆ０２Ｇ２２４４／００）
F02G2243/32	平行をなすシリンダを有する再生式ディスプレイサー，例．ロウベロまたはシュワルツコフ機関
F02G2243/34	直角をなすシリンダを有する再生式ディスプレイサー，例．ロビンソン機関
F02G2243/36	対をなす膨張シリンダをもつもの，例．レインボウ機関
F02G2243/38	平行シリンダを有する外部再生器，例．ハインリッヒ機関
F02G2243/40	フリーディスプレイサーをもつもの
F02G2243/50	共鳴管を有するもの
F02G2243/52	音響
F02G2243/54	熱音響
F02G2244/00	２つのピストンを有する機械
F02G2244/02	単一の作動を行う２つのピストンを有する機関
F02G2244/04	回転シリンダ型のもの，例．フィンケルスタイン機関
F02G2244/06	固定シリンダ型のもの
F02G2244/08	平行シリンダを有するもの，例．ライダー機関
F02G2244/10	Ｖ型配列のシリンダを有するもの
F02G2244/12	対向ピストンを有するもの
F02G2244/50	複動式ピストン機械
F02G2244/52	単一システムを構成する相互連結する隣接シリンダを有するもの，例．リニア機関
F02G2244/54	２シリンダの２つのシステムを有し，２つのシステムが互いのために一方のシリンダで圧縮する間に他方のシリンダで膨張するもの，例．フィンケルスタイン機関
F02G2250/00	特殊なサイクルまたは特殊な機関
F02G2250/03	ブレイトンサイクル
F02G2250/06	ボー・ド・ロシャ定容積サイクル
F02G2250/09	カルノーサイクル一般
F02G2250/12	マローン液体熱サイクル
F02G2250/15	サバテ複合サイクル
F02G2250/18	ヴィルミエサイクル
F02G2250/21	クック・ヤーボロー機関
F02G2250/24	リングボムエンジン，フリーディスプレイサーの変位が加熱された気体の膨張とピストンの重みにより得られるもの
F02G2250/27	マルティーニ・スターリングエンジン
F02G2250/31	ナノまたはマイクロ機関
F02G2253/00	シール
F02G2253/01	回転ピストンのシール
F02G2253/02	往復動ピストンのシール
F02G2253/03	ステムのシール
F02G2253/04	ディスプレイサーのシール
F02G2253/06	ベローズのシール
F02G2253/08	回転膜をもつステム
F02G2253/10	回転膜をもつピストン
F02G2253/50	液体シール
F02G2253/60	潤滑回路の密封
F02G2253/80	クランクケースの密封
F02G2254/00	熱入力
F02G2254/05	空気によるもの
F02G2254/10	バーナーによるもの
F02G2254/11	触媒バーナー
F02G2254/12	エジェクタによるもの
F02G2254/15	排気ガスによるもの
F02G2254/18	偏向器，例．螺旋状のもの，を用いるもの
F02G2254/20	伝熱管を用いるもの
F02G2254/30	日射を用いるもの
F02G2254/40	蓄熱器を用いるもの
F02G2254/45	電気的加熱によるもの
F02G2254/50	熱入力のためのドーム配列
F02G2254/60	空気予熱器を用いるもの
F02G2254/70	触媒転化，すなわち無炎酸化反応，によるもの
F02G2254/90	放射能によるもの
F02G2255/00	加熱管
F02G2255/10	ドーム形状のもの
F02G2255/20	加熱器のフィン
F02G2256/00	冷却器
F02G2256/02	冷却器のフィン
F02G2256/04	冷却器の管
F02G2256/50	冷媒の循環をともなうもの
F02G2257/00	再生器
F02G2257/02	回転するもの
F02G2258/00	使用される材料
F02G2258/10	セラミック
F02G2258/20	断熱特性を有するもの
F02G2258/50	摩擦特性を有するもの
F02G2258/80	磁気特性を有するもの
F02G2258/90	材料の加工
F02G2260/00	内燃機関の排気ガスおよび冷却回路からの熱の取り戻し
F02G2262/00	内燃機関の排気ガスおよび潤滑回路からの熱の取り戻し
F02G2270/00	構造的特性
F02G2270/005	外殻，例．スターリング機関のための密封するまたは密封されたもの
F02G2270/02	往復動および回転するピストン
F02G2270/04	対向するピストンを連結するローラーの組立体
F02G2270/10	回転ピストン
F02G2270/15	回転シリンダ
F02G2270/20	複数ピストン式斜板
F02G2270/30	ディスプレイサーの組立体
F02G2270/40	ピストンの組立体
F02G2270/42	ディスプレイサーの駆動機構
F02G2270/425	ディスプレイサーが四棒機構，例．菱形機構，により駆動されるもの
F02G2270/45	ピストンロッド
F02G2270/50	クロスヘッドの案内ピストン
F02G2270/55	シリンダ
F02G2270/60	ピストンに対する釣合い重り
F02G2270/70	液体ピストン
F02G2270/80	クランク軸のない機関
F02G2270/85	クランク軸
F02G2270/90	弁
F02G2270/95	加圧されたクランクケース
F02G2275/00	制御
F02G2275/10	振動の低減のためのもの
F02G2275/20	ピストンのオーバーストロークを防止するためのもの
F02G2275/30	適切な燃焼のためのもの
F02G2275/40	始動のためのもの
F02G2280/00	出力の分配
F02G2280/005	医療用途，例．補綴または人工心臓のためのもの
F02G2280/10	リニア型発電機
F02G2280/20	回転型発電機
F02G2280/50	圧縮機またはポンプ
F02G2280/60	ヒートポンプ
F02G2280/70	クラッチ
F02G2290/00	特定の動力伝達媒体，例．ヘリウム，の使用に特徴のある機関
