F15C1/00	可動部分をもたない回路素子<br><br><u>注</u><br><br>グループＦ１５Ｃ１／２２がグループＦ１５Ｃ１／０８−Ｆ１５Ｃ１／２０に優先。<br>この注はＦ１５Ｃ１／０８−Ｆ１５Ｃ１／２０に関するＩＰＣ注（１）に対応する。
F15C1/001	｛穿孔カード機械用（穿孔カード機械Ｇ０６Ｋ）；タイプライター用（タイプライターＢ４１Ｊ）；キーボード用；カードまたはテープの搬送用；チューブ中の運搬用（チューブ中の運搬Ｂ６５Ｇ５１／００，Ｂ６５Ｇ５３／００）；計算機用（非電子計算機Ｇ０６Ｃ，Ｇ０６Ｄ，Ｇ０６Ｇ）；情報処理用直流交流トランスデューサ（直流−交流変換器Ｈ０２Ｍ）；信号伝送用（電信通信Ｈ０４Ｌ）｝
F15C1/002	｛機関，タービン，圧縮機の制御用（始動，速度調整，温度管理または類似のもの）（内燃ピストン機関の制御Ｆ０２Ｄ；タービンの制御Ｆ０１Ｄ，Ｆ０２Ｃ；ファンの制御Ｆ０４Ｄ２７／００；速度計Ｇ０１Ｐ）｝
F15C1/003	｛プロセスの調整，例．化学的プロセス，ボイラまたは類似のものにおけるもの，用；機械工具管理（例．ミシン，自動洗濯機）用；液面高さ制御用；種々の機械の管理用；警告回路用；制御目的での交流−直流変換器用（自動洗濯機Ｄ０６Ｆ３３／００；機械的作動機械の電気的調整Ｂ２３Ｑ３５／００，Ｇ０５Ｂ１９／００；弁により制御されるサーボモータＦ１５Ｂ９／０８；ミシン用の糸の供給装置Ｄ０５Ｂ５１／００；旋盤上の特別な設備Ｂ２３Ｂ２５／００，Ｂ２３Ｑ；非電気的信号伝送Ｇ０８Ｃ２３／００｝
F15C1/005	｛測定技術，例．遠隔地からの計測，用；検出装置用，例．存在検出用；計測された特性の選別用（試験）；ジャイロメータ用；分析用；クロマトグラフィ用（流体の情報または衝動の変換器Ｆ１５Ｂ５／００；寸法に応じた郵便物の選別Ｂ０７Ｃ１／１０；ダイヤルゲージ，球面計Ｇ０１Ｂ３／２２，Ｇ０１Ｂ５／２２；ジャイロスコープ装置Ｇ０１Ｃ１９／００；粘性計Ｇ０１Ｎ１１／００；速度計測，流量計Ｇ０１Ｐ）｝
F15C1/006	｛航空学用；ロケット用（駆動，管理）；人工衛星用；ホバークラフト用；船または魚雷の制御用（インジェクタＦ０４Ｆ５／００；ジェット反動による航空機の制御Ｂ６４Ｃ１５／００；航空機内の空気圧の制御Ｂ６４Ｄ１３／０４；航空機に搭載されるのに適合された計器Ｂ６４Ｄ４３／００）｝
F15C1/007	｛流体信号用の指示装置用（電子計算機における出力装置Ｇ０６Ｆ３／１４；照明広告Ｇ０９Ｆ１３／００；文字が交換可能な表札または番号札Ｇ０９Ｆ７／００；計測装置内の指示または記録部材の流体操作手段Ｇ０１Ｄ５／４２；流体圧力の変数を他の物理量に変換する流体の情報または衝動の変換器Ｆ１５Ｂ５／００３）｝
F15C1/008	｛他の適用，例．空調，医療への適用，呼吸マスク以外のもの，コアンダ効果による物質の水面下分離用のやぐら，武器｝
F15C1/02	細部，｛例．抵抗，容量性回路要素などの流体要素をもつ回路用の特別な構造の装置；複合要素における反応結合を防止する装置（定速保持特に適合されたサーボモータ系Ｆ１５Ｂ１１／０５）；配電盤；プログラム装置（液圧プログラム制御Ｆ１５Ｂ２１／０２）｝
F15C1/04	流体装置に対して流体の流れを制御する手段，例．電気的信号｛または制御される信号および流量の間で混合は行われない，その他の信号｝によるもの｛（流体の情報またはパルスの変換器Ｆ１５Ｂ５／００；電気流体増幅器による電気的調整Ｇ０５Ｂ７／０２；計測装置での指示または記録部材のための流体操作手段Ｇ０１Ｄ５／４２；電気的に制御されるパイロット弁をもつサーボモータ用の分配または供給装置Ｆ１５Ｂ１３／０４３）｝
F15C1/06	構造上の細部；個々の材料の選択；｛単一要素の構造的な具現化；掘割形状；ジェットノズル；要素が主要部分を形成する場合の要素の他の装置と組み合わせ（Ｆ１５Ｃ５／００が優先）｝
F15C1/08	境界層装置，例．壁面付着形素子，｛コアンダ効果（パルス発生機の流体発振機Ｆ１５Ｂ２１／１２）｝
F15C1/10	デジタル動作用のもの，例．論理的フリップフロップ，オアゲート，ノアゲート，｛アンドゲート｝を形成するもの：｛比較器；パルス発生機｝
