F16L1/00	管の敷設または埋設；水上または水中での管の修理または接合
F16L1/024	陸上での管の敷設または埋設，例．地面上（Ｆ１６Ｌ１／１２が優先）
F16L1/0243	｛地面上（Ｆ１６Ｌ１／０２６が優先）｝
F16L1/0246	｛地面上のある高さにおけるもの｝
F16L1/026	凍結面中または凍結面上に
F16L1/028	地中（Ｆ１６Ｌ１／０２６が優先）
F16L1/032	管が連続しているもの（Ｆ１６Ｌ１／０３８が優先）
F16L1/036	管が短い長さの部分から成り立っているもの（Ｆ１６Ｌ１／０３８が優先）
F16L1/038	現場施工の管
F16L1/06	そのための付属品，例．アンカー
F16L1/065	｛車両上または車両への固定｝
F16L1/09	２つの管状部材を互いに接近させるためのもの
F16L1/10	位置合わせのためのもの
F16L1/11	地中のパイプの検知または保護用
F16L1/12	水上または水中での管の敷設または埋設
F16L1/123	｛水中のパイプ保護用の装置｝
F16L1/126	｛水面上のまたは水面に近接するもの｝
F16L1/14	表面と底の間での敷設または埋設
F16L1/15	垂直に
F16L1/16	底での敷設または埋設
F16L1/161	｛管が短い長さの部分から成り立っているもの｝
F16L1/163	｛敷設作業中の管の見掛け重量を変化させることによるもの｝
F16L1/165	｛底の上または近辺への管の牽引によるもの｝
F16L1/166	｛管の埋設｝
F16L1/168	｛氷の下へのもの｝
F16L1/18	ＳまたはＪ形の管で敷設中の張力下にあるもの
F16L1/19	パイプがＪ型であるもの
F16L1/20	そのための付属品，例．うき，重り
F16L1/201	｛アンカーロッド｝
F16L1/202	｛容器上にまたは容器に固定されたもの｝
F16L1/203	｛管が敷設に先立ってらせん状に巻かれたもの｝
F16L1/205	｛管を埋設する船（Ｆ１６Ｌ１／２２５，Ｆ１６Ｌ１／２３およびＦ１６Ｌ１／２３５が優先）｝
F16L1/206	｛管を形成または被覆するための装置｝
F16L1/207	｛管を取扱う装置｝
F16L1/225	スティンガー
F16L1/23	管に張力をかける装置
F16L1/235	敷設中に管を制御するための装置
F16L1/24	うき；重り
F16L1/26	水上または水中での管の修理または接合
F16L1/265	｛底の上を移動する水中車両｝
F16L3/00	管，ケーブルまたは保護管類のための支持体，例．ハンガ，ホルダ，クランブ，クリート，クリップ，ブラケット（地上または地中で管を保持するためのアンカーＦ１６Ｌ１／０６；｛音響減衰支持体Ｆ１６Ｌ５５／０３５；絶縁管用支持体Ｆ１６Ｌ５９／１３５｝）
F16L3/003	｛ホースの開放端を保持するための装置｝
F16L3/006	｛矩形の断面を有する管のためのもの｝
F16L3/01	相対的に移動できる点の間に管，ケーブルまたは保護管類を支持するまたは案内するためのもの，例．可動な溝
F16L3/012	｛リールを用いるもの（巻かれる材料のための芯，例．リール，一般Ｂ６５Ｈ７５／００）｝
F16L3/015	関節を有するまたは柔軟な案内部材を用いるもの
F16L3/02	管，ケーブルまたは保護管類を部分的に囲むもの（バンドまたはチェーンＦ１６Ｌ３／１４）
F16L3/04	壁または他の支持具に対してそれを押しつけるもの  
F16L3/06	ワイヤ用の支持具をもつもの 
F16L3/08	管，ケーブルまたは保護管類を大体において囲むもの
F16L3/085	｛互いに角度を有する関係にある管のためのもの｝
F16L3/10	分割されているもの，すなわち管，ケーブルまたは保護管類を拘束する二｛またはそれ以上の｝部材をもつもの 
F16L3/1008	｛管，ケーブルまたは管類を拘束する二部材をもち，両部材が管を完全に囲む薄い帯状材料からなるもの（Ｆ１６Ｌ３／１０３３が優先）｝
F16L3/1016	｛部材が２つのねじ手段により接合されるもの｝
F16L3/1025	｛部材が迅速作動手段により接合されるもの｝
F16L3/1033	｛管，ケーブルまたは管類を拘束する二部材をもち，二部材が管の一方側上にのみ接合されるもの｝
F16L3/1041	｛かつ様々な径の管の収容に適合するもの｝
F16L3/105	｛一部材が大体において半径方向に締め付ける要素を輸送するもの｝
