F22D1/00	給水加熱器，すなわちエコノマイザまたは類似の予熱器
F22D1/003	｛給水加熱システム（Ｆ２２Ｄ１／３２５，Ｆ２２Ｄ１／３６およびＦ２２Ｄ１／４０が優先）｝
F22D1/006	｛加熱管をもつもの（Ｆ２２Ｄ１／２４が優先）｝
F22D1/02	炉筒，煙管，煙道に配列された水管をもつもの（熱交換管一般Ｆ２８Ｆ）
F22D1/04	単純な外面を有する管，例．垂直な配列をもつもの
F22D1/06	水平な配列をもつもの
F22D1/08	外面にフィン，リブ，鰓（えら），皺（しわ）等を有する管，例．垂直な配列をもつもの
F22D1/10	水平な配列をもつもの（水管として使用される中空火格子，炉格子Ｆ２３Ｈ３／０２）
F22D1/12	制御装置，例．蒸気温度調整用
F22D1/14	安全装置または排気装置（ボイラの安全装置一般Ｆ２２Ｂ３７／４２）
F22D1/16	炉筒，煙管，煙道以外に配列された水管によるもの
F22D1/18	間接加熱によるもの
F22D1/20	ボイラに直接連接されたもの
F22D1/22	回転運動を行うもの
F22D1/24	給水容器を横断する煙管または煙道によるもの
F22D1/26	管以外の，水および加熱媒体を分離する手段によるもの，例．煙箱または煙道でおおわれた内部煙道または管を有しない大型加熱器
F22D1/28	直接熱伝達によるもの，例．水および蒸気の混合によるもの
F22D1/30	水の乱れまたは滝状の降下を起こさせる階，段，邪魔板，皿板，円環状の水溝または他の手段を有するもの（脱気装置Ｃ０２Ｆ）
F22D1/32	蒸気により加熱される配列によるもの，例．タービンからのもの
F22D1/325	｛それらの図面的な配置または制御装置｝
F22D1/34	ボイラの主給水系統に凝縮物を戻すもの
F22D1/36	水および空気の予熱方式
F22D1/38	水および空気の予熱方式の構造的特徴
F22D1/40	排蒸気と燃焼ガスの組み合わされた予熱器（機関車用Ｆ２２Ｄ１／４２）
F22D1/42	機関車用に特に適したもの
F22D1/44	燃焼ガス予熱器
F22D1/46	排蒸気予熱器
F22D1/48	細部
F22D1/50	給水の熱的脱気と一体になったもの（直接熱伝達の中での脱気Ｆ２２Ｄ１／２８；水の熱的脱気それ自体Ｂ０１Ｄ１９／００，Ｃ０２Ｆ１／２０；通気用弁Ｆ１６Ｋ２４／０４）
F22D3/00	予熱水用アキュムレータ
F22D3/02	燃焼室内に配列されたもの
F22D3/04	蒸気アキュムレータと組み合わされたもの
F22D3/06	ボイラに直接連結したもの
F22D3/08	機関車用に特に適したもの（機関車用ボイラＦ２２Ｂ１３／０６）
F22D3/10	制御装置（ボイラの給水または水位の制御Ｆ２２Ｄ５／００）
F22D5/00	給水または水位の制御；自動的な給水または水位の調整装置（蒸気トラップＦ１６Ｔ；測定または指示計器Ｇ０１；水位の指示用Ｇ０１Ｆ；水準制御一般Ｇ０５Ｄ９／００）
F22D5/02	動きが水位によって制御される，仕切りを機械的に動かした後，水が重力によって流出する中間仕切りがあるもの
F22D5/04	回転水受けがあるもの
F22D5/06	ボイラと自由に連通した，水位の変化に応じて上下動するのに適した容器が外面にあるもの
F22D5/08	フロート式作動弁があるもの
F22D5/10	給水口の弁と一体のピストンまたは膜をもつもの
F22D5/12	傾斜管をもつもの
F22D5/14	熱膨張および熱収縮に応答するもの，例．固体要素によるもの
F22D5/16	流体要素によるもの
F22D5/18	給水ポンプの速度または吐出圧力の変化によるもの
F22D5/20	フロートがないもの
F22D5/22	フロートがあるもの
F22D5/24	電気接点があるもの
F22D5/26	自動給水制御方式（自動安全装置Ｆ２２Ｂ３７／４２；制御一般Ｇ０５）
F22D5/28	引き出した蒸気量に応答するもの；蒸気圧力に応答するもの
F22D5/30	水位および蒸気量の両方または蒸気圧力に応答するもの
F22D5/32	給水ポンプの速度または吐出圧力に影響するもの
F22D5/34	弁の適用（弁自体Ｆ１６Ｋ）
F22D5/36	異った範囲の温度および圧力に設計された多数の蒸気発生器に給水するもの
F22D7/00	水の循環を促進する補助装置（水循環を増進するためのボイラの応用Ｆ２２Ｂ３７／３４）
F22D7/02	火炉管に固定された鞍（あん）部または類似の取り付け板によるもの
F22D7/04	水または蒸気のエジェクタによるもの
F22D7/06	回転装置，例．プロペラ
F22D7/08	ポンプ装置，例．ボイラ外側
F22D7/10	ボイラ内側
F22D7/12	制御装置
F22D7/14	特に機関車ボイラに適するもの
F22D11/00	他のメイングループに属しない給水の供給
F22D11/003	｛非常時の給水の供給（ボイラ用安全装置一般Ｆ２２Ｂ３７／４２）｝
F22D11/006	｛ボイラ付きの給水クリーニングの配置｝
F22D11/02	給水ポンプの配置（Ｆ２２Ｄ１１／０６が優先；ポンプ自体Ｆ０４）
F22D11/04	蒸気の生成を取り去る手段によるもの
F22D11/06	ボイラに凝縮水を戻すもの
