F23B1/00	塊状燃料のみを用いる燃焼装置
F23B1/02	容器内媒介物の間接加熱用，例．水沸騰用（蒸気発生Ｆ２２）
F23B1/04	外だき炉，すなわち容器前面に炉を有するもの
F23B1/06	水管ボイラ加熱用，例．テンブリンクフリュー炉
F23B1/08	内だき炉，すなわち容器内部に炉を有するもの
F23B1/10	機関車ボイラ加熱用
F23B1/12	複数の燃焼室を有するもの
F23B1/16	火格子または他の燃料支持物の形状にしたがって改造された燃焼装置　｛焼却炉用　Ｆ２３Ｇ５／００２｝
F23B1/165	｛ローラ火格子を用いるもの｝　
F23B1/18	傾斜火格子を用いるもの
F23B1/20	階段状火格子を用いるもの
F23B1/22	移動火格子を用いるもの
F23B1/24	回転火格子を用いるもの
F23B1/26	穴のない燃料支持物を用いるもの
F23B1/28	山形火格子を用いるもの，例．泥炭，おがくずまたは粉状燃料の燃焼用　｛（泥炭，おがくずの燃焼　Ｆ２３Ｇ７／１０）｝
F23B1/30	燃焼室の形状を特徴とするもの
F23B1/32	回転するもの
F23B1/34	環状のもの
F23B1/36	たて形のもの
F23B1/38	火格子または他の燃料支持物上においての泥炭，おがくず，または粉状燃料の燃焼用　｛（泥炭，おがくずの燃焼　Ｆ２３Ｇ７／１０）｝
F23B3/00	ボイラまたは他の加熱される装置と関連して携帯または移動可能な燃焼装置
F23B5/00	１次燃焼での未燃焼物を燃焼させるための装置を有する燃焼装置（｛（燃焼装置が，２つ以上の燃焼室の組合せに特徴のあるものＦ２３Ｃ６／００）｝１次燃焼物が粉状燃料であるものＦ２３Ｂ９／００３)）
F23B5/02	主燃焼室内にあるもの
F23B5/025	｛未燃焼固体物を燃焼室へ再循環するもの｝　
F23B5/04	分離した燃焼室内にあるもの；分離した火格子上にあるもの
F23B7/00	燃焼技術；その他の固体燃料燃焼装置
F23B7/002	｛ガス流装置を特徴とするもの｝　
F23B7/005	｛燃料床および火格子を通る下降気流をもつもの｝　
F23B7/007	｛煙道ガスを燃焼室へ再循環するもの｝　
F23B10/00	２以上の燃焼室の組合わせに特徴のある燃焼装置
F23B10/02	分離した二次燃焼室を含むもの
F23B20/00	特に携帯または移動に特に適した燃焼装置
F23B30/00	燃えている燃料を攪拌するための駆動手段を有する燃焼装置；燃えている燃料を燃焼室を介して進ませるための駆動手段を有する燃焼装置
F23B30/02	可動の，例．振動可能の，燃料支持面を有するもの；可動部を備える燃料支持面を有するもの
F23B30/04	燃料支持面を有するものであって，支持面が水平または傾斜軸を中心に回転し，その支持面内側で燃料を支持するもの，例．円筒状火格子
F23B30/06	燃料を燃焼ゾーンを介して進ませることに特に適した燃料支持面有するもの
F23B30/08	燃焼ゾーンを通って移動する，燃料支持面を有するもの，例．鎖状火格子を有するもの
F23B30/10	移動可能であるが基本的に同位置に留まる，燃料を進ませる要素を備えた燃料支持面を有するもの，例．ローラまたは往復動火格子棒
F23B40/00	燃料を燃焼室へ供給するための駆動手段を有する燃焼装置
F23B40/02	燃料支持面に散布すことで供給される燃料
F23B40/04	下の燃料支持面の開口部から供給される燃料
F23B40/06	燃料支持面に沿って供給される燃料
F23B40/08	ポット型またはトラフ型の火格子に供給されるもの
F23B50/00	燃料が重力により，例．燃焼ゾーンの上部に設置された燃料貯蔵手段から，燃焼ゾーン内に，または燃焼ゾーンを介して供給される燃焼装置
F23B50/02	底部に燃焼ゾーンを有し，燃料が柱状，山状，または厚い層を成しているもの
F23B50/04	燃料の動きに対して燃焼空気および燃焼ガスの流れがほぼ交差しているもの
F23B50/06	燃料支持面の一つまたは複数の開口部から燃焼ガスを下方に排気するもの
F23B50/08	燃料を偏向させる部材によって燃料層内に燃焼空間を形成しているもの
F23B50/10	燃料が充填された導管底部の燃焼ゾーンが，燃料床面で終わっているもの
F23B50/12	自由落下または傾斜面に沿って滑らせることにより，燃焼ゾーンに供給される燃料，例．燃料床面の上部で終わっているコンベアからの供給
F23B60/00	本質的に燃料を移動させずに燃焼させる燃焼装置
F23B60/02	燃焼空気が火格子を通じて供給されるもの
F23B70/00	固体燃焼残滓を燃焼室に再循環するための手段に特徴がある燃焼装置
F23B80/00	燃焼ガス又は燃料から放出される不燃焼ガス用に，別の流路を形成する手段に特徴がある燃焼装置
F23B80/02	燃焼室へまたは燃焼ゾーンへ燃焼ガスを再循環させる手段によるもの
F23B80/04	燃焼ガスの流れを案内するための手段によるもの，例．邪魔板
F23B90/00	特定種類の装置に無関係の燃焼方法
F23B90/02	始動技術
F23B90/04	二次燃焼を含むもの（分離した燃焼室内で行われるものＦ２３Ｂ１０／０２）
F23B90/06	一次燃焼が還元雰囲気下でのガス化または乾留であるもの
F23B90/08	触媒を用いるもの
F23B99/00	このサブクラスの他のグループに分類されない主題事項
F23B2101/00	燃焼装置のボイラへの適用に関するインデキシング系列<br>燃焼室がボイラ容器内に設置されている，例．冷却面に囲まれているもの，燃焼装置のボイラへの適用
F23B2103/00	　ボイラの開口部内または開口部に向けて設置するための，例．オイルバーナに換えて使用するための，燃焼装置の適用
F23B2103/02	本質的に水平な炎を作成するためのもの
F23B2700/00	固体燃料のための燃焼装置
F23B2700/003	水管ボイラでの使用に適合するもの
F23B2700/004	テンブリンク型ボイラーでの使用に適合するもの
F23B2700/005	機関車での使用に適合するもの
F23B2700/006	機関車燃焼装置の細部
F23B2700/007	加圧燃焼室をもつもの
F23B2700/008	互換性燃焼室をもつもの
F23B2700/009	種々の蒸気ボイラでの使用に適合するもの
F23B2700/01	部分で構成されたボイラに適合するもの
F23B2700/011	蒸気ボイラの燃料シャフトをもつもの
F23B2700/012	燃料供給区域において予備乾燥装するもの
F23B2700/013	ベーキングオーブンまたは調理容器に使用するためのもの
F23B2700/014	反射炉に使用するためのもの
F23B2700/018	段階燃焼によりヒュームを後燃焼するもの
F23B2700/022	種々のタイプのヒュームアフターバーナをもつもの
F23B2700/023	他に分類されない種々の装置をもつもの
F23B2700/037	固体燃料または固体化された燃料，例．メタアルデヒド，のためのバーナ
F23B2900/00	固体燃料を用いる燃焼装置の特別な特徴または装置；そのための燃焼方法
F23B2900/00001	燃料ホッパーに結合された燃焼チャンバー
F23B2900/00003	燃焼する金属燃料，例．アルミニウムまたはマグネシウム，に特に適合した燃焼装置
F23B2900/00004	固体燃料を脈動燃焼を起こすための装置
F23B2900/00005	炎に音波エネルギーを適用するための手段
F23B2900/00006	炎に電気を適用するための手段，例．電場
