F23H1/00	中実棒を有する火格子
F23H1/02	空気供給または空気予熱のための設備をもつもの，例．火格子構造の一部を形成するかまたはささえとなる空気供給用の，または送風用の組立体
F23H1/04	可変火床面をもつもの
F23H1/06	異なる高さに棒をもつもの（２重火格子Ｆ２３Ｈ５／００）
F23H1/08	垂直火格子
F23H3/00	中空棒を有する火格子
F23H3/02	内部式冷却をされるもの
F23H3/04	外部式冷却をされるもの，例．水，蒸気または空気によるもの
F23H5/00	２重火格子
F23H7/00	傾斜火格子｛またはステップ式｝火格子（傾斜移床火格子Ｆ２３Ｈ１１／１２）
F23H7/02	固定した棒を有するもの
F23H7/04	並行に配列されたもの
F23H7/06	燃料供給の方向に並行に配列された可動の棒を有するもの
F23H7/08	それらの軸に沿って往復運動するもの
F23H7/10	それらの軸のまわりに揺動するもの
F23H7/12	燃料供給方向と交さして配列された可動の棒を有するもの
F23H7/14	それらの軸に沿って往復運動するもの
F23H7/16	それらの軸のまわりに揺動するもの
F23H7/18	上向きに往復運動するもの
F23H9/00	回転火格子；揺動火格子（Ｆ２３Ｈ７／００が優先）
F23H9/02	回転円筒火格子
F23H9/04	全体として揺動する火格子
F23H9/06	棒がその長手方向と交さする軸のまわりに揺動するもの
F23H9/08	棒がその縦軸のまわりに揺動するもの
F23H9/10	燃料を火格子に沿って動かすように改造されたもの
F23H9/12	棒が一平面内で垂直方向に動き得るもの
F23H11/00	移床火格子
F23H11/02	横方向の担持体上に配列された棒を有するもの
F23H11/04	片側でピボットされている棒を有するもの
F23H11/06	互いに関連して動き得る棒を有するもの
F23H11/08	数個の個々に動き得る火格子面をもつもの
F23H11/10	下から空気を供給するための，および空気供給を制御するための特別の装備を有するもの
F23H11/12	傾斜移床火格子；階段形移床火格子
F23H11/14	補助火格子の役割をするもの
F23H11/16	多層だきのためのもの
F23H11/18	細部
F23H11/20	駆動手段
F23H11/22	火格子に沿って燃料を動かすもの；火格子の清掃
F23H11/24	除灰；クリンカーの除去
F23H11/26	放下することによるもの
F23H11/28	取り換え可能な燃焼面
F23H13/00	先行のグループのどれにも包含されない火格子
F23H13/02	かご形火格子，例．揺動装置を有するもの
F23H13/04	たたみ込み式火格子
F23H13/06	放下式火格子
F23H13/08	ガス発生炉に特に適合し炉にも適用できる火格子
F23H15/00	火格子用清掃装置（火格子の一部を形成しないものＦ２３Ｊ１／００）；火格子に沿う燃料の移動（燃料を動かすように改造された揺動火格子Ｆ２３Ｈ９／１０；移床火格子のためのものＦ２３Ｈ１１／２２）
F23H17/00	火格子の細部
F23H17/02	棒の末端の付属物
F23H17/04	移床火格子のもの
F23H17/06	火格子を垂直方向に調整するための装備
F23H17/08	担持体；フレーム；スペーサ；ささえ
F23H17/10	固定板；無孔状燃料ささえ
F23H17/12	火格子棒
F23H2700/00	特別な特徴または用途に特徴がある火格子
F23H2700/001	蒸気ボイラに適合した火格子
F23H2700/002	長さ方向に移動可能な火格子バーをもつ傾斜火格子
F23H2700/003	回転可能なまたは摺動可能な火格子バーをもつ階段火格子
F23H2700/004	水平軸をもつ回転式火格子
F23H2700/005	垂直軸をもつ回転式火格子
F23H2700/006	バスケット型の火格子
F23H2700/007	振動装置をもつバスケット型火格子
F23H2700/008	移動式火格子
F23H2700/009	燃焼炉に特に適合した火格子
F23H2900/00	火格子の特徴
F23H2900/03021	液体冷却火格子
F23H2900/09041	固体燃料のための振動火格子（燃焼炉に特に適合したものＦ２３Ｇ２２０３／１０７）
F23H2900/17001	そのための特別な材料
F23H2900/17002	着脱可能な摩耗した部材
