F28B1/00	水蒸気または蒸気が壁面で冷却媒体と分離されている凝縮器，例．表面凝縮器
F28B1/02	水または他の液体を冷却媒体として用いるもの
F28B1/04	移動壁をもつもの
F28B1/06	空気または他の気体を冷却媒体として用いるもの<br><br><u>注</u><br><br> <br>このグループは，凝縮器としての使用が明確には特定されないが，構成は空気冷却凝縮器に類似する空気熱交換器，例．乾式冷却塔，を包含する。
F28B2001/065	｛二次凝縮器，例．還流凝縮器または分縮器，をもつもの｝
F28B1/08	移動壁をもつもの
F28B3/00	水蒸気または蒸気が冷却媒体と直接接触をする凝縮器
F28B3/02	凝縮表面上に冷却液体を皮膜状に流すことによるもの
F28B3/04	水蒸気または蒸気中に冷却液体を噴射することによるもの（Ｆ２８Ｂ３／０８が優先）
F28B3/06	冷却液体中に水蒸気または蒸気を噴射することによるもの（Ｆ２８Ｂ３／０８が優先）
F28B3/08	回転部分をもつもの
F28B5/00	メイングループＦ２８Ｂ１／００とＦ２８Ｂ３／００に包含される方法の組み合わせによる凝縮器；その他の凝縮器
F28B7/00	２以上の凝縮器の組み合わせ，例．予備の凝縮器の設備
F28B9/00	補助系統，同設備または同装置
F28B9/005	｛凍結に対する保護のためのもの｝
F28B9/02	水蒸気または蒸気を凝縮器に給送するためのもの
F28B9/04	冷却水または他の冷却液体を給送，収集または貯蔵するためのもの
F28B9/06	冷却水または他の冷却液体を再冷却するための設備をもつもの
F28B9/08	凝縮物を収集および除去するためのもの
F28B9/10	非凝縮性気体を抽出，冷却および除去するためのもの
F28B11/00	凝縮器に特に使われる特色のある制御装置（制御装置一般Ｇ０５）
