G01B1/00	材質の選択に特徴のある測定計器
G01B3/00	このサブグループに記述され，かつ機械的測定手段の使用によって特徴づけられた計器（個別のパラメータを測定するための装置Ｇ０１Ｂ５／００；長尺物の貯蔵および繰返し繰出しおよび再蔵用に特に適するまたは取りつけられた一般的な特徴をもつ機器Ｂ６５Ｈ７５／３４）
G01B3/002	｛細部｝
G01B3/004	｛目盛板:目盛｝
G01B3/006	｛粗い目盛と細かい目盛の両方を持つもの｝
G01B3/008	｛測定力を制御するための構成｝
G01B3/02	直読用の目盛またはマークをもつ定規またはテープ
G01B3/04	剛性のもの
G01B3/06	折りたたみ式
G01B3/08	伸長式
G01B3/10	可撓性のもの，｛例．巻尺｝．．<br><br><u>注</u><br><br>グループＧ０１Ｂ３／１００２がグループＧ０１Ｂ３／１００５からＧ０１Ｂ３／１０８４に優先｝
G01B3/1003	
G01B3/1004	
G01B3/1005	｛ブレーキまたはロック部材，すなわち回転またはテープを防ぎ，テープをある所定位置に保持するための手段；　ダンピング手段，すなわちテープ巻き戻しによる衝撃を吸収するための手段；　巻き上げ機構，例．スプリング，電気モーター，クランクハンドル｝
G01B3/1007	
G01B2003/101	ドラム上で作動するもの
G01B2003/1012	テープそのものと平行な方向でテープと係合するもの
G01B2003/1015	テープそのものと直交する方向でテープと係合するもの
G01B2003/1017	全体コイル上で作動するもの
G01B3/102	
G01B2003/1023	巻き上げ機構
G01B2003/1025	手動操作によるもの，例．クランクハンドル
G01B2003/1028	電気モーター
G01B2003/103	スプリング
G01B2003/1033	テープのロック，ブレーキまたは解除のための作動手段，例．釦
G01B2003/1035	回動操作によるもの
G01B2003/1038	直進運動の操作によるもの
G01B3/1041	｛ケーシング，すなわち，テープを含む構造｝
G01B3/1043	
G01B3/1046	
G01B3/1048	
G01B2003/1051	同一ケーシング内の複数のテープ
G01B2003/1053	テープ出口の溝，例．形状または方向
G01B3/1056	｛エンドフック；　エンドフックのテープへの取り付け具；　テープの遠位および近位端部｝
G01B2003/1058	製造または組立方法
G01B3/1061	｛長さ測定の読み取りまたは表示のための手段｝
G01B2003/1064	ウィンドウ，例．レンズ，ガラスまたは十字線
G01B2003/1066	テープ上のインデックススライド
G01B3/1069	
G01B3/1071	｛外部の支持または取り付け手段；　すなわち，巻尺そのものには属さないもの｝
G01B2003/1074	ケーシングのためのもの
G01B2003/1076	エンドフックのためのもの
G01B2003/1079	テープのためのもの
G01B3/1084	｛巻尺の特殊用途またはそれに特別な適応｝
G01B2003/1087	照明のためのもの
G01B3/1089	
G01B3/1092	
G01B3/1094	
G01B2003/1097	
G01B3/11	測長用のくさり
G01B3/12	測定ホイール
G01B3/14	輪郭チェック用の型板　｛ドアまたは窓を取り付けるための型板　Ｅ０４Ｆ２１／０００７｝
G01B3/16	コンパス，すなわち一対のピボットアームをもつもの
G01B3/163	｛測定目盛のないもの｝
G01B3/166	｛測定目盛を備えたもの｝
G01B3/18	マイクロメータ
G01B3/20	スライドゲージ
G01B3/205	｛測定された寸法のデジタル表示用のカウンターを備えたもの｝
G01B3/22	フィーラピンゲージ，例．ダイヤルゲージ（プロフィル測定用Ｇ０１Ｂ５／２０）
G01B3/24	オープンヨーク付き，すなわちカリパス
G01B3/26	プラグゲージ
G01B3/28	深さゲージ
G01B3/30	一対の固定面間の距離が一定のバー，ブロックまたはストリップ，ただし，調整できるものも含む，例．エンドメジャー，フィーラーストリップ
G01B3/303	｛調整できるもの，例．マイクロメーターねじによるもの｝
G01B3/306	｛傾斜したすべり面付き｝
G01B3/32	そのためのホルダー
G01B3/34	リングまたはその他の穴あきゲージ，例．はめあいゲージ
G01B3/36	おねじ用
G01B3/38	オープンヨークと対向面をもち，面間の内部距離が一定しているゲージ，すなわちカリパス，ただし調整できるものも含む
G01B3/40	おねじ用
G01B3/42	リミットゲージ型のもの，すなわちはめあい式（Ｇ０１Ｂ３／４０が優先）
G01B3/44	摩耗と公差のために調整できるもの
G01B3/46	一定間隔で面に係合する内径用のプラグゲージ，ただし，調整できるものも含む
G01B3/48	めねじ用
G01B3/50	リミットゲージ型のもの，すなわちはめあい式（Ｇ０１Ｂ３／４８が優先）
G01B3/52	摩耗と公差のために調整できるもの
G01B3/56	角度またはテーパ測定用ゲージ，例．円錐カリパス
G01B3/563	｛プロトラクタ（測地学で用いられるもの　Ｇ０１Ｃ１／００；　延伸機用プロトラクタヘッド　Ｂ４３Ｌ１３／０８）｝
G01B3/566	｛スクエア｝
G01B5/00	機械的手段の使用によって特徴づけられた測定装置（グループＧ０１Ｂ３／００に包含される形式の計器それ自体Ｇ０１Ｂ３／００）
G01B5/0002	｛測定機器または測定対象物の支持，固定または案内用装置｝
G01B5/0004	｛支持（一般Ｆ１６Ｍ，　１１６Ａ２Ｃ）（Ｇ０１Ｂ５／０２５が優先）｝
G01B5/0007	｛定盤｝
G01B5/0009	｛表面案内；　それの非線形性を補償する装置｝
G01B5/0011	｛温度または重量による測定誤差の排除または補償用装置｝
G01B5/0014	｛温度によるもの（工作機械　Ｂ２３Ｑ１１／０００３）｝
G01B5/0016	｛重量によるもの（工作機械　Ｂ２３Ｑ１１／００１）｝
G01B5/0018	｛キーみぞ測定用｝
G01B5/0021	｛対象物の体積寸法測定用｝
G01B5/0023	｛スポーツ用品測定用，　例．ボーリング付属品，ゴルフクラブ，ゲームボール｝
G01B5/0025	｛車両パーツ測定用（Ｇ０１Ｂ５／００３が優先）｝
G01B5/0028	｛ブレーキ，ブレーキシューズ，クラッチ｝
G01B5/003	｛モーターパーツの測定｝
G01B5/0032	｛開閉バルブ，　開閉バルブ用作動装置｝
G01B5/0035	｛木の寸法の測定｝
G01B5/0037	｛溶接の寸法の測定｝
G01B5/004	点の座標測定用
G01B5/008	座標測定機械を使うもの
G01B5/012	そのための接触指針ヘッド
G01B5/016	接触の構造細部
G01B5/02	長さ，幅または厚測定用（Ｇ０１Ｂ５／００４，Ｇ０１Ｂ５／０８が優先）
G01B5/025	｛周長の測定；　輪状物品の長さ測定（Ｇ０１Ｂ５／００３５が優先）｝
G01B5/04	移動体の長さまたは幅測定用に特に適合したもの
G01B5/043	｛長さ測定用｝
G01B5/046	｛幅測定用｝
G01B5/06	厚み測定用
G01B5/061	｛高さ測定用｝
G01B5/063	｛マイクロメーターねじにより垂直支持に沿って動かされる摺動を備えたもの｝
G01B5/065	｛離散的較正所定位置において，垂直支持に沿って固定される摺動を備えたもの｝
