G01N1/00	サンプリング；調査用標本の調製
G01N2001/002	分析装置に試料を供給または分配する装置
G01N2001/005	試料の郵送または同種の移送のためのパッケージ
G01N2001/007	法医学試料，例．改竄防止，試料追跡，に特に適合する装置
G01N1/02	試料取出しのための装置（医学または獣医学用Ａ６１；｛基礎地盤の採取Ｅ０２Ｄ１／０４｝；土壌試料または井戸液体試料の採取Ｅ２１Ｂ４９／００；｛放射性試料を収集または運搬するものＧ０１Ｔ７／００，例．Ｇ０１Ｎ７／０２，Ｇ０１Ｎ７／０８｝）
G01N2001/021	
G01N2001/022	セキュリティ目的の採取，例．密輸品，兵器
G01N2001/024	乗客または手荷物
G01N2001/025	郵便物
G01N2001/027	現場キット／迅速試験キット
G01N2001/028	表面からの採取，スワビング，気化
G01N1/04	固体状のもの，例．切断によるもの
G01N2001/045	レーザアブレーション；マイクロ波による気化
G01N1/06	薄片を作製するもの，例．ミクロトーム
G01N2001/061	ブレード細部
G01N2001/063	鋸引き動作を伴うもの
G01N2001/065	駆動細部
G01N2001/066	電気式
G01N2001/068	照明手段
G01N1/08	抜取り用具を包含するもの，例．コアー・ビット
G01N2001/085	グラブ
G01N1/10	液体または流動状のもの　｛ビューレット，ピペットＢ０１Ｌ３／０２；地下水試料の採取Ｅ０２Ｄ１／０６；流動体または流動性固形物質の体積による計量Ｇ０１Ｆ１１／００，Ｇ０１Ｆ１３／００｝
G01N2001/1006	分散固体
G01N2001/1012	懸濁液
G01N2001/1018	ガス浮遊物；流動床
G01N2001/1025	液中懸濁液；スラリー；泥土；汚泥
G01N2001/1031	特別な場所からの採取
G01N2001/1037	被包体から（危険廃棄物，放射性物質）
G01N2001/1043	下水から
G01N2001/105	高圧反応器またはラインから
G01N2001/1056	使い捨て（単用）採取装置
G01N2001/1062	一定温度，圧力，または類似の条件下で採取するもの
G01N2001/1068	融点よりも下に試料を冷却するもの
G01N2001/1075	冷却により蒸発液体を捕獲するもの
G01N2001/1081	冷凍下で試料を格納するもの
G01N2001/1087	採取のカテゴリー
G01N2001/1093	合成採取；累積採取
G01N1/12	ジッパ；浚渫機
G01N1/125	｛溶融金属の採取に適したもの｝
G01N1/14	吸入装置，例．ポンプ；排出装置
G01N1/1409	｛溶融金属の採取に適したもの｝
G01N2001/1418	負圧，吸引
G01N2001/1427	容積形，ピストン，ぜん動の
G01N2001/1436	排出器
G01N2001/1445	採取ポイントにおける過剰圧力，加圧
G01N2001/1454	容積形，ピストン
G01N2001/1463	注入器　；エアリフト型
G01N2001/1472	圧力差で作動しない装置
G01N2001/1481	アルキメデスのらせん；オーガー
G01N2001/149	毛細管体；スポンジ
G01N1/16	数種のレベルで採取できるもの　｛Ｇ０１Ｎ１／２０３５｝（Ｇ０１Ｎ１／１２，Ｇ０１Ｎ１／１４が優先）
G01N1/18	試料を分割できるもの（Ｇ０１Ｎ１／１２，Ｇ０１Ｎ１／１４が優先；クロマトグラフィ用フラクション捕集装置Ｂ０１Ｄ１５／０８）
G01N2001/185	連続的に充填される容器のコンベア
G01N1/20	流動しまたは落下する材料のためのもの　｛Ｇ０１Ｎ１／２０３５｝（Ｇ０１Ｎ１／１２，Ｇ０１Ｎ１／１４が優先）
G01N2001/2007	フローコンベア
G01N2001/2014	気送式コンベア
G01N2001/2021	重力の下で落下するもの
G01N2001/2028	ベルト
G01N1/2035	｛流体の流れの一部を分離させるもの，例．抜き取りまたは分岐｝
G01N1/2042	｛被採取液体の圧力で作動するピストンを用いるもの｝
G01N2001/205	開閉弁を用いるもの
G01N2001/2057	開閉弁／ピストン内の試料チャンバー
G01N2001/2064	バイパスループを用いるもの
G01N2001/2071	取りはずし可能な試料瓶
G01N2001/2078	先行真空の瓶
G01N2001/2085	非先行真空のセプタム封止瓶
G01N2001/2092	横断的な採取
G01N1/22	気体状のもの　｛（生物学材料に特に適しているものＧ０１Ｎ３３／４９７；呼気の流れを測定するものＡ６１Ｂ５／０８７）｝
G01N1/2202	｛採取中に試料成分の分離を含むもの｝
G01N1/2205	｛フィルタを有するもの｝
G01N1/2208	｛インパクタを有するもの｝
G01N1/2211	｛サイクロンを有するもの｝
G01N1/2214	｛収着によるもの｝
G01N2001/2217	液体を用いるもの
G01N2001/222	他の特徴（現在この分類は使用していない）
G01N2001/2223	エアロゾル採取装置
