G04R20/00	電波信号で送られる，または電波信号に含まれる時間情報にしたがった時間の設定
G04R20/02	衛星から送られる電波信号，例．ＧＰＳ
G04R20/04	同調または受信；そのための回路
G04R20/06	時間データのデコード；そのための回路
G04R20/08	長波のコールサインからの送信である電波信号，例．ＤＣＦ７７，ＪＪＹ４０，ＪＪＹ６０，ＭＳＦ６０またはＷＷＶＢ
G04R20/10	同調または受信；そのための回路
G04R20/12	時間データのデコード；そのための回路
G04R20/14	テレコミュニケーションの標準信号である電波信号，例．ＧＳＭ，ＵＭＴＳまたは３Ｇ
G04R20/16	同調または受信；そのための回路
G04R20/18	時間データのデコード；そのための回路
G04R20/20	ＡＭ／ＦＭ標準信号である電波信号，例．ＲＤＳ
G04R20/22	同調または受信；そのための回路
G04R20/24	時間データのデコード；そのための回路
G04R20/26	近距離通信信号である電波信号
G04R20/28	同調または受信；そのための回路
G04R20/30	時間データのデコード；そのための回路
G04R40/00	クロック周波数の修正
G04R40/02	位相同期によるもの
G04R40/04	電波信号の周波数の検知によるもの
G04R40/06	電波信号に含まれる時間値を計算することによるもの
G04R60/00	構造上の細部
G04R60/02	時計の構成部品としても働くアンテナ，例．モーターコイル
G04R60/04	時計のブレスレットに取り付けられた，または一体化されたアンテナ
G04R60/06	時計の本体に取り付けられた，または一体化されたアンテナ
G04R60/08	ベゼル内のもの
G04R60/10	ケース内のもの
G04R60/12	金属ケース内のもの
G04R60/14	電気機械的な時計に特有のもの，例．そのための動く部品
