G07F1/00	コイン挿入装置；コイン解放機構の作用に特に適したコイン（コイン一般Ａ４４Ｃ）
G07F1/02	コインの投入口
G07F1/04	コインの軌道
G07F1/041	｛貨幣を検査するための手段以外の，挿入された異物，例．詰め物，紐で縛ったものまたは塩漬を処理するための手段をもつもの｝
G07F1/042	｛異物がコインに付けられた長いフレキシブルな部材であるもの｝
G07F1/043	｛フレキシブルな部材またはそれが付いたコインの切取りまたは捕捉｝
G07F1/044	｛フレキシブル部材の自動検知｝
G07F1/045	｛異物が液体の形をとっているもの｝
G07F1/046	｛詰込みを処理するための手段をもつもの，例．曲げた針金｝
G07F1/047	｛一時的にコインを保存する手段をもつもの｝
G07F1/048	｛コインの動きを抑制するための手段をもつもの｝
G07F1/06	コイン解放機構の作用に特に適したコイン
G07F5/00	コイン作動機構；インターロック
G07F5/02	コインによって機械的に作動されるもの，例．１個のコインによるもの
G07F5/04	各操作に対し２個以上の同一種類のコインを必要とするもの
G07F5/06	各操作に対し２個以上の異なった種類のコインを必要とするもの
G07F5/08	各操作に対し２個以上のコインまたはそれと同等の１個のコインを随意使用できるもの；各操作に対し２個以上のコインまたは他の同等のコインの結合を随意使用できるもの
G07F5/10	コインによって電気的に作動されるもの，例．１個のコインによるもの
G07F5/12	各操作に対し２個以上の同一種類のコインを必要とするもの
G07F5/14	各操作に対し２個以上の異なった種類のコインを必要とするもの
G07F5/16	各操作に対し２個以上のコインもしくはそれと同等の１個のコインを随意使用できるもの；各操作に対し２個以上のコインまたは他の同等のコインの結合を随意使用できるもの
G07F5/18	１つの場所から数個のコイン解放装置を制御するのに特に適したもの（インターロックそれ自体はＧ０７Ｆ５／２６）
G07F5/20	信用貸としてコインの登録に特に適したもの，例．機械的に作動されるもの
G07F5/22	電気的に作動されるもの
G07F5/24	釣銭払出手段をもつもの（釣銭払出機構それ自体Ｇ０７Ｄ）
G07F5/26	インターロック，例．使用するものとは別の仕切ドアーをロックしたもの
G07F7/00	自動販売用，賃貸用，コインまたは紙幣分配用もしくは払い戻し用装置を解放または作動するためにコイン以外の物によって作動される機構（コイン解放装置または類似装置を除くコインまたは紙幣の取扱いＧ０７Ｄ；完全バンキングシステムＧ０７Ｆ１９／００）｝
G07F7/005	｛細部または付属部材｝
G07F7/02	鍵または他の信用ある登録装置によるもの（符号化された身分証明書とともに用いる符号化信号を発生させるためのものＧ０７Ｆ７／１０）
G07F7/025	｛購入時に請求情報を提供する手段，例．カード，によるもの，例．販売者または購入者の身元確認，配達されたかまたはこれから配達される物品の数量｝
G07F7/04	紙幣によるもの
G07F7/06	返却しうる容器，例．びん，によるもの
G07F7/0609	｛びんまたはコップによるもの｝
G07F7/0618	｛カートによるもの｝
G07F7/0627	｛レールや柵に固定又は連結される台車やカートによるもの｝
G07F7/0636	｛囲いのような制限された区域にて管理される、又は、使用可能となる前にゲートを通過する台車やカート｝
G07F7/0645	｛まとめて台車やカートを一列に輸送もしくは保管するように設計された囲い又は容器にて管理される台車やカート｝
G07F7/0654	｛トークンを挟む原理に準じてロック機能を作動するもの，すなわち．トークンが二つの部材の間に保持されるもの｝
G07F7/0663	｛ロック装置を作動させるコインやトークンを収納する、又は、台車やカートにコインによって作動するロック装置を備え付ける構造的な細部｝
G07F7/0672	｛ロック装置を作動させる支払物やコインの代替として機能する特殊なトークン｝
G07F7/0681	｛台車やカートを使用するための認証を受けるため、又は、ロック装置を作動させるために必要な特殊なトークンとして使用される、カード、ペイカード、カード状の物｝
G07F7/069	｛箱状の容器によるもの，例．ビデオカセット，本｝
G07F7/08	ＩＤカードまたはクレジットによるもの　｛または他の身元確認手段によるもの（身元検証手段をもたないものＧ０７Ｆ７／０２）｝
G07F7/0806	｛カードの細部（記録担体はG06K）｝
G07F7/0813	｛カードセキュリティに関連する細部｝
G07F7/082	｛カード上又はカード内のデータの完全性を保証するための特徴｝
G07F7/0826	｛セキュリティモジュールが組み込まれたもの｝
G07F7/0833	｛特殊な機能要素を有するカード｝
G07F7/084	｛データ移動、蓄積に関連する追加的な機能要素，例．エラー検知、自己診断｝
G07F7/0846	｛カード上の表示手段｝
G07F7/0853	｛カード上の入力手段｝
G07F7/086	｛そのために適合させた受動クレジットカード:偽造を避けるための構造上の特徴，例．物理的または化学的保安層を含むことによるもの（保安文献はＧ０７Ｄ７／００参照；記録担体の読取り一般はＧ０６Ｋ７／００参照；コード化クレジットカードのデザインはＧ０６Ｋ１９／１０参照）｝
