G10C1/00	全体構造
G10C1/02	アップライトピアノ
G10C1/04	グランドピアノ
G10C1/06	チェンバロ，スピネット又は類似の弦楽器（鍵盤を有するチターG10D3/085）
G10C3/00	細部又は付属品
G10C3/02	ケース
G10C3/04	フレーム；駒；ベアリングバー
G10C3/06	共鳴手段〔例．共鳴弦，響板；共鳴手段の取付け〕
G10C3/07	
G10C3/08	弦の配列
G10C3/10	チューニングピン又は弦を張る部品
G10C3/103	｛ピンの軸が弦と平行になっているもの｝
G10C3/106	｛ピンの軸が弦と垂直になっているもの｝
G10C3/12	鍵盤；鍵
G10C3/125	｛鍵の製造のための材料又はその取扱い｝
G10C3/14	足により作動するもの
G10C3/16	アクション
G10C3/161	｛特にアップライトピアノに適合したもの｝
G10C3/163	｛鍵面よりも下方に備えられたアクション｝
G10C3/165	｛撥弦のためのもの〔例．G10C1/06に包含される楽器〕（鍵盤を有するチターのための撥弦機構G10D3/085）｝
G10C3/166	｛ダンパー（G10C3/161，G10C3/168，G10C3/20，G10C3/22，G10C3/26が優先）｝
G10C3/168	｛ハンギングジャックを有するもの〔例．ハンマーバット又はハンマーシャンクと連結されたジャック〕｝
G10C3/18	ハンマー
G10C3/20	液圧，気圧又は電磁的手段を伴なうもの
G10C3/22	特にグランドピアノに適合したもの
G10C3/23	
G10C3/24	トレモロ装置（G10C3/161，G10C3/168，G10C3/20，G10C3/22が優先）
G10C3/26	ハーフブロー又は類似の変音のためのペダル又はペダル機構
G10C3/28	移調装置
G10C3/30	カプラ〔例．オクターブ演奏用のもの〕
G10C5/00	他の楽器との組合せ〔例．ベル又は木琴との組合せ〕
G10C5/10	
G10C9/00	このサブクラスに包含される楽器の製造又は保守のために特に適合した方法又は工具
